# prop_name, value
name,messal_shale
description,"A network of feeling links among taxa based on the 48 million years old uppermost early Eocene Messel Shale. Edge property 'certainty' denotes the certainty of the edge. Metadata include evidence, habitat, and trophic roles. The edge direction goes from consumer to resource."
citation,"['J. A. Dunne, C. C. Labandeira, & R. J. Williams, \"Highly resolved early Eocene food webs show development of modern trophic structure after the end-Cretaceous extinction.\" Proc. Royal Soc. B: Biological Sciences 281(1782), 20133280 (2014)., http://rspb.royalsocietypublishing.org/content/281/1782/20133280']"
url,http://datadryad.org/resource/doi:10.5061/dryad.ps0f0
tags,"['Biological', 'Food Web', 'Uncertain', 'Weighted', 'Metadata']"
certainty_key,"{1: 'High Certainty', 2: 'Intermediate Certainty', 3: 'Low Certainty'}"
evidence_key,"{1: 'Taxonomic Uniformity', 2: 'Functional Morphology', 3: 'Gut Contents', 4: 'Damage Pattern', 5: 'Stratigraphic Co-Occurrence', 6: 'Body Size', 7: 'Coprolites', 8: 'Host Relationship', 9: 'Biochemistry and Minerals', 10: 'Track or Domicile'}"
