V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_C24,26.5013,4.9107,28.3562,2.8344,14.1955,262.9178,82.4489,45.5285,75.3084,21.0961,1056.3266,210.7576,272.3904,774.5188,14020.1868,8141.117,430.4228,2375.8393,4137.5062,2169.0231,526.8266,1363.007,34.4895,240.1424,1561.3999,437.511,84.2019,1.0376,0.3637,92.6327,0.1691,7.9352,0.4582,1.5349,14.1218,9.8067,353.8625,634.7849,143.6447,0.0646,0.895,902.4399,24.2922,60.6647,0.0
ITA_C25,265.9199,14.153,8.1362,4.9266,24.5281,506.033,268.3492,142.8804,373.7427,55.2132,452.7535,112.9454,815.7003,539.6333,1293.739,14961.4617,977.5766,2079.8497,17459.8821,6989.9318,732.898,1617.8679,656.3535,542.6554,5268.113,1111.1762,658.9847,280.7956,12.6374,339.9142,12.9144,171.1599,40.9997,271.4535,294.629,117.7976,656.2901,914.5532,805.9365,88.0399,33.8447,287.4048,205.239,160.7523,0.0
ITA_C26,45.1479,5.1499,4.841,2.6975,2.6596,69.2366,60.1979,8.1512,36.6894,30.1419,43.425,92.1685,73.7384,32.8785,49.6579,159.7325,755.8498,349.4021,421.9747,499.3168,287.6827,280.4447,166.317,48.5451,417.8284,308.8804,82.176,9.4558,23.7275,89.3072,9.1234,63.7065,92.4161,149.2742,714.7933,148.0451,78.6019,403.6864,182.1469,144.5224,39.6827,384.8548,144.5279,65.286,0.0
ITA_C27,102.5009,10.9258,6.6407,6.5925,6.0269,158.0838,120.1941,15.8981,89.9858,45.6106,116.2886,58.003,198.8087,119.6576,213.5154,814.4253,825.0811,3938.7358,1576.611,1282.9182,565.5397,345.102,421.7467,131.5944,1171.2492,688.8662,180.8338,40.2493,61.4203,211.6988,12.385,166.3365,76.7439,282.809,233.4015,64.9951,170.5257,565.8648,417.0002,169.7503,46.0607,243.6738,174.0432,99.2892,0.0
ITA_C28,273.6176,7.3061,24.9778,30.8579,37.4024,620.4299,389.5521,51.1345,488.7787,170.9488,300.8074,451.1842,699.4465,251.1035,976.1149,2052.3862,501.2056,1109.4093,14002.3335,3049.0478,1567.2824,1083.2035,395.798,444.4489,2372.9656,1642.6698,524.5827,136.5157,125.6399,387.7733,44.1985,345.3553,155.9204,222.2748,387.6702,229.0274,284.7495,1091.3203,1126.0451,227.5604,69.8861,642.6939,156.3974,191.8075,0.0
ITA_C29,83.5621,3.7662,3.1885,3.3744,5.2193,119.7576,87.7424,30.8518,60.7478,79.4234,406.8331,82.0079,329.9765,394.4524,164.5188,930.5439,228.3549,484.6496,2922.8659,5319.6329,323.4745,914.6152,74.1924,585.8458,1242.9451,2826.0939,357.0764,20.0404,14.2317,170.3428,11.3733,77.467,30.417,54.4192,69.6373,55.8764,55.3655,275.0765,209.0716,112.7266,31.2283,90.0811,80.0943,56.0588,0.0
ITA_C30,0.0,38.4642,1.4096,0.8351,0.2672,5.0644,8.0603,7.0926,3.4573,0.3919,0.9352,1.1494,1.7373,3.0185,2.7876,109.1391,1.9149,1.7078,10.5939,595.1285,4168.715,832.9513,30.2578,43.218,11.3474,673.7654,172.4558,96.7346,544.5227,107.8434,2.9378,39.249,10.4062,1.309,145.8864,1.8265,3.2225,161.6977,252.2498,149.3211,25.6926,27.4793,104.8275,5.0823,0.0
ITA_C31T33,530.552,16.3613,13.2514,15.5836,19.2275,367.9294,558.9345,301.5031,319.7576,287.3191,235.4776,407.7542,284.5743,140.6244,258.5106,757.6473,220.5609,361.8742,1624.1702,897.1439,202.5089,4068.9271,234.3704,394.9908,1883.2763,1403.2582,343.3918,89.8169,71.8457,309.8988,62.3474,358.6013,212.7825,95.0767,284.6142,137.7819,309.7228,905.5501,887.9514,592.0627,161.566,3807.1988,342.115,238.6641,0.0
ITA_D,1350.7306,83.9549,62.0615,81.6983,32.355,1995.7187,736.5316,442.0021,873.3184,313.0848,1456.3379,238.632,1290.6496,1475.3839,2746.4757,926.9765,385.0697,220.5528,1672.3608,563.0402,35.0199,1177.9913,31553.589,1556.9804,835.2786,4684.3711,2106.6358,24.8653,84.7889,685.6619,554.9067,2753.0106,193.0012,370.7718,145.672,518.1902,246.8123,1918.7941,1184.3676,2709.1795,972.8786,2317.1811,557.1923,2862.2488,0.0
ITA_E,460.3088,0.7427,83.8742,107.5958,5.0682,1183.3596,652.379,214.6313,434.1879,243.3531,587.5433,255.627,394.0951,254.7451,4097.8246,823.7341,116.8677,228.5177,675.6459,500.7853,167.4619,397.4269,627.0065,5082.426,1734.345,1701.3396,392.0735,88.3278,47.6386,540.0012,77.318,1533.1442,230.5361,147.6021,149.8939,150.1564,254.0965,533.0971,603.6375,6199.6144,272.7938,784.491,255.1322,196.0629,0.0
