V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_A01_02,2.4367,1.0711,0.0025,0.0096,0.0038,36.4245,0.0687,0.0003,0.026,0.0001,0.0305,0.1054,0.0101,0.0279,0.0001,0.0801,0.0297,0.0092,0.0042,0.001,0.022,0.3492,0.1925,0.2182,4.9034,1.202,0.4599,0.0329,0.3507,2.1361,0.064,17.6573,0.1354,0.0622,0.1119,2.5889,1.2618,1.4184,2.2638,0.7622,0.7231,0.2787,0.759,0.2026,0.0
MLT_A03,0.0179,61.4718,0.0001,0.0005,0.0001,0.0113,0.0007,0.0,0.001,0.0,0.0323,0.2417,0.0005,0.0013,0.0,0.0018,0.0001,0.0002,0.0002,0.0,0.0005,0.0223,0.0065,0.0087,0.2565,0.0157,0.0156,0.0007,0.0058,0.0384,0.001,10.331,0.0015,0.0014,0.0068,0.0727,0.0483,0.0108,0.0284,0.0085,0.0136,0.0057,0.0171,0.0049,0.0
MLT_B05_06,0.0,0.0128,0.0,0.0008,0.0074,0.0035,0.0,0.0,0.0006,0.0,0.0008,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0098,9.6039,0.0,0.0,0.0002,0.0,0.0108,0.002,0.0005,0.0,0.0006,0.0007,0.03,0.0,0.0481,0.0001,0.0036,0.0036,0.0044,0.0008,0.005,0.0184,0.0,0.0
MLT_B07_08,0.0155,0.4715,0.0056,0.9997,0.7704,0.1961,0.0079,0.0001,0.0259,0.0,0.0312,0.0155,0.0146,10.5561,0.3372,0.046,0.8634,0.005,0.0074,0.0008,0.2242,0.1246,0.0719,0.1841,18.9118,0.0722,0.1994,0.0109,0.1024,0.1794,0.0048,0.1678,0.0321,0.0256,0.0175,1.9488,0.319,0.1903,0.0763,0.0556,0.0871,0.2094,0.2148,0.0372,0.0
MLT_B09,0.0235,0.1578,0.1458,0.3714,0.7017,0.0688,0.0008,0.0002,0.0297,0.0242,0.0278,0.0179,0.0241,0.5859,0.0023,0.0788,0.0095,0.003,0.0074,0.0001,0.0022,0.0237,6.3219,0.1211,3.5398,0.0425,0.1759,0.0346,0.0883,0.121,0.0004,0.02,0.0002,0.0,0.0016,0.0018,0.0778,0.0949,0.0369,0.043,0.0049,0.0215,0.4952,0.0017,0.0
MLT_C10T12,7.4858,12.757,0.1656,0.2449,0.0014,48.5022,0.0044,0.0011,0.0057,0.0,0.2864,0.7654,0.0,0.4065,0.0,0.0062,0.0001,0.0036,0.0,0.0,0.0,0.0387,0.0,0.0,1.3021,0.3115,0.11,2.5357,4.24,0.737,0.0,107.1727,0.0685,0.021,0.0,2.0057,0.0052,0.1398,0.3234,0.1723,0.0184,0.0708,0.0303,0.24,0.0
MLT_C13T15,0.0024,0.0529,0.0,0.0003,0.0023,0.0596,0.7664,0.0242,0.1289,0.0003,0.0026,0.0064,0.0453,0.0023,0.0,0.0204,0.0039,0.0061,0.0089,0.0047,0.0164,0.2961,0.3218,0.035,0.7528,0.0329,0.3492,0.0658,0.0721,0.0629,0.0446,0.6769,0.0383,0.0204,0.029,3.083,0.0111,0.1712,0.0884,0.2523,0.0689,0.2086,0.1765,0.2832,0.0
MLT_C16,0.0115,0.0041,0.0024,0.0092,0.0006,0.0987,0.0342,0.1074,0.0741,0.008,0.0055,0.006,0.0055,0.0083,0.0001,0.0254,0.0358,0.0114,0.0359,0.0168,0.0896,0.9948,0.0037,0.0226,0.8556,0.0527,0.0291,0.1699,0.0078,0.1137,0.0047,0.1169,0.0219,0.0172,0.0523,0.2298,0.1164,0.0803,0.1204,0.076,0.0169,0.1109,0.0416,0.0481,0.0
MLT_C17_18,0.0269,0.0407,0.0064,0.0234,0.0051,0.9218,0.0312,0.009,6.7349,0.0015,0.0506,0.5366,0.5183,0.0299,0.0001,0.1035,0.4492,0.0977,0.1162,0.0252,0.8225,0.7636,0.5091,0.0998,1.0412,1.4137,0.2158,0.4716,2.0117,0.8679,2.4514,1.7367,3.3914,1.9797,4.4418,48.3629,0.1557,15.9073,1.0497,1.7157,1.3419,0.7509,3.6018,0.1654,0.0
MLT_C19,0.0029,0.002,0.0,0.0003,0.0002,0.002,0.0,0.0,0.0007,0.0,0.0002,0.0012,0.0001,0.0018,0.0,0.0012,0.0056,0.0001,0.0,0.0,0.0004,0.0009,0.3477,0.0014,0.0072,0.0143,0.0242,0.0146,0.0612,0.0064,0.0076,0.0033,0.0004,0.0007,0.0013,0.0083,0.0005,0.0038,0.0043,0.002,0.0004,0.0058,0.0043,0.0006,0.0
