V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,12987.6877,42.1931,0.1106,1.3187,0.8159,23611.043,969.7289,2323.5383,40.3066,0.2868,1104.5298,52.6673,780.558,5.7082,2.5568,0.0592,0.098,3.8773,0.0575,0.0288,0.2708,913.9135,0.0486,1.4352,37.1977,179.6976,0.128,0.0905,0.0007,4.3161,0.0001,1164.0557,1.3643,0.0886,2.2421,6.4133,22.3696,133.6947,43.9486,6.0,83.2875,5.7524,7.4603,2.8391,0.0
VNM_A03,13.3578,3741.3591,0.0015,0.001,0.0003,9313.6408,0.304,0.7888,0.0154,0.0009,1.4467,12.3259,0.2306,0.0046,0.0016,0.0007,0.0013,0.0023,0.0001,0.0007,0.0005,0.3126,0.0,0.0007,0.0166,5.6455,0.0001,0.0081,0.0,37.3142,0.0,424.5791,0.0005,0.0001,0.0007,0.0418,0.4222,9.2891,0.237,0.0022,14.602,2.0758,0.2501,0.8006,0.0
VNM_B05_06,63.3348,0.1977,3376.957,4.3555,10.2231,58.7379,73.0737,2.1837,54.7452,6395.4521,815.0698,6.7552,51.4095,1474.0608,171.3814,34.913,17.2618,32.5624,2.0377,9.6229,9.656,45.4704,779.9911,5.013,55.7629,40.4976,2.139,0.2457,0.0,0.4114,0.0,85.0932,0.0104,0.0013,0.2509,0.0333,13.8606,6.2013,6.0794,0.4122,5.0843,1.2403,1.4861,8.2186,0.0
VNM_B07_08,1.4239,0.3352,5.7324,27.588,0.0588,20.9124,0.7848,0.0013,3.0807,6.4487,515.245,0.2776,14.0556,426.3933,82.9568,3.4804,1.8251,0.0322,0.0009,0.0344,0.3939,9.4201,4.9268,0.6151,123.973,14.9386,0.0031,2.4484,0.0,0.6033,0.0,0.225,0.0001,0.0024,0.0,0.3472,8.9198,9.072,0.6823,0.4144,0.0156,0.2176,0.0158,10.3695,0.0
VNM_B09,0.0015,0.7442,634.5225,14.2063,0.3019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752,0.0017,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.2939,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,0.0003,0.0,0.0,0.0,0.0,1.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,6969.3168,5075.3313,15.9601,1.5521,0.5501,21764.28,18.7293,0.7977,89.9583,38.1741,23.388,85.4907,12.6185,30.5516,1.7852,1.3476,0.3674,0.0294,0.0228,0.0968,0.0336,104.9914,1.5492,1.1596,2.0075,298.579,6.6235,4.7179,24.1104,4.1737,0.0002,3476.8276,1.0076,1.0346,2.2467,2.5673,15.1388,35.4687,6.7879,5.602,86.5443,19.76,1.7323,14.1214,0.0
VNM_C13T15,71.9664,44.7121,69.5926,6.259,0.9444,22.4125,9929.781,19.4407,58.6264,21.2772,11.0223,1.939,35.5843,80.0298,5.0826,4.0316,9.1591,3.4045,2.1424,19.4728,10.5163,187.0786,14.4598,18.4784,51.4985,164.2581,16.5534,3.1973,6.084,15.8481,7.9467,53.9287,3.326,8.8466,1.3271,28.442,39.3856,20.4516,30.7538,50.8025,49.7751,16.3205,24.5817,128.3544,0.0
VNM_C16,103.6887,30.8875,0.1897,0.8571,0.0005,68.9194,77.4052,1931.5214,354.1137,0.1784,58.213,0.7944,18.5401,31.8016,3.5082,4.0251,6.6317,6.7702,5.1919,0.5137,2.4676,2704.0517,0.8299,1.1362,328.198,67.3258,0.5834,3.8922,0.1363,2.9085,0.1169,11.1603,0.194,3.6961,0.008,2.4552,22.2867,11.4742,1.3115,10.0085,4.0598,0.5605,1.5281,13.3672,0.0
VNM_C17_18,129.7156,7.5181,9.1417,0.9614,0.9819,544.9964,745.8354,60.9716,2917.6292,0.5275,93.8707,40.2798,184.7257,191.6136,4.764,12.6689,153.5936,256.6879,7.3726,9.4278,6.5187,560.5269,8.6737,2.7231,40.5078,608.6956,13.4344,1.7561,0.7624,12.4474,17.0062,101.2582,290.6844,22.366,9.6574,128.3397,43.7594,170.8551,15.7609,190.9351,108.7258,17.9763,491.7259,27.0931,0.0
VNM_C19,601.8092,1568.8767,2203.1117,222.5951,4.6525,193.9692,163.2748,75.8012,51.6714,3278.7325,80.1619,10.3858,177.5291,483.7239,113.0223,24.6422,18.3381,45.0024,15.1885,17.223,63.6013,203.2788,116.0651,86.3829,1202.9437,1051.6022,2313.3382,747.5584,705.4184,239.8589,28.993,901.9106,20.4284,60.8148,4.4387,156.4135,62.0509,55.4609,78.403,165.6042,131.9555,12.0543,17.0072,28.6781,0.0
VNM_C20,3263.0226,68.5572,240.4645,89.5328,9.1935,221.7183,1206.8671,158.1744,420.0239,145.002,2656.3364,75.6513,1093.5058,472.7733,114.6669,99.5808,205.7184,162.1668,16.4696,118.3995,68.0934,999.1679,5.2797,41.1443,317.5803,126.1329,17.5293,5.3101,1.1528,2.6069,0.2464,63.9271,10.8079,4.3942,2.3201,21.5655,51.3341,82.3346,36.884,41.6346,23.6535,34.859,22.2743,103.9549,0.0
VNM_C21,205.7014,22.2726,4.5355,0.6191,0.0416,134.0938,3.438,0.747,0.2419,0.0526,2.7379,822.8402,3.874,8.54,0.1857,0.2379,0.0385,0.335,0.0416,0.0173,0.0121,0.6687,0.1085,0.5146,2.6975,17.8426,1.0456,0.0604,0.0303,0.1149,0.0,0.5172,0.1923,2.7751,0.0085,2.8046,0.7767,6.5909,0.3957,4.8619,87.0209,1321.2797,12.3614,2.5979,0.0
VNM_C22,113.3697,18.9163,174.3121,34.7728,0.0851,171.5112,1070.3256,30.841,139.2537,14.0571,118.0946,19.3487,3385.9189,29.9648,7.9212,11.8233,229.9014,932.5606,48.7775,136.7221,105.2289,248.4463,3.433,7.6968,120.4021,133.1897,162.5484,11.7895,0.0944,7.859,0.1158,9.0908,1.262,0.498,3.9783,7.163,3.0118,19.8274,3.8232,15.8809,8.3036,4.644,2.2491,8.0539,0.0
