V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,499.1448,40.7324,0.103,1.1923,0.0049,2373.0049,0.1184,163.8244,0.0447,0.3046,0.4636,2.9221,0.1767,0.3112,0.0439,0.1018,0.546,0.0483,0.2548,0.032,0.0735,1.4968,4.0452,0.3043,69.4047,11.3981,0.3903,0.4211,0.4128,0.249,0.0383,3.8078,0.3017,0.4465,0.8753,0.5866,0.6058,2.0484,0.7089,3.9555,0.4374,9.4645,1.9742,0.3539,0.0
IRL_A03,0.0,56.717,0.0,0.0,0.0,7.1689,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1038,0.0,0.0,0.0,0.0312,0.0,0.1148,0.0,0.0,0.0,0.0091,0.0004,0.0,0.0,0.0006,0.0007,0.0,0.0,0.0001,0.0,0.0128,0.0,0.0,0.0
IRL_B05_06,0.0005,0.0,1.0072,0.4372,0.0024,1.6218,0.1693,0.0424,0.0327,134.4493,0.1359,0.0236,0.0495,2.082,1.083,0.102,2.8729,0.0147,0.0491,0.0038,0.001,0.0308,6.1265,0.0306,1.8327,0.7062,0.1829,0.001,0.0001,0.0302,0.0073,0.1345,0.011,0.0077,0.1231,0.0034,0.0148,0.0405,0.0448,0.2152,0.393,1.6012,0.064,0.3642,0.0
IRL_B07_08,28.8984,0.0162,0.509,35.8719,0.4186,22.7325,0.0382,0.0389,0.2648,1.3328,3.1293,6.0632,0.8623,116.2773,16.8872,0.6884,1.5544,0.3974,0.3784,0.0204,3.1366,43.4123,0.122,0.9917,405.1498,9.7437,1.1417,0.0184,1.1435,0.552,0.1845,2.717,1.5219,0.9226,2.7563,0.7937,0.4137,2.072,0.8797,1.8604,0.1983,0.9776,1.3563,5.9078,0.0
IRL_B09,0.0256,0.0157,0.3906,0.5421,0.0535,0.1091,0.0002,0.0006,0.0053,34.1811,0.084,0.1131,0.0041,0.1755,0.1367,0.0174,0.0045,0.0007,0.0138,0.0001,0.0069,0.0086,0.3258,0.016,1.0537,0.049,0.0196,0.0011,0.0198,0.0164,0.0,0.0023,0.0,0.0,0.001,0.0001,0.028,0.0228,0.0248,0.0229,0.0006,0.008,0.0048,0.0013,0.0
IRL_C10T12,404.5611,4.1928,0.0851,0.8518,0.0956,2563.4512,5.0161,6.7847,5.2979,2.1767,107.1146,146.6075,12.7881,2.899,8.1395,2.2423,31.2665,0.3742,0.9889,1.0737,0.5314,15.6597,22.1067,2.4586,51.7158,142.2721,11.1721,2.2489,40.6278,14.2367,1.2448,499.5139,102.889,3.9499,85.6543,15.6539,4.3138,10.6232,60.4822,70.153,7.2932,40.58,41.3655,60.3213,0.0
IRL_C13T15,0.405,0.2264,0.0045,0.0287,0.0042,0.7054,13.8202,0.1619,0.3335,0.0714,0.3856,1.8062,0.1274,0.135,0.0058,0.0321,1.6233,0.0156,0.0366,0.0204,0.012,12.3398,0.0125,0.0806,8.6181,22.0853,0.2373,0.0101,0.8486,0.2122,0.1802,2.2657,0.6369,0.33,5.1498,0.5396,0.2027,9.2454,4.7598,11.4686,0.0382,3.3523,0.2596,0.7123,0.0
IRL_C16,0.2339,0.0056,0.0055,0.0457,0.0047,3.3693,0.029,10.0517,0.3355,0.433,0.0554,0.437,1.6285,0.9398,0.0441,0.5443,0.5726,0.0509,0.2263,0.042,0.0145,84.2619,0.5505,0.7929,71.078,0.6919,0.1547,0.0186,0.387,0.247,0.048,1.2636,1.0891,0.5097,2.3359,0.7814,0.4439,3.0378,1.6731,0.4345,4.2087,0.4155,0.2492,0.4704,0.0
IRL_C17_18,2.4339,0.0456,0.0097,0.0867,0.0109,60.9775,0.5063,1.1522,86.0418,0.7594,1.3558,7.0966,1.5915,0.6736,0.4549,1.2745,5.7118,0.8909,0.6312,0.3323,0.3022,14.8306,0.3304,1.9531,11.3704,45.28,3.9451,0.4041,3.033,4.179,1.4822,9.2874,340.7008,5.3134,78.0113,42.0318,0.7153,61.1735,16.1489,65.3705,61.8579,24.4926,8.5848,7.9823,0.0
IRL_C19,127.4951,13.3588,0.4861,4.8134,0.7165,62.6744,0.1618,6.1726,2.5022,1010.9051,4.5076,252.0714,25.4747,29.6889,7.8907,96.0925,966.1182,83.3808,331.5769,10.4825,32.2598,243.7027,10.1326,13.1493,252.0202,205.6619,172.9341,11.1737,845.7798,32.2197,13.292,14.8332,44.7226,52.9729,324.0096,49.0414,2.3306,41.9009,85.7536,91.059,43.0106,331.3452,22.684,24.6198,0.0
IRL_C20,789.6578,0.2373,1.0616,12.1399,1.3617,468.7714,30.5356,108.3698,70.0515,15.1807,1626.0872,890.2779,185.6653,41.2534,129.8622,29.2347,330.5768,2.3216,10.2269,16.1777,6.3017,104.7728,298.9006,20.3878,301.1335,171.5229,8.7522,0.1307,310.0312,0.4177,1.3768,9.2145,309.0766,5.9135,25.003,17.1237,9.3536,42.4446,23.1745,90.3372,21.7987,169.6073,6.254,23.127,0.0
IRL_C21,868.8646,0.3936,1.7706,19.9517,1.4476,597.3819,35.0233,114.3667,77.2135,184.4361,1952.1427,2803.2981,202.4814,44.0351,145.7065,32.5798,705.7455,2.9585,73.3095,17.2628,9.6641,471.2765,315.9113,59.62,346.2233,217.7024,10.0539,0.2004,334.0921,1.377,2.4237,30.1528,399.8017,7.8907,69.853,26.226,13.2026,69.0499,30.6879,137.4908,23.8339,690.1741,8.1406,29.1368,0.0
IRL_C22,5.4419,1.4498,0.0136,0.0661,0.0435,34.0169,0.0674,0.2596,0.333,3.4094,1.2294,13.5454,39.0977,0.5176,0.1706,1.3169,12.5243,3.7099,2.4086,1.7882,0.7081,13.8107,0.2305,0.4278,78.2907,26.0085,2.386,0.1474,3.9615,5.3234,0.464,0.6122,1.9535,0.5378,30.7035,1.693,0.1799,0.8329,13.4679,8.6019,0.3012,15.9178,0.4037,1.1286,0.0
IRL_C23,26.8982,0.0689,0.7024,18.484,0.3773,28.524,0.1448,0.214,0.5306,5.2478,2.8351,7.9552,5.9597,198.7595,9.9895,4.7321,6.7052,2.8631,3.1212,0.1159,1.5961,222.454,0.6114,1.8335,853.6955,25.9467,1.9247,0.1057,7.7568,0.6749,0.3929,3.9164,4.1667,5.3758,10.2594,1.9462,1.1598,5.416,3.9043,11.543,0.8088,1.9527,2.4504,9.1454,0.0
IRL_C24,0.1041,0.001,0.3124,0.0011,0.0507,8.1194,0.0669,1.094,0.1523,0.622,0.3035,4.1398,6.8937,3.9008,16.4232,33.1791,17.1721,8.7606,12.966,8.5328,2.1092,57.3366,0.2289,0.5452,18.8084,3.6545,1.0543,0.0056,0.0819,0.0427,0.0271,0.0047,0.1174,1.0799,2.6613,0.1716,0.2043,0.5332,0.4699,7.6556,0.0217,0.0174,0.081,0.0443,0.0
IRL_C25,6.1184,0.4105,2.2568,0.3901,0.4436,41.541,0.6901,4.7314,1.2961,25.9765,2.6154,31.7185,29.8517,6.4834,7.8792,121.6549,83.1205,39.9794,42.0536,10.1207,29.7165,60.2565,3.0311,0.57,417.4231,10.8314,0.2913,0.5761,2.3509,0.3274,0.249,1.6212,2.9089,3.6263,23.1009,5.2776,0.6727,8.5595,49.6008,1.3308,21.4242,2.6806,0.279,0.4354,0.0
IRL_C26,21.7236,9.3979,0.3348,2.9892,0.2992,76.8901,1.0266,0.9962,0.6713,32.7312,9.1977,72.2568,1.865,1.9257,8.2575,5.993,1027.8933,184.6415,37.4095,14.7299,8.4252,497.8333,0.949,2.1087,312.2179,56.6388,11.7357,0.4911,33.8903,6.4537,3.7005,17.668,55.478,210.9003,1319.8289,104.4661,3.0408,48.2625,101.9679,62.9827,70.9963,217.2583,23.1975,12.1411,0.0
