V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,12695.7771,11.9617,10.2563,0.7141,29.138,25689.3756,78.9172,1763.0431,634.4152,25.1484,28.9752,23.4086,104.7783,10.5808,22.8028,12.0367,2.5326,1.9272,3.35,10.5726,5.4075,99.0948,83.1358,4.966,163.6748,235.5364,34.5532,6.9935,8.3529,77.0305,1.896,839.3009,2.6896,4.8364,2.4244,170.55,54.8589,34.6914,58.6815,431.02,131.6084,254.0147,19.4942,25.3402,0.0
RUS_A03,126.274,104.0502,3.886,0.2953,13.7473,1548.2175,1.821,0.9597,1.695,5.757,4.1645,1.0322,1.0432,1.7556,4.3682,4.7606,1.3357,0.825,1.2226,2.2273,1.8879,1.8561,5.0586,0.974,12.3555,31.3147,11.6075,1.5996,3.4198,9.8682,0.1166,235.077,1.4049,1.1498,0.5479,1.0297,2.383,4.3886,3.2703,34.2227,9.4796,24.1466,1.0968,2.3347,0.0
RUS_B05_06,367.685,68.6212,1132.1294,17.4728,1389.3205,162.143,8.9288,27.9568,50.4125,34473.4624,437.9749,11.2798,26.877,144.0491,1794.8494,89.6003,14.6383,13.2911,20.5314,17.3633,50.8613,56.758,16246.0129,62.9996,662.5203,2864.126,1521.8837,50.5693,342.4985,328.1414,12.6066,19.1193,6.3031,24.4601,4.9467,142.3938,94.7203,117.1949,64.2522,294.3948,41.2024,87.7412,23.3602,16.7771,0.0
RUS_B07_08,49.6642,0.8336,200.1837,178.9438,432.5878,35.978,5.8231,7.4135,14.8947,31.9104,454.2694,10.8602,58.7784,912.3296,2846.9597,121.9301,8.1478,16.9662,16.0306,14.8625,13.7599,142.6995,34.487,33.257,1536.9382,55.037,33.7857,1.9452,11.1526,119.462,0.4353,3.8985,1.326,1.8953,0.8389,1.0947,23.3169,14.4186,10.0815,32.8153,5.0316,13.7895,4.3922,13.1654,0.0
RUS_B09,53.2744,11.5784,8318.4814,10.7278,39994.6633,99.319,7.9083,10.2334,13.8929,25060.4816,43.1643,6.1055,16.8399,56.6128,69.8208,37.8342,17.677,10.6794,23.2155,16.9329,34.5939,37.897,123.7773,23.0177,911.1167,322.6557,505.3858,23.2851,74.3896,116.9864,2.5965,22.6076,12.1128,28.1337,11.4893,21.5472,116.7583,445.9571,73.3357,152.862,20.9126,64.2553,25.6665,10.5283,0.0
RUS_C10T12,3846.9888,72.4387,17.7796,1.8628,42.1744,13891.6971,49.4651,12.6437,33.2589,150.1062,115.8074,35.3249,21.9958,23.8408,62.8952,42.4433,14.9371,11.1426,14.3707,14.086,20.8317,18.1068,90.3553,11.7635,115.4924,637.6025,48.2889,5.4152,18.2552,80.5913,1.4719,2853.2001,7.7435,7.4572,5.3268,13.6539,40.5539,52.3434,27.9371,921.1991,328.948,716.5938,18.6016,47.614,0.0
RUS_C13T15,39.2325,25.2026,12.7059,1.4731,72.7176,90.4325,936.1418,3.1189,12.6474,36.0681,62.8241,8.644,83.6753,11.0314,41.5336,17.7784,9.493,3.7275,8.4388,77.5558,32.9651,119.3424,62.0947,9.1393,106.6301,108.878,35.1554,2.0321,2.7126,18.2431,4.9603,38.5855,1.7264,7.4396,0.8191,3.5405,21.4162,49.2184,26.1196,269.6319,43.0079,95.4993,34.5866,64.4574,0.0
RUS_C16,116.3953,0.9466,9.884,0.9482,9.5933,81.8062,1.333,651.4628,137.3928,6.3708,33.5952,8.8671,5.2339,105.5063,34.8092,29.3695,2.552,9.3694,9.0117,14.0729,7.4884,662.0615,23.9898,3.5927,2169.468,70.6283,31.5601,2.3654,2.0828,89.2766,0.4752,2.3477,1.7659,3.1499,0.416,1.0085,708.2846,15.9085,7.1814,32.2527,9.3218,13.7854,10.0344,21.568,0.0
RUS_C17_18,304.6199,64.3538,8.6031,1.3716,17.8315,2106.2041,30.653,207.0119,2924.0127,34.3242,224.1639,124.1201,103.2402,191.0749,38.1814,62.206,22.3045,32.7816,17.2683,25.7823,10.1646,137.3954,74.8502,16.9247,191.7078,1283.9592,37.2593,3.4412,6.7779,58.5596,27.3846,247.5096,801.6086,43.0126,67.9518,378.2718,513.3697,661.1231,121.3429,836.2687,112.8093,183.7063,72.1664,209.5032,0.0
RUS_C19,3245.5795,627.0317,957.5587,141.6716,2698.5732,1104.0506,90.386,255.2119,358.1715,17218.503,4175.2611,108.1685,524.5423,610.102,2931.1478,648.6692,83.7295,127.5895,122.0041,134.9432,300.1693,312.4276,4400.1307,434.1722,5272.7572,3737.7937,7583.6592,451.3326,3101.5092,2493.7361,100.7221,113.2802,41.4491,160.8763,28.4515,197.4655,460.4981,579.0067,449.3682,1838.4143,256.3702,521.5834,123.2291,117.8672,0.0
