V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,4637.6278,13.8626,0.6261,0.8445,0.085,46467.8239,1377.4849,3027.3125,893.5171,13.307,1188.7187,163.044,3288.5834,62.2225,0.0038,76.8109,2.73,0.0416,256.564,0.0015,72.0632,539.8371,1.1002,4.9,3695.2742,192.3129,0.316,66.0245,138.833,0.7994,0.0036,6384.5073,0.119,0.0123,0.0879,9.6137,2.9187,0.2021,6.2351,367.7098,25.944,333.7032,115.0811,205.999,0.0
IDN_A03,1.1104,1107.6747,0.0,0.0,0.0,3636.6775,0.3892,0.4231,0.0,0.0,244.4827,3.3918,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,309.1004,0.0,19.0207,0.0,0.0,0.0,49.8083,0.0,0.0,0.0,3719.1135,0.0,0.0,11.0261,0.0,0.0,10.5119,0.9066,20.0757,51.8534,198.0387,84.7912,16.5958,0.0
IDN_B05_06,0.0678,0.0,1271.7478,24.0436,0.5135,19.7731,100.1604,2.079,243.8061,10052.5402,5433.0982,0.1758,33.9686,2510.8742,291.0223,227.2577,0.299,0.4918,40.8463,2.517,0.2309,45.9139,8479.3211,0.0,0.8675,0.0,0.1463,0.0,0.0,0.0838,0.0,0.5243,0.0236,0.0,0.0,0.0,0.0039,7.709,0.2968,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.0673,0.9534,0.4938,115.9581,116.5636,49.8593,1.1966,14.603,0.148,837.1446,1019.6929,12.156,23.4491,1993.0615,4781.7434,1464.0247,15.9539,2.2407,24.9676,2.0309,16.419,320.5852,0.1129,3.9954,9397.9781,0.2623,0.0,0.0,0.0,0.0096,0.0,0.0227,0.0,0.0,0.6726,0.0,0.0,2.3291,0.0523,3.6289,90.3238,0.0029,0.0005,0.005,0.0
IDN_B09,0.0,0.0,1521.1224,563.9656,21.8404,0.1069,0.006,0.0,0.0,6.3043,35.5186,0.0,3.8805,36.9468,25.4429,3.9893,1.7996,13.0867,0.0,0.0434,0.0253,18.585,13.1733,0.0,166.7586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599,0.0,0.0,110.0694,0.6791,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,3533.743,1134.1579,48.6031,68.5007,2.8157,17085.6412,676.7926,46.4738,29.5084,11.1503,3487.7036,14.8752,4.415,65.5916,2.3462,45.9147,7.6898,5.1355,595.7474,0.0225,0.5269,95.2395,20.1074,64.3063,9.8186,414.8105,276.9398,278.3421,247.7632,133.3028,30.8983,15459.3484,77.7649,18.8221,20.7784,198.9246,149.9327,9.7713,484.5545,356.0553,298.5354,1277.3258,158.9241,8.682,0.0
IDN_C13T15,69.5434,39.1165,4.133,7.9668,1.0842,45.4939,8961.9531,90.0457,42.3614,5.2305,39.2758,10.095,32.5362,27.027,13.7237,35.262,5.3633,55.9244,65.9441,14.6775,44.3413,591.7846,0.7802,9.6576,241.7887,1494.5337,135.3982,33.5516,123.6311,41.6551,54.4285,45.5341,58.2648,6.4574,0.7631,31.2634,48.8477,0.2439,347.0651,204.7441,266.2176,97.5639,17.7007,178.1422,0.0
IDN_C16,15.8968,6.1046,0.0022,25.5302,8.1109,22.6499,3.9368,876.1218,51.2988,26.3162,16.7402,0.0791,6.1291,6.0703,0.7347,52.0606,0.3974,1.3774,3.819,1.9593,96.6526,1489.7538,0.0001,2.3562,5714.4493,646.1106,1.0694,0.0,0.0918,10.6594,0.3263,6.5973,0.2275,0.1501,0.0615,0.0,0.7914,0.0923,6.0202,127.624,0.809,0.3966,0.7351,9.8596,0.0
IDN_C17_18,18.2214,0.7165,4.4464,6.8237,4.17,445.871,51.1624,7.5017,3199.2297,18.1782,113.7191,14.9427,29.0197,90.112,12.078,14.9206,125.1977,37.5734,51.158,1.2938,10.5854,124.9648,5.1376,35.8858,138.9964,3652.1783,215.916,77.3239,154.4666,173.4145,35.7185,23.5986,271.4605,15.6737,1.9971,601.6188,261.9028,43.2406,761.9205,600.414,932.3149,49.1335,1.9613,1.902,0.0
IDN_C19,231.8923,308.916,300.5283,208.5858,59.0055,197.3204,115.3988,61.7129,39.105,929.625,565.1149,14.692,77.7461,496.3195,96.9748,233.0407,16.4466,80.8213,160.2706,18.0309,153.6339,157.673,964.5437,130.0232,5272.0211,8299.3975,4823.0266,1212.39,4045.5399,103.792,122.7202,123.6375,86.6103,57.9612,57.8352,51.8755,325.611,6.1097,730.2686,469.2154,115.685,106.2776,11.4932,93.1827,0.0
