V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,760.5053,1.8055,0.4556,1.2015,0.0188,564.9922,8.7136,188.9755,161.5294,2.525,74.7645,3.9612,77.3362,3.4847,5.8234,4.6513,2.2741,2.324,4.8476,14.4647,0.4085,7.2479,52.2776,4.4754,15.097,159.383,15.4608,0.1408,0.2825,6.5918,0.2655,11.8268,0.6619,0.8049,5.3957,2.1689,10.5668,12.2295,15.7368,4.1702,2.4063,6.9817,1.0776,31.1174,0.0
SVK_A03,0.1297,0.6655,0.434,1.1355,0.0,10.2819,0.0688,0.0126,0.0101,0.0199,0.0268,0.0021,0.0469,0.0473,0.0301,0.0482,0.0264,0.0238,0.0455,0.1014,0.0027,0.0188,0.0526,0.4228,0.0574,0.4228,0.1397,0.0001,0.0002,0.0137,0.0001,1.1109,0.0058,0.0068,0.036,0.014,0.008,0.0493,0.0243,0.0187,0.026,0.0722,0.0241,4.2009,0.0
SVK_B05_06,0.3991,0.0081,0.588,0.5853,0.0047,0.2868,0.064,0.2371,1.9154,7.9769,0.1991,0.0165,0.1742,1.8489,16.6923,0.2773,0.0691,0.1868,0.2976,0.791,0.0113,0.2002,31.0565,0.14,4.6541,0.8263,0.7572,0.003,0.0458,2.5191,0.052,0.0524,0.0474,0.074,0.0618,0.361,0.8479,0.763,0.2843,0.2221,0.1089,0.0631,0.046,0.0708,0.0
SVK_B07_08,1.9625,0.0121,0.382,5.0298,0.1301,0.7217,0.2483,0.3176,1.7412,17.3399,1.272,0.1918,0.9474,26.3048,68.6268,0.4527,0.0804,0.225,0.6732,0.5415,0.027,0.1081,28.6517,0.6316,32.3317,1.8263,1.0181,0.0038,0.0047,9.6142,0.0354,0.0766,0.0497,0.0346,0.0744,0.0521,7.5074,1.4485,1.385,0.3428,0.1734,0.0932,0.058,0.2519,0.0
SVK_B09,4.066,0.0214,5.4748,8.6565,32.8226,0.6111,0.0536,0.147,5.2633,62.1097,0.0952,0.0013,0.1734,5.1496,7.6488,0.4092,0.0002,0.0035,0.7107,0.0604,0.023,0.0325,36.5626,1.0346,13.1163,1.0815,0.9816,0.0,0.0,17.3019,0.1333,0.0034,0.0105,0.0,0.004,0.0055,22.4688,2.4606,0.5206,0.2051,0.3146,0.1932,0.0076,0.1144,0.0
SVK_C10T12,66.4345,1.4526,0.009,0.027,0.0046,329.0482,0.2836,0.5376,0.7645,0.0282,5.1425,6.9499,0.3483,0.2529,0.052,2.1498,0.0111,0.0171,0.0868,0.1222,0.003,0.0772,0.1215,0.1849,0.6831,74.9307,0.8624,0.1539,0.0812,0.1831,0.0202,102.2931,0.7911,0.0658,0.458,0.0383,1.7997,1.3293,1.8623,9.6262,5.375,24.6766,4.3484,3.7932,0.0
SVK_C13T15,0.9479,0.0122,0.0284,0.0855,0.011,2.8581,115.8926,0.3665,7.6266,0.176,0.6274,0.2312,10.3448,1.0538,1.1466,10.3986,0.269,1.1681,7.8525,144.6749,0.6485,11.0052,1.6567,1.1261,4.7672,15.1151,1.6852,0.0078,0.1468,1.0174,0.106,1.2698,0.4883,0.2911,0.4046,2.7994,0.4598,2.589,2.2669,7.4118,1.0123,1.8178,1.0215,0.9058,0.0
SVK_C16,17.1553,0.1006,0.1788,0.4964,0.0136,6.6466,2.4205,203.5838,17.8398,0.8493,7.5532,0.2383,12.8456,10.9108,6.4702,16.4326,1.3517,3.545,11.9001,11.1811,0.5619,127.2906,22.0118,3.4653,84.316,77.1314,4.8629,0.0227,0.1531,2.2843,0.1116,1.5147,0.5509,0.3356,1.7481,0.5421,5.9477,16.1937,11.6138,1.7174,1.2695,2.1262,0.6579,11.0302,0.0
SVK_C17_18,2.2389,0.0215,0.0229,0.1158,0.0156,30.7589,3.9031,2.9965,116.1781,0.4031,5.1552,3.5649,8.0125,3.8806,1.5312,6.715,1.1332,2.649,7.2652,11.1772,0.1,3.922,6.2471,1.2432,2.4598,40.5357,2.8869,0.0279,0.3384,2.4376,0.7954,5.9737,22.232,1.4318,13.8826,4.9678,4.4379,33.361,26.0195,10.7691,7.181,2.7034,3.6478,6.2747,0.0
SVK_C19,39.145,0.0449,0.4038,2.1639,0.547,10.5852,5.4082,4.1614,7.1141,18.3273,57.5178,1.96,56.2926,11.5369,43.0212,7.8637,1.0168,6.209,11.3621,16.4379,1.5317,2.4821,12.6243,11.5771,25.7601,63.2592,297.7176,1.0001,2.9916,32.2345,1.2332,2.7386,1.4376,0.9085,2.7186,1.4812,2.5281,11.3585,14.6598,19.8421,3.9466,5.3879,2.0305,4.1884,0.0
