V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_C20,46.0758,0.0422,0.0849,0.4623,0.0741,7.1456,16.3222,4.2048,22.2323,15.1853,156.1421,6.064,194.1638,8.3853,7.9668,16.5503,7.4496,21.0229,28.8716,59.3599,1.3871,5.1016,9.5446,4.5285,10.1945,19.1561,4.4084,0.0245,0.5676,4.3999,0.1438,0.9897,0.6372,0.9671,0.9706,0.8337,1.1587,6.3515,3.7833,1.7558,2.0336,6.0297,1.1452,0.9593,0.0
SVK_C21,1.0433,0.0033,0.0028,0.038,0.002,0.1776,0.5072,0.2501,0.6843,0.6884,2.9779,0.9384,6.7495,0.3868,0.2066,0.744,0.0864,0.582,0.96,1.7166,0.0318,0.7103,0.5055,0.1409,0.6234,1.3483,0.4673,0.0116,0.0224,0.6179,0.0053,0.144,0.0488,0.0191,0.0942,0.1072,0.0816,0.8726,0.188,0.1307,0.1147,17.7349,0.0695,0.237,0.0
SVK_C22,5.4175,0.0769,0.1081,0.3685,0.0361,48.5695,41.536,1.4617,21.7855,0.7134,19.0113,2.6759,183.9663,8.112,2.1046,28.6451,18.5522,36.545,30.7664,712.2859,0.7582,24.9164,3.3968,4.2216,38.39,44.8917,9.3561,0.0095,0.1562,3.728,0.095,2.0998,1.8879,0.4749,1.2641,1.0004,16.1001,10.6863,4.5959,1.7575,1.7309,2.7245,0.4572,0.8046,0.0
SVK_C23,4.7163,0.0685,0.9352,5.8048,0.1055,28.0444,13.5276,2.5685,1.8536,5.2793,4.9312,2.0053,79.1138,206.6855,59.5606,13.2814,0.9918,15.9062,23.3552,25.1941,0.5823,3.8518,10.0716,2.7413,349.7581,63.7582,13.9556,0.02,0.0622,5.7905,0.2519,3.3226,0.39,0.3553,1.2879,2.0255,10.9242,31.0263,15.6178,2.6467,2.0567,1.6098,0.3848,2.7112,0.0
SVK_C24,0.8356,0.0039,0.0678,0.2613,0.1299,9.2928,4.6016,1.0946,1.8891,0.0044,3.0348,0.546,55.6065,17.6649,743.6544,476.1652,12.1397,74.0759,459.8938,89.2397,21.9831,27.3264,32.012,1.1418,67.429,100.5397,4.2052,0.0436,0.0187,2.9891,0.0018,0.0042,0.1894,0.0046,1.488,0.1338,2.1035,14.2638,1.1796,0.3235,0.6632,0.1462,0.0301,0.0633,0.0
SVK_C25,10.4479,0.1014,0.4183,1.4061,0.2031,18.8894,17.9218,8.9597,10.1545,2.9806,8.8473,1.0497,83.8399,10.8166,43.7464,623.618,7.3493,40.6601,327.6558,1328.5712,35.1134,94.6811,25.1033,24.4611,212.4185,116.3027,21.5497,0.1809,1.3593,6.8144,1.4337,3.7654,1.0338,1.2582,3.1759,1.3326,10.0597,35.2639,16.8656,16.9637,5.5961,4.9181,1.7508,2.3854,0.0
SVK_C26,1.2686,0.0773,0.0671,0.2364,0.0441,2.257,1.0896,0.5288,1.8574,0.6858,19.1892,0.2586,26.7822,1.0236,2.9655,20.5909,574.2651,79.5417,61.3225,108.3354,1.427,17.267,9.3536,1.9005,12.5308,89.7494,5.968,0.0773,3.0311,1.5896,0.2382,2.1232,1.2056,13.128,36.3529,1.8908,2.2262,20.4899,8.3388,10.3906,9.4198,4.784,3.6216,6.2481,0.0
SVK_C27,3.9936,0.0424,0.1424,0.4634,0.0395,10.7831,3.7017,1.6776,2.0329,1.5634,2.6044,0.3942,6.7235,4.1185,4.7114,32.7043,39.8731,296.4848,45.8233,159.9837,1.5687,24.4056,135.638,2.5668,61.7396,49.715,5.6711,0.1257,0.3239,1.3779,0.1952,3.1771,1.212,11.5107,6.384,1.7536,3.2078,19.3934,16.8144,4.5689,2.1073,2.3424,2.394,1.7082,0.0
SVK_C28,11.5418,0.1559,0.5,1.9522,0.172,8.3033,3.2984,3.8625,3.9304,1.8807,2.9496,0.7879,9.9297,4.7112,11.4094,106.1121,4.1985,27.5521,275.0694,97.9551,2.8916,36.0551,9.7115,6.2037,37.3647,61.2382,8.3379,0.2908,0.7795,3.2527,0.4104,4.6946,0.8638,0.8604,4.408,1.5721,3.5459,16.3685,14.6306,8.4235,3.3975,2.9419,1.0116,1.3765,0.0
SVK_C29,6.5605,0.0584,0.1801,0.8057,0.0677,8.6884,4.4325,2.1513,2.3473,1.4755,3.1269,0.9165,19.8705,18.5241,8.2735,25.4764,6.7756,29.1749,43.0194,3692.8688,1.7355,9.0758,16.1967,6.9539,40.5075,129.6613,28.4168,0.0697,0.216,4.3797,0.1985,2.2567,0.6246,1.6381,5.0708,3.5641,5.6973,41.6074,9.9056,7.8172,2.7086,2.121,0.7809,1.7563,0.0
SVK_C30,0.0814,0.0022,0.0482,0.0661,0.0018,0.2568,0.0808,0.0839,0.0449,0.0002,0.2547,0.0207,0.2708,0.3291,0.0503,0.3074,0.0127,0.0262,0.0389,0.0202,14.374,7.7089,0.1564,0.5366,0.7179,5.7137,7.1206,0.0516,1.1507,0.8774,0.4685,0.0037,0.0338,0.3945,0.0145,0.0122,0.0249,0.2116,21.7021,12.1188,0.0218,0.0566,0.0314,0.0266,0.0
SVK_C31T33,27.935,0.3985,1.7599,4.9525,0.3326,39.8739,22.4306,24.522,25.6745,13.5227,18.724,5.5833,34.875,24.094,77.7983,59.4144,7.6423,17.3454,54.9043,86.9134,2.5465,419.1521,66.6749,32.3055,52.735,227.4999,54.5566,1.2404,9.6501,21.8706,2.4264,15.019,3.8523,2.559,14.9783,11.1158,33.5607,74.6901,37.5038,90.6467,16.3448,59.5351,9.2239,11.9452,0.0
SVK_D,96.9621,3.8615,2.6564,13.0692,0.379,71.4311,25.5507,13.8267,52.2005,30.3944,75.2676,9.8944,58.5732,53.0857,194.3336,59.363,3.8743,14.4513,55.3172,85.7393,2.8836,34.8476,4468.8243,41.2667,39.1355,520.6175,68.1722,0.7704,0.7124,19.7106,11.1658,150.4165,25.1296,24.5555,13.3152,42.2062,137.323,846.9154,43.5586,142.7993,140.7518,140.5839,38.657,47.2004,0.0
SVK_E,6.0518,0.0457,0.1441,0.5024,0.0945,29.8748,14.9386,0.9665,7.4086,1.6954,15.0118,4.9917,6.1487,6.3196,23.3514,7.4405,0.7708,2.1468,9.3358,40.0099,1.8731,2.8915,57.7611,170.4124,22.7854,53.8747,8.7049,0.1217,0.1721,13.2592,2.0038,8.0731,4.0592,0.4676,2.7433,1.2401,27.3433,23.0467,9.4878,202.6115,19.637,19.5748,4.1081,8.6092,0.0
SVK_F,28.0326,1.4812,2.6272,13.431,0.3934,34.3964,7.5561,28.0077,7.3189,20.0778,9.783,5.8345,20.3001,62.1936,59.4235,99.5501,6.1585,62.2373,30.5001,60.1619,0.7538,51.435,77.2158,36.94,4689.5515,385.1874,318.7525,0.237,0.6515,164.4157,4.8142,40.5539,16.5326,5.3569,21.17,11.495,247.5342,695.4035,150.2535,190.3242,76.6284,25.3163,19.7351,41.0664,0.0
SVK_G,195.5396,1.9808,1.9378,8.1678,0.5366,371.4033,112.97,67.124,80.6713,86.3747,122.4262,14.5305,233.8003,99.9134,156.0102,245.7615,161.9891,147.3457,250.581,871.8376,15.4984,168.9595,392.317,30.1248,357.216,445.5062,173.3983,1.193,10.341,80.992,7.0783,91.6529,30.1441,37.3175,72.5386,55.7661,55.441,287.1261,140.6171,88.2673,35.4392,95.4237,35.1245,32.3004,0.0
SVK_H49,30.8702,0.3084,3.0374,16.3835,0.3022,101.6668,20.1533,20.9793,38.3682,35.682,41.0534,2.453,65.5348,66.0772,108.5142,71.3373,19.7166,24.2631,73.2854,200.2675,2.9319,28.3166,67.6813,14.6407,103.7052,251.3351,299.5813,0.6446,2.5234,501.4962,44.3683,8.5266,3.7283,3.0421,8.1672,5.6381,14.231,94.2466,60.6361,28.089,11.9311,12.2257,6.3281,10.4833,0.0
SVK_H50,0.0823,0.0037,0.0049,0.0206,0.0033,0.2596,0.0382,0.0514,0.0737,0.3347,0.1249,0.0075,0.2217,0.0873,0.2935,0.1358,0.115,0.1239,0.1825,0.9182,0.0165,0.0695,1.0497,0.0488,0.4166,1.1175,3.7508,0.087,0.1832,4.7177,0.0281,0.0607,0.017,0.021,0.0168,0.0359,0.09,0.1127,0.2531,0.046,0.0152,0.0673,0.01,0.0159,0.0
SVK_H51,0.2978,0.008,0.0047,0.0238,0.0067,0.8262,0.3186,0.0871,0.2281,0.9398,0.2982,0.0202,1.7357,0.2485,0.8137,0.4677,0.5379,0.4659,0.5111,6.4655,0.0231,0.3138,1.2032,0.0544,0.5964,0.6024,0.2794,0.0112,0.0162,0.2626,0.0082,0.1147,0.0077,0.0031,0.0175,0.0213,0.1537,0.1526,0.0715,0.0159,0.018,0.1212,0.01,0.0233,0.0
SVK_H52,10.8217,0.1996,1.0796,4.499,0.2502,44.1171,4.6765,4.8723,14.281,28.7774,21.7474,0.75,28.2177,15.8011,59.1886,20.7937,8.1448,7.3499,23.6186,79.6191,0.9621,6.2888,119.8644,9.848,43.8634,244.0822,782.54,17.284,36.9543,994.9939,9.128,2.7452,2.7626,4.2305,4.1175,7.5305,15.7897,31.0092,64.1046,9.1963,3.6374,4.0599,2.5376,2.6309,0.0
SVK_H53,0.9776,0.0536,0.0563,0.2857,0.0206,3.4596,1.9265,0.59,3.0398,1.1124,1.255,0.2871,1.246,1.4376,1.8771,2.0942,0.4559,0.5475,1.7042,3.6859,0.1339,1.0188,4.5752,3.0204,1.5603,86.5233,10.9739,0.0439,0.2174,9.1172,195.4489,1.2834,4.8945,12.8431,1.1945,39.6765,2.043,8.046,11.1861,38.6813,2.0594,1.5521,1.7288,4.4966,0.0
SVK_I,0.564,0.025,0.0037,0.0105,0.0605,1.2832,0.3023,0.1946,0.2038,0.0597,0.5042,0.4125,0.4983,0.5137,0.2998,4.9136,0.0839,0.5294,2.6476,3.1255,0.1372,1.2845,0.0279,0.5625,6.3798,16.1546,24.1082,0.1142,0.2992,4.3352,0.1065,29.5781,0.278,0.2705,3.7296,2.3505,1.5112,6.3958,94.4585,55.9666,21.3506,18.2897,5.9378,8.6841,0.0
SVK_J58T60,0.7088,0.0131,0.015,0.0753,0.0165,7.1009,0.5378,0.4412,3.9802,0.5373,0.4812,0.4328,1.3195,0.8223,1.0327,1.8137,0.6509,0.6715,1.5847,6.4203,0.087,0.9882,2.0472,0.5197,2.5949,57.8549,2.2958,0.0248,0.1092,0.9199,0.9156,2.0532,63.6592,9.6952,24.8078,8.7057,2.4586,53.0556,15.2896,12.1446,3.2131,2.2121,12.7293,5.6539,0.0
SVK_J61,3.6393,0.0292,0.0597,0.2588,0.0763,7.4627,2.4819,1.4125,3.013,0.1523,1.9356,0.5321,3.122,2.1353,2.1581,3.9498,1.4874,2.4505,3.6999,11.5701,0.2361,3.0208,7.785,4.0866,8.8398,83.7019,12.6271,0.0535,0.1521,5.936,5.8233,8.5033,47.2639,273.8839,44.0859,31.4977,11.4321,22.8364,11.4397,63.3674,10.9788,9.7581,6.7134,8.7458,0.0
SVK_J62_63,8.9769,0.0505,0.0762,0.3785,0.0858,21.9554,3.6149,1.6701,27.7461,2.0095,5.5805,2.5369,12.7525,6.0952,14.9717,19.052,6.1221,6.9494,18.306,104.4443,0.7755,6.9379,36.1734,10.7121,13.5223,310.3762,50.2243,0.1363,0.3235,13.9326,9.7318,8.0392,97.7142,93.1896,691.5849,215.785,16.4585,199.935,76.7344,100.4655,8.3928,11.9925,58.6275,10.8875,0.0
SVK_K,11.1772,0.0988,0.1968,0.7765,0.4831,24.8715,8.2121,7.3112,10.311,42.8634,13.3849,1.2468,31.6087,10.7375,26.2017,28.7085,11.4566,19.3471,34.0861,289.2158,2.289,12.1904,71.1233,7.8367,21.1831,68.2287,18.7876,0.2894,2.1422,10.3344,0.695,4.5323,4.5232,0.967,25.9828,1383.8291,472.4768,24.2089,87.1799,62.4888,14.1423,22.5197,6.5945,17.1221,0.0
SVK_L,87.9309,0.3634,0.3331,2.798,0.1724,30.0923,14.7734,4.9857,14.4174,1.5208,10.5195,2.0406,18.3781,6.8631,4.2503,29.7647,1.2665,4.9691,26.3318,58.0532,0.6618,14.0384,34.317,26.9583,26.0229,944.4725,181.4646,0.9188,0.0781,51.9445,4.1002,105.3242,33.5617,42.6151,64.2236,90.2196,1065.9265,218.2367,300.1319,101.0905,63.0318,62.9875,107.4904,37.5464,0.0
SVK_M,57.9451,0.8145,1.6075,7.2114,1.1024,151.1743,32.8706,14.9006,61.2048,12.3508,43.3625,18.2994,95.4907,55.788,88.1966,104.7206,18.7053,42.5424,138.1754,919.5519,7.6365,101.5757,560.9703,46.9502,409.3903,1370.8983,133.2824,1.0868,4.6662,52.2457,9.9103,77.0711,57.3691,72.8699,183.4147,220.1188,171.8598,1506.9831,384.3499,144.996,61.8476,80.8276,84.361,74.2217,0.0
SVK_N,36.9649,0.2199,0.6485,4.3773,0.5597,95.343,16.763,19.1505,35.9671,11.2296,26.3558,6.4854,68.2987,23.9907,31.4963,86.6327,30.4143,32.4299,80.3037,420.9785,3.7634,28.062,108.5262,31.0299,163.9064,592.4395,162.2011,1.2883,16.3105,111.1884,8.883,40.3317,26.811,60.3445,83.8918,115.7044,115.8132,284.7006,1490.543,104.7333,28.4571,36.6348,126.7871,36.8754,0.0
SVK_O,8.5473,0.0592,0.272,0.8696,0.0458,47.5997,8.9091,1.3794,5.5047,1.1848,1.7926,7.1513,3.1956,1.0101,1.2791,4.5874,0.329,13.7742,2.4933,13.2384,0.2714,1.3115,7.6908,7.7369,9.2705,112.9878,15.205,0.4237,0.7609,5.6093,0.159,5.3341,1.9207,0.4022,16.0246,118.8571,33.9669,162.2531,50.6273,492.6063,24.4053,13.8974,8.4158,5.1554,0.0
SVK_P,2.4355,0.0464,0.0191,0.087,0.0225,2.6322,0.8609,0.6713,1.7855,0.4418,0.9277,0.3393,2.2699,0.7204,1.1792,2.5316,1.4233,1.2853,2.5276,12.9904,0.3027,1.1111,2.6292,1.0075,2.3712,16.4053,5.1711,0.1001,0.5422,5.6744,1.1172,1.0842,1.9936,2.2128,13.184,5.7292,3.4508,11.9699,10.0014,37.7469,119.1287,15.0365,4.0811,17.8732,0.0
SVK_Q,50.6615,0.0521,0.0201,0.0942,0.0164,2.0736,0.6412,0.2889,0.7651,0.3409,0.4649,0.413,2.092,0.7917,0.7571,1.3271,0.3789,0.7182,1.5749,5.1745,0.0785,5.3423,2.0382,0.3878,7.836,24.5543,2.113,0.0095,0.4731,1.0446,0.0932,0.8966,0.3344,0.3885,3.4081,9.8776,3.6229,35.8993,10.9351,4.867,1.9792,498.4545,9.1041,17.0011,0.0
SVK_R,1.0876,0.4155,0.0399,0.2231,0.0115,7.1073,0.5922,0.4,2.1706,0.4518,0.8007,0.387,1.4414,1.2566,1.3594,10.3711,2.8795,0.8961,1.8999,5.5802,0.0931,1.4948,2.3425,0.9515,2.5626,58.7766,9.2975,0.034,0.287,7.4811,0.7922,6.9397,5.3879,3.9363,7.9111,7.2175,262.4734,50.2963,47.4423,16.3481,15.6924,10.17,802.4823,15.4238,0.0
SVK_S,8.4444,0.18,0.2729,1.6853,0.0559,6.5502,2.7697,2.4709,3.3386,0.6959,2.0378,0.3596,2.7803,1.7934,2.0571,9.8565,0.7655,1.203,4.7275,11.4462,0.4264,3.1044,5.9906,4.7806,10.1663,56.0645,16.6857,0.5829,0.5569,4.4349,2.4607,4.283,2.3471,11.246,14.21,13.2065,9.7768,37.0347,13.7026,36.2267,7.739,29.2466,34.1044,75.0448,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
