V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,3429.8478,12.8758,0.5973,2.967,2.4431,22947.3719,417.548,795.058,14.1722,0.0608,112.5297,44.7535,317.6001,50.6336,1.2663,0.9808,14.7855,0.4646,0.2333,2.6077,0.1712,27.2535,1.7773,3.2325,179.3618,889.4072,4.8224,0.2479,0.1492,1.8367,0.3581,331.3052,0.5053,0.0317,0.0947,2.9903,19.1757,2.2106,1.4777,9.8099,24.3704,9.6326,0.9559,1.4584,0.0
MEX_A03,0.1495,27.9851,0.0251,0.0384,0.1449,478.9284,0.9502,0.0548,0.1737,0.0019,0.1638,0.5724,0.0414,0.0243,0.0383,0.0275,0.0222,0.0173,0.0249,0.1353,0.0042,1.2957,0.006,0.0112,0.5738,16.8029,0.0614,0.0095,0.1221,0.0253,0.0248,22.0699,0.0274,0.0263,0.0182,0.0616,0.0714,0.0723,0.0317,0.2599,0.0296,1.4166,0.542,0.0255,0.0
MEX_B05_06,0.0017,0.0001,1436.7047,0.099,76.3273,0.0138,0.004,0.0001,0.0016,14309.5704,4767.6964,1187.1819,0.0065,0.8346,435.7377,0.0128,0.002,3.7393,0.0099,0.0221,0.006,63.766,346.7424,0.0004,0.0658,0.0574,0.0049,0.0009,0.0118,0.0021,0.0023,0.005,0.0025,0.0025,0.0017,0.0053,0.0027,0.0071,0.0028,0.0111,0.0018,0.0014,0.0023,0.0022,0.0
MEX_B07_08,52.7044,23.1428,5.6842,236.621,2.703,308.3861,7.2256,0.0187,16.8689,4.9541,632.5542,14.0753,24.2894,2398.1686,8645.7413,10.043,31.6027,23.4065,18.4071,35.509,2.2396,4.4078,154.5192,1.758,1397.3201,6.3316,1.174,0.021,0.2378,1.6453,0.0528,0.7928,0.0565,0.1062,0.0942,0.1498,0.4268,0.6486,0.958,1.9785,0.1778,1.339,0.3155,0.0808,0.0
MEX_B09,1.8794,0.0981,1003.7062,35.7258,132.6201,17.7382,2.2182,0.1945,2.157,0.2536,5.3492,2.0015,2.7103,3.0418,1.6211,3.661,3.0346,2.3604,2.5483,18.8683,0.5588,2.3525,0.288,0.5687,108.6376,58.3476,7.3338,1.3034,17.6614,3.0706,3.4812,7.4063,3.8078,3.8042,2.609,7.9574,3.8517,9.7627,4.1382,16.6598,2.6736,2.0081,3.4444,3.3388,0.0
MEX_C10T12,3530.4725,50.0717,18.6142,11.319,3.3666,11272.6687,242.2795,1.2587,87.4397,12.5965,167.3567,115.6578,12.4033,16.7426,9.9754,14.4435,7.2371,3.9199,5.6404,22.7815,1.6861,7.2801,2.5973,1.4108,31.2043,235.3646,51.4041,0.4698,8.4902,14.3367,0.9389,2592.0925,6.9244,8.3262,2.4472,64.7206,17.0796,70.0201,56.6372,543.3603,56.6874,123.2931,36.6529,10.3391,0.0
MEX_C13T15,44.9982,7.6904,16.7793,3.059,1.5028,37.2951,2221.9127,2.6807,268.7915,12.3423,30.0982,0.7446,71.0936,11.0839,7.2827,22.8775,43.2405,10.9606,14.229,1607.3616,11.493,277.1039,0.8198,2.4873,32.9962,128.3126,77.3316,13.9283,7.0354,5.4182,2.1743,115.7132,5.4828,2.8384,0.1012,2.1224,28.1375,2.5864,18.3016,93.6727,28.5635,77.6348,3.5326,32.8363,0.0
MEX_C16,34.5141,5.0208,4.4361,36.3145,53.0706,237.8827,54.2593,367.8901,32.4595,0.8432,67.3692,80.7029,35.9844,63.2573,35.0393,108.2713,96.4412,46.5006,30.3735,254.3459,5.2015,637.6653,18.4543,42.435,930.2463,198.6935,0.7217,0.0618,3.593,0.4863,1.1789,5.4849,0.1984,0.2286,0.0754,2.8801,4.062,0.7901,24.588,6.8187,1.0803,1.0081,0.1662,0.3747,0.0
MEX_C17_18,73.3722,0.5996,7.8217,6.2554,96.3592,854.1901,251.2564,32.8283,2845.1512,12.1736,118.1983,103.3852,134.7733,155.2147,20.8408,174.198,396.4933,132.5755,67.529,378.0552,9.7695,338.8162,3.9344,14.9979,40.565,1385.4221,56.7878,3.1998,5.6428,34.1467,12.0367,280.9799,10.3132,12.9605,14.4607,391.3867,255.1968,111.2918,484.1299,589.4542,293.4091,134.6242,26.8203,16.5366,0.0
MEX_C19,512.0032,256.7327,466.2053,476.8621,357.4401,544.827,60.2638,61.3803,91.0379,6446.1159,1216.4766,35.7541,72.4921,234.3827,364.2148,143.7617,47.8165,87.4811,46.3723,180.5922,13.1633,97.6,1716.902,67.9755,1141.9792,1302.3086,7999.2628,68.4158,1669.7421,162.6432,188.4201,104.3251,25.5874,13.3219,4.7609,84.757,112.1504,215.2345,300.9725,678.2161,47.4949,173.2694,14.6287,189.1985,0.0
