V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,5130.4181,3.3229,9.989,9.1712,0.0261,12926.3589,51.5532,1063.5337,236.0161,6.2485,92.4379,42.87,158.4169,18.5093,8.358,19.3826,2.8191,10.2026,26.34,16.846,4.7985,141.2062,238.8359,8.4523,80.6635,977.3943,66.2013,0.5592,1.9673,6.7744,0.6751,109.6006,2.981,3.2902,4.086,7.6117,29.9642,18.0701,293.5475,34.308,11.6665,60.7738,5.2959,52.7366,0.0
POL_A03,0.7968,1.7569,0.0156,0.0591,0.0011,114.2676,0.123,0.0816,0.0906,0.0371,0.1847,0.0263,0.1345,0.0688,0.0505,0.076,0.0541,0.0678,0.0483,0.1149,0.0198,0.1648,0.0637,0.0329,0.2661,9.3123,0.826,0.0035,0.0199,0.0577,0.0055,6.8369,0.0258,0.0333,0.0232,0.0519,0.1103,0.2734,0.1324,0.0594,0.1151,0.5483,0.0442,0.1622,0.0
POL_B05_06,142.3897,0.0875,151.9445,84.0749,1.7435,96.7409,5.3549,8.6686,50.2208,765.641,145.054,2.1352,26.6502,85.1551,568.4807,15.1474,2.7893,6.0085,7.4806,7.7024,2.7677,11.81,2269.8531,47.4516,137.255,47.5451,22.3841,0.1501,0.5836,16.2403,2.49,11.1341,2.5114,8.1555,9.7902,10.6052,80.6509,23.1967,33.815,15.9868,9.0417,13.1871,5.5206,5.0436,0.0
POL_B07_08,31.1759,0.0041,296.0776,185.9755,0.0,4.8429,0.7486,0.4659,2.1971,1363.683,360.8963,1.0474,23.0842,603.9081,802.8982,54.546,45.2974,49.8655,19.9172,12.9605,1.27,4.9334,434.9137,10.2856,792.2952,25.2416,23.8318,0.0,0.0,4.0435,0.4948,0.6774,0.0192,0.0,0.1092,8.3619,7.7095,19.7336,32.5385,19.128,4.4852,1.0534,1.2582,7.6228,0.0
POL_B09,0.0,0.0,164.1183,63.4104,65.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.5767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,3175.4247,6.3017,9.8243,13.9578,0.9408,11847.4148,54.002,44.17,68.6774,71.7786,177.9014,19.4929,134.8534,52.408,50.2553,86.9861,27.4505,51.5232,46.912,69.8888,13.0426,156.7834,52.4714,35.2763,245.5164,2368.2427,102.8385,2.5933,10.3359,46.0072,4.1393,2474.9998,10.6246,22.2564,21.6542,99.5498,97.1844,63.5713,114.157,84.7622,145.4525,264.4174,32.2724,204.6458,0.0
POL_C13T15,15.2429,0.1249,5.4066,4.2451,0.0344,50.919,771.672,11.2856,52.1407,4.9773,15.2605,3.4891,132.366,17.2492,11.3359,20.1323,4.752,15.1618,14.4559,243.2029,8.9716,266.4204,7.1143,6.3234,67.7687,154.0427,51.156,0.3813,1.6576,18.1113,2.3387,15.3721,5.6808,3.0249,2.4018,11.1484,9.8739,10.9844,22.9993,41.0792,7.4533,26.0208,16.5732,14.8786,0.0
POL_C16,113.6671,0.0617,17.1631,6.2831,0.0659,57.2216,16.8518,1692.818,104.322,7.0503,32.4801,3.396,71.7383,87.2776,15.9145,128.5589,20.8064,73.023,33.7849,68.4601,34.7348,1795.2474,16.6507,16.8015,1126.7832,346.9085,148.7904,0.8089,2.3404,53.7443,4.1397,12.2456,5.7882,4.7046,3.3131,12.7683,125.9445,15.7148,25.4116,26.5476,12.019,23.7845,10.6208,74.5408,0.0
POL_C17_18,37.2116,0.1141,4.4968,6.3118,0.053,740.0693,66.4418,211.2286,2916.074,15.5271,136.5529,80.048,199.4239,190.3305,26.5155,71.9984,13.6688,75.4289,37.9348,80.1916,11.9593,284.5654,19.6773,43.7605,154.0466,1148.3375,83.2077,0.8996,3.8183,81.7908,13.2402,57.2706,495.7555,33.424,39.8167,533.1699,88.6309,371.0707,261.7831,132.1867,258.5318,66.5842,95.6556,120.0075,0.0
POL_C19,601.5133,5.7022,14.4741,41.318,1.8188,253.3946,45.4366,65.9233,69.2202,406.9146,324.5505,27.2638,258.599,168.0996,225.8721,90.4637,21.3356,57.9104,41.4723,64.375,16.1661,124.4495,66.1781,123.3579,644.8131,768.7023,4045.3609,19.0166,128.938,417.2493,39.3433,65.7812,12.3528,20.5396,15.7047,269.6932,114.1269,66.2912,124.1483,112.5553,41.347,113.0334,22.8426,40.852,0.0
POL_C20,690.7572,0.2879,16.3633,22.9725,0.3222,251.0248,135.27,130.6494,222.5092,168.3561,1385.2199,33.7342,1285.937,206.9432,66.5862,175.5974,43.7844,152.934,67.2206,226.8459,29.541,232.4047,22.8216,45.0224,417.3316,345.6079,118.1055,1.2602,5.5991,36.9602,2.8099,43.2923,17.2545,8.9273,6.3996,29.7512,119.1508,71.1189,76.7956,22.5104,21.2589,238.0566,13.8411,47.2072,0.0
POL_C21,27.5342,0.0718,1.0243,1.2015,0.0537,62.9257,7.4258,5.3443,6.0454,6.3931,19.7253,186.0352,22.5475,7.3405,5.1358,9.9555,3.691,6.2823,4.1832,15.6654,1.6823,13.6688,4.2362,1.9552,27.9938,32.1188,9.3878,0.173,0.6301,3.2197,0.6376,11.1089,2.412,3.7242,8.5453,6.3846,5.337,29.3689,4.4404,15.7874,5.5974,229.1424,2.5228,3.2144,0.0
POL_C22,78.0881,0.1565,35.5914,28.311,0.1396,451.4057,142.2287,94.5544,201.1583,23.7998,263.64,46.039,2691.6424,121.8182,61.0253,266.1017,246.3625,536.9741,209.7758,1159.1494,40.2486,579.2781,33.528,93.4927,3179.2213,916.1836,382.0768,0.9844,4.5343,127.8402,11.9659,18.5658,92.1612,22.3789,11.282,111.9858,53.5212,62.942,95.0081,62.1823,23.7445,52.5148,14.2456,43.2171,0.0
POL_C23,114.4011,0.2136,14.5926,37.5521,0.0746,228.2301,33.4361,127.9135,37.1848,26.8875,102.4315,14.9538,390.0063,1439.8979,116.8273,257.6952,45.7542,184.9222,84.1193,175.8176,30.6773,248.1206,43.5599,78.4678,3650.3939,510.5358,154.8942,0.8601,3.3216,31.8341,2.3741,30.8849,4.626,19.3485,7.3392,45.1069,177.6851,92.2419,48.206,32.0554,25.778,64.9102,9.6623,83.8904,0.0
POL_C24,7.1376,0.0246,19.096,181.2045,0.0,32.6256,12.3614,23.9449,9.1971,8.655,12.878,0.9448,77.4132,50.95,1505.369,2353.6459,139.66,457.5655,504.6249,814.0855,139.3598,229.5959,12.2181,248.4793,424.1249,166.287,61.8049,0.8393,1.6305,7.0989,0.7092,0.2623,1.1067,3.7926,1.6637,0.9915,10.4192,27.6319,16.088,9.2469,1.7316,2.8332,0.4816,10.7658,0.0
POL_C25,227.2808,0.5772,102.2845,56.7023,0.1076,339.7327,27.4419,168.1362,56.062,25.8604,88.3616,10.6244,286.7799,100.2291,407.0231,3267.3267,102.5062,528.8542,992.0318,3013.0213,242.3769,749.8082,124.1682,80.2983,3062.7096,625.4167,201.5114,3.0503,15.5843,52.5222,3.9395,22.1143,11.5994,21.6525,24.106,24.52,215.7709,128.5247,68.3093,237.7859,25.9606,57.9129,18.5385,49.0289,0.0
POL_C26,12.3867,0.1236,4.8052,4.6417,0.0199,17.3828,3.4239,5.3432,10.0465,6.6622,12.9376,2.4107,17.0995,8.3002,13.6955,33.5389,1014.0455,137.8767,41.3463,85.5236,7.772,51.0341,34.0182,4.5765,85.0134,90.5576,32.721,1.0776,4.9707,11.5183,1.435,3.4889,7.842,226.7951,94.6945,18.4077,9.2472,35.6068,17.5134,23.1048,12.7309,47.3935,6.6954,23.221,0.0
POL_C27,32.2121,0.3866,18.0942,13.6181,0.0621,42.0293,6.9097,12.8001,13.5647,16.683,14.3965,3.6544,39.4244,26.8535,76.0453,103.6428,386.7742,762.4702,202.8538,293.9791,29.8676,98.581,119.9559,16.0252,418.3967,198.6308,142.16,2.5808,10.2187,20.6767,1.7709,8.894,4.0754,39.1312,22.7056,16.2004,29.6853,37.332,21.9291,44.4975,21.8318,49.6717,7.0657,41.9019,0.0
POL_C28,126.394,0.6452,43.5394,41.8445,0.0722,89.6422,23.8054,26.0584,40.3717,30.4432,32.5653,6.5691,45.3929,30.0658,60.7847,262.2819,48.4307,141.2118,323.0113,425.2954,65.3965,237.7365,84.1605,26.6054,343.8544,187.6319,68.0434,2.8598,15.2566,25.1062,1.7347,13.3202,8.4318,14.2124,17.7489,16.26,37.6267,42.6706,40.8114,29.4507,8.8226,20.0617,11.9454,10.1872,0.0
POL_C29,58.6112,0.3522,13.0849,21.2609,0.0981,84.0288,19.4487,24.3798,22.7709,9.979,30.8278,6.7775,195.9877,32.592,25.8532,140.8571,45.1586,105.966,133.2771,5534.9315,40.8116,394.1236,31.26,41.8352,312.84,460.6814,1541.5887,1.4041,6.766,106.5237,9.7561,12.7808,9.3608,22.7362,25.2397,62.0202,27.5587,49.0911,56.7624,33.7519,17.8762,43.6201,11.7119,19.472,0.0
POL_C30,9.933,0.3585,9.466,4.6223,0.0,0.6012,0.0,0.1206,0.2683,0.2031,0.1091,0.3184,4.1688,0.1582,0.9553,4.4119,1.0269,1.7065,1.6834,12.1856,544.4273,66.9074,1.8873,2.5981,2.437,2.6561,430.2555,14.5427,66.7245,15.06,2.3161,2.684,0.1111,0.1612,0.4936,0.0,0.2505,0.9118,1.1662,69.206,0.5362,0.5522,0.7176,0.0411,0.0
