V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,13219.3651,0.0,0.8964,4.2798,0.0206,25900.9265,159.2429,5605.614,555.0803,0.0,109.8709,0.0,174.4688,0.0,0.0,0.0,0.0,0.0,5.2513,0.0,0.0,7.1391,211.0885,8.4844,2818.3043,6.674,0.0,0.0,0.0,0.0,0.0,963.5107,32.341,0.0,0.0,17.0381,0.0,18.4411,13.9508,1581.6672,109.6733,14.8951,133.5203,97.8907,0.0
FRA_A03,0.3669,35.3905,0.0,0.0,0.0,722.224,5.0742,0.0,0.0,0.0,3.3951,4.16,4.8127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1724,10.2258,1.8676,54.4877,0.0,0.0,17.6766,0.0,0.0,0.0,411.0665,2.8267,0.3667,0.0,0.0,0.0,0.7813,1.0451,0.3723,0.0,55.1806,3.9759,11.7394,0.0
FRA_B05_06,0.2499,0.0097,0.1726,0.0136,0.0129,1.6564,0.0849,0.0021,0.0924,133.3229,4.8936,0.0785,0.0096,0.0441,6.1115,0.0153,0.0079,0.0062,0.0142,0.0919,0.0764,0.134,101.3877,0.0811,0.254,1.0221,0.6406,0.179,0.4053,0.1035,0.0109,0.3417,0.0459,0.0633,0.0501,0.038,0.0185,0.224,0.2858,11.4646,1.4983,0.1178,0.0627,0.0797,0.0
FRA_B07_08,184.3823,35.23,0.0,28.7004,0.5878,211.5327,10.4154,1.0899,69.0415,4.2903,589.9304,9.7029,30.0329,692.7207,846.48,70.427,13.6845,13.6694,15.8877,9.3285,10.2807,25.3465,19.5826,16.3561,966.1115,28.5578,0.6742,0.4052,1.4664,1.3051,0.7558,43.9887,0.8708,3.4139,1.5853,8.8339,0.2875,24.5148,19.9652,0.0,0.0,11.5804,2.8787,7.5161,0.0
FRA_B09,0.6098,0.0783,0.1344,4.4973,0.2241,1.0256,0.024,0.0055,0.518,25.7279,2.8253,0.0757,0.1754,4.3296,7.4043,0.8093,0.0139,0.0235,0.2103,0.0169,0.1152,0.2448,14.4776,0.5458,28.1121,0.7966,1.412,0.0709,0.0777,0.5118,0.001,0.0739,0.0029,0.0,0.0026,0.001,1.4261,1.2926,0.5264,0.6348,0.0389,0.2498,0.0782,0.0344,0.0
FRA_C10T12,4675.0144,59.0774,0.9033,21.1055,0.0231,21415.8474,262.3466,7.5404,93.407,38.1374,1530.6061,296.5443,59.6254,33.4473,68.1647,66.6156,37.8401,30.5945,51.2788,85.9555,14.524,144.8807,38.0467,102.8529,311.0424,2070.862,64.9742,79.3505,200.2017,119.5558,33.5938,17632.8769,360.1042,200.2973,195.3621,62.0417,108.2097,1667.3031,929.9127,441.6307,2303.2306,2600.8224,1174.4209,205.0842,0.0
FRA_C13T15,53.5465,2.4409,0.1869,0.7512,0.0282,178.5753,3331.9504,10.7994,264.2195,8.2626,73.6898,37.2752,72.9094,14.9469,22.6419,35.8894,54.1905,28.0898,66.1628,259.6074,67.6032,263.4474,11.3719,28.5263,257.9052,894.804,9.9584,33.4408,10.3592,30.176,6.6776,148.6133,316.7058,63.1531,7.8882,19.4195,40.6947,124.2749,129.0856,70.7797,54.0447,228.9217,103.1758,76.0772,0.0
FRA_C16,480.2836,28.2233,0.0,30.1995,0.0375,332.488,9.7025,526.4808,222.7174,1.0937,53.7611,53.2018,68.036,246.3237,72.9877,103.7554,47.4743,31.7072,77.6265,430.6668,121.7896,844.6221,2.5054,82.8429,3600.1717,330.35,3.4049,15.6485,4.0576,82.4089,1.0112,60.6011,241.4431,98.2171,13.4881,6.0135,206.9943,37.1203,156.9917,6.1608,35.0002,32.1837,117.1539,87.1853,0.0
FRA_C17_18,102.4637,7.5832,0.0,16.9195,0.0417,1041.1548,126.0047,12.766,2755.4945,15.0791,401.045,318.6599,193.4144,129.8464,19.3237,53.122,90.6313,72.5251,67.9734,71.2984,36.7019,175.0808,22.4231,174.0648,265.7668,1793.4128,29.5547,28.3159,7.0997,138.715,7.8075,122.2561,3490.1555,302.4608,226.8296,1327.2895,247.0966,2586.6378,1047.719,818.0302,553.164,395.0286,542.6506,283.9421,0.0
FRA_C19,1120.7728,43.6342,0.4005,61.2628,1.357,365.7904,44.1549,9.2557,83.9765,843.8354,2363.4454,35.1316,42.9595,167.0449,142.9934,68.6725,35.5766,27.8582,64.0104,108.836,10.7864,110.1726,296.946,195.4084,1088.0709,2495.0384,2855.4112,790.9142,1771.7977,422.3522,22.4418,84.4042,177.5357,172.9328,173.0772,170.543,73.2617,783.3943,630.4606,390.213,110.5001,121.5956,182.9998,101.6726,0.0
