V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,40.2695,0.0,0.0009,0.0,0.0,288.5444,1.0479,2.1978,0.0,0.0001,0.0,0.0,0.3972,0.0,0.2577,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396,1.246,0.0,0.0,0.0,0.0
ISL_A03,0.0,25.5406,0.0,0.0,0.0,588.2245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0074,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.0174,0.1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,3.5685,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0315,5.5064,0.006,2.4627,0.0,0.0,0.0,0.0168,0.0822,0.0896,0.0,4.4219,11.7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0731,0.0,1.3159,24.8657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0005,0.0053,0.0018,0.0042,0.0001,0.0023,0.0,0.0,0.0001,0.0004,0.0004,0.0,0.0,0.0063,0.0791,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0261,0.0008,0.0564,0.0007,0.0008,0.0003,0.001,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0019,0.0011,0.0001,0.0006,0.0001,0.0004,0.0003,0.0001,0.0
ISL_C10T12,72.1188,17.6146,0.0037,0.2227,0.0001,373.3421,0.5919,0.2014,0.5734,0.002,0.3643,0.3937,0.338,1.5968,7.1113,1.2692,0.133,0.7901,1.4699,0.0397,0.0627,1.6079,3.7729,0.8084,19.3324,14.2706,2.0384,3.3588,15.7323,2.5186,0.5159,231.3068,2.4293,2.6455,3.3284,5.3749,11.177,9.8874,7.688,9.2609,7.6799,22.0085,2.5199,3.3173,0.0
ISL_C13T15,0.4276,18.8263,0.001,0.0058,0.0,0.8348,5.902,0.0009,0.0026,0.0001,0.0017,0.0018,0.0251,0.0793,0.6735,0.0498,0.0006,0.0036,0.0164,0.0167,0.0222,2.1845,0.0158,0.0253,0.6677,0.0497,0.0081,0.0145,0.0659,0.0104,0.0021,4.0166,0.0077,0.0109,0.0002,0.1245,0.0001,0.0253,0.2546,0.187,0.0,1.3356,0.448,0.0781,0.0
ISL_C16,0.0,0.0,0.0005,0.0,0.0,0.008,0.0,1.4505,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.049,0.0,0.0,0.0162,0.0077,5.2955,0.0,0.0439,20.8368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021,0.0,0.0,0.0414,0.0
ISL_C17_18,0.1419,0.0555,0.0011,0.0009,0.0,1.4062,0.015,0.0106,10.3586,0.0003,0.0415,0.0469,0.0068,0.0101,0.0153,0.1099,0.0087,0.0341,0.0254,0.0016,0.0014,0.1822,0.2763,0.1145,0.1483,3.7089,0.1263,0.1783,0.5483,0.1338,0.3087,0.6318,11.3122,0.2136,1.4543,3.0379,6.5914,1.5498,2.1254,8.8587,56.2733,0.3535,5.3006,0.7146,0.0
ISL_C19,0.0432,0.3905,0.0008,0.0201,0.0001,0.001,0.0,0.0,0.0,0.0022,0.0026,0.0,0.0,0.0118,0.1058,0.0068,0.0003,0.0028,0.0103,0.0004,0.0003,0.0162,0.0484,0.0755,0.0674,0.1092,0.2373,0.4855,1.4848,0.0811,0.0141,0.0255,0.0094,0.0309,0.0036,0.0069,0.0067,0.0136,0.1283,0.0316,0.0032,0.021,0.0011,0.0128,0.0
