V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_J61,12.8316,0.0386,0,1.4922,0.406,13.0544,0.6764,0.4183,0.5971,0.0349,0.7506,0.1465,0.7497,0.217,0.0931,0.3613,0.0,0.0,0.0193,0.1118,0.1737,0.107,1.1178,1.1371,7.6513,26.0078,13.8779,1.8548,2.8771,5.1546,0.3592,14.6703,2.3,16.6561,2.3684,5.7101,42.8718,2.9792,2.4346,6.432,3.4531,1.3318,0.795,1.2787,0
KHM_J62_63,2.6637,0.0048,0,0.2605,0.0519,5.8614,1.1599,0.0551,0.2904,0.2282,0.0728,0.0145,0.2518,0.1384,0.0552,0.1484,0.0,0.0,0.0093,0.0452,0.0761,0.0955,0.4923,1.5314,2.9703,13.6412,2.8605,0.4902,1.4456,1.4166,1.3235,8.6558,2.7939,15.0101,7.8301,4.7404,10.695,3.0344,1.1884,11.4167,2.791,0.5764,1.3897,1.56,0
KHM_K,1.0228,0.0041,0,0.8808,0.1263,11.2296,2.4558,0.1215,0.1301,0.4563,2.5659,0.3737,0.2912,0.087,0.1771,0.4216,0.0006,0.0011,0.1289,0.0304,0.0339,0.3366,2.1799,0.9511,5.9052,24.1682,6.3447,1.4294,1.6921,2.0965,0.1853,6.0039,0.4094,1.1145,0.4544,11.6954,59.2666,1.0602,0.908,1.5152,1.8647,0.873,0.4091,0.7678,0
KHM_L,0.026,0.0,0,0.0329,0.0075,0.1912,0.0135,0.0556,0.0027,0.0153,0.0029,0.0006,0.0079,0.0028,0.001,0.004,0.0,0.0,0.0001,0.0011,0.0015,0.0029,0.0101,0.0068,0.0211,0.4061,0.1487,0.0165,0.027,0.0874,0.0048,0.2606,0.0069,0.0403,0.0481,0.0772,0.9258,0.1245,0.0534,0.2302,0.1034,0.0199,0.0047,0.007,0
KHM_M,8.0183,0.0152,0,0.5971,0.1616,10.9739,1.4706,0.1097,0.5303,0.4592,0.2196,0.0749,0.5876,0.2842,0.1043,0.2727,0.0,0.0001,0.022,0.1232,0.1677,0.1588,0.7975,3.6411,8.9126,27.0175,4.3485,0.8569,1.381,1.8526,1.0587,14.7632,3.5272,11.4183,3.9078,3.9747,47.2221,16.5768,2.9189,13.6837,3.4065,1.4183,2.7166,4.084,0
KHM_N,4.9054,0.009,0,0.2363,0.0496,6.4103,1.1018,0.0976,0.297,0.1714,0.1019,0.0234,0.3879,0.1828,0.1077,0.347,0.0,0.0001,0.0097,0.0527,0.0764,0.1378,1.0163,2.4178,4.9846,17.2028,5.0924,1.6013,3.2,1.8513,1.4901,19.2274,1.9568,8.469,2.9444,2.7995,31.5592,6.2146,5.916,7.2718,2.5346,1.1719,1.9817,1.951,0
KHM_O,0.9996,0.0012,0,0.434,0.0815,1.4142,0.0594,0.0057,0.0437,0.0026,0.0144,0.0034,0.0172,0.014,0.0187,0.0374,0.0,0.0,0.0,0.001,0.0019,0.1389,1.6406,0.4768,0.0909,1.368,1.129,0.1888,0.2861,0.3622,0.0298,2.4112,0.2214,0.1523,0.608,0.0428,3.8727,1.8474,0.5616,0.2867,1.4709,1.5298,0.1759,0.2507,0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407,0.0017,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1151,0.0001,0.1752,0.0,0.0001,0.3073,0.0607,0.0,0.2793,0.6903,0.1434,0.2911,0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0001,0.001,0.0,0.0,0.0041,0.0011,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.1565,0.0,0.0099,0.0007,0.0001,0.0001,0.0003,0.0,0.0,0.0748,0.0,0.209,0.0,0.0,0.585,0.2196,0.0,1.6208,0.81,0.2058,0.363,0
KHM_R,2.4462,0.0138,0,0.1139,0.0203,2.7591,0.0885,0.0078,0.0345,0.0123,0.0213,0.0053,0.0422,0.0741,0.0135,0.0335,0.0,0.0,0.0106,0.0276,0.0355,0.0124,0.5738,0.2467,0.7839,0.5249,1.5327,1.095,0.6251,0.9653,0.4476,2.3706,1.3188,2.161,0.2077,0.2485,2.6654,0.6721,1.3435,1.2906,1.1555,0.2484,4.2138,0.6515,0
KHM_S,5.5695,0.0859,0,0.289,0.0748,5.0981,0.286,0.0356,0.0765,0.0491,0.0678,0.013,0.1017,0.2957,0.0376,0.1015,0.0,0.0001,0.0305,0.0777,0.1135,0.1743,3.4837,2.0289,2.5221,2.3247,5.6133,0.9365,1.6791,1.9567,1.0591,8.1147,0.977,3.875,0.4,1.2114,7.091,1.4569,1.2223,3.3252,1.5584,0.9062,1.0387,3.6897,0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
