V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,2.8978,0.0,0.9742,0.3908,0.1227,1.165,0.0491,0.0047,0.002,0.1954,0.0007,0.0,0.0112,0.0002,0.0,0.2079,0.719,0.0001,0.4448,0,0.4348,0.4176,0.0004,0.1002,5.0296,0.493,0.0499,0.0027,0.0224,0.0001,0.0,4.2793,0.0023,0.0975,0.0337,0.1008,0.0113,0.1353,0.1394,54.7365,8.4401,4.8983,0.0055,0.0049,0.0
BRN_A03,0.0333,0.0,0.0154,0.0088,0.0021,0.0257,0.0017,0.0,0.0001,0.0052,0.0,0.0,0.0003,0.0,0.0,0.0056,0.0,0.0011,0.0119,0,0.0122,0.0107,0.0007,0.0023,0.0,0.0051,0.0013,0.0001,0.0006,0.0,0.0,0.1808,0.0001,0.0026,0.0009,0.0027,0.0003,0.0033,0.0026,2.4573,0.2255,0.1309,0.0002,0.0001,0.0
BRN_B05_06,0.0001,0.1431,444.697,56.9713,17.1124,0.1313,0.5552,0.0268,0.0,846.7908,18.469,0.0022,0.1945,0.0025,0.0,0.0,0.3635,0.0368,0.4723,0,0.5747,0.3611,5.0119,0.2142,9.553,4.6707,0.1066,0.0,0.534,0.5393,0.4189,0.1904,0.0367,0.399,0.1844,0.0621,0.6078,0.744,0.2242,0.0,0.0,0.6875,0.0396,0.0384,0.0
BRN_B07_08,0.4957,0.0,264.9824,223.2811,24.952,0.3112,1.6807,1.4707,9.9648,0.0268,21.2508,0.0197,0.5256,38.9267,12.6681,11.3942,0.0,9.2911,1.2759,0,1.0883,1.1563,6.7838,1.0305,468.2024,63.1123,6.0495,126.2788,3.1568,0.22,0.0,18.2083,0.9524,92.1922,5.9117,172.0079,33.4016,27.6879,7.9103,259.9331,48.0162,6.7022,0.2974,0.3051,0.0
BRN_B09,0.0039,0.0023,14.026,1.7228,0.7494,0.009,0.0157,0.0169,0.0082,13.8895,0.3077,0.0,0.0042,0.0001,0.0,0.1258,0.0058,0.0011,0.0104,0,0.0127,0.0093,0.0821,0.0098,0.9542,0.9061,0.0723,0.0008,0.0341,0.0092,0.0067,0.019,0.0052,0.0362,0.0375,1.5037,0.3785,0.143,0.0441,3.0524,0.5725,0.0345,0.0148,0.003,0.0
BRN_C10T12,2.434,0.0701,1.1047,0.5398,0.0836,2.7997,0.1397,0.0067,0.0061,0.7786,0.0032,0.0,0.028,0.0004,0.0,0.0483,0.0,0.0168,0.0863,0,0.0957,0.0656,0.7858,0.0686,2.398,2.9241,0.0146,0.0309,0.1555,0.4552,0.0,5.5859,0.057,0.1566,0.2111,0.6128,0.2258,0.7237,0.2232,9.792,3.0975,1.0985,0.0457,0.0465,0.0
BRN_C13T15,0.0277,0.0,1.6679,0.6374,0.1458,0.1545,3.7105,0.0005,0.0004,0.8198,0.0031,0.0,0.0055,0.0001,0.0,0.185,0.0,0.0584,0.2969,0,0.4136,0.2689,0.0241,0.0472,14.1961,2.2879,0.0009,0.0575,0.3451,0.0,1.0234,0.1007,0.0084,0.1584,0.1498,0.5296,0.0022,0.4151,0.2362,1.6124,2.2899,0.6256,0.0041,0.0057,0.0
BRN_C16,0.0009,0.0,0.1351,0.106,0.0197,0.0024,0.0073,0.0026,0.0024,0.0061,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0003,0.0018,0,0.0022,0.0017,0.0077,0.0053,0.1714,0.158,0.0008,0.0001,0.0035,0.019,0.0405,0.0021,0.0033,0.0,0.0152,0.064,0.0025,0.0742,0.0317,0.1093,0.1062,0.0129,0.0027,0.0037,0.0
BRN_C17_18,0.0045,0.0002,0.9117,0.3873,0.0674,0.0074,0.0328,0.0085,0.0127,0.0263,0.0001,0.0,0.0025,0.0,0.0,0.0034,0.0037,0.0007,0.006,0,0.0078,0.0043,0.0148,0.0177,0.5773,0.5356,0.003,0.0007,0.0136,0.002,0.0001,0.0155,0.0193,0.1333,0.0638,0.2021,0.0086,0.2461,0.122,0.3726,0.3542,0.0447,0.0091,0.0096,0.0
BRN_C19,15.4772,1.0814,723.8777,430.3798,46.907,3.3311,5.4324,0.5538,0.4641,282.5387,3.3556,0.0021,1.2547,0.0172,0.0,1.0267,3.5401,0.0,2.3601,0,5.4568,1.9633,89.3755,3.8726,144.3842,126.2474,24.4424,12.8467,94.3673,18.0997,0.0022,5.7833,1.4071,5.2044,9.7579,16.2468,2.4983,34.5343,31.8009,307.257,22.492,17.0393,0.8395,0.8756,0.0
