V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,7208.7236,73.0963,11.1034,13.6664,1.2266,60682.8996,1386.0742,610.9514,1203.3404,18.2037,5340.7842,10.0729,473.6005,31.9237,236.0526,4.168,0.8694,0.5014,1.595,20.2406,1.0212,42.4062,17.5605,29.1298,461.3239,2852.5693,1.8148,0.109,0.2261,5.1976,1.1729,1855.6311,258.3409,15.0503,3.7047,6.5555,13.0576,10.7516,39.5702,471.6892,190.4879,223.8329,30.8363,391.0431,0.0
BRA_A03,48.6811,127.422,0.0082,0.4145,0.0009,836.0804,0.0,3.0825,13.9793,0.0,0.0,0.0,0.0,0.0,0.1936,0.0,0.0,0.0,0.0,0.0,0.0,5.6168,0.2224,0.0389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.1593,3.6181,0.0,0.0,0.0,0.0,0.0,0.0,32.6955,38.6251,40.1162,0.5596,5.8381,0.0
BRA_B05_06,20.6521,0.3241,1745.2027,50.327,34.719,179.7173,20.4019,7.422,114.2001,18632.93,327.549,5.8893,15.7324,94.6852,558.3641,66.0308,1.3537,4.752,10.451,51.158,0.8998,4.6735,2130.6065,269.889,246.6438,51.4395,78.3292,2.0806,10.4132,8.0985,2.1301,9.4584,1.3158,16.5145,5.4665,8.5898,12.9869,28.4335,16.2217,56.0562,11.8727,12.6687,3.2527,3.7144,0.0
BRA_B07_08,172.3344,1.5028,247.0219,1007.0172,42.5255,165.6741,18.8488,8.0654,7.4659,69.6985,1098.1015,10.4467,14.6332,1601.5427,6149.0002,42.9038,1.3037,38.1377,148.686,40.3149,7.4075,41.4857,4.1752,105.577,2090.7104,31.1053,2.8778,0.0752,0.2938,1.383,0.6169,10.7904,1.3895,0.523,0.3107,0.6647,146.2019,3.9283,2.4494,19.6131,6.4406,3.3701,0.8007,15.1491,0.0
BRA_B09,10.7617,0.7112,629.1128,378.6583,96.2784,11.7532,0.4471,0.1167,7.8551,857.2311,36.6951,0.4245,1.6228,38.0517,101.3784,4.0703,0.1191,0.2127,1.8245,0.1947,0.1224,0.7639,99.6124,2.2056,151.6581,5.4492,14.4074,0.2547,0.3936,2.0096,0.0064,0.4591,0.0102,0.0,0.011,0.0046,19.7972,2.4179,2.7197,6.54,0.3585,0.8775,0.1307,0.3816,0.0
BRA_C10T12,5907.5181,112.858,229.9255,158.0055,7.1691,28347.9515,715.2195,44.0048,416.3237,672.5385,4087.5465,123.3768,618.3692,131.1001,107.363,119.7073,17.4666,100.1765,66.0657,92.7974,12.6535,126.9223,157.1461,55.2592,321.7756,1182.4285,45.2747,1.0451,12.0612,14.1425,4.6619,16135.4748,374.6424,13.0328,5.4634,75.4894,45.8276,70.0437,103.9029,947.2377,994.9924,1353.833,30.3248,251.8028,0.0
BRA_C13T15,209.6078,1.3393,74.5258,83.0231,3.1163,177.9446,9572.14,67.8631,63.7541,27.8022,54.4344,31.1551,172.0159,13.5467,7.9878,39.0389,22.6766,10.1693,23.3748,509.489,26.1201,391.9307,68.5951,27.7791,200.5982,170.7153,78.436,6.3141,44.5408,18.5083,9.8593,207.6743,38.2136,31.2792,2.4762,133.3371,19.6341,65.8176,90.1732,155.4155,162.7676,54.3075,32.483,407.0808,0.0
BRA_C16,278.1535,2.6458,3.1163,2.6642,2.0536,175.1645,17.2914,929.3587,149.0915,1.7229,19.9616,16.0128,21.7071,11.5403,8.6386,80.1484,64.2272,1.661,90.8972,78.6119,27.4165,1616.3461,108.8742,1.8808,1562.8835,694.9656,1.613,0.132,0.1438,23.5134,7.0714,7.1406,29.787,5.0905,2.4232,5.7662,141.2436,8.3797,40.6424,19.3156,13.164,8.5064,4.4513,48.9089,0.0
BRA_C17_18,220.0068,2.7972,23.494,47.8774,2.8841,2597.2421,520.6319,270.4365,5032.9324,45.1286,580.2102,265.6026,642.2558,493.8939,27.0767,445.4414,295.4484,138.95,55.9656,390.2604,13.8471,289.7306,30.5382,21.6355,128.2436,3644.3029,78.4384,16.0756,17.0753,70.6592,44.5469,437.5095,760.3056,173.2714,299.4359,714.0182,152.1527,1599.6657,1088.3523,434.7107,422.6785,296.4488,109.2,223.0746,0.0
BRA_C19,3931.7457,60.9931,1098.6943,1657.7601,120.3177,2194.8089,145.9931,69.1668,459.4444,39019.123,4386.3757,38.7457,460.5901,893.0432,1429.233,124.1374,43.7046,207.4243,124.2108,424.1945,17.6839,150.0886,620.2552,227.6781,1804.343,3932.8942,15605.0241,361.0998,2097.8266,311.0965,120.1671,589.9505,25.0542,28.5992,52.596,164.3162,26.7107,357.6795,350.471,552.1621,123.58,111.7301,34.9712,157.2958,0.0
BRA_C20,15887.2693,34.2204,1805.222,1186.9157,44.6545,2332.5646,1850.1178,354.9812,2087.2577,5471.966,19575.091,980.202,5313.1982,1094.8329,818.1208,803.4585,112.9634,810.4442,151.7086,716.5816,88.5414,883.9831,101.6494,353.3725,2166.1373,1825.5572,442.826,7.2867,21.4582,53.0947,16.6927,259.8268,82.6499,44.5005,18.1727,56.3815,312.6733,306.6794,801.9747,283.9969,250.3336,682.9654,69.7278,368.5273,0.0
BRA_C21,774.3233,1.7862,97.409,4.8727,0.7185,139.6858,60.4627,2.6424,17.7675,32.9638,125.0139,941.4505,19.886,12.3775,47.5745,12.6089,10.5959,3.5762,39.2083,16.5415,1.0428,21.7058,57.3385,6.2678,21.2945,107.2836,41.0809,2.5286,5.2989,13.3234,2.4285,16.3775,2.1315,32.155,2.0566,11.081,36.0646,29.2571,9.7,123.479,157.0756,3051.9949,4.9813,106.5099,0.0
BRA_C22,279.991,4.5925,51.6526,262.4798,16.9828,3811.0331,495.6717,60.1681,430.8903,38.7325,954.3396,114.6203,3755.9856,519.8208,157.6042,233.4308,248.7809,567.6635,594.7375,3783.7928,196.4646,970.5772,68.3603,97.3082,3154.3079,2050.4456,1734.8855,120.122,225.276,31.465,10.5728,167.8647,210.5879,8.2503,9.0776,25.548,39.4341,272.8397,229.1727,47.9539,71.5095,269.6651,37.0672,39.441,0.0
BRA_C23,1545.302,8.1812,32.4188,43.8448,17.0059,1019.7548,51.1113,92.172,72.4775,30.5285,363.9487,22.0134,148.3521,1890.2791,115.6855,58.5764,5.6386,96.8422,84.0018,711.7171,32.1921,197.8538,378.5061,182.5558,12387.4509,152.439,15.2626,0.8656,1.5643,6.8716,1.9054,221.4691,3.3402,4.1161,3.5505,9.6273,725.5421,17.2177,35.097,88.684,48.3693,75.3824,7.6577,52.3262,0.0
BRA_C24,269.5597,2.5728,484.0283,129.3598,36.4879,413.9068,23.7802,43.24,168.944,97.007,245.1431,12.559,267.4315,211.9049,5931.3529,5748.5621,62.0999,2499.469,2721.6461,5689.5755,313.0256,1454.9975,98.959,52.7391,4609.6076,774.9939,30.7142,1.3488,1.8607,17.827,5.4867,62.8932,12.2045,24.8854,16.9905,33.8933,37.7178,59.107,98.8414,64.4215,48.965,27.7554,27.735,23.8861,0.0
BRA_C25,315.0953,5.3627,448.5855,298.1725,47.1842,2496.8016,71.6134,111.7535,54.5436,79.446,585.2389,39.0591,72.5664,61.6729,795.3708,2241.9237,239.7576,648.5698,1364.6562,1818.3684,344.1077,1101.919,599.8523,129.1471,5662.8191,520.921,46.9943,5.302,3.7243,13.0915,3.1319,539.078,7.3342,11.1151,8.3063,11.6796,110.4267,30.3532,91.0371,210.9384,35.3839,61.4352,9.8067,26.2042,0.0
