V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_J58T60,0.1399,0.0323,0,0,0.0035,10.7915,6.7612,0.3943,0.75,0.0368,0.1613,0.0983,0,0.1322,0.0255,0.0378,0.6711,0.1501,0.5564,0.0953,0.0505,0.0306,1.5646,2.0365,7.2608,119.4018,5.3535,8.9952,8.764,0.1491,3.2181,6.0965,53.9354,26.3602,1.1482,57.0469,36.9208,10.6774,7.0,5.8064,6.687,10.8109,13.0266,8.2556,0.0
HKG_J61,0.6699,0.1418,0,0,0.0303,96.4094,68.8992,10.3525,8.2525,0.1606,1.0261,0.5442,0,0.5929,0.1763,0.2792,6.2664,0.8576,4.6545,0.5955,0.3059,0.0863,16.7501,60.6329,67.1036,1850.7034,80.1061,1138.1479,159.7224,2.1421,55.024,102.1657,102.5023,1364.1253,32.9054,1540.4841,476.2287,97.7274,190.0566,142.2414,98.044,113.4331,94.2391,191.5454,0.0
HKG_J62_63,0.3045,0.069,0,0,0.0493,56.8865,44.6965,5.3497,5.2525,0.1439,0.6627,0.3614,0,0.3416,0.154,0.2068,3.2272,0.6135,2.4748,0.6343,0.3291,0.0941,8.9972,16.8632,24.7768,889.3718,43.1789,38.515,62.3967,1.2399,37.4471,38.3903,27.6249,240.163,26.1349,800.0136,104.8483,25.7783,41.2291,106.5925,58.6435,39.6126,28.459,47.2153,0.0
HKG_K,0.8584,0.1178,0,0,0.4304,448.7589,234.4917,29.2666,37.1192,1.0641,3.3715,1.3928,0,1.9601,1.6159,2.4095,11.6098,3.8006,12.0241,2.34,0.9172,0.447,162.7441,219.4995,150.5085,6024.9526,326.1572,489.4371,176.5816,9.2719,118.8717,306.7534,121.8929,480.3622,47.2133,13866.3347,6303.7355,221.7552,617.8698,156.7291,362.0868,218.3964,227.2591,677.9553,0.0
HKG_L,0.7831,0.1464,0,0,0.0943,155.2971,109.4123,9.7534,10.6721,0.2789,0.8933,0.5933,0,1.0344,0.2609,0.4915,4.1496,1.1741,6.1383,0.7637,0.3533,0.2595,62.4845,255.6949,150.666,5518.5223,186.9949,113.4317,134.9095,20.5293,62.0707,1220.9884,242.9213,293.9949,37.5672,2361.5175,2436.6347,217.3142,410.8917,76.0047,286.9621,375.9224,521.0627,1345.7994,0.0
HKG_M,2.3002,0.4845,0,0,1.0604,226.2641,155.1171,31.4358,27.2462,0.5165,3.0443,2.5798,0,1.1745,0.4223,0.6627,7.7913,1.9586,10.3599,2.2712,0.977,0.4876,39.8311,111.1333,208.8715,4867.852,184.9535,163.9829,210.9833,4.9001,94.7457,174.9015,100.3582,529.0769,41.8586,2002.9059,1359.6545,376.5744,390.63,396.8219,207.7321,257.7027,154.2085,282.6994,0.0
HKG_N,1.0909,0.2092,0,0,0.716,94.4009,66.3449,14.874,12.4041,0.2254,1.185,0.6681,0,0.5873,0.208,0.33,2.7307,0.7545,4.0135,0.9651,0.3952,0.5046,15.9105,62.721,68.0502,2322.8247,159.0022,214.1815,224.0346,3.4804,119.1079,111.8181,52.0142,387.9415,21.6086,913.6545,728.6434,99.615,422.1523,159.6745,133.6504,164.0137,99.7924,130.9165,0.0
HKG_O,0.3444,0.0651,0,0,0.9259,18.715,14.6467,2.1782,1.8362,0.0729,0.2403,0.1577,0,0.1762,0.201,0.2149,1.1685,0.42,1.7941,0.4304,0.2136,0.1835,7.8528,26.9254,67.1257,383.9174,25.2373,40.1731,125.2656,1.6125,14.914,44.9149,14.0582,43.3339,3.3541,217.1746,112.4114,20.0708,39.7504,266.0662,38.861,28.8902,28.3697,55.5619,0.0
HKG_P,0.2889,0.0679,0,0,0.0358,40.7683,25.2593,4.7893,4.4026,0.0834,0.3217,0.2894,0,0.2642,0.1119,0.1581,0.8342,0.2005,1.5703,0.3816,0.1649,0.0477,9.4209,22.038,33.3426,668.2475,40.5274,44.118,45.1079,1.1469,23.4176,38.7326,13.8415,97.7604,11.4019,388.2649,182.9779,43.6861,66.5426,140.7807,407.9607,64.8192,28.9734,78.7411,0.0
HKG_Q,0.0343,0.0079,0,0,0.0127,7.9685,9.9369,0.7184,0.6735,0.081,0.2163,0.1938,0,0.0982,0.0443,0.0571,0.5416,0.1003,0.4521,0.097,0.0512,0.0206,2.7426,5.7338,7.5997,149.4442,10.6038,30.7549,6.9782,0.4278,6.8557,14.32,3.0217,15.5938,1.1744,109.4055,59.1855,7.5058,18.8682,8.9648,32.7524,172.5126,13.3795,22.0943,0.0
HKG_R,0.2676,0.0863,0,0,0.0194,22.0452,11.6586,1.2321,2.3323,0.0607,0.2332,0.1266,0,0.1009,0.0474,0.0665,0.6055,0.131,0.6358,0.1727,0.0844,0.0236,5.6155,15.2128,12.4255,319.0906,19.2663,36.9812,30.401,0.7153,21.7975,19.4543,100.9909,61.7989,3.679,239.6294,181.3408,31.9716,59.9612,29.5786,44.1647,31.8755,639.4549,94.3895,0.0
HKG_S,1.8629,0.5391,0,0,0.3545,219.72,119.8543,11.3648,11.6831,1.6287,7.2564,3.9158,0,3.5186,1.9868,2.6312,21.8157,4.9419,24.676,13.3435,5.5502,0.6981,45.291,78.5906,84.3567,1209.5417,81.7819,90.2466,134.0109,1.5915,50.8173,160.375,57.9813,130.6251,10.6054,585.7064,469.9762,59.2002,121.5758,69.717,70.1195,119.1195,116.1908,381.0457,0.0
HKG_T,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
