V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,2168.2564,2.8666,0.265,0.9508,0.0022,4922.5052,23.1292,804.6242,587.7161,0.1295,8.5431,2.5388,23.6945,1.5972,0.1206,0.453,0.0229,0.1336,2.9275,0,0.204,6.3397,49.3436,0.0469,33.4487,32.7738,1.7395,4.8108,0.876,13.4869,0.0075,441.968,1.2888,0.5525,2.1928,5.4536,1.0345,3.8561,34.2864,59.376,8.5719,46.3312,5.9822,31.5308,0
CHL_A03,0.0121,604.6437,0.0011,0.12,0.0,4146.9512,0.0347,0.033,0.0525,0.0212,0.6943,17.7029,0.003,0.0236,0.0074,0.055,0.0014,0.0104,0.0022,0,0.0048,0.2159,0.0221,0.0088,0.0152,8.869,0.0102,2.8759,0.0564,0.0376,0.0013,23.3058,0.0109,0.1004,0.3986,0.47,0.0115,0.2047,0.1843,1.2006,0.1927,2.3241,1.1834,2.8952,0
CHL_B05_06,0.1887,0.0085,0.4842,4.541,0.2433,3.2395,0.1096,0.0384,0.7899,121.4891,0.8793,0.9741,0.1683,2.3562,6.4479,0.1614,0.0051,0.0638,0.0858,0,0.0137,0.0432,86.2837,0.0486,2.23,0.6722,1.0457,0.0032,0.0271,0.1648,0.0045,0.3503,0.0495,0.1155,0.2446,0.4016,0.1183,1.4561,0.3604,0.0868,0.1238,0.0584,0.023,0.1051,0
CHL_B07_08,155.0017,3.0607,6.6471,2971.5988,4.9851,81.1075,12.8986,22.3005,43.6401,19.2613,867.5095,12.3335,67.2171,539.5953,522.0989,31.3644,1.2249,18.0462,18.2162,0,6.9029,20.6844,31.8912,5.9282,227.0993,79.4419,6.7192,0.6325,2.1824,6.616,0.2878,17.316,4.4708,12.7358,22.4537,52.8436,15.4215,66.3987,61.5488,13.6059,24.466,29.4709,12.087,4.2798,0
CHL_B09,5.7885,0.0282,0.1515,1.5198,0.1226,0.8004,0.0909,0.0751,0.3411,0.1247,23.6055,0.1556,0.5611,25.3312,0.5972,0.4245,0.0051,0.084,0.4464,0,0.0583,0.2058,0.739,0.0265,7.9805,0.1348,0.0132,0.0012,0.0028,0.004,0.0008,0.5791,0.0039,0.0055,0.0647,0.0904,0.0127,0.5032,0.6055,0.0629,0.0447,0.1235,0.5123,0.0721,0
CHL_C10T12,997.6366,1013.1979,2.3265,42.4201,0.1498,3032.674,27.4298,11.6788,34.533,7.6745,78.0582,19.9918,21.8995,11.4537,5.912,10.4347,0.2274,2.991,5.7541,0,3.8067,9.5598,18.1449,2.129,67.7805,507.4774,16.8856,12.6144,11.9843,6.9753,0.1978,1864.8097,5.8819,6.3594,11.0273,32.4668,17.1273,35.6475,45.5111,110.7822,39.9452,138.1852,5.3356,39.8891,0
CHL_C13T15,13.0136,3.985,0.0925,12.8115,0.0294,28.2542,91.2882,2.8786,11.5923,0.9836,6.7816,2.3001,8.4175,2.9369,2.2667,3.0463,0.1304,1.5026,2.4476,0,1.5207,8.2588,6.7582,1.4833,68.9362,16.4877,6.9819,0.3768,1.4351,0.9853,0.0827,8.4772,2.7652,1.5725,2.4657,9.9659,1.1372,8.5636,7.994,10.8928,5.2643,13.4673,1.9037,3.39,0
CHL_C16,50.831,1.5347,0.6216,32.056,0.0385,60.5934,5.477,559.4974,29.1221,0.8607,3.0314,0.7121,1.9942,8.9784,3.7378,15.3382,0.1124,1.6397,3.1468,0,1.9993,90.9298,18.7061,0.9976,1167.0273,33.6614,1.9037,0.853,0.8215,2.2457,0.1234,2.6123,3.0531,1.0114,2.1791,8.3648,0.7887,2.1385,10.5253,6.3426,1.2116,4.1921,1.1115,5.1583,0
CHL_C17_18,29.6054,10.3152,0.3803,142.4695,0.2369,462.5813,15.4923,33.922,849.3811,12.5481,48.3523,42.04,23.5501,47.9303,7.3925,12.7426,1.1704,12.5321,17.1916,0,2.3039,13.0086,285.7708,10.689,58.0776,558.7543,21.8117,1.2532,6.197,29.0607,2.4238,29.6831,63.7816,75.159,9.4002,102.3433,13.1744,326.6654,87.9363,64.5551,87.2822,95.1597,13.6737,42.9021,0
CHL_C19,203.0,30.7337,2.7776,303.5615,1.2447,75.9845,5.5136,9.6119,29.7866,61.6178,71.9373,2.0218,8.9934,34.5442,10.8746,8.016,0.1352,2.2876,7.7495,0,2.1025,12.5235,44.1378,17.4115,142.7832,109.6764,1176.562,45.157,232.6467,19.6987,0.7324,17.0863,1.0691,2.0766,1.9561,2.935,3.9908,26.6584,55.7202,57.8499,11.1222,55.0379,3.4997,24.6173,0
CHL_C20,241.3461,16.8816,1.9763,287.9747,0.9379,224.4021,38.2435,49.0458,150.9633,84.2022,518.3222,32.8547,360.4424,78.7569,28.1848,59.053,0.8662,13.5346,26.9771,0,15.0371,40.6835,16.2077,11.058,235.8704,77.9988,19.3116,1.4147,3.7403,4.2775,0.624,26.995,3.9605,5.8231,6.0972,25.4669,10.1532,30.4506,48.0766,30.3733,35.9278,94.0796,3.5258,15.2326,0
CHL_C21,57.6418,31.4422,0.0734,9.6393,0.021,56.6331,1.8321,1.6066,3.9655,1.3452,14.9332,94.9419,5.1194,1.447,0.8663,1.4025,0.2346,1.5708,1.419,0,0.8792,1.8037,1.8382,0.3991,10.2058,6.2488,3.5095,0.1336,1.3268,0.5148,0.0238,2.361,2.8588,0.7121,1.5951,3.6708,1.4606,14.2056,5.143,18.141,3.4621,554.5709,0.456,1.0247,0
CHL_C22,74.5171,16.6616,0.2149,128.9968,0.8317,271.1206,12.3508,4.9366,49.9675,9.307,58.8797,23.3771,110.7885,11.1439,5.2665,18.3978,0.5957,8.2664,53.062,0,7.5463,20.3917,6.7166,1.8817,311.0356,301.0548,167.2104,0.5083,2.4468,4.9985,0.1016,16.5783,2.0657,2.7329,2.7632,62.4673,2.8901,11.2214,11.7907,10.3547,5.854,20.9918,1.6721,7.6914,0
CHL_C23,15.4721,1.2782,0.29,78.5433,0.3665,150.6973,3.4952,6.7656,5.2884,1.0821,11.0209,8.5186,8.6236,432.2127,6.1544,29.2895,2.5604,33.264,16.9752,0,6.1114,9.8311,4.4343,0.3594,1965.4076,51.2898,5.7119,0.8427,1.3227,0.331,0.143,10.4061,1.8576,12.7072,1.2146,5.0098,1.5592,26.6821,2.5147,6.4225,15.9288,7.1094,0.6064,3.9428,0
