V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2100.4661,71.6196,0.6212,3.387,0.002,21659.731,527.8452,735.4146,10.4881,6.3654,102.7191,249.6658,549.3975,9.9822,27.0791,39.6565,81.3164,23.4361,42.3636,36.2661,25.0235,26.4479,4.5629,4.0695,459.1777,66.4101,4.2875,1.1122,12.4105,11.7211,0.6845,4898.5869,10.6716,7.7458,6.5598,31.7131,5.1557,99.6758,12.4757,170.4909,394.0424,1003.1688,106.124,54.6463,0.0
KOR_A03,9.0452,152.9129,0.0115,0.2234,0.0,2146.5732,8.537,0.4109,1.087,0.452,6.9606,2.9425,5.1486,1.1922,3.8654,4.1227,14.3768,4.1441,6.6349,3.8211,4.7001,8.399,0.3802,0.4867,3.1164,6.9421,0.6457,0.1352,0.4112,0.4323,0.1149,2237.5349,1.0654,1.0975,0.8316,1.8328,1.4519,18.3988,1.1817,68.914,193.5425,171.4489,17.8072,6.4419,0.0
KOR_B05_06,0.0184,0.0121,0.0055,0.0758,0.0011,0.5113,1.8039,0.0668,0.1602,92.9294,10.0687,0.0862,0.4375,4.3758,94.7783,0.6261,1.4236,0.412,0.7995,0.4483,0.6694,0.1663,231.7544,0.8047,0.086,0.2616,0.0102,0.0003,0.0007,0.0074,0.0047,0.0055,0.0062,0.0198,0.0085,0.0191,0.0384,0.2645,0.0559,0.0309,0.0597,0.2866,0.0121,0.0106,0.0
KOR_B07_08,0.9197,0.3045,0.0135,5.367,0.1545,24.6659,11.4185,0.9784,19.8766,10.6082,447.5222,4.7825,23.2481,2352.9763,259.0557,17.4994,34.951,7.9417,15.6823,11.434,4.3383,5.0537,1.2292,11.105,248.4697,6.4802,0.3456,0.2433,0.1675,0.2986,0.0525,5.7548,0.3743,1.2159,0.1863,0.4167,0.3694,5.2567,3.1948,4.6241,1.0365,6.7329,1.1523,2.232,0.0
KOR_B09,0.0243,0.0189,0.0132,0.2792,0.0046,0.04,0.0043,0.0008,0.0523,5.4767,0.3976,0.0031,0.0281,0.4822,1.9162,0.0962,0.0105,0.0062,0.0479,0.0029,0.0015,0.0034,0.7444,0.0131,1.6405,0.0205,0.0505,0.0054,0.0038,0.0151,0.0001,0.0057,0.0001,0.0,0.0001,0.0,0.0416,0.0433,0.0116,0.0253,0.0021,0.0084,0.0029,0.002,0.0
KOR_C10T12,5243.0195,270.2933,0.8743,8.9761,0.0216,14930.6554,851.9036,23.515,85.587,57.4631,783.8303,204.0705,165.0505,65.1043,181.4392,202.6911,484.4153,142.307,278.5228,179.8243,176.4459,63.1366,33.4112,19.6742,133.8891,660.5966,31.2064,25.578,52.1248,96.707,5.176,26775.7507,69.9875,49.6433,61.0784,195.482,23.221,859.845,186.5681,592.4863,1668.5549,1866.0869,1196.5622,296.645,0.0
KOR_C13T15,108.4516,323.5852,2.4883,14.9585,0.056,462.9586,13213.5989,65.3828,322.6352,86.3502,384.4003,91.7025,1206.3262,201.1275,518.4553,659.2593,1391.7353,440.8032,721.217,978.7641,629.8848,954.912,84.7431,104.6983,379.3591,1102.7469,295.9551,35.0063,4.6267,504.89,82.2352,708.5278,115.0531,75.1462,24.3473,320.5082,79.8331,424.7208,469.022,713.689,249.5367,880.5576,381.0742,733.3006,0.0
KOR_C16,32.0866,160.3521,0.9232,2.0538,0.0124,84.1006,71.617,1131.1192,35.0687,12.134,50.0153,5.1663,46.0818,88.4602,109.0215,167.9284,86.4959,65.829,130.6965,88.2824,38.3808,995.2444,140.023,6.3561,3208.9621,106.0034,5.5175,1.4648,0.1772,323.0068,0.3955,163.7931,3.6281,2.6084,2.3109,2.1186,1.338,8.8989,22.4892,3.6115,33.1632,41.9941,22.1977,22.463,0.0
KOR_C17_18,189.2433,16.8141,0.4287,7.1779,0.0198,1914.191,685.8109,98.0581,8756.5828,88.8317,638.3916,254.13,465.0443,255.4902,191.8942,448.9802,614.421,521.7307,295.5145,203.0937,91.1256,302.3977,21.4201,25.0818,382.8693,1571.5582,108.0755,15.7287,5.5952,230.7476,365.1243,624.4184,2180.2922,140.5554,207.1092,1082.7201,87.7254,2597.612,269.5956,521.1048,508.3113,484.3879,316.18,401.4423,0.0
KOR_C19,442.1792,504.9986,0.7974,80.6775,0.6272,310.5941,517.9469,54.1682,220.4944,6042.8904,12074.4621,167.1568,1396.1497,1049.5321,580.1859,605.8692,1113.7949,400.2885,398.9825,501.7367,284.8225,132.504,1826.2786,205.8423,1375.1075,2793.1838,6645.4871,1236.9688,2588.7977,308.7059,203.576,1116.0316,142.0631,111.8683,76.2069,214.9721,355.663,1855.0105,361.595,1041.3409,1104.7845,1326.9074,285.0688,622.087,0.0
KOR_C20,1955.6942,55.106,1.9129,55.4109,0.281,600.9272,3067.9248,340.9348,1008.896,1498.3354,25136.8185,1003.6965,10676.2432,886.7344,1085.9803,1892.1503,6902.4856,1905.5157,1003.9541,1489.7347,565.603,618.0226,958.8234,243.0411,1638.3103,974.7953,428.5765,75.41,121.9671,114.2006,21.707,702.9277,401.1035,52.2838,56.5869,122.4191,77.1266,1831.4961,594.7588,317.4052,320.445,1417.5129,365.3638,1836.7741,0.0
KOR_C21,46.2044,11.819,0.2991,1.1962,0.0075,125.7383,153.543,6.7432,16.7809,9.1638,59.8655,796.4687,45.2845,14.305,44.5409,52.7865,146.7177,39.0185,73.9476,47.4745,57.9187,20.5098,5.3209,14.2071,19.045,47.5901,2.94,0.6672,2.6414,3.162,1.2347,49.9543,2.8771,6.9414,2.9033,8.3176,4.9267,277.7561,10.9846,96.3885,48.7609,10953.8645,8.9874,14.1993,0.0
KOR_C22,333.0916,144.4999,3.1648,23.0764,0.129,2183.2721,1525.0172,107.4106,367.7446,121.802,1472.0506,247.469,6092.4392,437.8069,504.9035,1551.1006,7034.5428,3547.9887,2970.7219,10099.1404,779.5674,1719.0736,233.5889,81.8847,7156.6957,2361.5567,628.1125,22.3098,25.4739,344.7892,6.0063,1174.4969,85.3134,31.55,37.4105,93.3716,57.8661,1817.2076,308.6291,116.2313,219.8769,340.3782,101.5086,411.5161,0.0
KOR_C23,16.639,3.0273,0.3037,14.8933,0.125,588.0414,149.9571,18.9965,109.8773,57.8368,577.8635,223.6338,220.1931,5240.4101,1817.9104,388.7115,3311.1043,846.0282,420.9165,1006.7155,237.5543,171.3379,38.0482,53.3393,18031.6899,146.9015,33.3419,10.0595,4.7756,38.5152,1.0356,311.3367,5.7438,11.73,4.6096,13.308,50.8759,184.8349,56.3034,86.0161,58.9473,93.7467,112.1581,23.6127,0.0
KOR_C24,50.253,13.0438,3.6416,9.1741,0.2305,209.6298,157.9846,43.3876,81.138,257.286,902.7795,75.395,694.1548,546.9323,28834.6446,12175.1034,3974.0148,5640.5249,7198.0327,8066.3751,3937.5001,965.6165,432.5511,134.6702,11943.8493,230.6999,81.8517,11.1837,42.6052,77.5148,6.4206,170.9708,23.1011,50.841,15.2859,55.1234,48.3314,548.7345,49.4283,93.9852,135.1213,203.4988,58.6426,127.881,0.0
KOR_C25,63.3809,17.8499,13.5031,41.2928,0.3956,1581.6921,853.2645,234.9102,143.6937,823.8054,990.6166,148.5119,860.9017,535.0499,1468.9001,10938.1306,3083.5639,2828.1066,10817.9622,8500.0168,5823.4926,1486.8583,542.259,95.6452,16278.0262,813.3428,212.2111,43.9081,39.1483,318.4243,24.2275,787.0529,56.2239,52.2383,57.4511,204.6578,74.9897,690.5376,314.6718,507.1375,244.1497,264.4033,207.3987,623.0185,0.0
KOR_C26,139.3557,35.1207,3.9356,21.0176,0.1239,1191.2344,2304.1025,112.2706,340.1129,376.3989,985.7307,234.6994,926.5803,302.7082,1028.3951,1245.8896,43271.0042,3838.5499,5025.7858,4751.2707,2096.5004,710.085,519.4454,123.6784,1709.9795,1911.4156,201.7717,31.6328,43.3696,226.5729,93.3119,647.9196,328.1377,1123.8668,1729.3991,543.347,229.2197,4862.8048,431.8564,569.5384,868.3703,3023.9387,184.6641,3524.5818,0.0
KOR_C27,27.1647,50.0826,3.325,13.4748,0.0736,242.5158,687.0681,35.0836,87.2141,107.2941,246.8404,48.9119,325.1494,153.3888,587.4356,716.0358,5620.3847,8578.6304,3935.9213,6968.8451,1509.6337,567.4855,836.059,87.5849,6512.9079,673.8982,354.1878,22.4608,18.9086,229.8538,26.6152,496.1921,129.5189,686.3164,104.1966,169.2983,161.9942,1287.0391,268.0421,226.3881,252.813,287.53,167.6604,1149.6224,0.0
KOR_C28,98.8317,54.3588,9.1417,52.1397,0.4426,488.6748,1096.5138,54.8157,136.8399,533.9865,484.3194,80.4989,1857.6214,319.7469,1059.6318,2095.1765,2464.0037,1798.6409,16116.07,3316.3366,2891.9943,726.1761,252.1045,279.5791,4484.0661,401.4443,84.2853,58.2725,49.5169,110.4295,8.8406,144.3096,32.6163,48.1395,36.6039,92.1791,89.7675,703.5098,138.3158,183.7092,207.6237,269.2034,47.2915,216.4696,0.0
KOR_C29,45.0218,20.2514,2.5568,25.9436,0.0682,265.7986,701.0887,39.9944,95.5351,109.0733,254.3256,61.3565,432.2187,248.7981,433.1488,576.3671,1540.6884,1556.7859,2043.6247,52179.191,550.5334,178.6552,158.8714,144.1059,1168.0043,3474.2297,3082.7887,13.5421,10.8913,690.4768,70.0955,136.279,81.7765,130.2173,43.9167,88.664,41.6168,601.2776,265.1635,361.8308,115.2521,273.381,106.1838,253.1948,0.0
KOR_C30,12.1613,156.1727,5.1619,30.8005,0.0426,213.2075,575.2025,29.7181,54.1896,58.9823,139.4825,32.2279,188.4548,72.6017,200.2568,591.6359,609.4336,278.2474,932.3659,517.0391,3493.5252,137.6048,39.0248,16.7597,680.8198,89.1494,358.4517,439.7381,1295.0505,52.7134,39.6651,42.819,5.9941,16.2898,7.1424,18.2072,6.5524,277.8599,62.8051,655.8359,35.5787,105.7365,14.7453,115.4686,0.0
KOR_C31T33,22.6584,15.8982,3.1188,13.507,0.085,709.6838,2051.2827,73.7227,171.0292,51.2105,344.896,89.6736,449.3128,152.7569,472.0639,587.273,1492.0928,420.5946,835.5222,471.789,691.8676,921.6429,42.6952,41.8911,1981.8007,385.8559,49.7732,6.7678,2.4752,77.8593,58.8297,802.6485,131.6074,64.6497,71.9447,277.1841,340.746,854.8281,343.735,373.6814,1477.0787,621.277,634.4978,283.0415,0.0
KOR_D,525.3952,124.5851,5.8942,84.9998,0.3805,1142.3187,912.6605,152.7256,1128.5023,1864.3541,4613.3684,157.349,1332.0193,1503.0941,6517.0386,1592.087,3179.3927,741.4884,1124.3835,1198.6563,308.0018,265.1344,9603.3674,787.7431,897.1708,2306.5005,940.1028,25.9398,25.0417,745.262,80.6513,2099.5071,343.8018,784.7607,214.7706,913.267,1002.211,6888.599,393.1845,1221.2683,2808.0277,2690.3578,918.273,609.568,0.0
KOR_E,50.1755,22.1319,0.3833,12.9449,0.069,307.7618,171.2999,21.3232,380.7443,69.2661,614.0443,22.8129,774.7654,291.452,2519.1405,340.8745,117.9062,96.3652,398.3566,123.4299,33.3416,45.6135,104.0721,473.4429,144.0923,155.8528,128.5494,3.2509,0.7168,94.9145,11.4064,1281.2923,79.1982,90.8916,20.1163,193.0783,317.6352,469.3109,150.1292,335.2949,459.7732,1062.7516,151.9082,225.9484,0.0
KOR_F,71.2246,16.4541,1.5207,16.2766,0.2982,112.3325,73.6165,11.514,38.4943,66.1716,144.7128,16.4761,126.5535,54.7476,226.4764,159.2973,207.5732,130.1593,143.5337,116.6694,62.7887,35.1576,478.1102,41.804,345.1282,526.2683,110.9657,30.8212,14.0846,118.5347,64.6605,413.0324,116.3531,217.3663,92.414,240.1042,8668.5458,726.5166,176.1729,797.6608,268.3567,182.7584,129.1087,96.1795,0.0
KOR_G,2067.2874,279.6493,4.5299,61.6765,0.4117,12072.5127,5340.5974,497.2918,1873.9765,2059.7951,6325.331,1663.6785,3774.4562,1279.7495,3624.9613,3138.9595,12927.4387,3666.2926,4789.185,8406.2428,1641.1692,1964.9372,924.4276,242.5297,6576.7975,14101.1393,1272.6025,366.2487,377.5594,679.2726,147.2771,10155.7012,1085.8192,2469.6017,421.5563,1065.8567,507.5264,3718.5918,780.6003,1191.4104,1762.5806,5383.8214,933.6369,1353.2811,0.0
KOR_H49,159.8546,45.3626,10.6145,332.4808,0.3959,1999.5719,981.6697,190.143,957.415,978.0106,2339.5718,323.9259,1135.8601,2403.3046,1871.4077,1227.4604,2349.3519,845.4996,1502.8244,1811.3388,413.7863,344.9232,374.1585,622.4827,1284.9203,4447.7851,530.5562,113.9265,62.4398,262.4432,81.4546,359.8154,405.0417,64.2493,277.743,470.663,212.4181,1456.1197,694.1586,1250.8336,294.4539,281.6921,113.7184,303.1731,0.0
KOR_H50,17.4698,3.6048,0.0768,1.1821,0.008,66.1832,43.5073,5.4684,14.6849,370.1477,122.1822,6.8793,41.0337,32.0927,201.3932,40.8776,186.2327,49.1242,74.5672,96.7569,25.5237,16.1384,192.5663,6.0426,102.2723,43.4249,26.7874,9.7606,12.1993,8.6779,1.5307,60.2322,6.1185,3.977,4.486,6.4483,3.9095,36.3703,8.1812,11.5163,14.5833,45.3861,7.6891,17.9148,0.0
KOR_H51,24.8473,8.7851,0.0629,1.4097,0.048,173.4624,140.2479,13.2217,25.2121,229.4045,201.2069,299.6592,120.9742,93.0439,227.7387,139.3974,963.7754,412.0557,488.7985,219.8304,79.1925,56.0539,157.4047,4.5261,127.1321,1434.215,182.55,4.2041,30.2605,114.0105,29.1571,175.278,256.6527,87.8523,402.9899,128.1508,28.5928,494.7122,68.4761,175.6745,41.097,91.267,48.6662,117.8728,0.0
KOR_H52,203.1272,248.2633,2.8502,139.8831,0.1953,1440.539,414.5412,66.6279,253.8036,212.2719,1183.6193,158.5367,518.8932,866.3536,1121.3538,549.5443,1295.201,401.0469,672.9345,786.0512,148.67,157.2761,31.0299,226.3032,457.1061,6220.2797,3417.772,3816.423,1478.1704,1238.3335,45.1647,146.7409,146.9702,14.548,32.178,76.1566,44.2951,624.5999,362.7065,38.1363,43.7242,60.0618,39.6983,78.4441,0.0
KOR_H53,81.4331,11.6142,0.1796,1.0537,0.0424,48.7765,32.2945,8.7185,12.94,19.1049,62.9332,50.8941,41.3676,44.7753,86.0246,55.295,69.4852,23.5352,48.6079,103.2933,16.7541,18.1525,16.7937,105.8326,537.6564,800.1201,25.9319,3.439,0.2215,1083.3449,574.2651,288.6644,31.5039,17.5438,24.8843,58.091,9.3997,380.0447,281.6297,1053.1329,141.9462,361.7736,81.5644,17.951,0.0
KOR_I,266.0896,161.6744,3.2772,77.7187,0.0889,502.7826,584.4166,102.117,345.7609,306.4884,994.2728,150.9827,554.469,379.9225,921.9107,898.7067,1364.8684,522.4492,1066.205,816.9251,217.0942,320.136,286.4697,306.6077,991.6012,7515.6892,392.8511,113.8336,310.8737,789.394,120.0486,1185.7401,875.101,589.8525,654.092,3148.0413,778.9215,6710.7899,2038.8809,2045.9753,5922.8933,4542.4827,1250.4014,2658.222,0.0
KOR_J58T60,55.0384,20.4408,0.254,12.5369,0.0833,103.3933,91.9002,11.9673,92.6765,112.0648,159.6944,22.8104,109.5992,61.5224,181.922,180.4456,419.0405,156.7567,166.0014,103.7835,61.9996,67.1093,47.6277,117.4491,310.4342,3679.8788,156.4294,89.392,87.5004,434.9203,216.1839,760.7706,4647.5812,309.4473,803.8947,1264.3677,248.1793,6039.8745,708.9062,1331.3139,2318.5582,560.4842,1366.0252,926.3167,0.0
KOR_J61,92.047,27.131,1.2328,9.1949,0.0766,128.5284,112.3425,38.0915,87.1542,130.0961,184.8938,29.8659,127.7717,172.1702,170.9963,226.7654,401.9846,184.4192,168.3569,171.1028,42.1547,78.5379,62.6293,92.5694,288.8022,5031.9262,184.7394,61.9192,13.361,491.6838,283.6441,682.6424,763.2535,4068.7927,710.2541,3022.9367,294.1182,3689.4536,1310.3871,908.5174,792.5507,251.4441,196.2775,410.778,0.0
KOR_J62_63,18.6723,4.2085,0.5804,5.3773,0.0466,94.8622,55.077,8.0436,63.0836,168.3879,126.224,10.907,119.1279,32.1811,209.6727,129.5739,601.5388,80.642,232.278,197.9128,41.4252,34.537,59.1543,71.3063,172.8897,763.6801,164.106,23.4972,13.6082,143.117,98.6817,92.2231,742.6533,1365.6279,2816.6366,3131.4299,156.5548,2686.448,197.8385,1032.1534,777.4009,182.643,272.3377,122.7295,0.0
KOR_K,907.9384,317.4354,10.2428,153.7954,0.4977,888.7972,799.0505,157.1721,478.2459,403.0737,1185.5932,255.8131,1083.8293,554.0302,1612.7271,1360.8664,2774.4024,984.8212,2117.3947,1714.7202,709.6713,291.9507,1144.1251,470.4598,5104.8219,5528.8713,808.033,400.9542,191.5738,722.4927,79.1508,2151.7651,829.6844,781.4395,438.5142,20592.72,19406.0914,4444.1795,649.8341,4125.4693,1466.3789,2934.6891,475.0326,1061.1738,0.0
KOR_L,23.6011,8.1646,0.438,5.0104,0.0618,189.8392,257.4476,25.4849,83.5254,94.7379,174.1808,38.1272,104.2306,62.8914,276.692,194.0379,483.1234,181.2662,142.1943,213.1131,56.6269,108.431,130.2255,121.274,537.4306,6263.3969,176.2528,31.4881,28.0154,436.0108,56.3603,4677.1307,310.3191,247.0259,373.6579,3321.0944,2539.277,3632.0656,650.6687,753.868,1267.8818,1978.4853,374.1998,717.4914,0.0
KOR_M,329.838,103.5006,40.4883,112.8719,1.2778,3487.0695,1035.8657,162.9286,712.4105,3328.0776,7874.0347,1381.9883,1908.3119,1439.5874,4916.2642,2127.0094,5772.315,2537.5513,2656.9542,4450.6626,1568.6057,760.3309,1611.2988,557.0103,15145.9836,7358.3702,570.4049,203.6868,41.4316,1497.3938,196.7718,1905.3968,2020.6964,2412.9231,1750.8709,4257.8782,686.666,8139.4042,2261.841,1393.6074,1732.0695,910.2688,562.588,615.4165,0.0
KOR_N,64.3208,65.0117,0.7922,111.6605,0.7532,394.6945,400.6946,47.6326,264.352,438.4825,566.7026,75.991,459.7044,238.7757,1337.3455,671.5656,1647.5962,480.0247,503.835,1141.2735,1430.5548,145.481,694.3924,285.1534,5982.4421,5093.774,793.6093,1707.1449,1152.7326,1903.0616,405.3998,943.1449,916.713,1846.6434,1033.4161,5665.1851,4641.4647,5577.5111,4805.4671,2663.461,1438.6528,1012.8259,1373.7924,333.7697,0.0
KOR_O,20.7603,88.2897,0.1223,0.9571,0.0276,128.2087,39.5843,3.0035,33.6444,35.2187,53.5954,72.3726,24.3097,13.7674,41.0983,24.3085,99.0455,41.4628,31.2289,17.3684,12.1542,78.2389,82.1232,23.4188,38.5095,159.8002,20.5393,18.0908,572.1471,10.1887,1.1572,204.6561,46.4104,47.5139,18.5236,246.4966,33.7404,65.9737,60.48,1691.7123,28.4896,34.9627,16.8433,21.021,0.0
KOR_P,19.0297,8.2117,0.2806,5.4923,0.0141,62.9789,55.046,9.593,32.6303,38.6975,109.9103,13.2874,71.7455,39.4473,117.353,112.5783,155.7686,73.6685,122.8894,82.7431,29.9686,36.5368,36.1299,27.4914,109.9565,844.2222,32.7331,9.538,16.8881,71.0896,18.522,169.7943,76.2546,70.4495,57.6015,404.7957,107.3747,617.1275,159.7158,116.0275,418.5409,314.5823,85.0768,227.2438,0.0
KOR_Q,80.3066,50.13,0.7442,12.6304,0.0106,119.855,80.9921,25.7603,53.1774,47.8622,129.4505,35.6888,124.5606,65.3413,171.1759,194.458,225.6825,116.8142,237.3504,233.202,53.9538,54.2345,67.1888,75.0498,485.2203,1018.388,118.8444,14.1818,13.0418,61.4621,53.7369,513.0794,111.7826,67.9803,92.8205,503.2336,120.7597,715.9873,225.8685,112.6969,374.3097,817.4685,135.9356,178.1741,0.0
