V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_A01_02,171.0273,0.1077,0.429,0.4165,0.0198,184.6496,3.1924,70.1587,11.7765,0.0012,3.4108,4.2616,16.3613,3.3238,5.9515,6.6543,1.6837,5.4332,3.7316,6.0147,0.8114,6.1827,10.3226,5.214,28.6437,50.1767,10.5592,0.0522,1.4821,2.3027,1.2171,21.591,2.0506,2.8177,1.9932,3.9722,4.3088,16.6645,6.0907,6.6198,8.5726,7.881,5.5597,4.4895,0.0
SVN_A03,0.042,0.5765,0.0007,0.0019,0.0001,0.4633,0.0245,0.0219,0.0158,0.0,0.0201,0.0294,0.025,0.0189,0.0307,0.2195,0.011,0.0516,0.0194,0.0311,0.0019,0.0139,0.041,0.0106,0.0513,0.4023,0.0644,0.0021,0.0121,0.2388,0.002,1.7668,0.2106,0.0148,0.0402,0.0433,0.0381,0.1176,0.0592,0.0344,0.1588,0.0745,0.6301,0.0908,0.0
SVN_B05_06,0.0313,0.0003,0.4131,0.1886,0.013,1.4262,0.1214,0.0864,3.7352,0.0014,3.7775,1.4992,0.3718,2.3811,12.5389,0.3402,0.0322,0.0629,0.1443,0.4484,0.0098,0.118,89.8167,1.0102,1.0068,3.7416,0.3136,0.0003,0.0099,0.6582,0.0581,0.8166,0.031,0.0691,0.1007,0.0628,0.4738,1.1093,0.3036,0.2318,0.3552,1.6946,0.3184,0.082,0.0
SVN_B07_08,0.4202,0.0024,0.0503,2.5383,0.0476,2.4057,0.1134,0.1303,1.2466,0.0,6.0579,2.4145,0.1488,20.2782,21.0532,2.0497,0.0502,1.1924,0.0822,0.3005,0.0198,0.5407,0.5847,2.3155,23.6819,2.7478,1.2637,0.0004,0.0199,1.072,0.094,1.3927,0.0517,0.0896,0.0298,0.2536,0.8492,2.3764,0.6225,1.1227,0.3337,2.7509,0.526,0.056,0.0
SVN_B09,0.0233,0.0011,0.1244,0.4637,0.0741,0.0266,0.0011,0.0031,0.0537,0.0003,0.1086,0.0227,0.0193,0.3384,1.2463,0.114,0.0008,0.007,0.0262,0.0024,0.0004,0.0084,0.572,0.0533,1.3677,0.0363,0.1032,0.0005,0.0021,0.0325,0.0001,0.0029,0.0001,0.0,0.0001,0.0,0.0231,0.0602,0.0108,0.0223,0.0017,0.0077,0.0037,0.0018,0.0
SVN_C10T12,76.2348,0.9467,0.111,0.7469,0.0026,220.1581,0.2247,0.6571,0.8563,0.0001,9.598,4.1231,0.3309,0.5815,0.1609,2.4432,0.3594,0.9882,0.8002,0.5084,0.0506,1.894,1.7752,0.5792,4.2155,39.2521,2.1287,0.0483,1.6886,1.1807,0.0731,154.4447,0.6221,0.138,1.2792,7.2599,4.3957,4.6094,4.6235,2.789,42.6373,26.0516,11.1188,1.0259,0.0
SVN_C13T15,0.6617,0.0416,0.1463,0.2068,0.0088,1.3487,128.3491,1.4137,1.3781,0.0005,2.8743,3.0423,24.7169,1.224,0.8685,1.5161,0.2218,2.1499,0.9151,23.9124,0.1541,3.924,0.8305,1.9417,2.5901,8.8894,1.2242,0.0245,0.2102,1.1959,0.6482,3.0323,0.4867,0.2942,0.3824,0.7008,1.7011,7.8874,2.0267,2.3448,2.5997,13.4118,3.8975,0.674,0.0
SVN_C16,4.3631,0.0126,0.4711,0.2249,0.0077,1.8741,0.5165,51.1453,4.3965,0.0004,3.1301,3.4534,3.6789,2.1745,4.0081,11.7887,0.3379,4.186,1.8342,5.7672,0.158,51.7133,5.3894,2.0458,38.7893,15.348,4.0023,0.0168,0.6691,0.6208,0.0821,1.7734,0.3671,0.3121,0.4453,0.6782,1.4116,17.5761,1.1487,2.4179,1.6072,2.0137,0.7898,0.5836,0.0
SVN_C17_18,2.2811,0.0485,0.0425,0.3991,0.0072,27.1285,1.3152,2.2617,200.1917,0.0047,3.8223,88.8391,8.3628,6.6492,1.8717,3.5864,1.3851,17.5308,3.5595,7.6847,0.472,5.9937,3.0903,5.7248,3.2774,71.8844,2.7678,0.0237,0.5906,4.9211,0.8559,10.6911,15.7012,3.9563,4.0874,16.0779,1.623,57.6557,8.1157,9.1779,8.6485,5.2235,9.1672,2.8979,0.0
SVN_C19,0.0122,0.0001,0.0001,0.0003,0.0001,0.0043,0.001,0.003,0.0035,0.0,0.0035,0.0063,0.0049,0.0069,0.0092,0.0087,0.0035,0.0056,0.0053,0.0062,0.0003,0.007,0.0048,0.0054,0.0138,0.0525,0.0662,0.0001,0.0053,0.0046,0.0007,0.0072,0.0093,0.0018,0.0052,0.0126,0.0077,0.046,0.0124,0.0057,0.0056,0.0072,0.0043,0.0049,0.0
