V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_A01_02,1252.1673,0.4423,0.5957,0.8344,0.0793,1785.3454,26.084,2383.7186,1530.1149,0.2304,5.1555,1.9314,17.6825,1.0589,1.6837,2.4288,6.8342,1.1159,4.4373,0.7847,4.2463,4.506,269.2785,0.8016,39.9072,34.1784,6.4191,21.5825,12.9025,3.0317,1.3504,104.9663,23.1011,1.1801,10.0241,2.4833,13.6659,19.1763,10.7191,37.3416,21.4859,45.1812,7.8866,6.1393,0.0
FIN_A03,0.2196,27.2795,0.0288,0.0704,0.0,23.9569,0.0398,0.1054,0.3801,0.1716,0.3791,0.0708,0.1414,0.1531,0.1869,0.2918,1.3292,0.2974,1.0454,0.0661,0.0663,0.0916,0.1085,0.1264,1.0284,0.1965,0.1654,0.3185,0.0863,2.3637,0.0036,59.9938,0.1158,0.6608,1.701,1.1807,0.9705,3.5777,2.2728,2.8225,1.7944,4.3826,0.7643,1.0972,0.0
FIN_B05_06,3.7752,0.0058,0.043,0.0419,0.0182,0.5161,0.0556,35.5263,6.82,0.5066,0.2972,0.0373,0.111,1.086,0.2163,0.2202,0.3665,0.114,0.3832,0.0538,0.1583,0.6868,448.7134,0.1024,11.9204,0.5581,0.3598,0.0291,0.0409,0.1595,0.0516,0.2034,0.1933,0.0754,0.4038,0.2926,0.3785,0.3696,0.1779,0.5836,0.1961,0.5016,0.1602,0.2586,0.0
FIN_B07_08,3.0146,0.0117,9.9224,35.0105,3.8849,5.5312,0.2592,1.2804,296.9017,1.4475,38.1548,0.1746,1.7875,260.0243,128.1346,7.0356,5.0949,0.3762,1.2295,0.228,0.2049,1.6594,204.3693,0.7806,368.5372,0.8787,0.636,0.0616,0.0754,0.3046,0.094,0.4172,0.3978,0.1208,0.9253,0.4829,0.4163,0.5452,0.3563,1.6103,0.5722,0.9827,0.2626,0.3065,0.0
FIN_B09,0.5493,0.1082,3.7351,18.0611,5.7747,0.7346,0.0101,0.1117,5.0142,120.5196,3.8688,0.0659,0.2,6.5739,21.8621,1.2882,0.0644,0.0696,1.0228,0.0067,0.0098,0.1839,13.4553,0.592,44.3596,0.6866,1.7847,0.1379,0.1236,0.657,0.0013,0.0648,0.0026,0.0,0.0035,0.0007,1.5721,1.2472,0.3496,0.7138,0.0464,0.34,0.0995,0.0746,0.0
FIN_C10T12,512.8756,0.2736,0.012,0.0254,0.0047,1509.6109,8.3552,2.3048,83.4508,10.3364,403.0075,1.5258,0.851,0.4943,0.083,0.3458,0.2752,0.3301,0.6854,0.0925,0.0455,1.5463,4.8219,6.7542,61.942,17.2852,9.7783,24.112,2.767,113.8047,0.1569,1144.6367,8.1499,41.2098,106.2461,70.1658,66.5789,233.5636,126.8775,104.5548,63.9319,153.1034,42.2039,91.3388,0.0
FIN_C13T15,1.1364,0.0732,0.0916,0.3176,0.0215,3.3151,50.5361,1.483,4.4555,0.691,0.9435,3.527,8.5909,8.1345,0.4797,1.6489,0.8667,0.8432,4.9796,0.377,4.4078,11.5337,0.7822,26.9498,33.5418,14.5279,1.4956,10.2841,0.2793,6.7396,0.0313,2.872,4.4414,1.6774,9.7443,10.8719,3.2649,44.9397,32.6306,10.0755,3.6882,28.4943,2.3778,11.9515,0.0
FIN_C16,7.5852,0.1321,6.8922,2.7113,3.2828,17.5101,1.4966,664.4467,478.1672,20.6159,8.0596,1.2637,3.5457,8.9658,18.0473,10.2773,6.9137,3.4886,15.9729,2.0122,23.4207,129.4779,387.5631,2.569,2336.5705,45.3965,15.3615,3.7736,5.457,9.7887,0.4101,4.1733,3.6152,3.1284,10.5892,9.5276,22.1709,50.1434,14.3601,11.5396,7.0408,7.2459,4.6904,20.9531,0.0
FIN_C17_18,34.4079,0.6804,1.8925,6.5336,0.6615,235.8233,8.9554,54.0191,2459.6378,29.7151,84.5966,13.4935,36.5281,24.3565,22.8851,25.6546,51.1908,18.04,59.2575,6.7694,10.0038,23.3721,28.4837,29.1443,215.4657,345.6034,27.7311,14.6319,10.1514,45.1135,7.1877,34.5267,563.4096,67.2617,117.1334,59.4986,57.6012,207.4801,130.3636,112.5497,67.674,159.7337,111.9059,45.4956,0.0
FIN_C19,222.9466,6.2425,17.501,66.7712,4.6767,20.4562,1.6131,4.6071,39.7271,1383.5925,60.0279,1.0597,11.9324,24.2204,28.4667,7.9199,12.8568,5.7481,15.7964,1.9974,11.5789,14.0951,156.4689,6.9121,332.9574,109.1919,1007.6748,167.648,271.3867,88.1388,7.2471,4.199,4.4403,3.2776,9.9471,42.0315,254.5779,32.1402,51.8608,137.6199,35.0596,68.059,36.5748,39.0326,0.0
FIN_C20,124.4128,0.1106,3.4547,13.6498,1.601,56.1503,34.2374,48.1646,525.8521,75.8058,1192.3739,31.751,290.8853,50.2305,33.6599,30.7031,40.8549,46.5516,27.2032,13.796,13.176,11.7382,24.3869,72.8645,167.8001,43.833,8.5517,5.42,4.9697,19.451,1.0466,6.0258,13.4818,3.2086,15.5935,8.7669,6.4716,51.1305,45.5168,33.3735,6.9095,82.0372,16.0727,40.0322,0.0
FIN_C21,3.0392,0.0219,0.2603,2.2964,0.1142,3.7452,1.6691,1.4143,5.7939,1.2042,22.7067,45.8135,1.1494,0.7842,3.4936,2.1883,35.1391,1.6699,5.9169,0.4518,1.73,1.7562,2.1922,1.9675,15.5118,13.6692,2.3181,1.967,1.6186,1.7289,0.581,1.715,3.4214,1.3226,7.7871,2.6941,1.7837,15.2284,5.085,22.5738,7.8262,552.5729,1.3158,1.6908,0.0
FIN_C22,6.4076,0.125,0.7794,2.0007,0.2895,123.5216,4.0543,21.1803,56.1029,14.9617,27.1541,18.7553,176.6611,22.2555,8.5916,25.9231,32.0259,27.9505,84.7447,13.9954,13.4826,35.0241,4.7567,5.6813,624.2951,32.8317,46.514,1.8694,1.6559,17.1247,0.3993,5.6739,5.9638,2.5819,7.1638,7.2821,3.7416,18.4796,46.8493,26.6859,5.9949,32.2725,7.2251,23.7595,0.0
FIN_C23,7.4616,0.037,7.814,29.3173,3.9916,10.0109,1.7964,50.0187,52.9182,2.0971,28.6955,1.3912,16.5038,360.9683,14.1361,72.041,13.6024,4.2281,22.3038,11.1991,26.0231,23.4929,18.8351,4.5327,1890.4458,51.424,4.2403,3.3929,2.451,2.217,0.8039,2.8966,5.9573,2.1544,9.6718,6.6481,3.3661,29.6444,12.6108,13.4908,2.3913,17.4159,2.5097,11.2667,0.0
FIN_C24,0.0,0.0,34.3057,95.642,18.5411,0.0681,3.163,40.9892,16.1149,5.4823,3.1954,0.1808,26.8989,110.1711,1982.5385,1241.7678,19.2522,342.7815,622.1683,47.2733,104.6274,100.2263,0.1015,2.4515,82.8434,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0031,0.0064,0.0,0.4936,0.0
FIN_C25,25.6254,0.2137,3.0405,7.4711,1.3309,91.7236,1.5217,44.9996,28.5549,20.5463,17.5257,3.1072,45.4443,53.6044,378.3862,682.9742,91.2889,150.9552,1208.8462,69.5314,238.4196,149.9418,13.3079,31.6292,1654.2122,53.2383,23.1657,11.6844,13.2754,83.0279,2.1659,8.8282,13.1905,31.366,30.124,20.8787,16.5583,76.9263,36.6774,108.4858,29.9776,23.5276,14.8926,28.46,0.0
FIN_C26,112.2572,0.2987,1.0071,3.3827,0.4882,45.4092,4.4548,20.0311,88.7623,21.7492,36.7336,13.2558,15.8675,13.6244,26.5754,37.866,552.9531,104.733,171.6301,10.7045,23.3647,56.9042,50.2773,21.0343,233.4151,332.4006,39.5827,93.8766,71.5562,50.5682,11.4091,44.2305,177.699,69.8665,403.8901,215.4867,34.0992,341.6146,95.1604,278.3827,58.9995,177.8218,59.7364,57.5545,0.0
FIN_C27,15.3461,0.2718,1.7697,4.0109,0.6513,21.8887,1.1974,9.3752,33.2742,9.8534,11.1336,2.6175,7.8835,6.707,14.2963,49.3764,106.8937,419.3946,183.7643,5.8321,24.4735,85.1058,10.094,44.8145,459.6092,86.3462,26.5362,15.6313,16.7852,7.2588,1.8563,7.7098,14.2131,8.1041,24.0544,12.333,6.0291,58.4197,31.7153,55.6248,17.8301,36.0696,10.8874,16.3524,0.0
