V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,188.6088,9.0826,0.0,2.1354,0.0208,1720.6961,25.6345,17.0933,6.9873,0.4541,4.6338,1.7647,2.6635,0.0739,0.004,0.0174,0.0158,0.0077,0.0145,0.0122,0.0091,9.8723,0.0,0.0,0.7021,115.3662,0.0001,0.0,0.0,0.0,0.0,82.2422,0.4014,0.0,1.7465,0.0,1.8048,6.6778,4.3154,28.4522,0.5047,1.1175,1.8374,3.0204,0.0
TUN_A03,25.9729,59.0115,0.0,0.2914,0.0,248.2328,3.4806,0.5579,0.4841,0.0976,0.7175,0.5073,0.2932,0.0066,0.0007,0.0026,0.0022,0.0023,0.0025,0.0019,0.0018,0.8751,0.0,0.0,0.0951,8.342,0.0,0.0,0.0,0.0,0.0,62.557,0.7663,0.0,0.5039,0.0,0.5073,1.9658,1.1656,7.9315,0.1943,0.5144,0.9587,1.3967,0.0
TUN_B05_06,1.7152,0.2561,79.9576,28.0195,3.2861,26.1462,14.0864,2.2992,7.4872,320.5278,12.7348,0.3334,2.9372,7.1823,6.8496,4.5183,3.3461,2.2341,3.3772,2.7752,2.3562,3.0775,370.2116,3.6686,7.5232,8.5586,0.1381,0.0236,0.0247,0.0391,4.7832,28.2879,1.3754,21.0925,1.3289,17.4379,1.4799,4.2203,2.8345,3.8368,0.084,0.095,0.0687,0.2759,0.0
TUN_B07_08,0.0,0.0,1.0453,17.1373,2.7312,4.1255,2.5925,0.0069,0.0415,18.559,175.4985,13.0631,0.0161,42.204,0.2141,0.1744,0.0897,0.1253,0.1206,0.073,0.0339,0.0215,0.0,0.0,85.2994,0.1657,0.0148,0.0013,0.002,0.0069,0.0,2.356,0.0011,0.0,0.0011,0.0078,0.0012,0.0044,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,0.9278,0.7917,134.4075,11.4347,25.6796,1.3583,0.1168,0.0169,0.3238,11.5778,2.1749,0.0978,0.077,5.5899,4.0575,0.7764,0.0275,0.0344,0.2503,0.0106,0.0234,0.0411,3.0227,0.4035,13.9329,0.1138,0.8194,0.0437,0.0425,0.2247,0.0011,0.0672,0.0001,0.0,0.0007,0.0002,0.2018,0.1854,0.0626,0.5636,0.0006,0.0028,0.0041,0.0026,0.0
TUN_C10T12,205.9907,18.2632,0.8033,0.8482,0.3493,587.8815,9.1167,0.0875,0.1182,1.0626,31.4759,9.5641,0.1034,1.2677,0.3051,0.3506,0.3105,0.2187,0.3294,0.2782,0.0862,0.1586,0.6218,3.1767,5.7334,34.7921,3.7911,0.6806,1.3091,0.3779,0.3523,408.1635,0.3332,0.3707,3.4865,3.0328,3.6584,11.6555,6.752,31.8725,0.6267,1.4545,1.3565,1.4291,0.0
TUN_C13T15,0.3176,0.1133,5.1957,1.3544,0.1696,5.6183,834.1602,0.5632,2.6858,0.4027,0.1564,0.0623,2.2591,1.1174,0.0234,0.0899,0.1538,0.0688,0.1037,0.2168,0.0488,8.2732,0.2263,3.4911,2.4418,11.0112,1.1613,0.3253,0.4143,0.594,1.0808,1.3154,1.336,0.7697,4.1191,0.0265,3.7359,13.5527,10.3274,40.655,0.6323,1.7412,2.1716,3.6557,0.0
TUN_C16,0.7348,0.07,1.1226,0.9434,0.1588,13.1536,7.8906,88.5513,13.9785,0.0023,0.9156,0.1474,4.9485,2.6611,0.6515,3.8429,2.8786,1.6057,2.7566,1.8841,1.3225,53.9286,0.0969,0.6646,102.7222,2.5994,0.5844,0.1275,0.087,0.5243,0.068,0.0902,0.7499,0.0702,0.5744,0.4583,1.2662,1.7044,1.5753,2.7802,0.0668,0.0658,0.2739,0.3995,0.0
TUN_C17_18,0.4726,0.0839,0.9903,0.7523,0.1798,48.6551,22.1761,6.0173,103.1139,0.0035,3.047,1.5929,3.2331,2.5874,0.7182,2.982,5.399,2.9274,3.0273,1.6403,0.6559,5.408,0.0846,1.4453,4.2047,13.0721,1.2903,0.1724,0.3311,1.0045,0.7724,0.3713,40.9246,0.9398,2.9903,6.6721,1.9733,11.556,4.0491,10.768,0.3099,0.2834,0.8149,0.5888,0.0
TUN_C19,48.9457,9.274,8.2019,9.026,3.581,17.1725,10.4994,1.1042,1.4688,0.0303,5.9816,0.5951,1.2651,15.1083,3.5938,3.9011,3.2668,2.4005,3.5409,1.7278,0.6068,1.5003,7.9148,1.9003,41.231,10.5569,48.005,8.5195,16.486,4.6456,2.6904,2.6068,0.5136,1.7202,0.9726,0.3446,1.6913,2.8679,3.9223,10.1474,0.0923,0.2205,0.3226,0.2482,0.0
