V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,636.6281,0.0015,0,1.6065,0.0001,4806.8618,19.5282,147.2374,45.8562,5.769,102.7715,18.463,10.3405,5.1745,11.3864,11.0134,0.5022,0.5995,1.633,1.0828,0.309,6.038,24.2795,8.2991,29.6366,177.1191,7.1613,0.0416,0.1797,3.255,0.2435,219.76,3.0563,1.4197,5.5836,2.6327,3.8508,18.122,86.0423,13.6512,4.2202,65.4504,2.6144,13.6723,0.0
BEL_A03,0.0029,1.2746,0,0.001,0.0,8.4956,0.0018,0.0027,0.0043,0.0304,0.0942,0.0168,0.0062,0.0221,0.0205,0.0952,0.0034,0.0055,0.0069,0.0133,0.0009,0.0071,0.0054,0.0022,0.035,3.3417,0.4163,0.0349,0.0831,0.7116,0.0397,27.9258,0.092,0.0168,0.0199,0.0442,0.0072,0.2109,3.5921,0.0093,0.0368,0.3296,0.0259,0.1096,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,1.1975,0.0255,0,9.1972,0.0013,2.1143,0.2253,0.2412,2.5128,8.0115,20.663,0.4067,0.1606,110.5461,56.4341,0.0411,0.0275,0.3073,0.2723,0.7078,0.0099,62.0189,0.1097,3.6778,190.1454,107.5569,7.1721,0.0143,0.0505,3.7525,0.0148,27.3934,0.0383,0.0426,0.1575,0.0444,2.6636,0.2416,1.1161,1.1465,0.0233,0.11,0.3301,0.4569,0.0
BEL_B09,0.0003,0.0,0,0.0026,0.0,0.0011,0.0,0.0,0.0007,0.1697,0.0067,0.0004,0.0002,0.0048,0.0212,0.0011,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0077,0.001,0.0332,0.0007,0.0014,0.0,0.0001,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0009,0.0011,0.0004,0.0006,0.0,0.0002,0.0,0.0,0.0
BEL_C10T12,1729.8319,0.0559,0,0.0683,0.0001,7523.1787,3.3287,2.175,32.9175,89.0443,500.4951,15.8919,6.4384,1.3091,2.3432,24.2001,0.5254,1.0026,4.3159,3.1881,0.1506,4.4349,14.548,53.3595,41.229,457.391,12.0264,0.1472,1.2626,65.4436,1.4711,3105.9483,20.097,6.5528,12.0828,10.6874,0.727,72.4345,49.6502,229.3635,52.2047,594.8424,118.4776,38.1782,0.0
BEL_C13T15,3.5381,4.3379,0,0.7648,0.0002,37.6186,530.5066,2.6202,50.2406,8.4704,38.174,6.2124,40.7971,6.5057,7.38,8.3533,2.4048,1.9433,6.5925,81.1174,1.6465,113.6814,1.2432,6.1787,122.2468,74.2817,2.5686,0.087,0.3833,7.4973,0.3604,20.2112,3.3362,2.2562,4.7576,2.9556,9.6159,27.1192,34.7337,12.2116,4.226,63.8716,7.0599,30.6624,0.0
BEL_C16,9.4706,0.1145,0,1.6866,0.0002,76.6302,2.4812,510.5125,38.9689,7.3604,45.1046,4.8748,18.703,32.4238,20.221,28.8588,2.9452,7.1357,39.4939,10.7735,2.3306,139.5372,88.444,12.6715,934.3081,66.2344,14.7769,0.2123,0.329,10.0249,0.2561,10.0696,1.5986,0.7737,2.4388,3.1897,187.9863,30.4705,65.4392,8.1401,8.138,24.8607,20.734,22.1225,0.0
BEL_C17_18,8.0155,0.1213,0,0.6296,0.0002,417.0508,23.6883,37.4569,774.4835,14.2369,93.3862,72.2235,70.7571,36.1349,40.4023,18.0256,7.665,12.1127,11.8872,13.818,1.5169,39.6734,4.8851,15.6442,52.8495,789.8944,14.2622,0.1428,7.2632,104.7349,6.1373,40.4681,425.145,11.3966,14.3588,88.6604,17.4315,352.9676,202.4621,235.3034,62.1125,110.3636,27.1578,79.448,0.0
BEL_C19,215.3419,12.0508,0,14.3584,0.0072,209.2073,46.3824,33.202,71.0068,5629.8512,1761.3659,90.1009,178.7028,96.185,131.4379,64.455,18.954,20.1358,37.2798,30.5884,5.2586,70.0904,35.1843,88.0716,436.0819,603.5526,657.9188,98.7358,458.5231,216.1415,28.3964,78.808,21.5646,17.1112,71.4428,124.2736,62.824,363.4527,319.3051,266.1904,48.6113,243.4544,21.333,50.3739,0.0
BEL_C20,218.4427,0.676,0,7.9463,0.0025,425.1363,194.712,96.6869,278.2676,1270.5718,3416.4999,307.1646,991.4212,123.9986,229.2088,106.3582,31.7002,53.4359,43.8565,62.2038,6.8426,77.8258,81.0212,46.707,380.5101,340.7617,37.7524,6.1435,20.9184,46.2955,3.2375,36.4447,28.7407,15.1941,69.1019,75.2292,66.0565,190.1424,118.7475,57.9402,21.4849,291.3664,9.2239,51.5761,0.0
BEL_C21,60.2142,0.0518,0,0.7738,0.0005,229.8219,8.4322,6.3372,9.5081,47.3013,163.5403,1965.5706,29.2658,6.7028,35.7316,12.2404,5.7815,4.9855,11.1727,7.593,2.9078,12.6773,6.5541,7.0834,60.6478,190.3903,9.9678,3.1113,14.3193,15.0226,2.7038,18.4884,21.3415,22.5518,36.5836,30.7765,6.0209,428.7318,76.7101,45.1079,165.6741,1948.0411,8.1249,9.5242,0.0
BEL_C22,16.7321,0.2067,0,2.5827,0.001,351.0991,34.0934,28.7472,156.801,57.2931,308.2192,79.9653,280.9389,43.8502,142.0346,99.0882,26.0916,35.325,87.3974,191.8385,15.6681,96.3237,13.0443,112.2512,811.6737,220.6329,23.4593,0.5987,2.5071,24.0977,1.5113,37.8766,6.8696,5.4363,9.3208,10.1353,81.0315,41.1311,56.8147,45.1131,4.0037,59.3773,3.5867,24.7313,0.0
BEL_C23,12.2858,0.0669,0,10.901,0.002,127.8787,7.6335,9.5864,13.5049,25.3329,53.7446,85.1687,31.5583,471.793,159.2329,35.1395,17.0939,17.0719,10.0792,62.9388,2.2519,58.5326,11.8454,18.5757,3059.7679,347.2795,16.8452,0.081,0.9566,16.0174,1.3261,31.2684,1.3147,1.1072,5.2279,4.379,378.5917,29.6697,147.7064,11.6959,21.3603,14.281,2.2003,11.5829,0.0
BEL_C24,0.0,0.0,0,0.1347,0.0016,4.9943,2.1168,6.2479,3.5681,3.0218,142.0392,0.7325,48.7146,69.6661,3403.4737,1217.9197,88.6778,259.5572,365.2535,90.1978,17.1083,64.8278,27.7347,8.7162,533.4359,127.4777,16.741,0.0008,0.0337,14.581,0.0,0.1478,0.3346,1.6268,0.1189,0.0,29.062,26.514,5.9533,10.2061,20.2163,12.8767,0.0,0.469,0.0
BEL_C25,62.1165,4.2177,0,8.529,0.0054,252.9036,48.5592,58.0049,80.7679,73.0375,225.2188,50.5085,69.7688,71.0686,487.5619,1168.4135,120.9909,62.5294,375.2193,293.0261,47.6171,399.6855,49.1135,130.3989,1599.6323,332.5503,70.6096,23.1328,70.6755,113.0032,9.6058,54.448,9.0107,33.3773,28.7076,28.5353,138.7065,173.2154,149.5614,154.949,19.4806,87.9658,28.3478,29.216,0.0
BEL_C26,15.0862,0.5973,0,1.2683,0.0006,21.0979,5.0752,9.0001,14.9026,13.1487,26.012,75.3236,8.0981,5.754,45.3657,22.5564,187.6029,36.8197,44.8097,75.4101,7.8446,57.4627,16.0612,30.8751,78.6462,107.8211,17.0684,6.0664,20.4326,12.9894,2.8766,6.4155,4.6183,60.4174,61.6462,41.8177,6.0004,83.9119,57.9263,34.7248,6.9165,28.3945,9.6029,12.2899,0.0
BEL_C27,3.7518,0.3685,0,0.3213,0.0003,17.724,2.0936,2.5277,5.8226,8.563,17.1796,22.4431,9.9189,2.8796,13.7063,25.7766,53.0287,108.4229,84.8714,92.4557,1.5992,98.2228,2.2939,4.7969,329.0107,50.7036,3.7072,0.6489,2.4758,6.8482,3.0722,4.206,1.6282,12.1334,9.2098,4.0998,15.9698,26.9085,12.4185,11.2031,2.6257,5.156,1.588,3.3838,0.0
