V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,318.4098,1.4726,0.1427,4.246,0.0042,1744.2627,3.5638,26.1961,10.1735,0.7574,3.796,0.6321,7.0809,2.0206,0.4108,0.2778,0.0495,0.3717,0.0275,0.0536,0.0131,6.8702,0.2185,0.4773,6.2733,3.2232,0.0717,0.0945,0.017,0.2957,0.0247,130.8052,1.5475,0.1057,0.2715,0.5236,2.5475,5.0184,3.6645,3.6795,24.0282,18.3166,1.8297,3.7876,0.0
CRI_A03,0.0008,4.6856,0.0,0.0,0.0,64.7174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0748,0.0,0.0019,0.0,0.0,0.0,0.0,0.0119,0.0797,0.4345,0.1353,0.0,0.0,0.0
CRI_B05_06,0.1393,0.0,0.0464,0.5573,0.0012,0.0162,0.0,0.0023,0.0028,0.7047,0.4583,0.0098,0.0012,0.4019,0.0001,0.0001,0.0,0.0032,0.0002,0.0,0.0,0.1518,0.0499,0.0056,3.1555,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0011,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,1.2594,0.0199,0.043,6.4095,0.0063,2.8395,0.0001,0.1816,0.0055,0.2399,1.707,0.0142,0.0046,25.2176,0.0008,0.0003,0.0,0.0048,0.0003,0.0,0.0,0.2925,0.3075,0.183,295.8834,0.4035,0.1794,0.1131,0.0157,1.5966,0.0,0.0034,0.0,0.1307,0.0,0.0,8.343,0.1197,0.2795,0.1525,0.1653,0.0014,0.0121,0.1219,0.0
CRI_B09,0.0094,0.001,0.0013,0.0769,0.0003,0.0124,0.0001,0.0001,0.0053,0.1049,0.0148,0.0002,0.0009,0.0338,0.0262,0.0015,0.0,0.0001,0.0001,0.0,0.0,0.0012,0.0506,0.0034,0.2199,0.0028,0.0062,0.0011,0.0002,0.0018,0.0,0.0007,0.0,0.0,0.0,0.0,0.0058,0.0032,0.002,0.0021,0.0003,0.001,0.0002,0.0003,0.0
CRI_C10T12,183.5149,14.4595,0.01,0.467,0.0012,740.0251,0.8912,0.0667,2.0966,2.7083,41.4914,7.8199,4.1091,0.9416,1.1471,0.4789,0.1121,0.6678,0.0495,0.032,0.0066,8.6639,1.1921,1.8585,6.8479,26.8601,2.3715,4.0232,1.0592,0.6973,0.275,493.0553,1.0687,2.3288,0.5894,2.3958,1.8972,5.6648,2.5344,11.876,38.1584,29.7974,5.9626,13.4922,0.0
CRI_C13T15,2.1471,0.272,0.0064,0.2993,0.0006,3.3824,29.166,0.0134,8.3461,0.0971,0.209,0.1184,0.7195,0.0911,0.3821,0.0853,0.0451,0.2814,0.0209,0.0212,0.0051,7.0425,0.6358,0.7266,0.7541,2.9993,0.1429,0.1154,0.0398,0.3375,0.0468,3.6936,0.4211,0.6389,0.1704,1.5899,0.6973,2.3022,1.7535,2.1244,1.4389,5.0307,0.9256,1.6832,0.0
CRI_C16,9.371,0.0744,0.0002,0.0066,0.0,8.8829,0.1765,19.0425,0.3604,0.06,1.4097,0.0813,2.1338,3.6047,0.4078,1.0134,0.0021,1.0862,0.0805,0.2528,0.0662,13.2973,0.0335,0.3792,35.0393,1.8362,0.0812,0.0885,0.0145,0.1455,0.0997,0.5577,0.0659,0.0327,0.001,0.0227,10.9599,0.1492,0.0278,0.6406,0.2764,0.6434,0.0803,0.4345,0.0
CRI_C17_18,72.0305,0.0493,0.0017,0.1317,0.0002,48.109,1.53,0.0677,93.7461,1.2826,10.6805,3.4653,2.4923,5.5558,1.31,0.4175,0.3375,2.0304,0.1512,0.0803,0.0145,24.394,0.4552,0.754,4.982,34.5083,0.422,0.2831,0.0843,0.9053,0.4749,18.1809,20.7418,1.1264,2.5948,4.9949,8.3689,33.7455,10.0964,5.7349,20.2306,21.2269,2.8662,6.2682,0.0
CRI_C19,20.6556,1.6791,0.0687,4.7067,0.0053,12.9198,0.3414,0.2898,1.1031,0.3537,1.2334,0.3703,1.2416,5.8907,1.3828,0.5371,0.0288,0.1372,0.0102,0.091,0.021,4.5156,1.1703,1.6652,16.7074,11.8102,31.7744,26.1972,9.0834,4.9162,0.3205,7.044,0.4868,0.7922,0.5308,0.591,0.6539,4.7818,7.2574,2.718,1.2445,2.8282,2.3425,2.2117,0.0
