V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,3763.6208,0.5552,6.1019,5.713,2.2137,9017.3984,28.189,559.4141,217.5247,2.0931,33.7927,144.0485,31.3872,8.4769,6.5198,14.4002,4.4172,4.3262,11.1264,14.1217,10.5402,14.2184,388.209,11.6885,275.5164,244.1445,46.5404,3.6451,23.2,19.0413,4.718,73.0991,20.6825,11.4554,29.5278,96.8732,83.3153,143.6825,78.2088,64.6822,36.5736,114.0442,33.3144,11.0855,0.0
GBR_A03,0.1632,262.262,0.2279,0.0548,0.0585,701.4067,0.0443,0.0471,0.1489,0.0929,0.1839,0.0856,0.1303,0.0975,0.1613,0.2197,0.0968,0.0743,0.1705,0.2963,0.1255,0.1804,0.1712,0.2418,1.7509,3.6542,0.714,1.3189,0.9055,1.3288,0.1058,175.6292,0.8873,0.2181,0.5442,1.9679,12.0103,4.4638,3.0096,1.285,0.9748,1.6161,1.2889,0.2112,0.0
GBR_B05_06,24.4303,0.0014,216.7924,6.6262,0.5473,3.8425,0.0018,0.0037,0.9536,5808.8255,305.4171,2.1374,0.6993,19.5923,251.1654,0.0373,0.0013,0.5186,0.0055,0.0123,0.4988,3.4496,3588.1465,0.0537,5.0755,2.5758,1.4842,0.5705,0.0879,3.7721,1.1332,0.1396,0.727,1.6367,0.7784,3.2796,72.417,51.0746,5.6891,7.7932,6.9693,7.4736,13.648,36.2934,0.0
GBR_B07_08,5.5404,0.1466,1.0466,554.0444,5.5909,47.1436,1.1713,3.6097,4.8059,0.7667,68.7256,4.4595,26.0758,942.4993,23.3088,272.4143,4.3335,13.1246,3.122,61.1782,8.6637,27.1804,2.8973,8.375,2476.0185,68.6333,17.1957,1.2148,4.3089,10.3783,1.7204,11.4145,3.9644,2.3385,6.9117,16.4849,36.622,24.6285,121.0788,21.3682,21.7782,17.3726,12.1692,10.6486,0.0
GBR_B09,4.789,0.183,2383.9426,312.8344,1135.2674,26.8925,1.7326,2.2349,6.1287,1.5545,8.3796,2.6555,4.9741,8.9068,4.2606,6.6471,2.4344,2.7379,7.2566,9.4121,8.1303,5.4811,7.3147,5.7153,347.5415,102.1795,50.7346,1.0358,2.577,8.1681,4.1232,8.7347,7.7141,3.4819,11.4462,42.0407,8.2883,94.9981,26.724,19.9852,14.6191,36.1896,5.9892,3.4836,0.0
GBR_C10T12,1178.6986,242.9913,24.0644,15.5101,14.1001,16503.7178,58.3495,26.858,94.4641,18.0599,331.3048,62.1611,141.1535,36.9412,33.4498,60.7234,214.0566,164.8351,422.4577,200.819,50.6403,62.1676,84.37,47.2919,241.241,1637.2977,918.5715,53.5067,43.6343,756.0036,67.4228,11550.1408,578.0263,57.3622,241.6963,454.0107,289.4857,299.8733,459.2255,177.7402,1570.0982,1722.9283,642.2698,265.5649,0.0
GBR_C13T15,14.597,1.1318,3.6695,2.754,3.1371,46.7268,748.9205,7.4238,56.4285,2.4147,41.0744,12.1289,53.6181,13.7078,7.6965,19.6493,12.2998,8.092,19.3511,209.2098,17.5234,152.5796,13.1863,8.4357,244.0103,508.5768,14.8846,1.2213,8.2973,11.0467,2.8369,28.0355,26.2955,6.0799,13.9874,49.345,28.4985,132.9211,23.197,81.9069,40.4735,124.4681,18.8445,50.028,0.0
GBR_C16,2.7858,0.1862,13.3913,4.2512,1.4206,19.7113,3.7111,1687.273,290.4492,0.4551,10.6979,6.5765,8.7772,45.9519,4.7922,124.8142,3.9612,15.8254,9.342,115.3214,58.816,1212.6784,3.9232,6.1648,3943.0551,72.7247,7.489,1.042,3.1854,8.2403,2.2407,7.9703,12.6914,3.3545,10.1367,37.2676,41.7386,26.5802,223.3052,19.443,58.2938,32.9667,20.2131,80.8373,0.0
GBR_C17_18,73.9338,1.1108,7.5736,8.6352,3.6961,916.7114,42.1119,47.296,3836.0978,2.391,323.2109,83.08,286.487,60.2806,16.6348,76.8262,62.692,51.2799,62.9145,99.1947,34.5145,181.3271,42.5961,93.3292,298.8211,2156.8295,66.7284,6.6094,14.367,259.4859,79.7247,171.1424,2237.3956,226.6992,406.8316,2307.7504,105.9064,1047.5499,526.0992,1395.6091,1903.7039,1760.5995,679.1907,216.9014,0.0
GBR_C19,676.501,23.0427,62.768,66.5815,2.0196,124.5638,7.6796,33.8021,38.9014,632.5828,335.6408,2.5075,41.5952,165.3157,14.8554,81.6475,3.8465,13.5934,32.649,28.3622,7.9143,209.4381,3.0967,107.8266,1495.4232,2651.5604,2391.3589,322.2728,2753.7992,571.7533,141.9132,71.383,31.3123,58.8145,48.104,528.3263,86.61,463.027,607.0093,410.8538,172.1124,271.3753,66.982,87.7869,0.0
