V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1846.9834,5.1175,0.1249,0.4016,0.1269,2952.0595,9.0631,122.2429,11.4572,11.0611,96.358,13.5615,73.7636,6.4276,5.1179,9.5128,6.3111,5.4118,12.5409,30.0905,0.9414,17.2359,39.9015,14.4257,64.4785,549.3583,17.865,1.0154,5.5148,13.0385,1.1087,97.0729,8.862,3.9634,2.7672,4.0794,27.3066,22.7681,46.8013,20.2034,7.0474,19.8777,9.7354,13.5104,0.0
HUN_A03,0.8624,3.8077,0.0001,0.0006,0.0002,1.6999,0.0066,0.0019,0.0037,0.0101,0.0236,0.0759,0.0216,0.0045,0.0048,0.0122,0.0169,0.0117,0.0268,0.1823,0.0017,0.0123,0.0157,0.012,0.21,0.2362,0.0226,0.0212,0.0008,0.0232,0.0032,6.8934,0.0293,0.012,0.0366,0.0212,0.0927,0.1543,0.1236,0.0807,0.0135,0.0466,0.3166,0.0384,0.0
HUN_B05_06,0.5125,0.0015,0.0062,0.0119,0.0013,0.539,0.051,0.0213,0.1557,16.2276,1.2486,0.1689,0.1287,0.454,1.1201,0.1195,0.0731,0.0699,0.1602,0.2914,0.0317,0.0348,4.2852,0.1829,1.4665,1.3998,0.2652,0.0034,0.003,0.3074,0.0286,0.4387,0.0285,0.0454,0.0387,0.0759,0.6066,0.3139,0.2257,1.1273,0.584,0.6147,0.2682,0.0854,0.0
HUN_B07_08,7.4138,0.0197,0.1093,0.251,0.2644,1.9891,0.7573,0.7943,1.6952,0.2272,12.9449,0.4502,2.4906,35.4644,8.441,1.1715,0.7757,2.9112,2.3766,3.4407,0.219,1.8248,1.3546,1.3909,52.3672,4.7858,1.5282,0.1121,0.0094,0.9384,0.0076,0.1714,0.0668,0.0396,0.721,0.0165,15.5716,4.3672,1.2493,2.3577,2.3497,1.7573,1.4255,1.0393,0.0
HUN_B09,0.3329,0.0007,1.2678,0.0272,0.4575,0.3469,0.0311,0.2008,0.1164,40.2892,0.7785,0.1474,0.6308,0.3364,2.1113,0.1171,0.1069,0.1155,0.5984,1.8006,0.0619,0.7642,3.0647,0.2345,5.5095,1.0653,0.223,0.0081,0.0381,0.1535,0.0176,0.2503,0.0527,0.033,0.0641,0.062,0.2395,0.7162,0.3602,0.3887,0.261,0.5942,0.274,0.0753,0.0
HUN_C10T12,549.6052,2.0206,0.0827,0.1636,0.1233,965.7209,4.7908,2.4036,10.9767,9.6564,77.9537,14.4332,14.1095,4.374,4.5622,6.4482,4.4155,4.7185,6.9568,19.381,0.7137,7.8405,9.6565,6.7332,14.3341,142.8591,6.5629,1.6333,4.7512,2.9645,0.537,889.4588,5.772,1.1153,1.9863,2.9267,14.0527,27.4852,36.8938,18.6719,4.7487,82.3443,10.6073,8.371,0.0
HUN_C13T15,2.2017,0.0171,0.0752,0.0766,0.028,4.4659,149.8971,0.5741,4.9676,0.4247,1.2557,1.6171,32.4332,3.0415,1.2927,1.7218,4.9351,3.9505,15.1714,75.8866,0.3589,28.5021,1.1341,3.2027,16.4724,15.4904,2.8534,0.173,0.2394,3.2626,0.6375,3.5781,0.3765,0.5305,1.1789,0.6905,2.2149,5.0246,5.087,4.2672,1.2852,11.472,25.0243,22.4399,0.0
HUN_C16,19.0271,0.0271,0.0208,0.0783,0.0234,14.2276,1.9507,114.9584,2.7533,0.903,9.9007,0.8219,10.0455,14.4481,3.3106,15.6777,2.7458,10.1499,11.797,24.7129,0.6292,74.1678,38.8147,2.1283,153.9867,43.7044,6.2508,0.3592,0.7612,1.8604,0.1668,1.4291,0.2499,0.8471,0.3095,0.401,16.0387,11.4918,7.4803,2.3287,0.7871,2.574,2.0028,4.8675,0.0
HUN_C17_18,12.0862,0.039,0.0349,0.1802,0.0139,118.5367,4.2051,7.8642,400.2367,0.8516,34.5264,26.3602,34.4979,10.7219,2.5893,8.9741,12.6613,23.7542,11.203,14.2289,1.0974,20.2966,1.405,1.8892,6.107,249.4052,8.4983,0.5803,0.4763,4.6733,5.1065,8.2451,173.4587,2.1942,7.6136,49.5409,44.9619,38.3214,37.0639,63.848,22.3891,7.2297,18.696,9.9047,0.0
HUN_C19,191.0486,1.4342,0.4525,4.0018,1.9543,50.4518,4.9281,6.4349,9.3212,277.4393,359.3249,13.1379,36.5573,42.9649,80.8154,14.1962,6.1975,13.1562,15.9807,30.7616,1.3943,12.9762,46.664,37.8231,116.9123,248.1515,748.4742,39.5224,241.3215,76.2277,7.2387,12.1603,2.6345,5.1185,6.536,14.0392,32.438,44.4167,53.3118,36.4324,14.1074,31.8662,17.322,17.4002,0.0
