V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,43.0063,0,0,0.0034,0,117.7005,0.3751,3.1139,0.2158,0,1.7066,0.3607,16.7142,0.2712,0.685,0.226,0.0419,0.0252,0.2779,0.0272,0.0435,0.1377,3.4332,0.0198,1.5181,0.8069,0.4094,0.0341,0.2737,0.0823,0.0262,2.5418,0.028,0.0986,0.5111,0.2531,0.4981,1.0938,0.372,0.3349,0.0991,0.8839,0.2414,0.3674,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0373,0,0,0.3479,0,0.0505,0.1424,0.0,0.0304,0,1.5678,0.0326,0.8831,37.7977,30.997,0.4376,0.0216,0.023,0.2119,0.0074,0.0174,0.0416,1.9814,0.1651,10.3873,0.0,0.4783,0.0004,0.0059,0.0279,0.0013,0.0086,0.0,0.0,0.0,0.0,0.1557,0.0249,0.0158,0.0034,0.0002,0.0,0.0,0.0006,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,21.7669,0,0,0.0344,0,74.2938,0.1358,0.094,0.5799,0,19.3243,4.3425,12.5536,1.794,6.0048,1.719,0.2862,0.1666,2.9002,0.1526,0.2046,0.5204,0.036,0.0448,2.0152,0.7188,0.0526,0.955,9.6395,1.3198,0.3211,193.6448,0.0522,0.0581,0.0,0.0024,3.0154,4.5397,7.6987,1.2541,0.369,39.4455,1.7231,0.4711,0.0
LUX_C13T15,0.5952,0,0,0.0297,0,0.973,95.0485,0.0654,0.5818,0,0.6066,0.2229,41.4764,2.0452,4.5443,1.8468,0.323,0.1613,2.7969,1.0767,0.7701,2.2943,0.1507,0.0422,4.1783,4.9471,0.8448,0.0815,1.1717,0.2657,0.3612,0.2776,0.0569,0.0108,0.1447,0.0058,0.5135,2.0759,2.9889,0.7334,0.0384,2.1083,0.1727,1.4993,0.0
LUX_C16,0.051,0,0,0.0094,0,1.4733,0.501,20.0291,0.9158,0,0.7421,0.0691,15.5655,6.4223,14.3978,4.7965,0.2523,0.3093,3.4105,0.6486,2.6042,6.8292,0.2647,0.0844,62.9056,2.1573,0.2153,0.0215,0.1707,0.3062,0.0643,0.1129,0.0247,0.0322,0.1541,0.0923,2.9909,2.3053,0.8907,0.1388,0.0201,0.1899,0.0316,0.2554,0.0
LUX_C17_18,0.0055,0,0,0.0192,0,4.9513,0.107,0.0558,21.4588,0,1.4783,0.8579,22.2651,4.2445,6.1149,2.6884,0.8661,0.4245,4.0043,0.2663,0.2869,0.5833,0.0708,0.0163,1.0054,36.4192,0.4306,0.0593,1.6676,0.7227,1.9329,0.1078,2.3453,0.1531,37.6603,1.7207,2.9475,8.562,10.0523,0.5032,0.1838,0.3658,0.095,0.3508,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C20,1.2274,0,0,0.0515,0,0.835,9.4706,3.8389,0.8248,0,12.2521,0.9142,146.9114,4.6725,11.8297,2.631,0.4946,0.4731,2.484,0.2998,0.5468,0.4136,0.0723,0.1011,2.9499,1.6682,0.0553,0.0112,0.2073,0.0671,0.0235,0.0739,0.1013,0.0031,0.556,0.0966,0.4445,0.9822,0.5698,0.1328,0.0228,0.461,0.0579,0.2235,0.0
LUX_C21,0.2278,0,0,0.0,0,0.5098,0.0,0.0027,0.018,0,0.9121,7.8521,4.0897,0.1362,0.608,0.0911,0.0295,0.0229,0.2336,0.0093,0.0154,0.0378,0.0023,0.0,0.0114,0.6085,0.0,0.0048,0.0565,0.0112,0.0152,0.0282,0.0024,0.0015,0.1397,0.0,0.0221,1.4924,0.0984,0.0,0.0076,25.1057,0.0306,0.1928,0.0
LUX_C22,0.0134,0,0,0.6127,0,39.8112,275.4812,1.5222,9.295,0,20.6783,6.0005,2132.0374,49.5176,74.0121,47.8941,17.4548,13.8381,126.9467,22.7669,9.3188,12.6383,0.0159,0.0,118.7628,94.0088,24.2293,0.3032,9.1113,3.4716,2.1717,0.4122,8.1247,0.1195,23.5956,0.063,8.0002,5.959,11.5756,0.1579,0.0238,1.9528,0.0164,0.1528,0.0
LUX_C23,0.0029,0,0,0.0526,0,2.3701,0.8302,0.1415,0.0597,0,1.1561,0.5265,27.6132,122.2933,36.6674,7.2925,1.3586,0.9814,5.9788,1.0682,1.8509,0.7066,0.5267,0.0,143.7021,4.0682,1.7006,0.0283,0.235,0.1812,0.0238,0.3881,0.0363,0.0026,0.7011,0.0018,4.0682,1.7851,0.6666,1.7496,0.2577,0.2689,0.0017,0.1034,0.0
LUX_C24,0.0031,0,0,0.024,0,0.336,0.1167,0.0384,0.1888,0,0.4698,0.0556,30.794,13.8933,1141.6749,239.4988,3.6292,7.1229,160.2905,9.3074,13.3727,4.7321,0.0026,0.0098,31.6099,3.202,0.6087,0.0483,0.2571,0.3362,0.0119,0.0267,0.0169,0.0014,0.6506,0.0005,0.7243,1.604,0.6338,0.0192,0.0019,0.0102,0.0052,0.0276,0.0
LUX_C25,0.1813,0,0,0.5142,0,1.813,1.3088,0.2733,0.1823,0,0.8686,0.1306,22.1413,4.7878,45.7008,55.5208,1.7942,1.7023,39.676,2.8228,4.2942,2.3962,4.0821,2.8249,20.4271,4.1718,1.5337,0.044,0.4087,0.3459,0.0594,0.623,0.142,1.752,1.7544,0.0141,0.9068,9.497,1.3532,2.8312,0.4867,1.1983,0.4689,0.8764,0.0
LUX_C26,0.0078,0,0,0.0032,0,0.0461,0.1121,0.059,0.0743,0,0.0504,0.0203,1.5468,0.1961,1.0264,0.6884,11.3778,0.755,4.4778,0.3355,0.6048,0.4914,0.1558,0.2136,0.8223,2.0029,0.0764,0.0099,0.3052,0.0877,0.0873,0.002,0.1443,0.4443,16.7665,0.9392,0.109,2.6084,0.6023,0.2404,0.052,3.1126,0.0179,0.1029,0.0
LUX_C27,0.002,0,0,0.0312,0,0.0905,0.0027,0.0146,0.0358,0,0.0948,0.0144,2.5893,0.5352,4.3516,2.0205,2.9861,5.2496,12.4427,1.0104,1.0833,1.094,0.4618,0.0046,22.2262,2.3808,0.8603,0.024,0.264,0.1405,0.0509,0.8021,0.0681,0.0034,3.4163,0.0112,0.4042,1.7541,0.6545,0.2709,0.0067,0.0366,0.0103,0.0785,0.0
LUX_C28,5.0008,0,0,1.0385,0,1.1415,1.1658,1.2169,0.4649,0,0.8402,0.1682,16.0561,5.9332,25.2584,9.9844,1.8294,1.6197,137.5559,3.4074,5.8728,4.6756,4.8374,0.6519,17.7326,6.6922,5.7744,0.1383,1.4088,0.5539,0.1494,0.0009,0.3915,2.5833,4.0953,0.3264,0.6892,8.2714,3.4377,0.0303,0.3229,3.4985,0.4807,1.3182,0.0
LUX_C29,0.001,0,0,0.0014,0,0.0409,0.0,0.0,0.0054,0,0.0151,0.0025,0.8583,0.2363,0.4765,0.3008,0.0284,0.0442,1.9802,5.9314,0.2303,0.2965,0.0153,0.0029,0.3881,1.4411,0.0307,0.008,0.2861,0.1031,0.0631,0.0,0.0041,0.0,0.1819,0.002,0.0388,0.1082,0.5993,0.0233,0.0009,0.0013,0.0021,0.0039,0.0
LUX_C30,0.0,0,0,0.0,0,0.0003,0.0,0.0,0.0,0,0.0001,0.0,0.0046,0.0005,0.0044,0.0033,0.001,0.0003,0.0126,0.0082,0.3796,0.0285,0.0,0.0,0.0002,0.0104,0.035,0.01,0.2768,0.0026,0.0006,0.0,0.0001,0.0,0.001,0.0048,0.0003,0.0073,0.0088,0.0004,0.0001,0.0004,0.0,0.0008,0.0
LUX_C31T33,0.0013,0,0,0.0055,0,0.8443,0.0043,0.0623,0.3004,0,0.6673,0.2032,9.2028,3.1753,14.0147,2.9909,0.6517,0.3036,5.7646,0.3844,1.0054,2.9595,0.0684,0.0101,0.9179,5.6412,0.078,0.3185,10.7155,0.6079,0.2981,0.0008,0.1542,0.0043,5.9073,2.5205,1.1284,1.6625,3.0984,0.0745,0.0725,15.9833,0.0417,0.0309,0.0
LUX_D,1.5706,0,0,0.5124,0,8.9921,15.252,4.5633,3.3708,0,13.5698,1.3824,126.7948,53.3337,297.6866,22.3065,2.9348,1.594,21.0501,1.9128,2.3819,2.175,185.085,6.6437,24.747,31.175,10.6986,0.2229,3.5552,3.6937,1.755,4.8316,1.3266,8.4014,7.3691,13.1326,21.3519,14.7842,8.9554,10.8337,8.2335,27.9972,6.6496,3.6167,0.0
