V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1308.0801,0.6441,0.9761,12.7524,0.0003,5928.7271,84.4655,114.0103,0.3739,0.0767,14.0363,6.1169,14.5313,0.2803,1.2613,0.025,0.0009,0.0034,0.0521,0.0064,0.0021,159.4894,0.2573,0.0275,2.5863,1.2058,0.3114,0.0004,0.0175,0.0123,0.0033,797.7243,0.0066,0.0605,0.0051,0.6385,0.0333,0.1491,0.0447,17.1713,0.941,4.0775,0.7252,42.2167,0.0
PER_A03,0.6288,10.9163,0.0412,0.8105,0.0107,697.8745,0.0659,0.0022,0.061,0.0133,0.2106,0.0115,0.046,0.0323,0.0827,0.104,0.0034,0.005,0.1429,0.002,0.0006,0.3983,0.0839,0.0328,1.1962,0.3311,0.1532,0.009,0.2544,0.0357,0.0006,90.7979,0.0866,0.491,0.0051,0.1218,0.001,0.181,0.2191,4.1016,0.2359,1.0567,0.1746,2.5717,0.0
PER_B05_06,35.6888,4.9957,63.1266,101.5488,9.4924,95.0301,3.9561,2.0043,5.2779,2714.5331,15.9847,0.0565,6.4533,1358.0324,146.5768,10.7244,0.0135,0.3934,1.043,0.2323,0.0832,3.2061,380.193,21.8395,13.3569,6.5315,85.4411,0.5897,6.5078,4.156,0.7116,9.5935,0.6616,1.0327,0.0183,0.8265,0.0425,4.5679,2.1237,19.3186,1.4197,1.6397,0.5425,8.614,0.0
PER_B07_08,21.3799,0.3511,82.4282,181.1011,0.8375,26.0781,2.8681,0.1163,0.5591,0.5926,21.467,0.4208,0.6303,252.6794,683.134,1.46,0.059,0.8845,1.6075,0.5871,0.2278,43.2358,42.8902,14.8441,842.7657,2.3066,1.1417,0.0039,0.1025,0.2045,0.0214,5.709,0.4651,4.1469,1.3036,3.6046,8.406,3.0713,1.8591,72.7998,1.9009,3.4496,0.4606,5.3284,0.0
PER_B09,0.4813,0.0072,232.5209,242.0766,2.3043,0.2933,0.1039,0.0062,0.0702,0.5494,0.1057,0.0185,0.0698,0.0501,10.2899,0.1703,0.0026,0.0056,0.0523,0.0805,0.0255,0.0443,0.2647,0.0433,8.4314,0.4697,0.1839,0.0075,0.2182,0.1131,0.0157,0.1837,0.1297,0.6818,0.0288,0.4484,0.0524,0.6812,0.5423,0.7563,0.3266,0.4559,0.1979,0.1545,0.0
PER_C10T12,455.8809,8.2526,4.6655,34.553,0.2237,2601.8282,30.4756,1.4471,17.3892,1.2213,53.7871,7.33,15.4757,1.8538,4.7715,3.7194,0.1328,0.3789,6.9075,1.0278,0.2906,38.3561,4.3085,1.1621,28.0016,12.8275,3.7687,0.1716,4.7779,1.0141,0.0419,2854.0818,1.8943,9.836,0.1253,4.8087,0.933,4.2494,5.5564,181.0322,13.2282,15.8032,22.7264,117.2133,0.0
PER_C13T15,17.6273,18.1102,3.0388,9.2237,0.1231,43.6227,1302.102,3.6748,15.9612,0.7839,14.7543,7.0333,20.1301,2.2168,1.6601,4.8747,0.0624,0.1256,0.6766,0.5554,0.2137,143.1981,0.5608,0.1808,43.2719,11.6021,0.6543,0.0016,0.0552,0.0827,0.0083,68.0904,5.5306,0.2438,0.0164,6.1377,0.0648,51.9491,33.0532,31.293,5.8009,22.4299,4.944,11.9984,0.0
PER_C16,7.7733,1.0842,0.4302,29.4057,0.0003,6.1739,2.3262,139.2331,8.2341,0.0003,4.8394,0.003,5.1373,2.4145,1.9815,1.833,0.0002,0.2107,0.0002,8.9572,3.1962,154.3931,0.2359,0.1482,523.4853,0.5822,0.0511,0.0001,0.0035,0.0028,0.0006,1.6167,0.0007,0.0092,0.0004,3.3177,20.8342,2.0703,0.3034,45.7888,0.3211,1.3248,0.1703,14.0354,0.0
PER_C17_18,23.3408,0.8335,0.3489,11.9044,0.0409,256.0272,19.3268,4.3316,888.6991,0.3757,29.751,6.7928,23.4003,14.8657,0.5651,12.2805,1.8687,2.5123,3.2321,5.7754,1.8663,46.8326,16.6726,2.9478,18.6732,161.1011,3.7578,0.0031,0.2146,6.0091,0.3774,59.9422,192.5326,74.2148,1.6363,142.6629,33.7736,286.0042,114.1571,204.8636,152.4197,10.5458,24.88,56.826,0.0
PER_C19,36.2538,105.9651,59.6102,1020.3674,1.8688,295.4743,33.1316,5.5243,25.8429,114.4864,44.5143,1.3189,8.9477,43.8516,92.6701,24.192,0.3261,1.5892,6.7479,5.5438,1.9671,58.7029,150.6734,19.6874,249.0984,125.914,1763.0255,12.6092,132.8486,90.1598,15.2534,81.3985,3.7704,17.2966,0.4378,24.4966,1.2504,96.7932,43.6366,401.1331,34.0722,37.1345,11.8881,25.7062,0.0
PER_C20,333.0999,1.1651,20.1292,283.411,0.6266,152.7264,125.1942,25.0621,40.2789,19.497,364.6304,34.2747,352.5201,19.5646,18.1068,24.6644,0.7893,4.2256,2.3183,23.1076,6.4511,172.8584,1.0089,6.3728,104.8557,12.8541,1.5545,0.0035,0.4886,6.9199,0.0346,45.5437,4.2085,7.8766,0.2951,8.193,15.3312,24.6477,30.2129,58.1862,14.4957,56.1671,7.5941,49.7376,0.0
PER_C21,33.9099,0.0028,0.1848,1.4152,0.0357,12.8451,0.1149,0.2782,0.1155,0.0633,1.7679,17.9013,0.7861,0.1685,0.0974,0.0304,0.0122,0.0343,0.1254,0.0478,0.0172,0.7673,0.0832,0.0231,1.4091,0.204,1.4094,0.0134,0.0473,0.2228,0.0893,1.4607,0.0669,0.1104,0.0003,0.051,0.0622,4.1491,0.0818,24.0046,1.8681,154.5056,0.3771,1.7319,0.0
PER_C22,16.2478,2.6508,31.5765,125.9227,1.0374,415.1491,75.4028,0.5878,57.6848,1.7077,138.3399,27.7883,194.5935,4.9704,7.6328,11.083,0.5764,6.6989,2.3661,32.0504,7.1215,165.7049,1.473,0.5524,419.0999,108.6774,201.4149,0.0896,0.1352,2.4117,0.156,50.4806,5.205,0.9085,0.0223,9.2893,11.3918,25.1457,17.331,85.8851,27.0784,20.2559,5.0269,20.1211,0.0
PER_C23,20.3857,0.4774,3.3641,189.15,0.0459,141.6992,1.5551,0.1583,2.6591,0.2214,32.1462,6.9131,4.1892,125.4546,12.0481,2.1007,0.2371,0.478,3.799,12.3189,3.1323,67.0376,9.8494,32.662,2891.4842,33.1982,21.1595,0.1223,3.1386,2.1535,0.2735,32.6008,0.3239,3.4026,0.0273,2.9479,39.2898,7.941,3.3498,240.0726,2.7528,4.7562,1.7996,15.4204,0.0
PER_C24,14.3155,0.2565,9.6034,53.1477,0.1689,20.8259,4.7222,1.2092,7.0209,1.338,68.6333,3.5383,29.2915,16.6688,1577.8872,181.1725,1.6644,394.5129,15.5426,22.2091,5.5267,112.2935,0.9009,2.7351,73.1341,0.8253,0.2313,0.0006,0.0054,0.3054,0.0038,2.3769,0.6009,0.8674,0.1333,18.4204,1.5521,4.6525,2.7127,18.8265,0.6649,3.532,0.6037,4.8195,0.0
PER_C25,29.8531,6.3519,85.8225,306.169,7.7243,218.4484,12.5599,8.2707,7.2133,13.0065,34.6477,0.5164,8.1762,4.6484,18.717,156.9036,1.7431,8.509,84.6532,91.8797,29.0268,120.0894,12.388,3.0957,535.5622,4.6637,0.3035,0.0217,0.1915,2.1644,0.0026,23.0435,0.5386,18.5862,0.0192,2.6548,20.8581,8.8402,29.1469,59.6196,2.4407,6.2562,9.1554,18.3031,0.0
PER_C26,0.2951,0.1895,0.0758,0.1794,0.0314,0.2707,0.0726,0.0108,1.056,0.021,0.1675,0.023,0.1662,0.0135,0.0211,0.0832,2.0366,0.2516,0.1636,0.1322,0.0393,0.0854,0.2744,0.0052,2.0704,0.2129,0.0,0.0035,0.0017,0.0023,0.0,0.268,0.3518,11.3406,0.448,0.3076,0.0146,0.7531,0.4873,1.2315,0.3742,1.2903,0.1037,2.2127,0.0
PER_C27,0.0506,0.3401,3.2668,7.6457,0.2255,15.2016,1.2854,0.0872,0.9759,0.7659,1.5523,0.2648,2.9272,0.6597,30.7748,20.3431,0.6718,11.6071,7.0943,11.7963,3.1872,6.999,21.1341,0.5694,111.1999,0.6182,0.0665,0.2721,0.1399,0.0046,0.0006,9.5658,0.1903,22.0612,0.1366,0.9865,0.8483,0.885,0.812,6.5081,3.6947,10.4278,4.8059,7.8527,0.0
PER_C28,0.722,15.0893,15.8623,39.0032,0.9066,64.9889,13.6095,1.4418,3.4419,1.3812,1.7691,0.2096,5.4366,6.625,2.4242,18.8993,1.3947,2.7892,103.582,4.4152,1.5505,331.2864,3.2251,0.4038,41.805,3.5305,0.325,0.011,0.3055,0.1077,0.0033,0.6151,0.4578,2.3229,0.03,26.9255,0.4742,4.9863,6.6021,20.9909,7.659,23.0988,4.4596,4.5178,0.0
PER_C29,5.2637,0.673,0.8128,1.3905,0.0,0.1711,0.0,0.0176,0.062,0.1279,0.0723,0.0,0.0099,0.4173,0.6831,0.6358,0.0,0.0,0.3575,30.2835,1.4607,0.0405,0.9798,0.7166,0.5989,105.8627,45.5221,0.6431,7.1667,0.6671,0.0958,0.3095,0.0002,24.9843,0.0,7.016,0.0,0.2692,2.2765,14.5118,10.3156,0.252,0.0002,1.8946,0.0
PER_C30,0.0,16.0177,0.007,0.0,0.0,4.8026,0.0,0.1207,0.0,0.0185,0.0,0.0,0.0,0.0113,0.0,3.0738,0.0289,0.4931,0.6914,18.2793,15.5725,0.0,0.0007,0.0001,0.0,2.8018,21.563,0.7887,26.8171,0.9421,0.2715,0.0,0.0,1.9147,0.02,0.0938,0.0,0.5924,3.7471,4.8963,0.0,0.0,0.2263,0.2186,0.0
PER_C31T33,17.6377,28.0586,78.6903,93.13,1.749,130.1222,75.5223,5.3937,10.0325,1.5312,25.0145,5.1908,10.9798,10.4755,3.9525,35.9532,2.1118,5.8109,209.8513,8.0147,2.3931,1225.4899,6.5018,2.2374,147.9518,12.3949,0.0019,0.0,0.0001,1.7325,0.0,125.275,2.9472,14.4036,1.3912,96.2122,3.1292,6.474,50.7874,167.9868,125.998,524.9659,26.5882,69.0252,0.0
PER_D,33.591,2.1696,13.1848,880.6452,0.1522,310.4738,180.9285,6.991,66.714,27.232,65.9697,5.5199,78.117,68.7632,206.1802,48.4484,1.1421,5.277,17.8876,12.8847,3.8294,18.1512,679.1886,35.7295,13.5718,187.054,165.7844,0.0946,0.7133,3.7968,0.4882,133.3232,14.8522,70.7744,2.4226,61.3985,10.4315,56.8526,32.3108,150.0365,95.9689,80.5251,56.5508,33.1645,0.0
PER_E,11.2877,12.6203,17.4989,54.1941,0.1782,66.3123,16.4145,0.5106,22.156,3.4499,5.8658,1.0364,9.0088,4.5461,43.0263,1.3223,0.0,0.2935,1.4972,0.7045,0.363,8.4796,4.5137,25.3707,5.9088,18.6344,2.7938,0.0586,0.3432,3.2064,0.387,48.0304,0.4794,1.0036,0.0,24.6071,1.1389,6.5791,4.4021,185.2875,57.5455,70.8081,3.3264,5.5819,0.0
PER_F,4.5142,0.0786,3.6913,154.0179,0.789,6.2201,4.9859,0.9634,2.2447,6.0465,4.2381,0.8452,0.6336,0.213,6.4018,2.4927,0.0973,0.206,1.1365,6.3401,2.5712,0.3153,0.3856,54.7346,489.0382,11.8762,1.3158,0.1456,2.0708,0.7953,0.0562,6.0439,1.7002,56.1066,0.3184,45.0204,117.5965,10.915,4.2415,560.3328,4.0269,26.1607,3.6886,10.7317,0.0
PER_G,745.7337,60.5054,97.2633,730.4273,7.418,3165.706,497.1418,98.1747,247.7905,367.7308,250.3283,48.1691,220.7566,96.2602,248.8827,160.9138,11.454,58.4049,108.9537,99.8262,31.0997,407.8151,124.9703,31.061,1367.9434,188.5511,1287.3834,7.7811,56.2156,92.181,9.3501,1063.2668,45.676,98.2108,3.4596,63.763,37.0935,150.2194,140.8923,603.3447,123.1608,289.9872,29.6765,128.5253,0.0
PER_H49,27.9428,15.6883,673.3861,563.4648,2.5258,167.8604,44.0968,73.3132,201.7439,182.3086,106.2112,9.8716,25.2589,27.559,45.3974,40.9621,0.8819,17.155,7.2647,9.037,2.5081,78.1803,75.4501,24.399,343.6919,4622.1036,2680.5032,127.9664,929.9354,1306.0415,66.7247,108.126,18.9029,80.376,2.3677,85.4462,4.898,50.1933,120.5045,273.03,172.3887,43.8046,16.1611,63.6395,0.0
PER_H50,2.3976,3.7673,117.7497,47.4749,0.0503,6.3014,2.4545,4.2143,6.7137,37.4964,2.9328,0.0165,0.079,0.353,5.5983,1.4207,0.0065,3.6817,0.0378,0.0563,0.0164,0.2824,0.0737,0.0197,1.6454,39.7731,0.2435,24.225,0.0203,103.0845,0.0019,0.3504,0.7777,0.0616,0.0016,0.0397,0.0387,0.1384,0.3225,0.2784,0.097,0.1576,0.0172,0.0684,0.0
