V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,2735.6367,1.3636,0.1177,7.1117,0.0017,7500.0473,52.0697,103.7637,86.5154,0.0,178.256,47.8595,7.0271,3.3401,0.4863,0.3379,0.0,0.0,0.0,0.8256,5.8457,7.5231,0.0,0.0,5.9011,218.4733,3.0854,1.8994,1.5921,1.5471,0.0,166.0886,1.8357,0.0,2.2361,0.0,1.5937,4.8786,19.747,10.9741,5.6256,9.2939,4.6057,15.1377,0.0
MAR_A03,0.0,201.2865,0.0,0.0,0.0,491.49,0.9679,0.0,0.0,0.0,7.63,3.4306,0.0,0.0,0.0,0.0,0.0,3.4976,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,7.3785,0.0245,0.029,0.0322,0.0144,0.0,37.7569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6615,0.5096,0.9487,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0055,0.404,0.0056,0.0,0.0138,0.0045,0.0362,1.8358,0.1744,0.0024,0.0,0.0146,0.0451,0.0129,0.0033,0.0761,0.0,0.0,0.0,0.0079,23.5578,3.9203,0.006,0.0,0.0018,0.0004,0.0007,0.0005,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293,0.0022,0.002,0.0,0.0,0.0
MAR_B07_08,0.2163,0.185,0.0066,4.3305,0.1483,4.7612,0.2026,2.9299,0.2517,0.1139,1123.5958,49.0829,0.4213,80.6606,82.814,124.9757,0.1276,199.5681,0.4011,1.6556,0.1514,0.6733,0.1726,0.0309,314.7913,6.2759,0.126,0.0171,0.0414,0.0739,0.0033,0.1493,0.1496,0.0378,0.0754,0.2588,0.0924,0.1366,0.1623,19.8152,0.1132,0.1168,0.0465,0.2237,0.0
MAR_B09,0.6224,0.2874,1.2758,17.6747,0.2028,0.4953,0.0158,0.0053,0.1417,0.3222,1.4966,0.0142,0.0244,4.0405,2.9201,0.1588,0.0018,0.0297,0.0082,0.006,0.0044,0.0148,2.028,0.1887,12.8721,0.1116,0.2729,0.0143,0.0323,0.0488,0.0001,0.0131,0.0002,0.0,0.0004,0.0001,0.0513,0.1233,0.145,0.1263,0.0159,0.018,0.0035,0.0069,0.0
MAR_C10T12,1784.1735,8.7842,0.0,0.0,0.0077,2507.3859,14.9454,0.2701,0.7855,0.0,8.4834,1.5762,0.2746,0.5661,0.0,0.0983,0.1555,0.0,0.0,0.0,0.0,0.3712,0.0,0.0,0.0,122.924,2.141,1.5094,3.1823,1.5511,0.0,757.268,3.8462,0.0,0.3991,0.0,0.281,0.7551,1.7492,56.8575,11.7433,15.1754,4.9178,14.2855,0.0
MAR_C13T15,11.9435,0.9527,0.0269,3.2236,0.0138,5.7561,563.357,2.0793,3.5037,0.0193,3.0866,0.7521,5.6733,1.0175,0.0273,1.0218,0.7016,3.4719,1.1234,3.4553,0.0979,28.6164,0.2159,0.0473,6.1365,12.1829,1.5782,0.4183,1.3029,0.7201,0.0201,2.8219,1.659,0.1449,1.6067,0.0193,0.8415,3.0177,6.2524,34.2673,2.6771,3.3017,0.6836,3.3146,0.0
MAR_C16,2.2647,0.0491,0.0009,0.4359,0.0043,3.5818,2.0185,68.6381,5.0204,0.0049,0.2865,0.0509,0.8327,3.9755,0.2384,8.1556,0.038,3.4388,0.3041,3.5885,9.4094,32.797,0.0552,0.0135,289.6317,12.0714,0.0899,0.02,0.0278,0.0648,0.0134,0.1643,0.5688,0.0897,0.605,0.037,0.9623,1.2014,3.6653,0.0866,0.0314,0.0409,0.5897,2.3896,0.0
MAR_C17_18,3.3832,0.5776,0.0356,12.5251,0.0108,167.3437,48.0701,1.0512,231.527,0.0316,34.7099,10.9417,5.5748,39.6587,2.7151,4.3721,2.7089,18.1942,2.1791,10.6129,0.3696,5.3605,4.1103,0.8528,16.0021,86.6772,3.8544,0.6125,2.0503,3.0525,1.1189,6.1692,50.9744,7.0047,6.9804,33.3152,2.6125,14.5138,25.2175,34.8597,29.9131,26.6895,9.5346,29.2613,0.0
MAR_C19,2.6304,1.0412,0.0102,2.5347,0.0043,1.5082,0.1127,0.0127,0.1058,0.0465,0.5016,0.032,0.039,2.7791,0.3356,0.1715,0.0156,0.0952,0.0215,0.538,0.0006,0.1073,1.2237,0.1876,4.6514,2.7357,5.6086,1.377,4.2541,0.5556,0.0994,0.2293,0.0608,0.3533,0.0533,0.0,0.0576,0.0784,0.3034,2.0933,0.2875,0.4094,0.0595,0.2077,0.0
