V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_A01_02,68.9271,0.0423,0.0091,0.042,0.0003,287.6302,0.006,0.0556,0.0278,0.0006,0.0859,0.2719,0.0563,0.0239,0.0074,0.0147,0.002,0.0037,0.0072,0.0018,0.001,0.0542,0.1554,0.0737,5.523,0.6279,0.0048,0.0008,0.0091,0.4446,0.0134,9.5588,0.0607,0.0507,0.0106,0.3076,0.5591,0.6322,0.4505,3.148,0.2095,2.8915,0.1999,0.2331,0.0
CYP_A03,0.0,0.6247,0.0,0.0,0.0,9.4264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7203,0.045,0.0138,0.0,0.0,0.0,0.0,0.0,0.6038,0.0006,2.0487,0.0641,0.0241,0.0
CYP_B05_06,0.0044,0.0,0.0177,0.0246,0.0003,0.0101,0.0,0.0,0.0,0.0129,0.0499,0.0383,0.0,0.5639,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.521,0.0,0.8402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532,0.0,0.0,0.0322,0.0,0.0,0.0,0.0,0.0
CYP_B07_08,0.089,0.0,0.0674,0.6411,0.0027,0.1147,0.0,0.0,0.0,0.245,1.0093,0.7647,0.0,8.2242,0.2963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3053,0.0,0.0,0.6606,0.0,0.0,0.0,0.0,0.0
CYP_B09,0.0041,0.0009,0.0192,0.0511,0.0008,0.0053,0.0,0.0001,0.0014,0.0017,0.002,0.0007,0.0004,0.0401,0.0079,0.0026,0.0,0.0,0.0002,0.0,0.0,0.0005,0.2213,0.0031,0.1212,0.0055,0.0049,0.0052,0.0002,0.0164,0.0,0.0012,0.0,0.0,0.0,0.0,0.0037,0.0025,0.0008,0.0038,0.0002,0.0007,0.0005,0.0002,0.0
CYP_C10T12,58.3151,0.0548,0.0036,0.0151,0.0003,151.5585,0.0363,0.0225,0.0384,0.0,0.682,0.6712,0.0215,0.0198,0.0054,0.0396,0.0006,0.045,0.0086,0.0044,0.0016,0.7905,0.065,0.059,0.33,2.8578,0.4479,1.1214,0.0421,0.0984,0.0463,171.436,1.0951,0.408,0.088,0.218,0.7573,0.4674,0.1123,3.8758,2.635,14.7364,4.3977,1.1269,0.0
CYP_C13T15,0.1067,0.0045,0.0011,0.0052,0.0,0.3136,1.5148,0.1274,0.0848,0.0001,0.0055,0.0134,0.0072,0.0301,0.012,0.0901,0.0066,0.0178,0.0082,0.0218,0.0006,0.3001,0.0143,0.0207,0.5465,0.2284,0.0089,0.0051,0.0015,0.0871,0.0014,2.1893,0.0647,0.013,0.0038,0.0705,0.1396,0.0585,0.0351,0.2338,0.0237,0.669,0.1062,0.07,0.0
CYP_C16,0.4015,0.0078,0.0025,0.016,0.0001,7.6278,0.1158,22.3207,0.0222,0.0003,0.2521,0.018,0.0186,0.2614,0.0199,0.2995,0.0092,0.0243,0.0396,0.1324,0.07,3.4134,0.6967,0.0272,20.5603,11.7103,0.0189,0.5291,0.0618,2.2845,0.0203,21.9627,1.0393,0.3146,0.0371,0.1152,2.4495,0.9861,0.1515,0.7557,0.2796,2.0365,1.4474,0.0419,0.0
CYP_C17_18,0.1202,0.8678,0.0082,0.0399,0.0003,2.8981,0.1271,0.1229,12.8399,0.0003,0.1407,3.3817,1.8947,0.3107,0.0708,0.2915,0.0265,0.1676,0.0873,0.1439,0.0072,0.4104,0.2857,0.9291,1.9617,12.4628,0.4383,0.6752,0.0513,1.6764,1.9685,2.6165,4.8242,2.4496,1.4113,5.2797,1.7939,15.4895,3.3669,1.1526,2.7109,1.6206,2.4615,2.0213,0.0
CYP_C19,0.0167,0.0007,0.0011,0.0069,0.0,0.0237,0.0009,0.002,0.0018,0.0004,0.0061,0.0024,0.0129,0.021,0.001,0.0049,0.0002,0.0002,0.0004,0.0002,0.0,0.0034,0.95,0.0326,0.0304,0.0882,0.0636,0.0183,0.0232,0.0148,0.0047,0.0399,0.0028,0.0026,0.0027,0.0208,0.0237,0.0115,0.0123,0.0229,0.0049,0.0122,0.0035,0.0063,0.0
CYP_C20,2.9774,0.0452,0.0098,0.0489,0.0003,0.5194,0.1343,0.3156,0.909,0.0135,0.628,7.047,1.8178,1.0305,0.1836,0.3803,0.0847,0.1323,0.1114,0.0229,0.0284,0.4418,0.0681,0.1151,1.0535,0.5637,0.0121,0.0046,0.0046,0.1399,0.0148,0.8344,0.0801,0.0752,0.1112,0.8239,0.1659,1.0541,0.7516,0.2597,0.2089,0.9163,0.1576,0.7998,0.0
CYP_C21,0.025,0.0001,0.0257,0.1702,0.0,0.0418,0.0491,0.0003,0.0005,0.0,1.5257,4.0825,0.0009,0.003,0.3496,0.0004,0.0,0.0,0.0002,0.0,0.003,0.0003,0.0011,0.0393,0.0022,0.0179,0.5451,0.0,0.0,0.0029,0.0049,0.4507,0.0042,0.0503,0.0196,0.0042,0.0058,0.7585,0.0788,0.1488,0.5763,26.4973,0.0111,0.2845,0.0
CYP_C22,0.5156,0.1379,0.0256,0.2238,0.0017,10.7812,0.2008,0.6011,0.7635,0.0015,0.4924,2.2356,1.6302,2.6321,0.0567,3.2173,0.0146,0.6457,1.1479,0.2689,0.0008,2.507,0.1555,0.1182,3.2761,14.1171,7.0562,0.1537,0.124,0.5458,0.0622,3.5309,0.5274,0.1962,0.1401,0.59,0.3578,0.6132,0.4508,0.4274,0.391,0.7489,0.3996,0.1202,0.0
CYP_C23,0.6073,0.0111,0.0015,0.0069,0.0001,7.9962,0.0036,0.6771,0.015,0.0004,0.118,2.9702,0.7766,69.478,0.1877,7.8262,2.3052,0.073,0.5549,0.1284,0.0241,5.2448,1.8093,0.3792,139.6151,4.9162,0.0085,0.0057,0.2427,2.5803,0.0125,11.3974,0.0144,0.0141,11.744,2.733,5.2686,1.0299,0.1683,2.8454,2.0871,3.5128,0.0901,0.8871,0.0
CYP_C24,0.0002,0.0,0.0043,0.0168,0.0001,0.5757,0.0208,0.2031,0.2071,0.0,0.0,0.3305,0.1192,0.4738,4.1919,16.4773,0.8238,0.7622,1.0559,0.3167,0.0461,5.1207,0.5435,0.0695,6.0893,0.6068,0.0,0.0,0.0,0.3284,0.0002,0.1038,0.005,0.0384,0.0,0.1174,0.3549,0.0152,0.0,0.226,0.0,0.0,0.0,0.0,0.0
CYP_C25,9.3823,0.997,0.0519,0.26,0.0025,5.3259,0.2844,3.6724,0.3784,0.0274,0.4091,0.3706,0.287,4.703,2.7951,11.551,1.664,2.0768,1.6426,0.6415,0.0927,10.056,2.1245,0.6672,94.2467,6.5171,1.131,0.8705,0.2136,2.4226,0.0383,5.234,0.6873,0.7416,0.1417,1.883,10.5248,2.2555,1.6194,2.2876,1.8505,2.9993,2.7661,0.8835,0.0
CYP_C26,0.005,0.0,0.0034,0.0124,0.0002,0.0752,0.0,0.0,0.0048,0.0,0.0,0.7854,0.0,0.0,0.0,0.0527,0.5038,0.2921,0.0294,0.009,0.0,0.3912,0.2496,0.0064,0.2689,0.573,0.0,0.1868,0.0019,0.794,0.0042,0.0242,0.3077,0.5129,0.6039,0.2489,0.059,0.4153,0.184,0.1058,0.0856,0.5073,0.1004,0.214,0.0
CYP_C27,0.0995,0.0387,0.0032,0.0152,0.0001,0.1198,0.0901,0.0716,0.0755,0.0007,0.1441,0.1794,0.177,0.1744,0.0539,0.2914,0.017,0.5419,0.1066,0.0406,0.0087,0.3701,0.1283,0.0177,2.0054,0.8127,0.2494,0.0747,0.0096,0.114,0.0051,0.6867,0.1607,0.0419,0.2092,0.0661,2.3118,0.2081,0.0936,0.2033,0.0614,0.2412,0.1347,0.0802,0.0
CYP_C28,0.2258,0.0431,0.0411,0.1676,0.0012,1.2378,0.0344,0.075,0.134,0.0022,0.0523,0.0986,0.0887,0.2345,0.0514,0.1785,0.007,0.0197,0.5526,0.0077,0.0514,1.3879,0.2529,0.2313,0.9973,1.5566,0.9516,0.1167,0.2681,0.7474,0.0367,0.7072,0.1779,0.3339,0.1392,0.5331,0.1391,0.6017,0.6059,0.3006,0.2668,0.2489,0.4024,0.0758,0.0
CYP_C29,0.0186,0.0023,0.0006,0.0031,0.0,0.0204,0.0018,0.007,0.0013,0.0,0.001,0.0011,0.0014,0.0096,0.0051,0.0212,0.003,0.0051,0.0031,0.0092,0.0002,0.0254,0.0046,0.0122,0.1725,0.9217,0.0046,0.0028,0.0801,0.0121,0.0021,0.0134,0.0033,0.0022,0.0013,0.0381,0.0266,0.0101,0.005,0.011,0.0088,0.0337,0.0116,0.0039,0.0
CYP_C30,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.0,0.0026,0.0,0.0027,0.0,0.1384,0.0735,0.0037,0.0,0.0041,0.0,0.0,0.0,0.1849,0.0,0.0001,0.0,0.006,0.0,0.0,0.0,0.0003,0.0
CYP_C31T33,3.8914,0.0446,0.8873,3.5969,0.0265,11.7571,0.2909,2.3865,2.3071,0.0398,0.874,3.3652,1.7523,4.1667,0.7533,1.3504,0.0253,0.1636,0.3389,0.1034,0.0156,4.3383,12.2043,5.5243,6.6998,16.7827,0.9988,0.1257,0.2291,6.555,0.9918,21.8569,3.2616,14.65,4.2325,3.5426,2.7051,3.8216,2.9498,2.0007,4.1668,12.6484,4.299,0.8248,0.0
CYP_D,26.3081,0.8859,0.518,3.1149,0.0089,40.0529,0.738,2.0301,3.7554,0.0514,2.153,7.3505,6.9185,23.6354,3.037,2.5487,0.0383,0.2128,0.5364,0.1036,0.025,2.0646,6.7742,25.9951,4.6933,105.3291,0.7178,0.0484,0.0617,14.5273,0.9909,106.9883,9.482,15.6228,2.0859,15.2705,3.9895,17.6747,3.8173,27.293,6.8859,13.5807,8.0115,11.8813,0.0
CYP_E,9.7965,0.0038,0.0436,0.147,0.001,4.9913,0.2013,0.3892,0.4405,0.0002,0.2496,0.4143,0.4134,0.7304,0.3948,1.0032,0.003,0.0179,0.1788,0.0462,0.0055,0.8064,1.7868,61.9123,5.3271,23.2205,0.5319,0.0716,0.1884,7.6058,0.323,38.4452,2.5632,1.7038,3.3784,5.8633,38.1897,6.3361,2.5682,36.2649,3.1056,8.8863,1.5846,3.7346,0.0
CYP_F,11.6397,11.697,2.5414,11.6727,0.0896,12.0225,0.8536,4.9897,1.4192,0.0751,0.6724,6.1245,2.7225,1.4551,0.7831,1.8336,0.0105,0.097,1.3773,0.102,0.0823,2.0871,44.0308,20.3174,1569.277,164.1515,1.6414,0.211,2.6453,128.209,1.5616,147.2962,11.9692,11.1091,2.8927,86.9354,162.4395,41.309,11.2033,56.6732,47.1516,50.3533,14.1912,15.7342,0.0
CYP_G,56.2431,1.4005,0.7611,3.9899,0.0272,167.8156,6.1221,9.0447,11.2315,0.0785,4.7094,24.2492,9.018,25.6673,3.446,19.3318,2.1787,3.2675,3.5351,1.1383,0.2285,16.8309,65.3285,6.1418,76.9691,124.7372,41.1807,39.1194,18.784,68.0403,4.2182,149.3057,52.8637,6.3561,21.7391,33.7856,20.0704,42.6686,31.1053,18.9371,11.3315,43.3819,13.9464,11.5655,0.0
CYP_H49,4.9587,0.1806,0.3559,1.6992,0.0065,15.1189,0.3765,0.9248,1.0873,0.0162,0.4932,2.1386,0.9256,3.463,0.4567,2.4511,0.2224,0.2874,0.4082,0.1254,0.0223,1.8326,6.0314,0.9345,11.7325,37.4592,6.3772,2.1684,1.8531,2.0365,1.7578,13.5202,3.7387,0.4017,2.1263,6.0165,1.4186,3.8122,1.7245,1.4882,1.6598,3.4564,4.1668,0.8753,0.0
CYP_H50,0.2278,0.0057,0.0012,0.0068,0.0,0.6212,0.0169,0.0429,0.0509,0.0006,0.0174,0.1025,0.0362,0.1458,0.0227,0.1209,0.0114,0.015,0.0175,0.0053,0.0012,0.0765,0.3119,0.016,0.4245,0.2434,33.436,199.1468,0.6205,0.0401,1.7034,0.5026,0.3759,29.84,0.0489,0.1275,0.0653,0.0983,0.6731,0.6707,0.0314,0.2231,1.2836,0.0282,0.0
CYP_H51,0.8162,0.0199,0.0152,0.0206,0.0041,1.258,0.0489,0.0974,0.1009,0.0019,0.017,0.1474,0.0606,0.3619,0.0585,0.3246,0.0551,0.0718,0.0255,0.02,0.0066,0.1257,1.3984,0.0231,0.8428,0.3158,0.1241,0.7453,0.5832,0.0151,0.0168,1.2542,0.0329,0.0012,0.0157,0.293,0.1103,0.0521,0.0957,0.0196,0.016,0.0368,0.0314,0.0594,0.0
CYP_H52,2.711,0.1179,0.082,0.4115,0.0018,6.3345,0.1683,0.4204,0.4789,0.0051,0.1637,0.9701,0.3474,1.8448,0.2106,1.1389,0.1078,0.1368,0.1665,0.0512,0.0113,0.7247,3.5778,0.4059,4.1741,23.2737,1.2753,194.7813,1.8373,758.654,0.1002,6.0919,1.58,0.4263,0.5019,7.4682,0.8185,3.711,1.2735,0.9462,0.527,1.8361,0.3711,0.3198,0.0
CYP_H53,0.0261,0.0029,0.0057,0.0242,0.0002,0.298,0.0195,0.0429,0.0828,0.0,0.0705,0.173,0.0942,0.0717,0.022,0.1602,0.0003,0.0124,0.016,0.0061,0.0005,0.0965,0.1333,0.0373,0.2343,2.5284,0.1175,0.0041,0.0044,0.9174,0.8138,0.4857,0.2819,0.1862,0.4384,2.9377,0.2398,4.4327,0.4582,0.6138,0.9184,0.8388,0.193,0.2017,0.0
CYP_I,0.1813,0.0,0.0822,0.1982,0.0032,2.7282,0.1585,0.1403,0.8508,0.0046,0.2386,0.2759,0.1596,0.8173,0.0563,0.8768,0.0082,0.1381,0.388,0.0236,0.0053,1.6509,0.5258,0.3502,2.9653,31.2823,0.6536,0.1582,0.4902,2.4823,0.3631,7.6425,3.157,0.9534,4.405,10.7174,2.0412,19.8504,6.3472,5.3451,3.9562,3.4294,11.54,3.2804,0.0
