V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,23997.1357,97.6616,312.8446,0.0,0.0043,13088.857,114.0472,61.955,1.5341,96.4066,72.3216,21.296,2.9006,0.0326,0.0098,0.01,0.0001,0.0003,0.0006,0.0025,0.0001,3.3326,0.0207,0.0109,13895.1659,20999.4419,0.0116,0.0003,0.0224,0.0015,0.0,1372.3252,0.0318,0.0219,0.0205,0.0006,0.0785,31.5909,0.0039,0.0071,0.4215,0.047,0.0061,0.093,0.0
NGA_A03,0.4373,239.5929,0.0,0.0,0.0,4.5209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,40.3556,0.0001,0.0004,0.0003,0.0007,0.0,20.6354,0.0001,0.0,0.0,0.0003,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,11.87,0.3775,354.4735,0.3141,0.2051,13.0231,12.6602,2.5532,1.1689,1890.4863,0.1855,0.0312,573.0737,297.0307,21.3801,7.5942,0.0095,0.04,0.3393,0.5418,0.0322,4.6047,2.1366,0.9667,35.7934,1480.9801,4.9732,0.0507,0.5916,0.136,0.0762,1.6831,1.7247,7.1563,4.251,0.2998,0.3033,0.7136,0.1603,3.6493,9.9173,1.6854,0.2113,4.2054,0.0
NGA_B07_08,0.0,0.0,0.3251,2.4276,0.5202,2.4851,2.0466,0.0017,4.3962,0.0023,11.0427,0.5412,0.0656,138.2432,7.8286,3.1603,0.0193,0.113,0.1657,36.7424,2.8934,0.7686,49.9323,0.1371,100.307,2.208,0.0148,0.0004,0.0005,0.0059,0.0,0.0,0.0012,0.1643,0.1281,0.0001,0.0013,0.0002,0.0,3.2367,0.0004,0.0267,0.0001,0.0003,0.0
NGA_B09,0.0106,0.004,48.3208,0.0027,0.0018,0.0039,0.0014,0.0001,0.0005,0.2678,0.0002,0.0,0.0003,0.0181,0.0025,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.018,0.0004,0.0183,0.0036,0.0056,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0143,0.0022,0.0,0.0003,0.0002,0.0001,0.0,0.0007,0.0
NGA_C10T12,2.5284,45.4718,42.7153,0.0083,0.0061,3184.3473,0.3337,3.029,17.2615,0.0,36.0928,8.7275,0.238,14.1969,0.0178,0.0182,0.0096,0.011,0.0162,6.7003,0.4653,1.2487,7.0232,1.3776,1.4523,5508.9541,1.0381,11.8625,3.1059,5.1729,0.2384,681.6804,83.6093,13.1241,6.0924,8.5795,12.2127,8.7936,6.9472,43.6084,40.253,144.188,8.2232,312.8027,0.0
NGA_C13T15,0.0117,0.0291,2.0343,0.0522,0.0046,0.2303,1114.6056,1.404,0.2383,0.0303,0.0346,0.0084,0.3069,0.7242,0.5588,0.8229,0.0019,0.0111,0.0901,0.3226,0.0272,1.9663,0.1772,0.9979,0.2592,61.2281,6.3221,0.0929,0.0386,0.1559,0.003,0.4985,0.1083,0.1028,0.0718,0.1624,0.1064,0.604,0.1901,0.2119,0.0949,3.5339,0.023,1.2222,0.0
NGA_C16,2.7394,0.0023,13.1565,0.1919,0.0221,1.2623,6.1069,86.4047,17.8268,0.2435,0.9513,0.1085,8.2482,10.6909,4.5658,6.8884,0.0891,0.5227,1.3644,3.8471,0.2091,47.0779,18.0589,1.2643,442.7674,18.8898,0.1021,0.0155,0.2276,0.2559,0.0122,0.0167,1.0694,0.8479,0.6366,0.4145,13.0544,4.721,1.8985,53.0491,14.3885,0.4181,0.5999,10.9467,0.0
NGA_C17_18,0.0178,0.7173,3.7255,0.0016,0.0016,2.1462,0.6329,0.4331,2.2455,0.5085,0.2884,0.0848,0.208,3.7428,0.9075,1.5993,0.0133,0.05,0.0931,0.4706,0.0258,0.3374,1.7457,0.614,0.2291,15.0407,1.3708,0.0445,0.1595,0.571,1.4723,0.1128,25.4772,8.1666,5.9476,1.1357,1.004,2.9243,0.7117,4.6382,3.6977,8.4358,0.6965,11.4283,0.0
NGA_C19,0.0029,0.0315,77.4519,0.1078,0.0544,1.1902,21.125,0.7697,1.1101,12.9987,0.0315,0.0018,0.264,1.8922,4.5209,2.0853,0.0609,0.0389,0.0679,0.0279,0.0015,0.923,16.8448,9.5669,1.8159,42.9987,85.373,2.202,2.8454,0.0878,0.1816,0.1889,6.8028,91.9067,53.182,0.7092,7.4906,0.8967,0.285,0.6968,2.5068,3.4566,0.3635,1.5814,0.0
