V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_A01_02,2167.825,16.2532,0.7664,3.515,0.1164,25539.0712,559.9239,183.8296,419.1846,15.0453,945.7113,406.3321,309.1867,15.5004,24.2239,32.6013,5.2754,14.8092,18.887,59.074,17.4253,71.8906,91.4752,32.3907,71.4342,596.1836,19.1962,5.0658,5.3262,24.7361,3.5868,812.3374,40.266,30.2031,15.0264,28.2533,10.8855,99.2703,142.4169,223.1969,121.0119,141.0427,153.5399,16.5251,0.0
ESP_A03,0.3617,18.269,0.0824,0.1472,0.0199,111.4558,0.3641,0.1945,0.5236,0.2296,1.1002,1.303,0.4662,0.5816,0.6748,1.079,0.0707,0.3982,0.324,1.3382,0.1447,1.253,1.0663,1.8209,2.6737,10.4556,3.0189,0.5575,3.8359,1.7108,0.1714,4.4933,1.4631,1.9385,1.0682,1.1629,0.6503,1.7885,5.2471,5.8392,14.6409,11.443,1.8246,1.0179,0.0
ESP_B05_06,4.8676,1.5186,0.2642,2.1525,0.1613,2.1188,0.3559,1.0457,0.9837,307.7126,18.3622,0.2623,2.1637,3.4427,56.2186,1.4921,0.0628,1.6269,0.5803,1.4304,0.169,2.1147,264.616,4.8913,13.2309,14.1884,38.2292,2.0863,6.6173,2.0037,0.729,2.0483,0.6352,0.2818,0.607,2.0128,1.4483,1.699,3.3044,5.2421,2.4826,1.2882,1.5464,0.6243,0.0
ESP_B07_08,2.4079,3.1395,0.5436,47.8786,1.8477,75.0935,2.6669,1.0993,54.165,0.4829,136.9688,7.4867,1.4948,604.7914,419.9073,107.4989,1.2269,120.1402,8.8288,60.8371,0.4809,10.7484,1.7271,37.5166,578.5792,49.7291,0.874,0.0254,0.1253,2.1039,0.0187,15.9923,0.4588,7.8084,6.5695,0.4153,0.8091,11.7121,2.0833,18.4765,0.5975,2.0829,3.4795,1.1239,0.0
ESP_B09,0.2127,0.0539,0.5749,2.2159,0.3953,0.3673,0.0107,0.0059,0.2401,13.6238,0.9535,0.0269,0.0678,1.9505,3.9729,0.3492,0.0014,0.0116,0.0706,0.0101,0.0151,0.0355,4.578,0.3038,8.2629,0.2447,0.4138,0.0052,0.023,0.2152,0.0002,0.0405,0.0008,0.0,0.0006,0.0002,0.3061,0.2557,0.0857,0.1424,0.0088,0.0524,0.03,0.0131,0.0
ESP_C10T12,7670.5059,169.1905,8.7716,31.394,0.5986,21166.2435,164.5784,22.0877,119.2076,62.0561,564.7013,74.9808,102.0821,76.963,71.1753,91.8095,15.1412,54.5629,66.4248,200.6155,117.8252,107.6431,332.149,199.688,395.0989,2980.4069,186.9662,6.6173,71.0262,217.8414,13.0359,18235.4861,72.6986,160.8875,428.7883,288.4821,100.8904,598.9495,515.64,668.7414,450.2957,1015.77,209.7924,76.1498,0.0
ESP_C13T15,18.4811,24.2696,0.9189,1.6763,0.1693,103.9874,2231.4106,7.7988,96.5351,4.2149,137.7291,48.0557,179.632,31.4964,23.1089,48.7185,4.3738,22.4732,17.3233,397.8397,9.656,214.1565,26.4352,26.6462,96.2674,310.4081,29.9815,1.2072,17.4871,52.2189,2.7272,228.0891,27.6736,14.8035,39.8873,36.4769,18.5703,242.1684,136.9327,101.0012,27.7667,90.1047,44.1963,60.2321,0.0
ESP_C16,31.7243,9.6154,9.181,18.733,0.1509,239.8965,16.9629,1507.7473,103.8215,3.7232,45.2479,8.7068,67.853,111.8708,21.5069,138.2018,3.8402,90.0901,218.4822,150.3115,30.9266,511.0171,27.0258,14.4801,965.2559,145.4004,74.8,0.72,4.3476,59.6841,0.7091,118.9186,76.483,16.5259,16.2747,17.5413,11.3462,40.256,87.9868,28.1152,25.9024,83.8127,13.618,22.4556,0.0
ESP_C17_18,22.8401,0.9555,0.7704,5.2293,0.2236,2164.9879,197.242,180.5171,4137.3422,10.6878,547.0792,470.1678,237.7616,185.0384,41.8123,246.076,15.1435,134.8352,149.4076,144.039,17.879,362.2766,221.6335,175.299,58.4561,1098.4621,24.0003,1.0865,13.7362,42.9728,2.6348,253.3631,311.0444,81.0149,305.2438,523.8199,39.0006,1039.5107,254.1012,229.9288,181.1911,129.0428,88.0414,98.8494,0.0
ESP_C19,477.8683,141.0321,24.0562,120.468,7.7837,214.0554,40.7024,104.0305,103.4041,990.4779,936.7085,58.8495,238.7749,169.686,189.7716,111.1931,5.5496,148.7557,54.9339,159.6736,15.9057,198.5122,1163.3058,470.325,832.794,901.7708,3589.8749,195.9743,619.4355,216.1325,68.163,160.4704,27.2665,21.369,49.012,180.0592,33.7605,191.3607,210.4804,341.6135,214.8731,129.5071,84.139,60.6618,0.0
