V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_H49,482.3839,3.0697,2063.7755,84.4796,0.7695,855.3031,416.4986,29.3179,130.6413,132.5604,388.6796,37.4086,170.5358,554.7444,22.9579,15.504,0.438,19.4408,8.638,15.4684,4.9725,90.6129,98.3847,118.7633,556.0078,2218.6949,837.7401,0.4355,21.53,23.1336,54.1221,439.5947,28.8832,71.7774,36.4748,197.9167,53.1255,165.3246,122.9562,75.9408,51.7187,98.4199,41.7869,54.232,0.0
COL_H50,0.3657,0.0798,0.0563,0.1889,0.002,7.0623,2.5778,0.2599,1.323,0.0029,0.8777,0.2629,2.1233,1.5357,0.4231,0.3244,0.0175,0.5442,0.8318,1.2508,0.6033,1.1338,0.2437,0.104,9.5406,0.4268,0.303,0.0026,0.7216,0.119,0.0124,0.3346,0.0079,0.0682,0.0179,0.0078,0.0028,0.0517,0.0536,0.0087,0.5355,1.3411,0.0459,0.1971,0.0
COL_H51,41.752,0.5895,17.865,9.3439,0.1545,65.2314,29.5805,1.6971,16.5734,34.8087,66.5556,14.3136,17.4764,27.5092,5.2773,4.0401,0.185,5.8881,3.8391,8.7033,3.956,12.2924,14.4429,7.4416,78.8207,385.0238,21.0806,1.7729,41.3799,26.6794,9.6094,75.5702,4.4944,14.4302,7.8593,32.7065,8.4061,28.8726,23.6162,151.3766,73.3033,27.2692,7.5889,8.2632,0.0
COL_H52,66.8198,0.2245,202.082,98.9028,0.0264,26.4955,5.4001,2.0761,4.9174,5.8119,56.7277,7.6575,17.1672,11.917,4.4148,2.2429,0.0338,1.6538,0.9335,30.1936,7.8558,13.8182,6.8361,6.2225,75.3192,999.457,1120.6442,5.7674,654.4212,435.9887,41.4392,27.9952,3.8534,3.3981,0.1323,13.3524,1.5349,156.4538,8.1938,28.9882,1.0678,8.0973,14.738,18.6436,0.0
COL_H53,5.8903,0.0525,0.4353,0.1611,0.0,9.5303,3.8056,0.5393,3.244,1.0339,8.5741,1.936,6.9355,3.2181,0.9809,0.7501,0.0422,1.1913,1.1572,0.2282,0.0545,3.6006,15.6359,3.8902,9.7312,95.9317,24.1729,0.0219,20.2622,38.2021,54.8433,41.6819,10.684,60.379,12.7923,11.9629,7.5918,59.6774,93.7427,9.9183,0.7983,16.5624,6.8471,7.7123,0.0
COL_I,1.9383,0.3784,20.1938,6.5128,0.6755,25.71,17.3622,2.3129,8.236,12.9198,12.3378,2.7983,4.2238,8.8104,2.6088,2.5014,0.092,2.0203,3.5831,1.579,0.6014,18.8741,11.1737,1.591,18.4814,190.9958,23.1494,1.1749,128.6306,9.7288,5.2099,69.0657,14.9718,43.1325,21.1407,88.525,8.3506,80.8905,79.8349,198.301,80.5439,40.9975,82.09,66.7857,0.0
COL_J58T60,28.8805,0.0286,7.5714,9.3555,0.076,287.6945,37.2873,3.3314,20.9816,18.2851,42.4692,11.0893,1.1529,32.826,0.4722,0.544,0.1015,3.2156,10.889,3.5102,1.8438,5.2737,13.595,2.9098,6.3628,175.6614,59.2644,0.0267,8.3209,26.9686,2.3565,17.6225,44.1982,26.4447,5.598,0.2744,4.9949,80.7657,0.0142,95.491,11.6991,27.4828,8.3313,5.0192,0.0
COL_J61,21.9417,0.2428,11.6316,1.5794,0.0,39.3274,16.9901,7.677,12.2191,0.5447,19.8834,4.0072,5.2357,7.4463,1.9735,2.2672,0.0988,2.4217,5.5272,1.1331,0.4011,28.7297,66.5781,6.4283,109.9616,824.2512,18.8693,2.304,15.1016,16.4803,4.7986,116.5726,57.5781,1347.2002,83.6305,13.2684,21.7345,114.2109,71.5223,143.5058,25.1499,77.6079,29.8759,69.1513,0.0
COL_J62_63,12.1697,0.1093,9.183,1.323,0.0,22.8832,13.0933,4.6958,10.0621,0.5034,19.1645,3.8563,3.7856,5.701,1.7585,1.6251,0.1004,2.3583,4.3302,1.1752,0.5222,12.9741,72.4887,5.3005,67.1536,568.1292,14.474,1.6336,16.983,14.6435,2.9553,43.8984,49.807,288.4359,323.3312,15.2937,14.0947,132.427,65.8693,120.2423,19.647,59.5142,31.0026,16.2378,0.0
COL_K,265.5582,3.7851,218.5392,20.0909,2.083,520.4786,145.8787,11.9751,137.8605,87.8643,175.0148,26.3368,78.4162,133.8826,47.9096,34.6668,1.5051,47.7653,29.8056,25.2634,8.5086,74.6488,293.9796,48.8513,1769.7798,1309.1856,482.7327,15.6048,85.7609,131.8822,47.171,161.1674,33.791,183.4888,65.7481,5329.7827,700.6654,283.5815,209.2647,1077.6474,216.7357,248.7818,89.0107,87.6808,0.0
COL_L,11.3055,0.9225,70.4581,2.1418,0.0,46.6648,257.2576,0.782,20.0077,6.1181,29.8594,5.9823,30.9992,88.4443,18.9071,23.2527,0.0597,1.8886,14.4298,6.9426,1.641,57.2123,51.3934,115.4543,95.2082,1983.3116,22.4739,1.0036,24.9141,269.4247,20.1956,1155.1481,45.6278,257.6918,81.0611,815.9408,116.7252,214.572,666.0639,201.2793,515.6435,84.2121,166.7439,150.0539,0.0
COL_M,86.7888,0.0,245.4195,24.6439,5.0656,54.9442,94.1858,1.6435,22.8377,25.4766,77.962,16.1428,29.1251,17.9476,31.7837,28.4874,0.5815,11.2023,13.6918,12.407,3.5671,72.1524,374.9051,297.3581,349.6943,781.4262,179.4943,7.9452,33.1379,116.7222,20.38,213.0932,122.8812,564.3764,208.437,950.0407,240.1785,1284.1632,451.3382,3035.2048,1655.7244,358.0798,124.3086,111.2211,0.0
COL_N,67.0207,2.201,503.6121,81.3567,8.285,448.1582,320.7454,13.2444,271.9157,66.5304,195.6976,49.2621,63.9946,42.6929,20.9646,20.0848,0.8313,25.0118,24.0286,24.2847,6.865,86.7762,153.5662,151.1987,209.3079,1674.9155,37.5239,11.1037,106.8518,233.7581,37.351,396.4178,245.79,1130.5488,467.8512,1126.5797,646.1588,799.3894,797.1289,2145.7702,342.0822,532.5486,148.8865,91.3986,0.0
COL_O,12.7575,0.4523,49.8128,15.6216,0.4395,22.503,9.1072,0.5623,5.6668,2.2103,17.9746,2.7892,7.8801,3.5675,4.4633,2.6153,0.0608,1.7145,1.388,5.6517,1.508,10.2865,13.7712,10.1806,49.2729,183.0922,154.344,1.1713,89.612,63.252,6.2448,19.9429,7.1558,32.5422,12.1695,52.4425,5.2818,58.5288,17.0921,57.354,48.1545,17.3569,10.7059,10.6858,0.0
COL_P,0.6017,0.0678,2.6274,3.0452,0.0047,9.6387,3.6387,0.1588,1.1634,3.5835,1.5356,0.6811,0.8555,1.4144,1.4403,0.6254,0.0118,0.2815,0.4096,0.4328,0.2206,5.9485,13.1447,11.3729,15.9505,17.7704,3.8424,0.0262,6.5248,8.2543,1.5861,5.3481,0.6756,3.3936,3.6847,39.4925,13.0379,15.1973,5.3008,189.2528,161.474,53.6922,1.732,1.3375,0.0
COL_Q,36.7323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4382,0.0,0.0,0.6291,0.0,0.0,0.0,8.2601,14.166,6941.9831,9.4888,9.9372,0.0
COL_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136,0.0,32.6443,8.197,0.0,0.0,1.8014,1.255,0.0595,1.5774,0.0,3.3177,0.6653,4.2423,0.0,0.0,0.0,88.8265,0.0,0.0,0.0,0.0,5.5176,120.0187,65.6271,53.8878,28.5778,7.6289,8.9338,0.0,0.0,123.9057,19.9689,26.6301,200.0821,48.5363,0.0
COL_S,9.2309,0.3302,16.7401,5.4767,0.4891,15.9852,4.5533,0.2033,3.9873,5.2127,26.2846,5.6742,0.7843,7.0748,3.9921,2.909,0.0712,1.5279,19.7292,3.3359,0.8588,8.5761,6.3347,4.5238,19.5972,68.8436,80.714,2.2665,4.0999,8.006,6.9736,17.4621,4.1718,62.544,11.701,36.1989,3.7518,32.4708,23.0822,48.2183,6.072,30.7907,231.4388,254.0477,0.0
COL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
