V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,325187.8418,13781.6893,588.0649,115.2922,0.2066,585999.8012,107963.6753,41250.7415,28181.1234,15.3338,14807.5811,49602.2528,14803.535,359.6181,66.2241,170.4603,4.6635,96.082,112.0189,33.3497,25.7184,10009.4477,118.2151,763.5183,32891.7012,136.817,79.0591,4.3103,889.1731,69.9751,1.9767,29391.9549,60.8592,583.1968,1.2276,43.3877,113.1767,7319.7315,1612.7878,11.9851,433.1385,816.3466,144.2767,1093.3579,0
CHN_A03,581.2279,15468.6583,0.0,1.8373,0.0211,77085.8189,360.4141,334.6702,402.6152,0.1817,953.9733,64.9348,14.6278,11.4224,6.7764,0.0,0.0,0.0,10.4401,4.4447,1.781,45.1343,9.024,129.719,0.0,11.3413,0.0,2.1567,0.0,0.0,0.1993,27277.6554,9.8667,58.7913,0.0,4.3739,11.062,1479.5379,201.9286,1.3616,79.0616,40.2672,2.5796,111.6443,0
CHN_B05_06,1027.1179,62.3188,62931.4989,3422.7373,104.4778,3110.1022,2310.8591,334.0959,3997.0472,192366.8833,43871.5512,491.9949,1752.3767,41153.4423,37228.0027,1532.31,111.4235,287.7921,1460.6818,477.3155,216.2292,172.0206,131996.9735,337.4818,860.0489,436.487,56.36,62.3799,33.8187,240.8491,26.569,336.5146,7.7842,0.0,1196.4084,174.8709,23.1044,364.3536,132.6514,489.2363,402.465,334.8863,10.1623,137.9785,0
CHN_B07_08,3.9854,1.5975,284.4777,13827.0922,107.4676,84.0166,22.0397,7.8586,833.8595,124.7986,16435.7694,187.9306,580.6653,68370.1249,135307.8514,2694.2203,100.9963,2209.795,2075.7058,613.6005,70.666,155.5551,235.4914,98.5838,28931.6377,139.0423,70.6525,1.4818,0.8365,54.1266,0.4853,6.1115,1.3085,0.0,0.0403,156.6147,0.1312,211.8684,34.2721,19.5077,2.0614,1.8731,1.3648,18.2918,0
CHN_B09,0.0,0.0,23536.3936,583.1454,75.6886,237.2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,67.4051,0.0,922.3377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,167545.2515,25488.7269,1472.617,3051.2747,27.159,343816.0774,17484.7663,1312.4965,1656.37,2801.4939,38135.9053,8474.2078,1084.3594,2588.2913,17069.4173,4765.8858,11597.101,5897.9136,9478.1024,2341.6804,1504.9171,1760.6399,7951.6752,3192.1808,7259.3741,22401.2752,3071.8607,109.116,6331.6865,2640.0556,1065.2377,146528.7296,1457.0598,2990.8013,2025.1517,1939.8234,1878.5544,17052.9065,1751.0249,6688.718,9943.4311,6912.1629,2433.2011,2482.9342,0
CHN_C13T15,618.8771,31.4459,5912.5917,1958.4987,742.4427,7458.8986,590097.6673,1448.6644,13488.071,1000.8789,6535.4948,7322.6247,7536.7194,8082.1971,2575.3047,4812.8989,4722.0228,5213.5631,8482.5395,9231.1362,2663.7227,34540.0953,1647.7767,4194.2146,6103.8646,12831.4796,3450.3975,316.0897,1312.5318,1561.4698,1800.9083,7027.9597,3711.1743,1147.7956,145.1375,3398.9363,883.8668,12714.0286,2200.0447,24785.2132,1893.9472,11741.8416,1089.0277,1390.854,0
CHN_C16,26.3836,8.7977,6659.1768,704.7412,7.2201,863.9105,796.3201,62159.5425,4431.53,72.7612,1567.1297,122.6071,876.16,2485.89,319.0041,5253.5918,909.3802,995.2027,1499.8151,708.1992,170.5459,47319.8562,134.8034,373.3791,59317.1584,342.7153,107.339,5.0039,7.9088,63.5111,9.3959,38.0813,2.9559,25.1724,0.2272,3.3609,0.0725,14.0928,4.6098,36.1196,80.1668,47.7025,82.4092,4.4193,0
CHN_C17_18,334.6869,107.8316,107.1468,663.7395,32.6473,18432.8056,3836.8754,1612.2256,113837.5618,114.2018,5908.0123,5572.5719,2484.003,12990.4055,638.0417,2292.9118,5358.4601,6533.9115,4199.7144,1159.6153,305.7053,12825.6561,142.324,430.8791,2801.4237,19939.7289,322.084,9.5708,132.1679,289.4133,4527.3717,1950.3962,9648.8369,1386.9698,18726.2741,8540.4303,1640.5819,65758.3993,3275.4904,13417.9081,6611.2388,95.3834,231.4955,412.67,0
CHN_C19,7461.058,2798.9214,4433.4802,21510.3938,1495.1214,1653.2324,1461.3528,961.1546,848.8939,35417.6908,85341.0578,435.9559,3045.0756,27560.1085,77221.399,4386.6637,1396.4752,1383.7094,3394.4775,1334.6198,753.1207,1589.236,14202.4376,1733.6513,39630.8732,7715.1338,59161.9526,31537.1053,16779.0477,25765.4563,1798.4035,1043.8532,284.147,536.9105,235.6779,1175.862,545.9257,16159.4018,2765.7011,1807.6817,1345.0796,237.6012,106.6966,454.9801,0
CHN_C20,120165.2708,1071.0501,17087.6967,18461.0873,2169.0111,5956.4793,52983.5092,14559.6281,29267.37,10360.3159,370584.9428,13860.1011,135314.9962,38597.2897,18668.0042,13589.4525,16395.9152,28810.2398,10972.8443,7954.0175,2716.7899,18325.0987,253.6388,8501.5834,80602.9243,15001.5313,514.0446,64.1562,326.8481,70.6254,99.7773,2793.4894,1551.3886,17.1128,466.9202,166.6161,113.7311,30577.7196,480.1185,1921.6499,4866.2359,455.6726,76.7243,3945.8083,0
CHN_C21,10377.2916,1323.6393,220.2573,18.0838,1.1255,1430.4073,119.6371,0.4753,903.6977,11.2248,1903.4013,78993.6773,133.5842,722.0515,215.7591,226.2794,559.6004,131.0702,690.5315,11.9073,12.9792,157.046,19.0364,224.4511,3125.1657,62.3751,28.8316,37.9251,32.9225,37.3689,62.253,33.5279,19.9077,171.081,55.9172,45.1204,5.3981,3825.159,27.5195,143.5811,568.9846,131102.6415,5.8201,94.022,0
CHN_C22,15089.0722,323.7691,1587.8011,2621.2741,1199.1157,18299.0296,14532.8661,1586.9543,8097.1136,1060.3179,26227.4178,1784.0342,91630.5106,10381.9553,1412.7622,7664.7614,23663.3642,33730.4126,27384.5297,32123.5601,6453.7266,15408.2175,75.4719,3315.274,41348.9217,11871.996,8735.1761,43.6301,80.2651,2296.7908,1388.6894,1578.7275,144.7336,592.3995,341.0063,55.932,150.0106,4092.8434,338.9332,206.7671,46.4061,381.1822,56.0883,696.4233,0
