V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_H50,38.8994,0.4299,11.0542,1.8585,2.9796,123.8176,4.6077,6.4787,14.4551,47.0,60.8719,4.051,10.243,13.9493,14.9924,28.2052,53.2336,7.6927,32.704,26.5508,9.2287,19.7371,15.869,9.962,103.185,500.7441,237.25,1124.6852,19.2302,148.8988,2.8864,20.6502,5.1254,6.9828,9.3509,7.3311,12.6016,27.1595,42.8457,15.2997,6.5073,24.6546,4.8596,4.8325,0.0
NLD_H51,39.6784,0.5867,5.0334,1.3432,3.0238,124.2889,6.5465,7.356,17.6873,30.0624,59.6769,10.8728,16.6878,17.387,22.7247,46.6429,43.1292,12.2016,52.953,36.3051,17.8903,62.4899,32.304,14.2956,138.1212,162.0157,44.2064,13.795,157.0673,57.6534,7.7628,34.7642,9.2285,15.3111,21.5674,41.4431,24.9575,136.8499,262.7387,70.2273,53.5079,71.0358,11.3621,11.4088,0.0
NLD_H52,159.1754,6.4733,8.2703,33.3664,66.8455,380.0836,17.5043,19.4228,44.5717,319.8458,269.2188,15.0179,29.4532,46.724,46.1556,81.3074,157.8014,27.7252,92.6535,59.2837,31.7127,56.6698,74.5921,82.4498,398.8854,1527.5043,1434.5872,427.1324,798.658,2071.8566,8.9974,73.8072,29.122,40.602,94.6414,63.9505,85.4388,192.6715,168.34,115.7983,30.22,110.9934,23.6556,24.5263,0.0
NLD_H53,34.6845,1.6811,1.4642,0.707,1.2656,56.6133,2.9018,3.6672,12.5049,17.7387,35.5705,7.5922,6.4495,9.4326,7.3132,21.2055,28.9438,7.7566,27.2973,11.4807,4.685,18.7911,18.9989,16.9985,87.3613,473.7849,229.7865,9.4534,7.8748,46.2356,1158.9691,32.9143,52.7728,54.2771,55.7055,103.8048,125.5497,595.0059,69.3603,279.5196,77.5643,214.8362,41.6173,32.636,0.0
NLD_I,13.8189,0.0178,8.9091,0.0582,0.1788,109.8439,10.3163,4.9526,18.0617,10.5624,65.0648,10.9681,16.4449,11.7379,24.3984,32.7834,56.7394,46.4668,56.0407,14.711,16.3198,36.0295,28.1958,13.381,105.275,911.6872,100.3924,23.1798,488.4157,94.9677,13.4696,87.9168,115.6175,38.4603,154.6205,333.9596,42.8208,643.1085,933.6767,259.4459,77.1563,800.0479,259.5308,68.4546,0.0
NLD_J58T60,15.3388,0.4769,5.5572,1.2927,4.394,75.9054,6.9598,4.4151,35.2594,3.6675,50.3193,15.4113,15.0973,6.4739,17.2183,26.3769,375.1495,12.8126,37.7974,14.7937,11.0912,36.1181,27.3169,16.049,103.5117,888.8934,67.1929,25.1678,16.9826,37.856,14.2025,70.3336,682.4058,75.8633,306.5964,213.3007,90.1618,1306.7107,421.7617,216.9575,152.448,178.6689,72.8246,33.5434,0.0
NLD_J61,66.6679,3.8347,4.3339,0.9466,3.3478,43.9382,8.3915,6.0355,29.5269,6.0758,33.6385,12.1331,17.1683,10.0121,6.9422,34.8004,31.8361,8.8503,57.5585,13.724,8.4679,46.6665,44.4484,29.0437,273.9566,808.4392,72.5592,27.6017,22.3892,111.2814,14.2943,80.9581,62.1059,1432.764,210.8173,627.6293,415.3759,1117.5009,178.3329,289.8572,133.961,490.8045,230.6238,120.5942,0.0
NLD_J62_63,99.4972,2.3698,18.4583,3.0638,8.2367,256.8625,17.8174,15.9004,65.7652,26.9292,388.5887,43.3337,44.5008,30.0488,56.037,102.4339,626.4484,61.2076,117.8577,37.7147,39.2449,95.9426,102.3039,63.2727,459.5486,2263.3175,191.6509,139.4618,110.8342,178.7937,39.7544,190.8551,490.4095,480.2645,6213.3239,1012.3916,353.6753,2462.2993,808.8784,1157.32,367.9169,413.3327,160.2079,154.5096,0.0
NLD_K,429.7441,9.9736,128.5014,8.2055,18.1826,751.8407,56.695,37.4202,167.4203,383.1201,705.7858,112.461,131.6932,83.43,118.7818,283.9892,567.9381,176.0371,381.3661,153.5736,107.709,234.6169,257.6962,211.263,1026.9037,3945.7679,552.2868,164.4727,216.7189,449.958,126.3852,362.6104,202.1404,231.2449,960.4403,19437.7923,20199.7176,2761.9093,1311.6925,1839.841,279.7647,1172.2479,240.5909,426.4559,0.0
NLD_L,501.0818,3.0653,23.4954,3.0738,8.7604,314.2497,57.7529,54.725,117.9044,44.5025,174.7261,44.9078,89.5695,68.5125,43.6947,281.0803,104.141,69.9604,247.2176,67.9302,71.2061,233.9049,128.6653,109.4596,1040.1257,7098.7734,292.7842,36.7538,71.2711,1120.6458,68.1093,1338.142,166.5847,228.2076,637.9601,1018.8195,1937.3463,2358.066,793.1069,517.4236,412.0603,1455.6944,156.6317,413.7283,0.0
NLD_M,716.4904,8.174,313.9543,36.7116,111.7873,1392.9137,104.2914,85.1649,495.0925,293.9674,2173.6514,428.0662,284.0674,153.8099,204.9302,552.8324,1759.7555,773.0991,1194.5128,286.7956,150.3394,534.8801,439.6812,251.5488,3242.1081,13644.3102,1065.6561,334.9724,312.852,1040.9293,826.6394,692.6101,1177.6325,656.8115,4494.6756,3585.4191,2207.9238,15993.9889,4895.6171,3904.5742,1033.9098,1037.5281,548.9278,749.4746,0.0
NLD_N,428.9815,10.0232,110.1587,6.9149,33.6282,1234.9446,108.7641,89.4304,240.3678,78.9985,736.2874,260.4683,291.6553,221.3507,251.2854,831.3804,1060.6763,271.1347,971.6489,534.1645,208.8011,1462.7849,660.7788,387.2613,2126.0316,5870.2014,1379.4814,387.6838,626.7576,1768.2883,229.6479,948.5201,589.7166,432.4683,1461.8168,1784.0275,1490.6496,4752.8675,6832.2462,4078.612,2420.6227,1973.9343,768.9427,480.7639,0.0
NLD_O,138.7725,3.3794,7.5914,3.4025,6.5347,106.1374,13.6182,8.1173,182.2866,18.3808,88.4085,15.0532,34.1944,25.0424,197.7818,50.1102,26.722,28.8529,48.5982,21.0711,13.7703,47.3338,160.7171,881.9193,402.1535,540.457,76.0138,51.9065,48.4655,181.9419,12.5328,111.5946,48.2659,62.3327,306.2923,186.1034,232.3148,480.164,155.2651,581.9681,107.1261,236.3288,58.5561,46.4714,0.0
NLD_P,13.7067,0.2024,6.2973,1.1499,3.9243,48.3918,4.8717,2.6488,11.2223,5.6019,43.0616,13.9309,10.3186,7.59,7.7457,28.7309,25.974,14.7494,52.0986,13.4939,8.2006,41.1875,32.4606,16.4136,106.4865,347.9966,44.0218,13.2899,16.4513,54.5517,11.9511,64.6829,40.2703,26.2866,116.508,264.9495,51.8932,742.2357,160.5201,657.6069,114.402,414.5908,142.3679,29.3698,0.0
NLD_Q,9.4891,0.7845,2.3117,0.8543,3.1344,20.8113,3.8338,3.5222,6.1485,4.8195,16.2774,7.6142,7.3588,6.2467,5.0988,18.5048,11.7063,5.1121,18.677,7.6216,3.6813,21.4488,11.9287,7.1217,50.1205,198.8331,32.4328,13.1825,21.3207,54.4704,4.6175,24.4249,9.7547,12.9556,116.687,54.4685,23.558,179.4877,88.7508,624.1403,44.1937,1718.4358,11.6408,17.7412,0.0
NLD_R,10.1669,0.066,3.7076,0.2369,0.5977,42.6357,4.5352,2.821,9.3235,5.0199,23.0096,5.0638,7.0474,5.0039,10.7895,11.6264,46.7123,13.1546,15.7681,8.5244,8.3904,16.462,10.4767,11.9007,42.7948,302.2455,26.4914,8.9839,39.5969,21.0954,4.2004,97.4112,295.6376,17.264,124.0098,90.3171,37.3865,282.6205,395.2164,208.62,100.2092,87.177,1452.8898,53.3968,0.0
NLD_S,62.0407,1.4883,4.0965,1.3828,3.8433,70.0425,7.6421,5.3885,15.7962,6.5815,54.5681,7.5592,11.9459,11.671,15.8534,21.2369,13.9091,8.5292,18.7362,16.8701,18.7257,38.1653,14.6062,37.5926,88.5972,318.8475,47.7663,21.7873,8.4865,35.3347,5.1476,208.4391,41.1642,19.8243,291.0916,145.863,163.0955,305.585,154.2452,165.2607,48.6269,655.7319,97.1185,234.0037,0.0
NLD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
