V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_A01_02,10341.57,3.019,0.2736,2.0084,0.077,36359.5179,122.0163,1919.2342,29.5306,3.1953,210.6689,87.9933,631.0398,8.5332,16.6397,14.0697,40.0045,27.5385,34.4164,10.9993,9.9852,134.2328,7.681,7.6337,327.7605,2229.4277,12.0581,15.0765,1.5833,25.3702,6.076,5920.6769,14.3642,10.7113,8.7265,58.3246,10.5915,124.1541,82.1834,31.8584,242.9795,1116.9244,198.3362,201.5217,0,33872.7588,0.0,0.0,1469.4642,694.9276,0.0
JPN_A03,2.1794,432.6732,0.0393,0.4068,0.0001,5973.4544,0.8677,0.1285,1.5296,0.5512,6.6067,4.2526,7.13,0.7786,3.1151,1.0529,12.3947,7.5187,4.7291,4.4939,1.0058,439.5163,1.8707,1.535,11.4846,69.1858,5.4189,6.2435,0.3791,4.8684,1.3894,1565.5519,3.5625,2.1953,5.7743,14.1473,2.6554,5.8786,2.8325,4.8342,9.7912,277.2642,6.6326,24.6213,0,3856.3589,0.0,0.0,0.0,95.2799,0.0
JPN_B05_06,0.7991,0.0434,0.0313,0.0558,0.1645,3.9663,0.759,0.1678,12.0284,580.099,21.1957,0.5565,1.7734,10.3501,16.7805,0.4185,0.5673,1.5456,1.1216,1.6057,0.196,0.3316,430.6874,0.983,6.781,2.4185,0.7178,0.0981,0.0826,0.124,0.0109,1.3131,0.0598,0.1594,0.0999,0.1942,0.1727,0.4285,0.2527,0.4557,0.2587,0.8287,0.2277,0.2906,0,6.3027,0.0956,1.6491,0.4702,5.5501,0.0
JPN_B07_08,0.4739,0.0004,0.0,12.2504,2.5725,1.1537,0.9219,0.1379,18.2288,22.5559,82.2092,5.2366,10.7773,391.6991,3489.022,6.4738,63.8939,21.9366,6.9578,5.5975,0.537,14.639,0.0243,0.0002,31.4423,0.5288,1.6045,0.0,0.0,0.0,0.0,0.0,0.0227,0.2001,0.0,0.0001,0.0009,12.6742,0.0,0.1406,0.001,0.0114,0.9578,1.1579,0,0.0019,0.0,0.0,0.0,28.577,0.0
JPN_B09,2.9383,2.8956,5.3242,24.1059,23.1588,6.1365,0.0856,0.0819,7.4754,420.8141,34.9528,0.7061,2.7841,36.4842,252.1487,4.1715,0.2842,0.6553,5.2122,0.3878,0.3154,0.3962,78.0075,10.5249,251.7352,5.0258,14.2491,0.4354,0.5117,3.2698,0.027,0.7852,0.0065,0.0,0.014,0.0016,7.6895,6.7198,1.6224,4.5935,0.241,1.8893,0.5947,0.1058,0,0.0,0.0,0.0,0.0,0.0,0.0
JPN_C10T12,4929.1871,589.8904,1.0016,11.4745,0.3869,29944.4245,128.1357,21.2458,125.5235,18.6387,605.0585,168.1093,68.726,37.7096,70.5531,51.5424,119.9254,97.6483,150.5254,74.2815,27.3949,115.1742,48.7992,53.0817,308.1275,3321.9198,107.8895,138.5627,9.6787,164.7183,36.3872,36222.4763,59.2752,250.831,119.817,300.6269,107.6836,299.8295,172.0332,211.4656,552.276,3281.1693,144.9493,385.3325,0,219957.9753,0.0,0.0,0.0,1812.328,0.0
JPN_C13T15,119.8297,238.3867,0.8277,3.7769,0.8555,256.1405,5078.0161,19.3896,407.446,4.1322,48.9802,16.2951,562.4228,193.2215,58.043,44.4405,115.3821,187.3518,224.8107,332.7294,70.9819,950.4967,17.6905,31.238,680.2445,1013.6542,137.8814,299.5963,11.774,131.0012,21.9425,183.8159,48.9247,157.8498,132.5748,182.0054,18.4348,302.4769,205.852,286.7154,71.1106,524.2431,324.3639,298.5847,0,15160.5205,0.0,0.0,663.1002,276.2741,0.0
JPN_C16,123.8335,13.9338,0.2816,0.258,0.6752,98.1655,8.5101,2564.5354,1574.643,0.7452,29.0999,4.2608,52.9368,121.2138,56.6343,37.449,38.8446,31.1427,76.5424,59.1639,58.1018,2493.5995,147.3879,1.1339,11304.0448,459.9778,4.6581,4.7739,0.2094,440.0214,1.2741,153.6677,10.2348,6.9424,3.7577,25.8959,2.3523,42.4579,31.6174,10.7491,6.1074,13.5443,42.0536,37.6487,0,529.7253,0.0,0.0,88.9125,132.3694,0.0
JPN_C17_18,2695.4873,37.8672,1.1462,11.2828,1.3347,7240.4792,240.6578,258.9392,25302.4253,33.3329,2000.5084,843.0292,993.1947,767.4247,270.495,490.4397,1689.5129,1623.622,1203.387,489.6372,229.9504,1676.5142,261.4038,262.8272,1899.2613,10903.236,774.2539,354.1824,53.324,2135.8166,323.5846,1249.4855,5709.6807,2169.3787,2680.5411,5986.561,244.528,4368.8819,1821.4618,3041.8571,2449.6623,4529.4459,570.6813,790.0633,0,3272.5069,0.0,50.9232,98.7715,830.8406,0.0
JPN_C19,2027.4331,637.2153,13.5302,334.3699,55.4628,1461.3893,252.2267,117.035,482.0138,4410.6181,12217.8112,1053.3568,381.0185,855.3565,3533.1027,427.1966,198.0279,322.696,481.819,12.2253,206.1588,472.2903,5205.4647,649.4053,8772.1549,11970.139,8162.1145,6166.3999,5099.9894,489.9208,297.6497,1593.9593,314.3842,483.9334,719.3798,991.3342,679.5101,2734.051,3310.9178,4748.0652,758.0864,2055.7616,1409.966,1037.2937,0,55853.7554,0.0,0.0,0.0,1059.9784,0.0
