V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_A01_02,8089.7847,2.6767,101.2939,41.2525,0.0241,18588.3886,3128.628,473.544,149.8611,0.5003,67.539,19.2034,160.3301,15.282,3.5523,3.07,0.1171,3.0181,5.4755,18.9859,1.4222,86.7748,0.5255,4.3531,81.2977,347.9577,9.3219,0.5687,5.3712,0.9855,2.1779,1188.5237,0.7811,1.0874,2.4697,4.2177,18.753,77.1569,67.0416,421.093,37.5796,28.6319,31.4331,33.4721,0.0,24491.9978,0.0,183.7084,2972.309,-8.3843,0.0
TUR_A03,2.5573,30.4034,0.0628,0.0481,0.0,119.4629,0.0382,0.0,0.0,0.0326,0.0223,0.0,0.2045,0.6226,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0178,0.0,0.0,2.3234,14.2185,0.0,0.2082,0.094,0.2279,0.0,247.4555,0.0,0.0,0.0,0.0,0.0084,1.1675,1.3358,2.1588,0.0445,0.5331,0.7188,0.1099,0.0,1084.8115,0.0,0.0,0.0,0.7157,0.0
TUR_B05_06,5.3535,0.0496,53.0273,11.0883,0.1967,17.068,7.0309,6.4109,1.654,693.3403,2.5734,0.2397,3.2536,27.81,842.8145,0.3318,0.1725,0.4867,1.0495,1.6063,0.1365,1.3174,1457.785,2.0978,5.2065,99.041,22.1234,0.1967,0.121,0.2387,0.0174,26.4252,0.1795,0.1301,0.3805,11.509,140.2387,2.6293,1.7172,0.7309,1.2963,2.1743,0.1063,14.3083,0.0,259.5928,0.0,0.4531,28.9261,-99.8225,0.0
TUR_B07_08,34.4783,0.1994,34.1529,342.0427,2.1383,96.3596,81.257,4.1636,32.4209,187.3315,228.7089,0.4421,20.4841,1022.6155,3948.4922,31.3134,0.8512,21.6752,8.1582,24.4138,0.9059,13.1192,20.673,8.9549,746.139,54.7434,23.7993,0.4916,1.307,0.4984,0.1299,3.0946,0.1719,0.6466,0.1257,0.8805,12.1021,18.9554,5.1197,2.8698,0.9845,15.3955,0.7242,1.5074,0.0,431.5915,0.0,10.8739,162.1984,-23.8205,0.0
TUR_B09,2.1874,0.3749,25.9915,46.0437,4.0489,1.4898,0.2485,0.028,1.4613,119.7925,4.3613,0.0499,0.5452,25.9645,55.4496,1.2354,0.0063,0.0684,0.3481,0.0326,0.02,0.2325,35.0822,1.1773,105.9153,0.838,5.0779,0.0827,0.3677,0.5693,0.0104,0.1303,0.0008,0.0,0.0007,0.0002,1.0479,0.7762,0.2874,0.8,0.0576,0.0807,0.0907,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_C10T12,1308.9625,41.8414,2.3577,17.9752,0.0811,8647.5589,127.0616,3.585,59.5212,2.2962,35.7028,23.4818,10.7266,15.772,7.3752,13.2081,0.4323,9.0537,9.867,4.8613,3.8417,38.409,11.2003,14.0463,63.353,639.8382,38.1193,4.549,1.6512,9.4756,11.3377,6953.6977,6.3828,9.0739,4.0275,21.3008,2.4334,68.9809,133.7865,475.6062,75.3874,107.7424,67.0475,75.2688,0.0,44618.8849,0.0,986.5279,1.0726,-0.4739,0.0
TUR_C13T15,48.2511,2.9514,60.6838,111.4796,0.8232,234.7304,19812.3243,8.1196,220.2443,12.1231,144.731,40.8279,150.1476,247.4067,45.1925,75.9372,10.0903,118.3374,150.4628,203.9511,15.344,560.5874,37.857,18.5515,341.3413,960.2204,61.7913,1.2417,18.5183,35.6779,17.971,184.4362,9.305,3.1364,2.6615,22.0324,31.9655,54.6663,153.1985,564.1948,62.1849,46.1179,48.09,526.5897,0.0,22784.4845,0.0,2548.2456,1080.6858,-0.1718,0.0
TUR_C16,34.7004,0.5683,4.0652,0.959,0.2046,36.94,41.8262,903.9515,28.7604,1.595,27.516,2.4964,52.1518,99.5525,40.7674,82.7151,1.5867,52.9989,46.2879,10.0084,15.1132,1343.0293,2.7947,7.8153,1985.7513,136.4873,13.7364,0.3317,2.4889,1.6698,0.8268,4.7355,1.5799,1.7534,13.6356,4.0195,12.5949,37.3769,22.6844,13.4704,1.9137,14.2631,2.4576,79.4312,0.0,222.9915,0.0,2.193,93.2079,-5.6636,0.0
TUR_C17_18,120.032,5.8246,2.7878,16.3238,0.333,962.855,573.5815,97.653,3306.2172,30.5142,285.0056,77.444,327.3452,308.6345,155.0385,132.1393,27.4607,168.9821,89.911,85.4392,10.6822,179.6539,63.9948,16.498,188.9691,1430.4703,119.5642,2.7444,9.3674,98.7398,45.4453,258.1564,643.6353,54.4783,54.4768,248.9869,27.3279,557.0613,477.2806,304.1538,195.7074,145.0565,97.1127,139.1228,0.0,2424.4184,0.0197,22.5741,91.4852,-1.992,0.0
TUR_C19,679.6888,27.6021,250.5116,506.796,3.1297,195.4983,129.3426,28.3825,42.5141,313.1132,203.3191,14.0075,125.7273,498.9366,129.1469,82.2348,3.9984,103.1103,49.5337,48.6564,6.7989,81.7187,115.5276,96.0302,1427.4362,1199.8638,3141.7628,189.9748,1846.1165,265.8527,75.2097,127.1238,6.4338,16.9102,8.0593,29.0777,156.5459,124.1671,233.0565,621.9546,101.7426,44.3519,13.0062,123.2898,0.0,2317.5254,0.0,4.0913,33.9636,1.0473,0.0
TUR_C20,1215.1001,3.936,28.4359,47.072,2.2953,517.2672,1823.7798,230.2293,640.0224,112.5117,2972.7172,180.5371,2678.8199,530.8247,560.9895,273.4764,45.0987,343.7194,98.9838,222.0651,31.5418,425.4341,85.3938,142.5328,899.1102,431.5538,150.9041,7.4998,68.8871,23.0256,4.6269,118.8279,21.3232,4.7423,3.121,20.5314,381.4477,96.8258,138.9497,125.3379,30.8308,86.6821,28.8387,97.27,0.0,2300.2153,0.0,30.2347,291.1356,-2.9496,0.0
TUR_C21,37.1026,0.1822,0.7737,1.2441,0.0741,83.1238,25.9718,2.6444,8.8817,3.155,22.8646,270.3831,19.4003,7.1568,9.9966,6.6462,2.5875,6.5729,5.113,9.3614,0.9234,9.7502,4.8504,53.1771,31.9226,34.6963,6.9726,0.6545,3.3288,0.9871,0.3927,5.0882,1.039,1.2601,1.6329,7.0691,4.4313,43.6,7.8435,7.7246,10.5385,334.6084,21.5726,9.85,0.0,763.5211,0.0,2352.8275,153.4345,-1.1984,0.0
