V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T,PRT_HFCE,PRT_NPISH,PRT_GGFC,PRT_GFCF,PRT_INVNT,PRT_DPABR
PRT_F,126.996,9.0719,0,18.4658,1.9671,103.3909,27.6395,22.4086,25.1328,22.4614,27.2023,5.0541,11.3383,43.5601,11.769,24.938,6.7314,13.0327,10.0098,34.8847,3.3075,27.0674,57.9101,79.7099,5360.7179,354.6741,174.8975,42.9557,96.4433,242.6137,10.6385,97.0922,10.5244,56.1578,32.8618,111.808,580.2811,79.0908,70.6182,567.7251,100.6799,128.64,49.6662,39.5804,0.0,204.2755,1.1979,162.6623,14785.5509,19.3511,0.0
PRT_G,720.5852,44.8716,0,69.5235,5.5883,2463.5644,1119.8006,219.343,432.5059,347.0688,495.676,119.5977,324.8339,269.6564,136.1241,371.8653,126.1614,164.1658,133.8583,597.1804,41.3603,324.8924,492.1711,146.1773,722.1796,3230.1356,954.8427,38.3413,412.6167,244.0499,18.9411,1308.7981,119.3876,222.4744,163.667,346.784,125.1227,617.5513,425.2828,276.4267,112.4506,974.4415,170.1173,157.9363,0.0,13739.9883,14.4367,571.5835,1436.9155,249.3789,0.0
PRT_H49,191.1065,3.5698,0,51.8423,2.8301,445.4715,108.2563,59.8424,89.8313,94.6195,123.9685,13.0904,78.4407,135.4689,51.3596,122.4027,19.1845,26.1706,30.9206,121.0122,10.1573,63.692,102.5752,21.309,74.9683,1021.4821,1405.8112,1.1329,16.3415,67.3582,15.1331,42.4756,14.6712,10.2811,20.9918,25.0776,6.2774,113.414,69.8848,54.2124,26.5727,40.8453,17.768,34.8487,0.0,1621.0662,0.3375,407.648,31.8831,35.4766,0.0
PRT_H50,1.097,0.0449,0,0.3649,0.0291,5.3082,2.2035,1.1303,1.873,6.3116,2.0902,0.3073,1.3063,1.4286,0.7514,1.2033,0.5397,0.8091,0.6726,2.993,0.282,1.0426,2.1405,0.3724,2.2169,4.4402,0.7915,4.773,0.5917,0.6976,0.2429,1.7717,0.3001,0.4875,0.4903,0.4063,0.3947,2.2733,1.8009,1.4539,0.3294,1.8575,0.3712,0.342,0.0,50.1501,0.0233,15.9285,3.538,26.6474,0.0
PRT_H51,9.3651,1.957,0,2.8633,0.229,39.1263,14.2163,6.4649,9.9964,30.0543,10.1248,1.6727,7.8612,7.8386,5.166,8.3064,3.1836,4.4209,3.7073,15.6164,1.2906,19.4826,15.4781,5.1622,12.8618,17.0477,15.6518,3.0519,8.5626,4.9395,0.8369,16.7404,1.6305,7.7328,6.3593,3.6024,3.1021,9.7764,8.2937,2.1611,2.5139,14.5739,2.8615,1.783,0.0,5.6181,0.2969,2.1857,66.3624,153.4771,0.0
PRT_H52,14.4475,7.3584,0,3.9016,0.2436,91.3242,84.1841,21.0644,18.0402,13.1901,37.4129,8.5676,44.0914,24.5746,18.1658,38.326,26.1159,34.8275,15.7184,21.6519,5.5849,28.9483,26.0313,11.9208,35.6745,616.1003,102.8356,118.5357,1009.7322,2147.5465,4.1184,24.4461,4.5025,6.6014,9.8242,38.2213,9.8322,31.5196,27.3792,135.6127,6.0216,14.0543,10.8363,7.9017,0.0,704.2791,0.895,1279.0437,90.4223,10.15,0.0
PRT_H53,10.7466,0.8846,0,0.7977,0.0804,10.0294,6.0326,1.9947,3.1479,1.1486,2.8277,1.1725,2.1071,3.5705,0.8173,5.8875,1.2799,1.6952,2.0362,2.6332,0.4196,5.5052,5.7194,7.2572,10.68,80.2282,9.492,0.3286,3.6084,5.0417,227.518,18.3597,10.6914,7.5481,13.9077,44.4994,9.4224,52.594,35.7068,69.7217,18.1553,23.7051,15.887,49.6359,0.0,108.5293,0.0641,4.4827,3.2627,1.3559,0.0
PRT_I,11.7359,0.6479,0,1.9786,0.4281,42.4164,19.9057,8.3615,8.9857,5.4625,12.1008,8.615,8.3515,11.8749,3.6886,17.1185,9.6863,6.4032,5.4053,12.2448,1.7494,23.6311,6.0175,22.1579,40.8604,111.9921,30.5695,4.4342,91.0062,15.4357,6.5031,422.5961,27.2022,4.3195,41.0255,116.6089,10.0898,112.0788,51.2725,181.1416,89.1563,279.9089,40.6586,34.5685,0.0,12402.5797,1.3989,8.9624,0.0,0.0024,0.0
PRT_J58T60,3.3303,0.2203,0,0.5714,0.056,10.987,6.6276,1.3465,4.6986,1.225,2.7114,1.5217,2.4241,3.05,0.7072,2.0222,0.9841,1.1987,1.3727,3.1545,0.2515,3.2649,2.3622,1.5937,7.3274,34.9563,4.7583,0.452,8.2662,4.6782,6.7401,20.1076,359.1482,104.9679,6.8319,6.936,3.3684,570.5162,21.9398,10.5635,19.4987,11.875,11.9397,6.1118,0.0,422.0762,5.3833,152.4119,395.4596,2.4455,0.0
PRT_J61,40.4048,2.3649,0,6.0736,0.7361,53.0667,27.9152,9.0507,14.3261,5.7137,11.7387,4.746,9.3167,14.8623,4.5313,28.1728,6.1722,7.104,7.7284,17.159,1.8137,32.1371,16.7961,34.2905,59.4991,376.9694,42.6627,2.4923,17.9689,29.9582,5.4257,119.2653,29.6047,737.1288,55.8063,151.495,24.8215,266.021,107.7241,201.5704,47.9514,182.0191,38.0867,62.6579,0.0,2317.0456,3.4993,4.0131,112.6128,2.2906,0.0
