V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T,ZAF_HFCE,ZAF_NPISH,ZAF_GGFC,ZAF_GFCF,ZAF_INVNT,ZAF_DPABR
ZAF_A01_02,3423.1443,24.4395,34.2321,94.5478,2.3174,7978.1981,472.4137,658.6217,15.9081,33.5324,111.5729,30.9506,105.0767,8.9528,16.4671,11.5035,13.5316,3.8775,14.8633,24.0977,10.7692,45.4583,31.9244,46.1039,19.0906,163.6917,26.9619,4.2717,19.5272,41.4457,2.5829,231.1687,54.868,45.2953,51.8982,90.7853,41.3325,68.8337,92.1645,156.2875,17.773,73.1219,100.132,30.8493,0.0,6927.1989,4.5513,0.0,519.0198,54.0767,0.0
ZAF_A03,45.5407,245.4527,0.0634,1.838,0.0,240.6703,0.0046,0.0016,0.1287,0.2815,6.0115,1.4874,0.0,0.0,0.0,0.7779,0.0,0.0,0.0285,0.0,0.0,2.8687,0.949,2.5827,0.0,3.1258,0.6214,0.4239,1.0734,0.4259,0.0056,52.9493,6.2877,1.0155,3.1476,0.0,2.2653,3.3306,4.7082,18.6399,1.2163,8.4417,14.8606,9.5025,0.0,643.512,0.7037,0.0,0.0,3.1837,0.0
ZAF_B05_06,23.033,1.4755,34.1661,680.4382,2.6005,46.2544,5.3192,23.7908,62.7295,2234.104,116.8789,4.9897,7.9774,260.4762,53.732,3.8947,0.3208,20.3924,3.1757,0.4247,1.4559,110.2363,1760.7471,2.9714,196.1565,0.0,12.5174,0.6439,9.4916,16.5686,0.3923,10.017,4.3647,29.0939,0.0,0.0,17.2116,0.0,0.0,3.1796,3.5787,26.682,14.8147,5.7936,0.0,23.331,0.0,0.0,0.0,2.0747,0.0
ZAF_B07_08,161.9645,0.0,79.4609,799.8831,1.7227,54.9363,11.6172,15.8813,15.2647,538.7725,436.2155,33.7925,422.8454,894.5974,6803.6571,2440.7311,258.1559,838.9602,1955.0538,3234.5255,121.3538,786.3134,110.2135,36.5505,2265.3088,0.0,84.9645,3.1796,46.5134,80.2961,0.818,1.1522,6.9536,145.9681,0.0,0.0,78.2628,0.0,0.0,17.2379,1.2725,3.7251,10.47,42.3495,0.0,59.2185,0.0,0.0,218.4717,137.6989,0.0
ZAF_B09,0.0,0.0,366.9259,5.6954,281.1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8231,0.0,0.0,325.6543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,1400.2605,45.5651,17.3429,122.8022,0.2214,6054.8506,7.0536,0.8571,11.5834,14.1224,248.6275,53.9188,15.071,1.4754,3.1178,24.5193,0.1808,0.7255,2.2603,3.4408,0.1507,13.209,13.0887,48.7698,8.2242,99.1624,12.1249,16.1414,28.7576,35.8211,0.6994,1112.5653,168.5346,111.7835,75.3138,1.8733,53.9805,78.7249,110.1176,258.519,6.9488,200.1224,360.5047,102.8336,0.0,20154.0354,6.0468,330.1248,1.1977,79.0891,0.0
ZAF_C13T15,26.0261,3.416,31.9996,84.9987,0.2358,17.268,794.1409,3.0098,11.1297,0.8283,13.6095,3.3456,23.3915,1.6386,0.7221,4.8428,2.2334,0.9011,7.8968,78.6226,0.9949,33.5082,1.4986,22.2751,82.7637,21.4109,2.6144,0.2904,9.1362,27.2704,0.4742,8.0159,9.23,68.9781,0.977,0.6417,1.0939,1.0272,1.5416,27.8112,1.3385,24.7779,18.9592,13.4684,0.0,2563.3536,0.8879,18.2005,9.2424,9.3542,0.0
ZAF_C16,419.9093,1.3958,51.0798,270.0783,7.8584,52.5391,10.0964,293.2935,22.034,5.1259,55.1496,6.3307,10.4096,21.659,1.2205,12.0838,1.053,1.9561,5.5865,14.8498,0.9341,48.3475,0.5957,2.2086,458.4424,18.8415,1.7971,0.0152,32.814,44.0269,0.3544,2.5551,2.8125,0.1813,1.82,1.7149,56.1557,1.8207,18.686,15.0215,2.7524,3.3659,0.0849,0.8298,0.0,187.2958,0.4624,0.0884,2.9692,3.1416,0.0
ZAF_C17_18,123.2537,4.0093,17.5392,51.3563,0.2585,454.6731,30.8214,28.6621,2439.655,12.3835,117.9988,41.0532,125.3075,23.0443,19.9973,12.9808,13.6526,13.3758,53.1223,45.5636,3.2247,13.1114,30.7865,56.046,63.4304,240.5603,22.6476,0.5986,32.7225,61.2148,6.3224,49.1865,548.575,57.0659,9.6098,208.1387,18.9414,81.0734,251.5593,278.9567,661.8514,89.0946,67.642,26.6834,0.0,1253.6552,1.0091,6.9908,87.9027,23.3408,0.0
ZAF_C19,887.3034,30.5964,672.7349,1789.9467,72.5485,415.5087,56.0409,61.9275,86.5335,5332.0614,763.1771,66.7137,140.3591,136.0039,141.728,66.4686,25.6294,25.8607,74.3273,125.3201,10.2228,95.8749,1261.3371,377.7979,1074.4651,1140.9846,3367.3868,62.9435,1018.2187,788.7136,188.7249,89.7536,14.121,177.9154,15.3114,177.8853,323.2572,95.2822,203.985,559.6562,2.3561,218.2034,18.5555,30.1351,0.0,4307.2172,0.04,0.0,44.5075,70.0875,0.0
