V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T,BEL_HFCE,BEL_NPISH,BEL_GGFC,BEL_GFCF,BEL_INVNT,BEL_DPABR
BEL_A01_02,655.3378,0.0013,0,1.9507,0.0021,5038.8503,19.1333,150.9542,46.1803,8.3491,107.3779,13.1083,10.523,5.8548,13.3164,11.5404,0.5397,0.6573,1.8393,1.4657,0.2884,6.3858,28.3685,9.3931,34.0582,179.5879,8.2051,0.0552,0.1964,3.6231,0.293,249.4554,3.0901,1.6099,6.4604,2.9187,4.2917,18.4605,96.9824,14.3559,4.5999,69.8068,3.0199,14.5878,0.0,2449.9886,0.002,5.7753,70.9276,231.7759,0.0
BEL_A03,0.0026,1.0714,0,0.001,0.0,8.2342,0.0019,0.0026,0.0041,0.0343,0.1059,0.0153,0.0058,0.0222,0.02,0.0849,0.0029,0.0053,0.0066,0.0145,0.0007,0.0064,0.005,0.002,0.0342,3.069,0.4024,0.0387,0.0765,0.6284,0.0395,27.45,0.0799,0.015,0.0187,0.0369,0.0065,0.1719,3.4239,0.0078,0.035,0.3142,0.0249,0.1013,0.0,74.5009,0.0,0.4164,0.2407,2.6703,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,1.2099,0.0209,0,10.6488,0.018,2.1523,0.2469,0.2223,2.6681,58.9933,19.1426,0.4412,0.1794,124.0397,52.9808,0.043,0.0273,0.2844,0.2619,0.7883,0.0086,60.1301,0.1949,3.4076,200.1111,110.4324,6.9383,0.0191,0.0564,3.4637,0.0175,26.261,0.0404,0.0481,0.1662,0.0476,2.7216,0.2504,1.1447,1.4611,0.0234,0.1026,0.3299,0.5944,0.0,0.7367,0.0001,0.1489,0.4274,69.4037,0.0
BEL_B09,0.0005,0.0,0,0.0052,0.0001,0.0012,0.0,0.0,0.0009,0.3144,0.0114,0.0006,0.0003,0.008,0.0359,0.001,0.0,0.0,0.0003,0.0,0.0,0.0002,0.0094,0.0016,0.0645,0.0007,0.0025,0.0001,0.0001,0.0016,0.0,0.0001,0.0,0.0,0.0,0.0,0.0015,0.0017,0.0007,0.0009,0.0001,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_C10T12,1867.4608,0.0526,0,0.0738,0.0026,8391.4307,4.0239,2.3419,34.7574,119.8625,530.2323,16.5805,6.8943,1.4878,2.647,25.395,0.5139,1.0768,5.1014,4.0503,0.1381,4.9777,18.2643,61.8372,48.3815,465.6672,13.8907,0.1514,1.4537,69.465,1.7125,3466.9427,20.9188,7.4393,14.1766,11.4821,0.7573,76.7497,53.486,245.0002,62.9132,651.9451,135.5112,41.5467,0.0,16692.2014,0.0015,0.443,3.2581,1106.5686,0.0
BEL_C13T15,3.7132,4.077,0,0.8797,0.0039,38.6691,536.9537,2.5939,51.339,10.1184,41.0203,6.1789,41.3282,7.1921,8.1,8.1826,2.3852,1.9524,6.9557,101.3201,1.5362,126.8685,1.3708,6.5501,134.9188,74.5352,2.7269,0.1152,0.4099,7.5735,0.4401,22.0839,3.5624,2.3899,5.0513,3.0597,10.1723,27.9174,36.7681,12.6627,4.7578,67.0934,7.0074,32.7939,0.0,1813.995,0.0166,2.9478,41.3072,148.2852,0.0
BEL_C16,9.3377,0.1022,0,1.9608,0.0039,76.2462,2.4936,514.0623,38.5461,9.1514,46.4413,4.8848,19.2503,35.5634,22.0854,27.7906,2.8372,6.9543,42.0154,13.0548,1.9298,145.9507,101.2568,12.9449,994.7133,62.7046,15.2928,0.2628,0.3359,9.924,0.3076,10.6094,1.6669,0.9082,3.0923,3.5139,191.3131,29.7509,65.5891,8.0249,7.9601,24.7298,22.0858,21.5812,0.0,207.2649,0.0221,4.7003,38.0706,83.0217,0.0
BEL_C17_18,8.4138,0.1156,0,0.7172,0.0044,450.1395,24.7361,38.4429,836.5052,17.5295,98.9101,66.8133,77.6629,41.9761,45.6595,18.4278,7.8264,12.5003,13.1415,17.7503,1.4977,46.4282,5.4535,16.5609,59.7956,822.2806,15.961,0.2088,7.9282,108.8436,7.2988,44.1882,482.1387,13.0386,18.068,95.3325,18.8424,366.4809,219.889,264.6059,73.9991,118.4318,30.933,88.5037,0.0,553.2028,0.0131,5.6109,49.7099,154.7251,0.0001
BEL_C19,240.7634,11.9224,0,17.8261,0.1721,240.5262,47.9352,35.4445,72.7979,6778.0676,1922.6503,98.7619,185.1604,114.0489,154.8435,69.4737,20.8717,22.2168,44.8185,41.509,5.505,83.1215,44.1816,103.5502,526.8963,685.5124,766.526,131.304,525.3302,237.6138,35.0483,92.6204,24.243,19.8688,86.6385,143.5081,72.8562,413.9513,370.7515,296.6008,59.2687,269.452,25.9611,56.8497,0.0,4428.3962,0.541,22.5809,250.602,642.5279,0.0002
