V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_A01_02,219868.3909,1717.4003,4575.2897,777.9053,1686.505,153318.7789,8267.5104,6659.2642,2767.008,867.682,3534.9771,2044.2363,3380.9644,478.5555,475.5083,302.0296,106.227,95.6086,174.3701,211.919,38.553,1253.4735,1861.5594,383.1874,8152.5802,10874.4746,900.425,375.7689,206.8859,427.6971,36.8022,17021.2017,301.5608,311.708,137.524,733.5371,1196.2299,898.7754,1307.5039,7095.4151,4689.4711,4576.335,726.1469,1390.4809,0.0,273577.3959,139.3604,3122.5439,17573.8909,30199.9607,130.295
ROW_A03,618.9494,9278.0877,169.3346,25.5132,8.272,10973.9677,37.4262,13.4534,16.3003,37.2274,48.7311,13.2755,10.0418,25.6185,28.8934,14.6394,7.0672,8.2549,12.1641,10.604,3.0497,26.2905,37.3531,15.3312,162.6804,246.8678,91.0083,74.9397,109.2828,29.5667,2.7204,2829.5568,24.0208,31.9825,9.4105,28.4845,30.892,39.8614,23.257,539.2345,131.298,469.5279,45.7475,60.6938,0.0,31895.0166,26.1818,164.3626,425.6862,2307.7978,12.3107
ROW_B05_06,2948.5566,413.6882,231163.3824,8054.1268,7116.9055,6304.0946,804.3059,136.2756,819.2177,114892.1739,15908.6719,363.5802,511.7755,2425.2887,4937.2444,440.7028,255.9162,207.2409,652.0697,265.3496,92.0947,368.4069,34165.6479,1287.9129,8984.9107,6987.4083,17407.7971,1943.2098,2650.0553,2050.2576,467.5736,1986.5341,319.2634,1440.2662,199.9539,638.4642,1985.7135,1002.8916,775.5268,3943.0965,3190.8782,1269.6911,359.1009,817.8285,0.0,10687.0997,3.5439,202.1583,13423.712,46843.4418,45.7111
ROW_B07_08,1636.12,110.7492,14417.5321,41030.9265,5400.5409,1382.4558,170.7667,26.2833,257.3664,1393.365,6789.8737,182.7428,156.4245,9987.5618,31751.1654,355.1488,124.7447,231.818,209.7428,103.4125,24.7294,405.8595,1379.5194,310.6716,32806.1094,640.2883,253.4509,20.0775,30.8747,175.8203,9.7267,232.9495,34.908,59.2978,18.3877,60.6622,1135.2835,145.1575,152.9311,1432.0776,262.2383,148.9173,72.1236,201.3951,0.0,3705.6941,2.9259,107.8247,2651.3468,7867.0562,9.1489
ROW_B09,397.762,152.6955,60299.8221,5610.2747,8151.8531,119.5778,16.6033,3.404,64.4026,3912.0618,258.6897,10.011,15.9645,2375.5554,4442.073,243.8109,5.7212,5.7949,17.9867,6.9053,2.5887,101.9317,545.9612,42.3977,3302.9792,125.5184,173.0698,23.2625,37.712,106.3104,4.3764,29.4193,10.338,13.4795,6.5436,24.1572,125.6489,61.3156,34.8635,200.1739,112.821,49.8271,15.6663,35.7236,0.0,232.7899,0.6895,24.2714,5055.6549,30.0798,3.7183
ROW_C10T12,43008.4373,3983.5575,6369.4181,484.7454,143.8775,64325.7103,1240.7439,216.4885,461.6969,1222.5956,2832.4226,932.676,377.1172,546.4121,558.6846,385.7603,96.3954,113.968,221.3819,223.6678,41.7764,389.1336,1451.5313,347.5361,4662.1727,7579.0,1540.0326,716.9546,646.4581,572.5919,24.5246,38919.8891,360.3203,268.4843,134.4962,1505.1304,1225.6667,649.2263,493.445,8545.3971,6762.6081,5838.6812,1021.5385,1900.5277,0.0,226692.0081,95.0299,938.1339,1720.6706,9875.7672,467.5317
ROW_C13T15,950.4457,271.4555,1615.1253,238.2575,110.5939,797.6424,50386.3287,155.6523,1017.4265,419.1008,461.8125,339.9731,1099.2362,1053.8928,872.1206,999.8683,158.1534,479.5352,348.3432,1120.217,117.7452,2703.0513,652.5885,324.142,2223.5885,5270.5221,866.7012,163.5778,296.9597,263.265,73.0587,1290.9658,208.2893,388.3753,201.4913,394.4136,390.5168,626.6784,638.7558,4330.3881,1026.4445,1649.1257,852.2403,2256.707,0.0,78069.9,54.3461,350.4303,1389.5775,4122.2549,296.731
ROW_C16,458.4015,30.869,256.5528,138.6528,23.0256,451.4327,111.2954,5865.3494,1123.5792,29.787,182.9989,28.1169,100.5794,206.5915,108.6581,141.2955,38.1241,72.0979,117.7269,147.6518,58.3498,5163.1652,262.4241,38.8033,10570.0126,586.2898,103.7099,15.0199,14.3893,75.5147,7.9983,90.5205,44.0931,36.7736,14.5387,49.9531,840.8343,96.7426,76.3106,265.867,164.382,87.6667,48.5802,372.1546,0.0,2670.8324,6.841,19.9058,1027.3325,215.7677,15.8506
ROW_C17_18,579.922,72.6378,437.1844,110.6382,38.6326,4605.5355,692.9631,298.3936,11339.9698,126.9106,1019.5622,851.0844,377.4923,1016.5863,222.2682,145.0699,203.8303,231.104,179.8433,104.1542,20.4917,571.1432,253.4582,161.7869,831.1622,5500.6137,311.074,54.2009,87.6316,240.6629,130.9929,614.6201,3650.178,380.413,238.1974,1944.0658,658.7317,1913.8713,793.1954,2421.559,2424.7972,891.6499,406.7006,1105.4985,0.0,10682.4453,16.254,299.35,793.8352,172.2155,48.5123
ROW_C19,6898.5363,2041.9935,10942.125,3785.8842,1717.3134,2141.7479,652.825,254.7802,416.4194,17758.729,13068.7418,344.0978,593.3851,2091.5506,2955.959,360.9453,219.3027,278.2656,331.0824,239.2906,69.5722,489.0252,4020.1645,771.9308,7708.8875,7681.4677,30943.5636,5278.4428,10353.2358,1819.763,445.8551,964.6315,326.551,617.5576,190.1792,885.5445,838.1031,1161.0574,1357.3371,5475.0774,1949.4917,1432.4653,375.2227,1192.4162,0.0,40415.1053,3.8191,174.4203,3380.6456,4165.5327,247.5034
