V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T,CYP_HFCE,CYP_NPISH,CYP_GGFC,CYP_GFCF,CYP_INVNT,CYP_DPABR
CYP_A01_02,85.3547,0.0387,0.0077,0.0341,0.0003,318.5762,0.0044,0.0517,0.017,0.0201,0.1345,0.2577,0.04,0.0203,0.0042,0.0101,0.0026,0.0025,0.005,0.002,0.0005,0.0612,0.1819,0.0682,4.3392,0.4999,0.0022,0.0003,0.0029,0.3199,0.014,11.514,0.0519,0.0333,0.0062,0.2651,0.3097,0.6073,0.3453,4.3124,0.2075,3.3041,0.1739,0.2625,0.0,347.2848,0.0052,32.5936,6.4409,23.8741,0.0
CYP_A03,0.0,0.697,0.0,0.0,0.0,8.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3379,0.0456,0.0099,0.0,0.0,0.0,0.0,0.0,0.7944,0.0007,1.9546,0.0602,0.0268,0.0,0.3151,0.0,0.0,0.0,1.1725,0.0
CYP_B05_06,0.0015,0.0,0.0136,0.0173,0.0002,0.008,0.0,0.0,0.0,0.7555,0.0394,0.0149,0.0,0.4129,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.124,0.0,0.6008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.1334,0.0,0.0,5.0226,0.217,0.0
CYP_B07_08,0.0265,0.0,0.0466,0.4037,0.0019,0.0871,0.0,0.0,0.0,13.6411,0.7159,0.2688,0.0,5.2664,0.3284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9381,0.0,0.0,0.5176,0.0,0.0,0.0,0.0,0.0,1.3487,0.0,0.0,9.1968,3.711,0.0
CYP_B09,0.0032,0.0011,0.0216,0.0584,0.0008,0.006,0.0,0.0001,0.0008,0.1,0.003,0.0007,0.0004,0.0344,0.0069,0.0013,0.0,0.0,0.0001,0.0,0.0,0.0004,0.2055,0.0032,0.1138,0.0034,0.0027,0.0017,0.0001,0.0231,0.0,0.0008,0.0,0.0,0.0,0.0,0.004,0.002,0.0007,0.0035,0.0002,0.0006,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP_C10T12,62.4529,0.0563,0.0038,0.0154,0.0003,156.5973,0.0277,0.0166,0.0271,0.0077,1.1506,0.7384,0.0151,0.0154,0.004,0.0282,0.0007,0.0297,0.0059,0.005,0.001,0.6284,0.0686,0.0424,0.3179,2.987,0.2562,0.5223,0.0117,0.1127,0.0349,175.7836,1.0953,0.2769,0.066,0.1383,0.7144,0.3755,0.0804,4.606,2.6964,15.6192,3.7074,1.2162,0.0,700.9195,0.0149,0.0,6.3505,26.431,0.0
CYP_C13T15,0.1239,0.0051,0.0009,0.004,0.0,0.275,1.5133,0.1267,0.0703,0.0106,0.0101,0.0165,0.0074,0.0321,0.0108,0.087,0.0124,0.0172,0.0084,0.0271,0.0004,0.2596,0.0208,0.0215,0.5861,0.2517,0.0053,0.0024,0.0005,0.1267,0.0013,2.3411,0.0563,0.0095,0.0042,0.0593,0.1368,0.0617,0.032,0.2946,0.0249,0.7923,0.0798,0.0754,0.0,35.1619,0.0,0.1469,0.1317,1.0343,0.0
CYP_C16,0.4881,0.0101,0.0033,0.02,0.0002,7.4414,0.1323,26.3953,0.0195,0.0164,0.482,0.0211,0.0185,0.3219,0.0225,0.3417,0.0238,0.0233,0.0456,0.1918,0.0527,3.8107,1.1878,0.0252,25.3132,14.461,0.0114,0.2838,0.0271,2.6851,0.0186,26.8492,1.2856,0.2612,0.0337,0.1043,2.4495,1.1457,0.1479,0.9928,0.2617,2.2647,1.3072,0.0525,0.0,20.2058,0.0004,0.1415,4.1018,3.012,0.0
CYP_C17_18,0.1242,0.9107,0.0114,0.0503,0.0004,2.6779,0.1279,0.1284,11.423,0.1169,0.2405,3.6166,1.6876,0.3144,0.054,0.2652,0.0472,0.1603,0.0786,0.1812,0.0039,0.3665,0.4337,0.9588,1.8522,12.2206,0.2401,0.2951,0.0183,2.4923,1.9711,2.7817,3.9564,1.6392,1.4338,4.8922,1.6254,15.2934,3.1375,1.5286,2.7664,1.7213,2.1287,2.2464,0.0,29.0947,0.0001,0.1413,0.1703,3.2736,0.0
CYP_C19,0.3558,0.0151,0.0303,0.1778,0.0008,0.5108,0.0178,0.0365,0.0263,0.6083,0.2082,0.0473,0.2429,0.3995,0.0184,0.0685,0.0092,0.0046,0.0069,0.0036,0.0002,0.0497,32.177,0.788,0.494,1.5312,0.6847,0.0951,0.1545,0.3525,0.0945,0.826,0.0469,0.0347,0.05,0.4892,0.3591,0.199,0.2097,0.6499,0.0943,0.3198,0.045,0.1155,0.0,32.518,0.0,0.0,0.0,1.3954,0.0
CYP_C20,4.1631,0.0685,0.0187,0.0855,0.0005,0.5756,0.1706,0.4307,1.1011,0.0461,1.4301,10.087,2.3297,1.6077,0.1766,0.4604,0.21,0.1674,0.129,0.0372,0.0266,0.4873,0.136,0.1372,1.3778,0.8082,0.0103,0.003,0.0022,0.2808,0.0234,1.2984,0.1076,0.0725,0.1867,1.0233,0.2259,1.154,0.9331,0.4519,0.3253,1.4103,0.166,1.1265,0.0,30.2425,0.0004,0.0003,0.3395,1.55,0.0
CYP_C21,0.0234,0.0001,0.0285,0.183,0.0,0.0372,0.0459,0.0002,0.0004,0.0005,2.4883,4.6254,0.0007,0.0027,0.2093,0.0003,0.0,0.0,0.0002,0.0,0.0019,0.0002,0.001,0.0291,0.0015,0.0137,0.2943,0.0,0.0,0.002,0.0046,0.4481,0.0061,0.0368,0.0159,0.0032,0.0005,0.7258,0.083,0.1724,0.7512,29.1418,0.0084,0.2958,0.0,72.62,0.8303,12.1788,10.6149,4.3421,0.0
CYP_C22,0.6027,0.1634,0.0384,0.3166,0.0026,12.4752,0.2253,0.6742,0.7264,0.1196,1.1315,2.7601,1.9004,3.1834,0.0429,3.5377,0.0293,0.6548,0.9752,0.3786,0.0006,2.0021,0.2521,0.1284,3.5043,14.5569,5.3984,0.0772,0.0683,0.7733,0.0689,3.4748,0.4579,0.1081,0.1242,0.5591,0.3704,0.4412,0.3219,0.5767,0.4832,0.8644,0.3179,0.1138,0.0,15.277,0.063,0.4667,1.3954,1.9793,0.0
CYP_C23,0.8696,0.0212,0.0028,0.0123,0.0001,9.9418,0.007,0.8489,0.0285,0.0163,0.2572,4.5353,1.0913,88.2865,0.1987,9.0985,4.8901,0.0857,0.6228,0.1958,0.0235,4.8602,2.8614,0.4492,153.7276,5.3889,0.0076,0.004,0.0971,4.286,0.0151,12.8166,0.02,0.0154,13.8202,2.4411,6.2711,1.1595,0.2335,4.1255,2.6827,4.5227,0.083,0.9976,0.0,24.3631,0.005,0.381,1.664,8.9395,0.0
CYP_C24,0.0003,0.0,0.0142,0.0262,0.0004,0.1052,0.0117,0.2079,0.1156,0.0,0.0,0.2744,0.0721,0.5683,7.7933,26.3405,0.8839,0.4998,1.7774,0.7448,0.0321,3.9992,0.6734,0.0925,10.6277,0.6971,0.0,0.0,0.0,0.5813,0.0002,0.0667,0.0042,0.0236,0.0,0.0458,0.1541,0.0122,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.1623,0.0,0.0,0.1032,0.4983,0.0
CYP_C25,12.1241,1.3221,0.0596,0.2838,0.0029,5.9303,0.3412,4.6707,0.3808,1.1544,0.8115,0.49,0.3063,5.7748,2.9086,13.3928,3.587,2.2423,1.9506,0.988,0.0753,9.2706,3.7585,0.829,114.2535,7.8354,0.7768,0.4609,0.1032,3.6632,0.0457,6.9175,0.7329,0.6213,0.15,2.1143,11.7788,2.8138,2.0669,3.4901,2.5536,4.1097,2.6786,1.0682,0.0,36.0173,0.02,42.7509,21.3578,9.346,0.0
CYP_C26,0.0079,0.0,0.0034,0.0118,0.0002,0.0946,0.0,0.0,0.0044,0.0,0.0,1.4451,0.0,0.0,0.0,0.0641,1.1596,0.344,0.0345,0.0145,0.0,0.3842,0.4476,0.0084,0.3832,0.8591,0.0,0.1029,0.0009,1.6564,0.0051,0.0383,0.3727,0.5663,0.8211,0.5073,0.0936,0.5333,0.2596,0.1649,0.1644,0.8029,0.1003,0.2778,0.0,20.1147,0.0,0.0,5.1388,1.235,0.0
