V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T,COL_HFCE,COL_NPISH,COL_GGFC,COL_GFCF,COL_INVNT,COL_DPABR
COL_A01_02,1547.7489,118.129,381.8191,17.9767,0.4525,11318.3227,178.3069,134.9084,55.4108,8.0146,92.5867,17.0055,51.941,21.5407,22.2835,8.4382,0.038,1.9533,6.1674,1.9484,0.3427,24.435,149.2029,40.3217,224.3184,158.1392,5.5469,0.5247,0.9737,0.8116,0.8754,1741.0721,9.378,0.0918,2.3627,20.2181,7.3576,3.3336,11.9067,136.2804,36.2939,45.3447,11.0661,8.4722,0.0,11224.6373,0.27,11.1842,1272.8845,363.2093,0.0
COL_A03,8.789,2.3379,26.6202,1.2026,0.0314,58.7475,51.6784,0.1128,1.6751,0.5015,31.6292,12.2994,1.329,1.4706,1.271,0.438,0.002,0.1082,0.4176,0.0315,0.0189,0.4303,10.3286,2.6905,0.1762,5.8162,0.3536,0.0357,0.057,0.0377,0.0582,36.9669,0.0683,0.0,0.1538,1.243,0.3246,0.0951,0.7932,83.8551,5.1161,7.737,3.6934,4.7379,0.0,646.3917,0.0,0.0,6.2786,11.915,0.0
COL_B05_06,529.241,25.0436,1632.0452,76.6936,2.7753,277.079,48.4296,7.691,108.6588,4482.5813,75.0387,1.5296,80.4346,105.551,91.5755,29.2857,0.1198,6.5607,25.3959,1.9753,1.1552,27.1659,2049.6502,161.9845,27.5889,353.1123,31.0985,2.1686,5.6329,3.624,3.6442,55.0082,4.1633,0.0113,9.2519,74.8523,19.9159,6.6183,47.7726,206.2282,70.8065,45.4004,27.0217,19.6239,0.0,1.8375,0.0412,0.0124,411.4775,284.9538,0.0
COL_B07_08,37.5314,0.8435,43.6829,20.1125,0.0355,15.9211,1.5994,0.1265,3.238,15.8923,59.8828,2.2782,2.2314,186.6746,1079.1846,212.1715,0.0213,1.026,0.7378,0.2803,0.0651,21.6704,11.6775,3.0837,956.3555,6.5819,0.7984,0.04,0.065,0.0511,0.0661,6.5233,0.0817,0.0005,0.1723,1.4134,0.6091,0.1356,0.904,4.2868,1.4522,0.8755,0.5319,0.3998,0.0,23.801,0.0262,0.0023,16.5461,31.5519,0.0
COL_B09,12.5058,0.5898,37.6923,1.7509,0.0444,5.978,0.9588,0.1596,2.3731,0.7501,1.716,0.0366,1.8819,2.5558,1.8082,0.6226,0.0028,0.1535,0.5909,0.0448,0.0269,0.6236,14.6103,3.8059,2.7775,8.2274,0.5002,0.0505,0.0806,0.0533,0.0824,0.7443,0.0966,0.0,0.2175,1.7583,0.4591,0.1345,1.1221,4.8363,1.6598,1.0667,0.6332,0.4587,0.0,0.0627,0.0,0.0,8.8815,0.0453,0.0
COL_C10T12,1978.9958,56.351,7.8073,2.3385,0.2293,4697.4767,12.7419,7.1172,38.5831,5.1488,230.6618,33.0698,3.6899,21.0882,17.84,5.089,0.0492,1.919,2.1661,0.3723,0.0958,10.5338,172.793,5.7519,81.6921,43.2437,4.4616,0.0845,2.57,0.5418,0.2365,4222.7523,0.3329,1.648,3.9755,12.824,0.9515,17.5692,11.1127,33.8212,50.9808,86.5456,4.2,5.8998,0.0,22709.3394,0.0,253.2852,100.3264,477.9527,0.0
COL_C13T15,54.9789,0.5469,13.8094,1.6061,0.2744,24.3599,1094.7958,0.8939,102.2225,2.3321,14.6147,2.6176,11.3957,3.396,11.9241,8.479,0.0921,2.7662,1.1698,7.0111,1.1805,78.6876,34.9692,6.691,162.203,84.8405,21.5141,0.1519,4.1231,10.2139,1.4985,106.3425,3.3601,6.0435,3.1393,5.3614,1.7445,10.6258,25.0177,43.2731,55.825,23.3213,8.9075,14.9139,0.0,5771.3841,0.0,19.2916,33.4855,107.077,0.0
COL_C16,40.4622,0.2031,5.9007,9.4063,0.0004,9.6872,8.797,123.2292,1.3305,0.7598,1.6375,0.2144,2.6134,3.8064,4.367,4.6067,0.1187,5.663,0.9535,0.942,0.0494,117.3024,7.3471,0.1934,369.3479,79.2567,0.5777,0.1834,0.5002,1.6706,0.2042,3.0509,0.3047,0.5315,0.2011,0.8743,0.0965,10.7587,0.1071,9.5064,0.8413,3.1453,2.6221,4.4322,0.0,107.5039,0.0,1.1039,34.6065,-0.2049,0.0
COL_C17_18,143.9223,1.7058,11.7169,5.826,0.1241,335.9037,60.2157,21.1006,1074.5871,11.5712,157.8306,34.4753,47.8076,11.4732,12.8244,7.5563,0.6109,20.0179,10.2516,1.5381,0.3409,95.0732,188.1568,5.4751,25.5592,244.2403,12.8681,0.2207,3.4536,8.0753,4.3189,60.8984,17.2143,25.1325,9.5165,41.4396,12.8077,69.0851,144.0719,659.391,173.4901,68.2426,22.9185,21.3156,0.0,1509.8362,0.0,43.0973,28.6602,68.8807,0.0
COL_C19,359.7598,7.5727,1303.767,31.8665,0.998,99.5431,31.6103,4.6824,29.9373,7580.6334,113.3975,5.4461,13.0053,514.7434,19.7479,7.1655,0.3629,18.4204,1.5139,5.026,1.1237,42.0031,296.2346,68.614,455.8431,415.3891,2590.5468,22.5427,642.0101,81.6251,19.1867,42.1134,5.9517,27.8232,7.6552,26.6776,4.8024,40.0603,23.7484,300.1432,6.0869,56.7178,7.7063,12.4712,0.0,2896.9644,0.0,10.9585,28.3476,285.8959,0.0
COL_C20,766.9144,3.0572,50.0369,5.4006,1.7366,372.5679,236.8156,18.613,158.9105,423.906,1472.6679,88.8886,841.7312,103.2672,25.0078,17.8218,2.0424,93.1628,21.2531,9.5585,0.9494,68.7602,5.4733,35.3845,369.8113,45.4552,0.954,0.1632,2.9477,2.7594,0.2614,23.9047,1.3279,1.0902,0.7518,3.1118,0.4918,52.9753,68.3749,0.3963,30.954,315.2122,53.2411,70.0957,0.0,2928.0307,0.0,144.408,0.0,132.8814,0.0
COL_C21,33.289,0.5566,0.7018,0.1847,0.0492,38.2967,6.1006,0.726,3.8887,19.1418,64.5954,202.8021,14.901,2.5312,0.9887,0.5905,0.1404,2.5049,0.9548,0.238,0.0621,3.0986,0.3117,0.9209,8.7909,0.6846,0.0684,0.013,0.3742,0.1518,0.0394,2.3595,0.0419,0.09,0.0431,0.3152,0.0289,0.0,6.477,0.0996,5.3386,320.7497,3.6166,5.3028,0.0,1420.2068,0.0,331.9644,0.0,28.3353,0.0
