V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T,LTU_HFCE,LTU_NPISH,LTU_GGFC,LTU_GFCF,LTU_INVNT,LTU_DPABR
LTU_A01_02,311.2498,1.4237,0.3835,0.1942,0.0181,538.5716,55.1104,151.8478,15.3894,6.9911,85.9067,0.4708,2.0636,1.16,0.103,2.2717,0.7938,0.9991,1.6739,0.5884,0.322,13.1383,20.9495,0.9078,8.2127,38.271,12.6538,0.3317,1.1121,6.8085,0.0742,2.1779,0.6418,0.4455,0.8659,0.4393,7.6887,2.1327,3.2798,2.3097,1.7146,3.9002,0.9849,1.8089,0.0,1370.9856,0.0001,2.73,81.6783,1.7183,0.0
LTU_A03,0.0981,2.1961,0.0007,0.0004,0.0001,43.7813,0.0787,0.0066,0.0069,0.0154,0.0514,0.0005,0.0063,0.0042,0.0005,0.0038,0.0011,0.0027,0.0026,0.0012,0.0005,0.0115,0.0541,0.0935,0.0132,3.0693,0.014,0.0002,0.0741,0.0191,0.0004,1.2152,0.0204,0.0027,0.0019,0.0068,0.0272,0.0948,0.0752,0.1785,0.0168,2.0084,0.0761,0.0148,0.0,49.563,0.0471,0.1014,0.0562,0.0529,0.0
LTU_B05_06,3.9094,0.0379,0.4158,0.3551,0.0113,1.9788,0.4504,0.5807,0.555,75.9395,7.6636,0.0183,0.2243,2.4587,0.0124,0.2624,0.0884,0.11,0.181,0.0954,0.0473,1.1673,7.4534,0.1202,5.5325,0.8165,1.0718,0.0289,0.0819,0.5697,0.0067,0.2425,0.0488,0.0425,0.0723,0.035,1.464,0.1449,0.8533,1.7281,0.0661,0.2391,0.0866,0.045,0.0,7.7242,0.0,0.2453,0.9654,-0.1749,0.0
LTU_B07_08,2.696,0.0103,0.0,0.0,0.1941,0.0,0.0908,0.0,0.0,12.9383,0.0,0.0,0.0,0.0,0.0,0.4443,0.0,0.0,0.2941,0.1208,0.0,0.0,0.0,0.0116,70.7565,0.0,3.9612,0.0,1.8516,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.1663,0.0013,0.0,0.5065,0.0546,0.0,0.0,0.3269,0.0,1.467,0.0,0.0,0.0,0.0076,0.0
LTU_B09,0.1096,0.017,1.3602,0.46,0.2298,0.0761,0.0058,0.0066,0.0846,15.8351,0.6125,0.0019,0.0319,0.4667,0.0718,0.0632,0.0009,0.0031,0.021,0.0005,0.0012,0.0242,0.9634,0.0556,2.8364,0.0615,0.5574,0.0041,0.0096,0.0989,0.0004,0.0035,0.0001,0.0,0.0001,0.0,0.0791,0.0525,0.0265,0.0476,0.0043,0.0106,0.0064,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU_C10T12,214.2631,2.5639,0.0139,0.0124,0.0032,462.9902,1.4603,0.0177,0.2214,0.0131,35.6868,1.1975,0.0404,0.0133,0.2482,0.0144,0.0112,0.0164,1.4138,0.4407,0.0137,0.5258,1.7513,0.8644,0.0967,15.6964,1.4234,1.024,3.9168,0.0296,0.0069,103.4116,0.6889,0.0497,0.3164,1.5886,0.2987,1.3524,2.0214,1.1607,2.2525,22.3287,5.0012,0.2453,0.0,2669.4757,0.0,10.1418,0.0,0.9779,0.0
LTU_C13T15,13.6491,0.2097,0.2789,0.0744,0.0337,6.9469,62.2613,2.132,2.2519,3.8598,2.5041,0.0999,1.3908,0.5421,0.0718,2.8874,0.5023,0.9646,3.1722,1.309,3.3496,10.9451,9.9279,1.032,7.5181,13.4267,5.35,0.4831,9.5843,5.5417,0.1388,1.1162,0.4646,0.6052,0.7168,0.6428,2.5978,5.9181,8.5015,8.924,1.2401,4.1056,1.1319,1.3892,0.0,549.6085,0.0001,1.0393,5.8811,0.4051,0.0
LTU_C16,26.1853,0.2371,4.1967,0.4871,0.0066,5.1305,1.5323,147.2688,9.6484,12.0832,0.9045,0.0076,1.7847,2.405,0.0222,1.7162,0.1047,0.754,0.6108,0.9395,0.4735,271.1935,15.2874,1.1779,18.4523,2.3383,0.5536,0.1912,0.908,0.6751,0.2264,0.5889,3.4376,0.1076,0.1235,0.1997,1.3493,11.8638,2.9235,1.0772,0.5342,1.0455,0.2213,2.373,0.0,91.0733,0.4104,0.0993,2.4817,0.5251,0.0
LTU_C17_18,6.2782,0.5697,0.0296,0.034,0.0099,41.5064,24.3507,12.0726,87.8934,20.571,3.5591,1.0661,1.2791,1.2475,0.255,3.5936,0.5568,2.0701,11.1372,0.126,0.3354,17.7826,3.982,5.7996,2.732,22.8338,2.4311,0.4909,6.1208,0.5573,5.0719,1.1579,34.2734,1.731,36.1873,12.4495,9.203,27.8234,10.7898,89.2998,45.5883,6.2444,9.6766,1.1518,0.0,110.333,1.1415,0.2574,2.2654,0.5067,0.0
LTU_C19,169.9334,14.1419,3.149,4.1113,0.7851,21.8673,14.0721,9.0612,12.8905,65.7271,7.3093,0.1196,10.9227,6.7655,2.117,7.18,0.3703,2.7774,12.9843,0.2777,2.5219,17.8521,72.5002,27.6467,55.1527,124.5488,678.5719,24.7644,56.4103,31.3112,2.9278,6.547,10.6469,4.9495,6.6923,13.0943,30.1259,24.0452,76.8604,64.4767,6.1498,19.8828,11.898,9.6279,0.0,1855.0698,0.0182,0.2523,31.5574,3.5231,0.0
