V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_A01_02,127.1487,0.4973,0.2607,0.3947,0.0552,574.9571,1.3297,86.4656,9.5933,0.3733,0.9239,0.2379,0.4677,0.0017,0.0015,0.0048,0.0033,0.0025,0.0001,0.0016,0.0002,14.3014,0.0339,1.4221,3.6273,2.5015,0.0001,0.0,0.0001,0.0,0.0012,29.7572,0.5071,0.0054,0.0075,0.0002,0.0003,0.0352,0.0152,0.0004,1.7549,0.0,0.0545,0.1903,0.0,1873.497,0.0638,0.0004,0.0019,-0.6599,0.0
LAO_A03,58.4302,25.2472,0.0526,0.1007,0.018,37.7585,0.209,4.2317,1.6896,0.0982,0.1541,0.0671,0.0229,0.0003,0.0004,0.0012,0.001,0.0008,0.0,0.0005,0.0001,3.0505,0.0081,0.4703,0.8523,0.6605,0.0,0.0,0.0001,0.0,0.0006,17.1574,0.3876,0.0028,0.0037,0.0001,0.0001,0.0148,0.0047,0.0001,0.6381,0.0,0.0267,0.0694,0.0,345.023,0.0128,0.0001,0.0,0.0104,0.0
LAO_B05_06,0.303,0.0115,126.6179,97.3278,20.3047,12.71,1.5481,0.6067,0.056,53.461,9.9668,0.1219,3.1819,46.0565,0.452,0.5554,0.7119,0.7343,0.0419,0.5286,0.0812,29.3323,172.5655,11.4468,120.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1569,0.0,0.0673,0.0,0.0,0.2853,0.0817,0.0,0.0,0.0,2.2495,2.2007,0.0,263.9165,0.0,0.0,0.0,466.4747,0.0
LAO_B07_08,0.2067,0.0064,35.3784,133.891,11.7218,4.8934,0.5675,0.2483,0.0218,1.9405,4.4002,0.2436,1.5098,54.2948,0.3511,0.3722,0.3571,0.4715,0.0223,0.2389,0.0281,0.3172,33.3333,4.9513,186.4898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6727,0.0,0.0218,0.0,0.0,0.1148,0.0503,0.0,0.0,0.0,0.7946,0.897,0.0,416.0934,0.0,0.0,0.0,1.4021,0.0
LAO_B09,0.1779,0.0102,108.005,69.2472,31.0641,3.0812,0.0788,0.3374,0.0114,2.4344,1.4208,0.0362,0.8361,4.2401,0.1374,0.1981,0.0358,0.0535,0.0136,0.1279,0.0219,0.0,17.1952,2.101,31.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249,0.0,0.003,0.0,0.0,0.1081,0.0152,0.0,0.0,0.0,0.4149,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO_C10T12,41.8194,1.2643,0.3805,0.7773,0.0476,134.0374,0.086,0.0885,0.0107,0.1,0.2203,0.0402,0.1056,0.0302,0.0013,0.0037,0.0,0.0,0.0,0.001,0.0001,0.1446,0.0248,0.045,0.0461,0.7854,0.0493,0.0021,0.0013,0.0003,0.0008,89.8004,0.0031,0.0035,0.0197,0.0099,0.0061,0.0916,0.0185,0.0361,0.4399,0.0809,0.0033,0.0544,0.0,1128.0991,0.129,0.0044,0.0147,-1.1719,0.0
LAO_C13T15,7.0261,0.4727,0.1538,0.2359,0.0384,0.3838,72.5054,1.1544,0.2067,0.0175,0.0418,0.01,0.0166,0.0332,0.0015,0.0058,0.0042,0.003,0.0001,0.0048,0.0004,1.3884,0.3701,0.6648,1.9525,2.8742,0.1117,0.0042,0.0014,0.0013,0.0129,5.211,0.5397,0.0347,0.248,0.0003,0.0008,0.8482,0.385,4.2476,0.1943,0.1023,0.4223,0.8198,0.0,169.2829,0.0903,0.0002,0.0031,-0.1555,0.0
LAO_C16,3.6138,0.0633,0.0363,0.0661,0.0094,16.3439,2.548,38.7183,7.6015,0.7205,2.268,0.2179,0.7714,0.543,0.0144,0.072,0.0189,0.024,0.0004,0.0281,0.0024,13.1735,0.7282,2.7164,31.6797,23.9468,0.5686,0.0175,0.0055,0.0113,4.2296,6.4795,0.9797,16.3549,0.4409,8.4842,0.0016,2.4796,0.8982,48.4501,2.8425,0.5178,1.0429,2.9163,0.0,66.2846,0.0209,0.0,0.0049,0.0539,0.0
LAO_C17_18,0.0526,0.0018,0.0005,0.0014,0.0002,0.2908,0.0417,0.6385,0.1352,0.0073,0.0289,0.008,0.0152,0.0108,0.0001,0.0006,0.0025,0.0022,0.0,0.0002,0.0,0.1884,0.0064,0.0413,0.4158,0.2419,0.0065,0.0004,0.0002,0.0004,0.039,0.0917,0.0165,0.1283,0.0081,0.065,0.0012,0.0323,0.0076,0.3543,0.0224,0.0062,0.009,0.0164,0.0,0.8886,0.0165,0.0,0.0005,0.0448,0.0
LAO_C19,7.4689,0.3065,2.732,6.2853,0.5676,2.8112,0.5772,0.4761,0.0785,0.5141,1.2897,0.0768,0.4461,0.4584,0.2249,0.3904,0.1141,0.1608,0.0012,0.1873,0.0162,0.2338,3.1511,0.6258,13.3383,8.0283,3.0988,6.6217,1.5848,2.4129,0.07,1.9123,0.1593,0.1678,0.0411,0.9109,0.0985,0.3703,0.7137,6.6597,0.3481,0.7169,0.1571,0.4292,0.0,50.7602,0.0,0.0,0.0203,0.0016,0.0
