V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T,NOR_HFCE,NOR_NPISH,NOR_GGFC,NOR_GFCF,NOR_INVNT,NOR_DPABR
NOR_H53,3.3561,4.7877,15.8494,4.164,7.1085,20.3746,1.4491,4.2635,2.9278,12.2245,11.276,3.9914,1.5865,4.6136,7.4682,6.9531,4.9066,4.0745,7.1561,2.0509,7.036,9.4307,31.1848,29.0503,68.5092,249.8286,18.0552,6.4721,6.5759,64.1799,5.6339,18.6476,215.2385,6.8569,56.6374,106.9499,97.8173,233.1512,111.1538,107.7679,28.3508,64.1444,33.8442,20.5881,0.0,82.6818,0.0,0.3403,6.6853,2.6815,0.0
NOR_I,2.4994,7.5832,93.0857,10.0997,48.487,65.2013,4.133,13.4113,13.5429,53.2492,42.9177,17.4315,6.8769,19.2539,35.5143,31.1671,22.1959,17.2611,31.0657,9.7326,29.1766,41.9724,40.3853,6.6725,119.4889,330.9283,50.3581,19.6789,111.8499,26.3474,6.1163,257.2064,68.1222,22.9525,98.2356,83.7178,22.8533,139.3741,914.5712,231.4594,58.2535,174.3156,62.7822,38.4752,0.0,6327.743,0.0,5.1806,19.3695,0.0008,0.0
NOR_J58T60,4.9185,8.1473,44.9615,4.7555,19.5869,28.9205,1.8884,5.2,16.4737,11.7364,13.4601,3.8588,2.5562,9.1115,9.4493,9.2062,4.7485,4.896,11.8356,2.0861,10.2187,12.8533,26.1815,24.7101,108.9228,781.5004,51.6964,48.0585,101.5507,71.2071,10.0612,62.4335,384.5243,133.2386,902.4783,170.0351,142.7121,647.3974,376.603,178.8138,289.1188,114.8479,104.1429,148.6247,0.0,2115.508,0.0,35.9057,486.5274,13.416,0.0
NOR_J61,11.188,9.2064,36.0719,6.6851,42.3606,30.6638,2.1926,6.354,4.4947,20.3909,16.3671,6.6435,2.4214,7.5242,11.0647,10.5086,6.8749,6.0368,13.5209,2.859,12.2737,14.9426,43.4065,38.9717,108.6795,328.466,233.7747,567.1606,19.6557,94.8029,8.222,27.1476,60.2376,1876.8828,86.2463,130.6148,131.284,312.0394,153.2259,141.8394,37.7502,87.8965,26.777,28.0126,0.0,2637.0375,0.0,12.591,156.8663,8.4672,0.0
NOR_J62_63,3.286,13.4299,65.6637,8.1356,37.3949,54.8547,3.896,10.1382,7.6463,28.6466,29.0272,9.415,4.1309,12.7322,18.3326,17.9391,11.94,10.5209,21.8371,5.0619,20.1345,25.4569,180.6821,70.904,183.6961,735.2873,53.932,40.5592,31.2562,428.1774,14.6044,49.9366,283.3236,262.2025,822.6621,1171.9971,230.5294,987.4764,274.609,538.6101,92.4687,671.9702,66.6346,49.831,0.0,510.6096,0.0,90.4749,3848.2766,10.5997,0.0
NOR_K,54.6026,129.855,355.0605,34.7346,258.5918,326.9298,14.4537,59.1034,53.7338,246.9583,153.1039,80.9646,26.8596,78.024,169.0959,112.2496,63.8227,64.0855,110.106,30.1327,133.5913,134.0322,163.4873,51.2061,706.5388,724.0654,154.6732,963.0695,101.7736,242.0897,23.6065,137.982,143.0146,99.4055,245.2029,2780.6131,3947.4359,537.5901,272.0222,1352.8759,150.3783,357.501,141.4595,173.58,0.0,6162.7391,0.0081,18.8855,171.7672,14.8046,0.0
NOR_L,8.1988,0.6306,138.1602,31.9938,40.5356,184.7486,24.9459,46.0987,53.4127,19.8346,36.1781,6.5007,31.9146,48.8563,14.811,157.3301,44.2819,46.2241,98.655,24.5507,98.9377,172.389,65.0249,84.2078,649.1985,3575.3087,99.3596,46.2559,23.3813,228.8122,72.7469,861.173,155.0817,109.3459,248.9757,363.7126,1438.274,678.1777,538.3321,858.0767,370.4192,611.5494,359.8365,271.9409,0.0,29540.2243,0.0,23.9769,2630.5065,0.1418,0.0
NOR_M,73.9683,238.7352,632.0525,48.4546,826.5715,124.1539,8.6906,24.0744,19.108,67.4852,70.8781,22.1437,9.8925,30.1862,48.3437,43.3363,30.3824,25.5775,70.2105,12.6185,51.1025,60.2215,225.6843,159.9313,4321.4842,1579.5193,136.9382,73.703,90.906,395.154,32.8801,304.8165,206.1075,258.8855,532.1211,651.9028,590.4964,2209.5763,799.0757,702.3929,178.6499,406.0862,202.0916,222.0629,0.0,407.9099,192.9535,424.7673,9838.5776,17.9292,0.0
NOR_N,12.7101,36.9557,943.0914,79.9544,360.8648,264.5055,13.1295,43.4204,40.9048,87.4452,121.0175,28.6616,22.1055,78.5076,68.905,94.8756,39.0057,49.437,107.7685,18.709,88.987,138.1176,161.9573,219.0274,1711.864,1559.2348,375.9464,620.6361,396.8377,562.2176,82.4074,351.0707,282.1387,147.2355,461.8008,414.76,595.3761,1435.334,1033.6743,743.1363,331.159,502.4348,198.632,201.0364,0.0,2024.6985,0.0,31.32,1646.2309,14.8535,0.0
NOR_O,7.3714,6.5552,83.5318,2.3139,23.1446,130.3622,8.1803,23.6478,31.5354,140.3257,114.1513,46.0037,13.1316,44.3629,91.7665,62.7053,54.4405,39.8488,69.4193,21.686,67.7,94.9758,14.9018,13.0374,721.7287,190.033,706.8366,228.4945,23.9212,194.8565,4.1555,11.0149,93.8987,22.5355,191.4445,78.0415,58.2448,364.997,78.3022,480.1334,190.2816,375.7667,215.3098,178.7928,0.0,3299.5697,3.1349,33764.9487,470.9601,0.0277,0.0
NOR_P,0.832,0.7934,8.5722,0.424,10.8177,14.6489,0.8568,2.7465,3.4826,15.2613,12.5161,5.0536,1.5255,5.0013,10.4973,6.9375,5.8638,4.3271,7.7415,2.2343,7.9298,10.1623,1.8477,6.8314,64.0715,22.6344,2.9132,6.8218,3.2393,25.5766,0.1704,0.9478,12.4427,4.4899,29.4875,11.4428,8.5879,66.7406,17.1875,127.1283,104.0777,133.4091,95.4353,22.5963,0.0,1445.6384,919.2976,19464.1386,1982.6924,0.0113,0.0
NOR_Q,7.0953,4.3094,8.1567,0.7493,11.6265,14.1395,0.8098,22.6294,9.8351,9.414,8.9593,3.0747,1.808,4.5999,9.5476,10.8446,9.3456,5.6064,10.614,2.0145,21.8648,13.5984,1.7636,4.1529,74.9139,27.1258,6.1422,9.6604,2.7435,19.4208,0.6497,2.1711,12.5293,2.2703,13.9631,7.8556,15.3895,38.9526,12.7027,92.5041,13.8927,45.0652,18.8331,13.6866,0.0,5669.3129,3859.4878,43385.5796,550.4893,16.1587,0.0
NOR_R,1.6418,3.0018,10.7766,1.5213,4.011,17.029,1.2153,3.1462,2.1472,14.157,7.3099,4.5943,1.3365,3.7632,6.0948,5.4056,3.6373,3.1669,5.9099,1.5185,6.075,7.4568,6.8077,7.1847,31.5377,74.7394,7.6659,10.1438,5.8487,21.3537,1.8782,11.5709,21.6066,3.2435,18.6997,11.7019,29.1299,60.6603,29.9449,47.6193,16.6525,30.1654,167.5571,12.6076,0.0,3438.7236,1614.2538,1138.4644,308.0143,6.2003,0.0
NOR_S,9.7259,12.4218,17.9127,5.7615,16.0089,52.8397,5.5625,13.8541,10.2229,37.1136,33.1056,12.1171,5.6103,16.2458,28.0535,21.8915,16.3301,12.8508,22.2611,6.3317,31.1452,32.3114,17.1768,13.5474,113.9546,113.8706,22.7459,21.0666,8.1882,74.4084,4.3969,54.042,40.4555,8.9029,65.5267,33.7655,44.4176,156.269,59.6585,172.4033,115.1705,384.571,50.6012,94.562,0.0,1887.169,2908.6628,19.3532,17.1295,4.7794,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1002,0.0,0.0,0.0,0.0,0.0
