V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_A01_02,2747.7973,14.6069,0.4709,4.57,0.2406,26972.7336,652.0873,609.2811,296.0217,29.3812,876.616,340.3626,358.7834,25.3568,40.5463,49.7695,8.3744,24.8991,32.466,100.0804,25.7464,61.817,60.3622,40.8287,124.1883,949.4286,34.9917,6.4079,10.576,50.0304,5.2238,952.3562,63.1977,48.4674,23.4884,47.581,33.0023,171.4624,264.5305,221.4166,215.055,171.237,399.4921,28.6733,0.0,12527.8643,116.5841,582.7645,2472.9606,980.7598,0.0
ESP_A03,0.5012,4.8083,0.0416,0.1765,0.0189,37.2968,0.1794,0.256,0.4912,0.2273,0.9704,1.2755,0.317,0.4992,0.904,0.9572,0.0208,0.3826,0.0933,0.885,0.0437,1.2296,0.9643,0.9707,0.8588,3.4569,1.9612,0.288,2.3506,1.0271,0.0958,1.3106,0.4272,1.2586,0.5497,0.6766,0.2261,0.8168,2.0103,7.5428,2.8439,11.105,1.2159,0.8473,0.0,2686.782,0.0048,0.7768,21.3492,70.7118,0.0
ESP_B05_06,4.9243,1.6338,0.1868,1.3061,0.2314,2.9238,0.2651,1.0189,1.404,443.3912,7.7682,0.2638,1.6815,9.9691,13.8921,1.5243,0.0526,2.0308,0.4691,1.3864,0.1156,1.6715,226.5308,6.4154,14.125,14.7094,48.0083,2.463,13.7304,4.1034,0.6669,1.6309,0.3835,0.3261,0.6225,2.2227,1.4409,1.5537,2.4026,5.4464,3.0747,1.4043,1.1062,0.6198,0.0,169.3785,0.0032,1.7456,34.7676,12.28,0.0
ESP_B07_08,3.0602,2.6319,0.392,44.1601,2.355,117.1408,2.4139,1.1826,47.996,0.6212,147.3188,6.8871,1.5569,698.6754,818.3224,45.4501,1.0884,91.1786,7.3701,41.1145,0.6652,8.496,2.2094,36.597,809.4125,48.3919,1.0775,0.0321,0.2215,1.8047,0.0215,14.8659,0.5966,9.0989,7.7834,0.9641,0.933,11.0738,1.8794,28.6663,0.7261,2.5129,3.6209,1.0109,0.0,53.1584,0.0168,3.433,45.1482,66.2565,0.0
ESP_B09,0.2726,0.0851,0.7387,4.4432,0.7933,0.4012,0.0127,0.0047,0.3048,22.6778,1.4544,0.0293,0.0964,2.7087,6.0318,0.3292,0.0011,0.0131,0.0705,0.0118,0.0168,0.0493,4.8687,0.453,13.2392,0.2236,0.6,0.0056,0.043,0.3085,0.0021,0.0485,0.0005,0.0,0.0006,0.0001,0.4181,0.352,0.132,0.2199,0.0192,0.0601,0.0449,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP_C10T12,7556.8105,181.7143,7.078,44.8875,0.9386,24514.2614,122.8226,25.7572,130.2507,87.8363,490.1702,74.5111,109.7892,86.4086,83.124,106.6344,15.8922,65.738,77.1738,241.4752,86.3065,108.2454,360.547,226.8797,410.0475,2913.6726,195.7694,7.8614,69.1877,233.5125,10.3452,19011.6027,77.5756,205.964,396.8713,268.5415,220.0207,662.023,575.7974,701.6581,514.2345,1100.9809,206.6655,77.0759,0.0,51360.1653,23.1925,86.2307,491.5615,2263.1387,0.0
ESP_C13T15,14.7818,26.5937,0.5612,1.0424,0.2639,87.0751,2324.4208,8.7214,97.0694,2.2824,101.9609,26.9607,198.0532,25.1602,26.1625,54.2212,4.9116,24.6837,18.8372,408.0274,5.1946,221.4036,19.3333,32.501,152.1182,224.6353,19.7828,0.6767,17.6764,40.191,2.4151,240.6928,35.4625,4.8117,5.2223,12.3359,47.8521,187.764,111.7445,96.2852,30.1761,103.4342,38.9314,68.9101,0.0,10409.3719,0.2148,28.4741,246.0894,450.822,0.0
ESP_C16,42.6036,11.9519,2.2233,31.815,0.222,320.8606,18.2937,1394.2849,135.0877,3.0198,60.1943,10.2841,82.5635,151.2994,27.9039,186.5626,4.6163,70.4755,137.8552,88.3067,5.7976,635.0315,28.4087,15.784,1401.4393,180.6287,106.9915,0.8051,3.515,65.644,0.6497,153.8925,8.3148,23.7312,16.7709,16.9704,49.9934,45.5623,131.4514,34.2062,37.0228,90.0329,18.8568,24.0871,0.0,627.1135,6.5084,8.0377,102.5945,116.0482,0.0
ESP_C17_18,26.0349,0.8857,0.6435,7.2464,0.3395,2310.4379,188.3581,231.8652,4512.695,8.0085,455.2671,308.7603,265.9575,222.2721,50.7252,306.7157,17.2358,172.3086,187.2984,188.143,15.4488,458.2618,253.2925,208.2609,72.9654,1281.0591,22.4689,1.2782,13.21,43.0919,2.6137,310.8215,324.4659,106.141,279.914,541.1462,102.6779,764.8874,376.1239,215.4445,242.5649,149.9764,125.5906,107.7427,0.0,2999.2797,10.3187,27.0498,166.9491,325.6163,0.0
ESP_C19,467.8123,140.435,12.3963,110.2862,12.5052,269.0381,32.7426,96.6298,135.1305,2204.7088,926.9681,53.2902,197.7971,869.7539,429.2458,148.3447,4.7051,184.6729,44.5889,146.1145,9.6344,146.2313,2024.5618,566.7979,798.4694,1266.7234,4126.443,211.3501,1176.5593,385.3552,56.97,119.5805,20.3573,21.2249,39.7569,189.6826,31.4105,156.4819,158.788,449.4123,246.2015,144.8285,67.7628,54.9273,0.0,14551.1927,0.1083,31.1006,130.0131,781.8127,0.0
