V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_A01_02,1.8696,0.0383,0,0,0,30.2213,2.7331,0.0024,0.0267,0.0021,0.2278,0.2762,0.0255,0.0001,0.0004,0.018,0.0841,0.0114,0.1069,0.0051,0.0121,0.1465,0.8334,0.0002,0.7696,0.0335,0.0053,0.9567,0.0016,0.0054,0.0008,39.5726,0.1985,0.0017,0.0187,0.1329,0.1814,0.3577,1.1425,0.0481,0.0293,0.1424,0.1695,0.2471,0.0,96.6078,0.066,0.0002,0.6464,-6.7684,0.0
SGP_A03,0.0024,9.1705,0,0,0,4.0698,1.5292,0.0003,0.0041,0.0234,0.2096,0.4017,0.0022,0.0022,0.0092,0.0111,1.2479,0.0094,0.625,0.0253,0.0257,0.2544,0.4237,0.0637,0.2839,1.6155,0.1348,2.0171,0.056,0.1814,0.0025,32.8247,0.1568,0.1198,0.554,0.7317,0.1763,0.5721,0.2879,0.3338,0.064,0.0966,0.278,0.1312,0.0,103.4408,0.0844,0.0068,0.0109,2.4077,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,6.1047,2.7694,0,0,0,1027.9928,5.5779,0.1532,1.5529,10.1936,356.8315,32.2824,0.7584,0.4638,1.6604,1.9403,105.8926,1.6822,37.242,1.7179,2.3749,26.781,1.5833,2.5849,18.4267,76.5435,6.9643,74.481,5.5642,6.9819,1.319,1006.3189,11.3194,4.4315,20.5314,24.778,8.3899,16.8515,15.7827,20.5186,2.5709,13.3953,5.9554,14.6327,0.0,3000.0154,1.7068,1.4379,72.1069,212.353,0.0
SGP_C13T15,0.0093,0.0367,0,0,0,1.0078,121.3427,0.1653,1.0082,0.3812,1.0771,1.0403,0.3419,0.0252,2.8213,0.1807,2.4551,0.2272,0.8684,0.3907,1.8283,2.3603,0.3451,0.5731,5.4484,24.369,2.1005,0.713,0.1913,3.9469,0.2696,5.0544,0.6841,0.5772,0.5046,0.3859,0.249,1.1578,0.6403,1.3218,2.7745,3.4808,1.2053,3.3336,0.0,627.8385,0.2202,0.005,1.3021,23.4403,0.0
SGP_C16,0.053,0.0149,0,0,0,7.5186,0.3112,12.0985,0.8085,0.9797,7.0656,0.3521,0.4795,0.4093,0.4256,5.9722,4.8351,2.9104,3.0185,0.4933,0.5422,33.3266,0.1673,0.2643,63.0149,1.5654,0.0961,0.282,0.0674,2.8887,0.0284,0.4742,2.2451,0.0872,0.3428,0.3642,1.4011,4.6402,0.4529,0.1365,2.2079,1.2218,0.0498,0.7474,0.0,7.0173,0.072,0.0041,2.7059,4.0042,0.0
SGP_C17_18,0.2545,0.1197,0,0,0,19.9652,2.6287,0.2405,164.7005,2.0659,14.6573,4.0842,3.6523,1.1821,5.3804,5.5501,71.7008,15.8119,7.8991,1.611,1.3013,28.5607,2.4395,4.3836,7.1522,121.1134,11.7994,1.5742,1.2572,22.6556,2.9942,15.6723,18.4336,7.5407,66.7857,38.7402,12.7307,83.7011,22.1228,13.3935,42.3094,9.6949,11.6195,6.7863,0.0,160.4143,0.1833,0.0118,11.1436,30.8772,0.0
SGP_C19,0.1065,0.0968,0,0,0,27.0721,0.7057,0.0607,3.8572,2240.4222,2121.1995,11.1222,3.1102,5.8398,84.0013,6.5824,270.7951,71.5768,27.4034,2.2846,12.4164,8.0244,14.9744,19.8266,216.1944,282.2959,349.9679,5046.777,1441.9568,137.2483,3.0474,45.0841,16.4086,15.6338,80.06,38.8818,32.5523,132.6895,52.5252,31.663,7.6551,15.8789,4.8321,6.7734,0.0,673.6693,0.0358,0.0596,34.1284,1406.5312,0.0
