V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T,GBR_HFCE,GBR_NPISH,GBR_GGFC,GBR_GFCF,GBR_INVNT,GBR_DPABR
GBR_A01_02,3792.4314,0.6059,7.0913,8.8618,3.2895,10535.4543,35.5259,572.3803,222.5411,2.3044,34.3782,144.4427,32.4191,7.793,6.5018,13.6576,4.2356,4.0011,10.4191,12.3438,11.0721,16.3333,472.3226,13.6023,313.637,242.4826,43.8917,4.5748,26.6355,18.5497,4.1947,89.1173,22.4291,11.0997,32.8963,99.6463,68.63,168.2051,88.9472,70.392,43.1964,117.2443,42.0725,12.6295,0.0,19140.004,25.9359,56.3706,1556.6789,366.6088,0.0
GBR_A03,0.113,270.8395,0.2125,0.0793,0.0495,759.442,0.0354,0.0363,0.0992,0.0858,0.1407,0.0732,0.0912,0.0691,0.1188,0.1473,0.0791,0.0526,0.1263,0.2131,0.0922,0.115,0.129,0.1604,1.1702,2.9667,0.5003,0.7872,0.6302,0.8277,0.0669,191.4801,0.6452,0.1256,0.4292,1.5025,6.0921,3.5356,2.2314,1.0724,0.8449,1.1513,1.0063,0.1402,0.0,396.0514,1.6863,5.7642,9.2618,23.4898,0.0
GBR_B05_06,23.0026,0.0015,284.8464,5.7454,0.499,2.7153,0.0026,0.0049,0.9035,6523.3364,265.9772,2.0249,0.4025,18.0828,156.0679,0.0381,0.002,0.4657,0.0069,0.0098,0.4512,3.1679,3938.828,0.0569,4.5493,2.8557,0.4966,0.4992,0.1102,3.4531,1.0333,0.2213,0.7132,1.4819,0.8046,3.3473,23.9381,42.667,5.3908,5.804,4.291,4.6942,8.2473,28.9271,0.0,89.7031,0.1075,0.0,5.6862,156.264,0.0
GBR_B07_08,6.9111,0.2229,1.581,656.6738,6.9088,63.2057,1.4829,3.4141,6.0847,1.0909,82.3163,6.0269,29.3483,997.0043,28.927,304.3609,4.7289,13.5186,4.1337,65.0042,7.1819,42.7552,4.0112,11.2379,3251.9187,87.6759,29.3042,1.9272,6.3807,10.9067,2.3519,13.4487,5.416,2.8552,9.524,21.8777,32.3498,36.143,91.5826,25.5738,25.8496,24.5865,13.6425,10.4995,0.0,523.5882,1.5313,0.9458,31.4108,72.7691,0.0
GBR_B09,5.1348,0.1679,2360.5549,475.8748,1184.6719,26.771,1.7424,2.2296,6.4204,1.7803,8.4042,3.3861,4.9641,8.9338,4.5484,6.8019,2.397,2.587,7.3629,9.4652,8.399,5.4926,7.8623,5.7115,373.4104,98.5416,51.7858,1.3726,2.5337,8.3191,3.1028,8.3768,7.3892,2.996,11.7407,38.9275,8.4787,96.7334,25.1007,20.4213,14.45,36.8542,5.8212,3.4195,0.0,281.6406,2.2044,1.5673,77.4109,-8.4675,0.0
GBR_C10T12,1481.9982,253.0019,33.9142,18.3347,13.895,17749.4966,61.0623,32.4084,108.7633,22.6838,349.718,75.2437,140.2736,41.6885,33.545,61.7713,212.6797,164.4062,465.4602,204.6184,52.9988,66.1949,111.0758,54.334,274.178,1887.405,1005.775,60.0805,48.8075,838.6297,76.6082,12619.1249,530.9322,61.1326,276.218,478.4526,286.9096,329.8285,516.941,213.1316,1777.9436,2092.2353,718.571,269.0243,0.0,70172.0227,28.5804,25.7975,605.4631,1543.9553,0.0
GBR_C13T15,15.6219,1.0081,3.3372,2.5509,2.4868,45.4914,815.7011,7.5509,56.993,2.3736,44.1423,12.384,54.2848,13.2002,6.3818,18.4314,11.1447,7.2269,18.3905,209.8887,16.1594,155.8709,10.8857,8.702,279.8178,505.2799,13.1197,1.0927,6.485,9.8834,2.8472,24.7537,26.019,4.8568,13.6913,48.6901,27.2192,140.6945,22.6723,90.006,45.9782,144.9832,19.7159,52.5059,0.0,11187.4456,1.7989,6.155,359.7003,173.81,0.0
GBR_C16,4.4903,0.2866,15.6173,5.3763,1.5257,28.1568,4.5934,1745.9654,387.3108,0.9246,12.7942,7.5804,11.0355,52.1476,6.2012,141.421,4.8984,16.8775,11.6482,125.6684,72.6318,1138.8183,6.1916,7.2227,4495.5173,76.7625,8.5358,1.1897,3.6255,9.3834,2.468,11.2516,15.3474,3.4014,12.4756,40.6709,44.8997,29.6344,289.4801,24.312,66.4919,41.2196,22.9492,75.0596,0.0,1547.099,0.8241,3.0876,101.1788,88.1583,0.0
GBR_C17_18,70.0631,2.5162,10.582,7.1556,2.5244,1005.1249,46.2146,56.5768,3986.2992,3.0719,311.7086,75.5112,291.4938,66.6652,17.5163,81.7133,62.1744,51.0538,61.8798,98.193,35.0016,160.9463,43.6625,114.54,306.4954,2319.63,69.3355,7.8822,15.0709,237.7206,87.0971,182.8026,2485.7416,204.993,405.2741,2390.6592,112.4042,989.3339,574.8356,1594.1885,2123.8162,2049.6771,680.2714,220.4293,0.0,5373.2628,2.863,5.0758,306.9754,307.6776,0.0
GBR_C19,854.4117,27.8834,112.5737,82.1786,6.0026,157.2648,10.129,26.0628,31.1998,903.6855,414.4573,1.9799,29.1306,192.2341,16.9459,76.0599,4.7826,10.4826,24.5257,20.5742,12.2203,213.2523,5.233,136.8399,1727.0476,2893.2576,2524.597,354.9032,3443.1223,566.6347,259.5493,93.8659,23.2573,70.9533,33.1431,615.7459,76.922,421.1367,579.9027,669.0957,274.7552,488.8918,68.7056,98.0995,0.0,14668.4102,0.0941,0.0006,9.2883,412.602,0.0
