V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_A01_02,244.4454,0.1337,0.5585,0.552,0.0204,225.5067,4.2329,103.9338,14.2801,0.0246,4.6403,5.166,21.8106,4.331,7.7621,8.5107,2.2743,6.8694,4.2827,8.5755,1.1849,7.9618,13.37,6.4432,37.6345,65.0697,10.0014,0.0525,1.7097,3.2985,1.4741,29.701,2.3145,3.3721,2.6082,4.8971,5.0904,20.9074,7.8692,7.8303,11.12,9.7433,6.8013,4.9851,0.0,747.8468,7.4315,9.4674,81.2596,31.0394,0.0
SVN_A03,0.0418,0.6349,0.0005,0.0022,0.0001,0.4206,0.0276,0.0246,0.015,0.0001,0.0219,0.0261,0.0266,0.019,0.0335,0.2402,0.0126,0.0547,0.0226,0.0363,0.0025,0.0146,0.0376,0.011,0.0575,0.414,0.0476,0.0019,0.01,0.2686,0.0014,1.8792,0.2208,0.0081,0.0144,0.0371,0.042,0.1141,0.0662,0.0296,0.1604,0.0714,0.6544,0.0919,0.0,6.6146,0.5838,0.0788,0.0423,0.2212,0.0
SVN_B05_06,0.0333,0.0003,0.4623,0.2126,0.0104,1.4574,0.1444,0.0923,3.8691,0.0238,4.0762,1.5679,0.4027,2.6188,14.7549,0.3876,0.0377,0.0731,0.1794,0.5283,0.0126,0.1361,98.8728,1.1796,1.1554,4.2418,0.313,0.0003,0.0106,0.8413,0.0758,0.9716,0.0321,0.0804,0.1146,0.0724,0.5768,1.2411,0.3488,0.2468,0.3834,1.8567,0.358,0.0932,0.0,0.6756,0.0001,0.0064,1.8798,1.7487,0.0
SVN_B07_08,0.7014,0.0036,0.0796,5.0761,0.0606,4.0075,0.2194,0.1615,2.2112,0.0003,10.7665,4.1237,0.2259,35.793,40.7063,3.742,0.0753,2.3047,0.1226,0.4642,0.0389,0.8607,0.7294,4.3275,42.3915,4.9752,2.137,0.0003,0.0228,2.2246,0.1983,2.6437,0.0822,0.1686,0.0371,0.4679,1.5605,3.9161,1.1134,1.8401,0.5642,4.905,0.9519,0.0993,0.0,1.2045,0.0006,0.0163,5.7139,2.5514,0.0
SVN_B09,0.0225,0.0015,0.1236,0.581,0.0719,0.0188,0.0012,0.0018,0.0454,0.0046,0.1221,0.0239,0.0197,0.3516,1.3298,0.0763,0.0005,0.0053,0.02,0.0022,0.0003,0.0097,0.4415,0.0614,1.7185,0.0249,0.1114,0.0003,0.0027,0.0369,0.0004,0.0025,0.0,0.0,0.0001,0.0,0.0209,0.0633,0.0128,0.0223,0.0022,0.0064,0.0043,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN_C10T12,81.1195,1.0484,0.1214,0.874,0.0027,217.7555,0.2703,0.6988,0.8743,0.0016,10.9599,4.0617,0.3648,0.644,0.1899,2.707,0.4039,1.1053,0.9861,0.6162,0.0607,2.0275,1.9008,0.6892,5.203,42.9809,2.5351,0.0465,1.9125,1.3774,0.092,168.1562,0.4923,0.166,1.3851,8.2109,4.6482,5.0042,5.1157,3.018,44.6411,26.9108,12.037,1.4302,0.0,1226.0002,0.0462,0.0,0.0,37.5819,0.0
SVN_C13T15,0.7309,0.0422,0.1514,0.232,0.0091,1.3427,151.0896,1.5068,1.3633,0.0072,3.0839,2.8333,25.2568,1.3599,0.9963,1.6468,0.2676,2.2901,1.1127,28.4809,0.2069,4.3494,0.8521,2.0671,2.9747,9.659,1.0949,0.0202,0.2291,1.4459,0.7637,3.1974,0.3585,0.3278,0.4371,0.8371,1.3886,8.2534,2.1776,2.49,2.738,13.9487,4.1822,0.8127,0.0,331.9957,0.0046,6.548,16.7485,14.6534,0.0
SVN_C16,5.9305,0.0143,0.5164,0.2734,0.008,1.9831,0.628,56.3015,4.5272,0.0074,3.7077,3.7366,4.0359,2.5236,4.7981,13.5382,0.4065,4.6358,2.33,7.1945,0.1921,55.6931,5.7645,2.3437,47.2445,16.9531,3.7083,0.016,0.7413,1.5493,0.0853,2.0193,0.3601,0.3274,0.5025,0.7494,1.5175,19.8836,1.3294,2.6235,1.7265,1.956,0.8605,0.6115,0.0,39.5018,0.0585,1.5069,24.6876,7.4506,0.0
SVN_C17_18,2.1446,0.0511,0.0402,0.3938,0.0067,24.0224,1.2969,2.1566,190.4119,0.1448,3.7884,83.8897,8.1608,6.5211,2.0114,3.6237,1.4232,17.0773,4.3073,8.2273,0.5872,5.7284,3.3482,6.041,3.8342,79.2434,2.9253,0.0213,0.6757,5.7994,1.0028,10.6693,15.5563,4.8498,4.2782,20.1255,1.7972,50.6999,8.8436,10.2551,8.9401,5.1829,10.081,3.9864,0.0,72.8874,0.0795,0.934,4.1765,14.2579,0.0
SVN_C19,0.1059,0.0005,0.001,0.0035,0.001,0.0383,0.0107,0.0283,0.0322,0.0004,0.0352,0.058,0.0483,0.0656,0.0895,0.0882,0.0353,0.0575,0.0584,0.0681,0.0036,0.0734,0.0442,0.0543,0.1438,0.51,0.6318,0.0009,0.0509,0.067,0.0073,0.0688,0.0738,0.0169,0.0538,0.1222,0.0759,0.4486,0.1198,0.054,0.0539,0.0661,0.0411,0.0471,0.0,1.3176,0.0018,0.0291,0.0529,0.045,0.0
