V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T,EGY_HFCE,EGY_NPISH,EGY_GGFC,EGY_GFCF,EGY_INVNT,EGY_DPABR
EGY_A01_02,3130.4322,0.5088,50.4006,16.7609,6.3245,6728.7913,47.7684,0.8949,8.3115,0.2693,17.4705,9.9974,1.9741,0.4822,0.6186,0.624,0.1654,1.3995,0.1971,0.1647,0.0225,0.4796,0.7009,0.0779,7.609,2.4313,2.3351,3.3019,1.5233,1.9194,0.1428,260.1622,0.2425,0.1142,0.0501,2.719,2.7661,1.0156,1.2529,8.4202,1.3816,14.015,0.1612,0.3635,0,23383.9488,0.0,0.0333,1157.3769,530.7512,0.0
EGY_A03,0.0,12.8764,0.0,0.0,0.0,28.8378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0001,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,121.9476,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.1185,0.0886,0.6719,0.0101,0.0069,0,3319.0624,0.0,0.0,0.0,71.9847,0.0
EGY_B05_06,0.4574,79.1942,3026.9674,2.1957,3.9743,685.3939,140.2709,169.6062,25.5121,12793.1489,72.7172,3.533,3.6416,230.5444,317.6772,9.1078,0.4119,4.9589,0.0553,25.8934,0.0684,76.4739,3971.852,57.7819,79.3212,101.1053,1042.1175,403.2653,490.2544,162.4092,0.6958,579.8496,14.0758,74.5693,4.5388,15.2104,2.1169,16.086,17.1157,35.4491,6.5474,45.4184,32.172,59.3006,0,3326.4613,0.0,0.0,0.0427,1333.7168,0.0
EGY_B07_08,0.0,0.0,0.5149,32.0286,4.2206,0.3158,6.585,0.8002,6.183,4.3497,764.3367,47.8615,2.6087,232.483,545.848,4.4011,0.8779,10.7928,0.9274,3.1477,0.0319,11.7494,0.0053,0.0015,479.3051,4.0278,0.385,0.0022,0.0003,0.0081,0.0,26.7603,0.0011,0.0035,0.0003,0.2525,0.0142,0.1132,0.1446,0.5398,0.5892,0.1229,0.008,0.0678,0,418.5958,0.0,0.0,0.0,56.0045,0.0
EGY_B09,699.2673,16.3039,23.9855,64.8004,15.2692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0776,0.0,0.0,0.0,0.0,5.5582,2.9985,0.0,0.0,0.0,0.0,59.2509,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EGY_C10T12,1027.5014,34.5599,12.5077,1.7325,0.5408,1338.2519,38.0463,0.587,1.4104,0.2681,2.5126,1.1856,1.1285,3.2081,2.3019,2.6344,0.245,1.5959,1.1689,0.8823,0.0513,4.1326,5.113,0.6436,9.3241,6.6622,14.4234,2.9572,12.3252,26.6644,0.1596,257.1253,0.3178,2.4828,0.0855,5.3729,2.1462,6.0985,2.3091,26.3507,27.1035,121.951,6.5182,3.3571,0,20128.8367,0.0,0.0,685.805,411.6883,0.0
EGY_C13T15,0.3435,0.1879,0.3724,0.0853,0.1839,0.6585,1241.4412,2.0288,10.7151,0.2294,3.5446,2.5758,2.5742,0.28,3.663,1.3812,0.8313,0.7446,0.1915,2.6278,0.2613,31.4021,0.1481,0.1511,7.5279,0.4375,0.1904,0.1833,2.4045,0.4503,0.0101,15.6668,0.2607,0.6654,0.0647,0.3933,0.1138,4.3551,1.142,1.2441,1.9967,9.3996,0.3092,1.3335,0,4023.8751,0.0,0.0,172.6394,102.8867,0.0
EGY_C16,0.2638,0.0128,0.4187,0.0659,0.1489,6.1405,1.7601,108.5199,5.1206,0.1174,0.9859,0.7614,1.0787,1.3062,17.5585,5.343,0.6571,6.8867,0.7582,0.8692,0.6049,599.2241,0.0276,0.0238,115.9046,0.8547,0.0624,0.0035,0.0158,0.0724,0.0114,0.5617,0.0156,0.0249,0.0138,0.3261,0.2286,2.7655,0.7312,0.498,1.8236,2.2838,0.0687,2.6374,0,988.182,0.0,0.0,140.5289,45.2113,0.0
EGY_C17_18,1.6468,0.5731,1.053,0.1546,0.1801,18.9612,5.4274,0.3575,188.0933,0.0887,2.048,2.7975,0.7975,1.2963,4.716,2.1045,0.327,2.189,0.5641,7.3817,0.1409,1.791,1.5688,0.8137,21.415,3.4507,6.0169,6.013,1.2437,36.3367,16.2609,37.4005,169.33,1.0261,0.4024,63.8859,14.2593,31.5737,8.4963,3.7187,82.3818,58.3533,12.1521,5.6712,0,1873.0045,0.0,0.0003,534.3297,90.5589,0.0
EGY_C19,531.9978,130.3659,87.0937,27.7264,1.8769,995.2192,124.4261,7.3261,61.8635,20.1127,185.6141,17.038,129.1544,445.6444,827.7876,48.5479,1.3429,27.5028,6.8117,1.6968,3.3625,17.7776,1668.6518,59.7596,161.9867,178.0447,762.2685,1042.8126,250.6443,367.3332,7.4457,510.4964,26.8601,15.7698,0.7907,11.7514,18.221,39.9731,39.1692,39.9866,45.2511,59.2089,18.4494,65.9273,0,11588.832,0.0,0.0,2.0919,405.4906,0.0
EGY_C20,342.8245,0.1738,4.0267,1.3408,4.0087,12.1332,319.5885,106.5311,190.7044,27.1661,627.5768,294.7166,392.5804,41.4344,47.134,49.2299,27.4226,160.82,13.6063,24.1677,3.1305,53.5295,0.1636,6.2707,20.8742,1.2598,0.123,0.7019,0.085,0.6509,0.0447,9.1856,0.0079,0.0284,0.0044,1.0921,5.9495,0.0541,2.7483,2.3673,7.5669,199.8208,4.2681,7.3852,0,1614.8267,0.0,0.4076,381.4728,138.287,0.0
EGY_C21,0.1398,0.0569,0.425,2.5279,0.5055,2.9191,35.0335,6.2381,5.0709,1.2378,33.4503,20.8543,31.9633,6.7321,7.53,7.4557,2.9777,20.2827,2.0637,2.2033,0.2797,6.7165,0.0629,0.1252,3.1501,0.0719,0.0535,0.0506,0.0718,0.149,0.0044,0.774,0.0024,0.0225,0.0012,0.2518,1.1824,0.0405,0.0168,1.7315,5.4509,35.3771,0.5634,0.1049,0,1934.791,0.0,41.6829,240.2551,24.8315,0.0
EGY_C22,14.9281,0.0277,0.4018,4.2814,0.0133,456.7205,109.2653,0.3072,6.557,0.1731,29.2284,30.4484,4.7599,22.9249,29.5776,6.2176,10.7741,24.2873,1.4391,0.7798,0.0605,3.1297,0.0273,0.1125,665.716,47.1849,1.5585,0.0551,0.0096,3.267,0.8434,22.1589,0.1059,0.0069,0.4771,0.1334,1.4487,1.5266,1.479,0.0644,0.487,3.6146,0.1747,1.5864,0,517.2487,0.0,0.0024,2.1585,29.5624,0.0
EGY_C23,0.5334,0.0718,0.8973,0.7196,1.7283,2.3002,28.0739,7.9854,1.6234,2.604,6.819,11.2095,28.1131,259.5231,225.567,30.5219,19.3053,89.2076,14.955,34.0669,2.3028,25.1462,0.1414,0.0759,1407.1391,0.4565,0.0973,0.0236,0.0907,0.2327,0.0042,12.459,0.0361,0.1089,0.0102,0.7026,60.5344,5.9509,0.9667,8.8832,15.0143,75.846,1.3578,3.2582,0,2406.57,0.0,0.0023,20.3568,93.9877,0.0
EGY_C24,0.0086,0.0,10.128,1.6491,7.6395,5.0783,13.7645,8.6668,23.2746,6.8294,8.5753,9.4719,28.8275,15.4335,1045.032,896.0157,108.3481,586.1075,193.4822,252.603,9.4561,107.8097,12.2032,6.1529,828.7275,4.6534,0.2457,3.5859,0.0,1.4332,1.2509,1.92,26.72,61.7531,6.2224,0.992,3.2667,53.9015,8.9908,4.8959,9.5849,7.7866,0.7921,6.0015,0,2194.0507,0.0,0.0,927.2733,117.3716,0.0
EGY_C25,145.4296,46.8108,64.0663,4.2149,4.3501,85.7878,23.3339,6.347,8.604,1.0818,11.6989,5.7405,13.1247,19.8741,23.0768,341.752,6.0666,329.8134,42.2491,60.4214,4.5563,184.3395,27.6818,3.222,366.3687,77.1841,73.2805,8.7861,62.2291,134.9672,0.8,47.6192,3.171,12.6324,2.0118,29.0329,16.5679,25.6988,9.8527,40.7843,53.1825,112.6293,27.2314,18.4479,0,869.8546,0.0,0.0,1237.8959,65.6316,0.0
