V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T,LUX_HFCE,LUX_NPISH,LUX_GGFC,LUX_GFCF,LUX_INVNT,LUX_DPABR
LUX_H50,0.3052,0,0,0.0184,0,1.8724,0.2754,0.0819,0.2278,0,1.1989,0.1188,6.8303,3.7682,13.3507,1.6917,0.246,0.1872,2.5691,0.2391,0.2007,0.25,0.3663,0.0125,0.5234,19.8441,0.1949,9.9956,2.2687,5.0224,0.4657,0.5447,0.1649,0.3756,2.6329,0.1002,0.221,0.9557,2.5252,0.0431,0.017,0.2687,0.1021,0.0164,0.0,9.5844,0.0133,0.2536,1.5937,10.8981,0.0
LUX_H51,1.5586,0,0,0.0976,0,5.7487,2.2248,0.371,0.5511,0,1.6667,0.6169,20.863,4.523,16.529,3.9805,0.9361,0.5542,7.5968,0.8543,0.4118,0.8342,1.1149,0.0822,4.9974,17.4008,2.9005,0.2302,68.5521,3.7979,4.1115,3.45,0.6089,1.2113,26.3064,3.8601,1.2587,13.0937,20.2296,0.3515,0.1397,1.3881,0.425,0.2604,0.0,46.3732,0.023,0.7777,9.7208,27.9303,0.0
LUX_H52,0.2133,0,0,0.0023,0,1.1832,0.0659,0.0124,0.1611,0,0.6535,0.133,6.031,2.1255,6.1774,1.2803,0.1975,0.1192,1.7477,0.2038,0.1089,0.1811,0.0205,0.0015,0.2321,20.999,5.8487,1.8431,35.9305,6.8016,0.7942,0.126,1.6986,0.0062,1.7134,0.0095,0.1576,2.2525,1.4117,1.1758,0.0114,0.0534,0.2732,0.1153,0.0,4.2277,0.0,0.0177,0.3589,4.9004,0.0
LUX_H53,0.004,0,0,0.0073,0,0.3225,0.0094,0.0099,0.1628,0,0.2507,0.094,2.6576,0.5224,1.3789,0.5321,0.1367,0.0575,0.9809,0.0522,0.0651,0.1402,0.1645,0.0166,0.375,11.8357,0.1975,0.0417,1.0252,0.8352,11.3131,0.0291,0.2841,0.9339,9.0662,18.0075,0.8553,3.7406,3.2917,1.8776,0.0496,0.8293,0.0337,0.2215,0.0,1.076,0.0,0.0,0.0,2.3004,0.0
LUX_I,0.0691,0,0,0.0853,0,1.4294,0.3552,0.1038,0.3818,0,1.3139,0.7035,16.9454,3.0261,10.0432,3.6768,0.8277,0.4149,6.4615,0.3684,0.348,0.85,0.2825,0.2608,7.3556,17.8283,4.1072,0.4336,34.745,2.2457,1.0425,5.2483,0.7597,3.1646,21.9078,13.2928,2.9882,39.6944,23.5436,7.2013,2.4472,48.8009,1.6458,3.0317,0.0,544.3105,0.0114,0.0,0.0,0.0,0.0
LUX_J58T60,0.4375,0,0,0.0434,0,3.2193,1.0301,0.1419,0.3192,0,0.4974,0.2535,7.8286,1.1437,4.2482,1.2812,0.2739,0.1552,2.1578,0.1602,0.1723,0.2487,0.3519,0.2032,2.262,23.4415,0.5858,0.0638,1.5908,0.313,0.29,1.2465,8.672,20.0163,43.45,6.2105,1.1112,43.2757,4.2685,1.1478,0.3404,1.0885,6.6278,0.4626,0.0,99.0416,13.5981,80.7671,10.6063,3.7548,0.0
LUX_J61,0.2987,0,0,0.1915,0,4.5062,1.3903,0.1923,0.576,0,1.1189,0.5024,16.1685,3.6096,9.0206,4.5485,1.0181,0.4099,6.6218,0.4283,0.4356,0.8585,2.3192,2.3532,23.8146,44.4018,6.0404,0.3089,7.6579,2.4981,2.6276,2.3978,3.1452,429.4494,891.7638,40.0525,7.9517,81.0911,18.3712,9.5667,2.2076,8.2063,2.6721,1.6493,0.0,83.027,2.4184,2.3964,15.6746,7.3177,0.0
LUX_J62_63,4.3938,0,0,0.8867,0,48.9075,12.1001,1.6725,5.4948,0,7.8959,4.4222,108.4109,18.718,70.0619,21.6666,7.0673,2.9305,38.4913,3.0258,2.4787,4.5637,13.9703,7.1675,125.6206,412.987,19.6639,1.1378,45.3544,8.3527,9.1085,12.7627,36.7892,58.8486,1478.4828,245.0628,19.7057,1782.6493,74.2732,43.9775,11.9448,27.2109,21.7737,9.1054,0.0,234.2451,0.6969,33.794,340.7629,48.9927,0.0
LUX_K,16.4749,0,0,1.4187,0,42.7177,15.1121,4.5117,6.4726,0,16.3722,5.6496,208.0319,48.8043,188.4504,49.5416,9.5791,5.2009,76.1548,5.6739,5.9075,8.3536,15.1481,3.3415,115.247,398.4788,55.1744,5.177,99.6902,22.6038,11.4329,20.1323,31.7174,36.4382,327.4324,40222.5123,321.1211,311.1564,144.7065,119.0806,3.22,53.3978,4.3926,9.5547,0.0,761.5536,0.29,3.7803,8.1617,149.0067,0.0
LUX_L,0.9534,0,0,0.4388,0,11.9078,7.7076,1.5498,3.7457,0,4.3373,1.9899,95.7595,18.573,44.3726,28.3402,4.5289,2.1016,30.2357,2.1309,3.5126,6.0523,9.0489,0.9004,132.9662,468.944,46.6827,1.1847,30.1636,18.4761,10.69,65.3936,10.8454,42.9985,302.3832,193.0792,142.2857,336.7145,100.2078,74.5713,8.3417,94.9744,10.1347,33.2041,0.0,4354.2311,0.7763,1.0023,148.6461,0.3602,0.0
LUX_M,6.7513,0,0,3.164,0,100.1326,30.598,2.9352,10.1468,0,31.995,27.2985,365.8326,77.7825,272.3406,79.0198,25.9754,10.7989,137.388,11.6784,7.909,17.9172,41.8424,55.9296,778.369,1023.4904,101.4292,4.9424,105.5148,32.2615,16.4151,36.935,57.7504,183.862,1409.2138,3419.4952,151.3305,2500.0364,269.8792,169.4912,73.5948,114.7196,33.1245,35.5841,0.0,99.7818,3.3543,7.7835,813.179,30.0607,0.0
LUX_N,1.0483,0,0,4.4797,0,25.5382,23.4249,2.8921,3.2714,0,8.0084,5.0933,137.3559,26.9787,76.8951,32.0338,7.9539,3.5638,53.8882,4.4746,4.216,7.4581,13.0853,15.4584,361.5512,243.9282,45.5439,3.9461,105.8723,18.8271,9.3555,10.6177,8.2085,69.8732,402.3825,64.9901,28.4815,613.6655,232.2868,37.8688,10.6534,19.745,9.513,10.1557,0.0,145.5038,1.3652,4.6539,17.9232,9.1528,0.0
LUX_O,0.1461,0,0,0.0259,0,0.7674,0.4756,0.0672,0.6815,0,1.6007,1.0691,24.0731,3.6442,14.9369,5.4531,0.7743,0.4543,6.4572,0.5307,0.7975,1.0111,0.9273,0.2048,11.116,13.441,2.6305,0.4307,8.5714,2.8482,1.5372,1.8302,0.4762,1.3085,9.6024,36.6947,13.1628,14.7725,12.4864,4.0324,0.3842,3.3499,0.5883,1.0628,0.0,158.7681,5.2028,4803.8545,49.6114,-1.7397,0.0
LUX_P,0.1359,0,0,0.0413,0,1.336,1.1787,0.1934,0.233,0,0.7583,0.5469,8.5622,1.8729,7.2256,2.1741,0.6718,0.2994,4.201,0.2673,0.3117,0.5764,0.9034,0.478,6.3031,18.6404,6.4399,0.1317,11.5302,1.1015,0.6405,1.2,3.4274,9.3858,30.1928,10.7066,2.6869,59.8384,11.3454,9.6774,7.4191,16.703,2.6577,2.7351,0.0,214.6045,89.6844,2271.4478,1.3705,0.4202,0.0
LUX_Q,0.2048,0,0,0.0429,0,1.7735,0.7168,0.149,0.2092,0,0.4428,0.3901,7.0987,1.3135,4.458,1.5262,0.3082,0.1519,2.1291,0.1464,0.2163,0.3423,0.7263,0.6234,8.7616,20.85,1.7802,0.079,1.6008,0.76,0.519,2.3268,0.4959,3.7359,28.0905,8.3667,4.0174,22.7415,5.4129,19.6908,1.5915,91.7099,0.6525,2.1706,0.0,708.7219,1121.9123,3121.5659,1.3442,0.2374,0.0
LUX_R,0.0525,0,0,0.0262,0,1.4062,0.4881,0.199,0.1599,0,0.2069,0.1026,2.9579,0.5817,1.3355,0.5995,0.1279,0.0673,0.9038,0.0728,0.1422,0.152,0.0835,0.3007,4.2111,16.992,0.4991,0.0739,0.8918,0.3218,0.2211,0.3818,8.4575,13.3811,21.8925,3.8661,1.3547,13.7656,4.8689,0.8936,0.3234,1.0011,7.7801,0.3872,0.0,202.3554,33.1062,194.7738,1.1311,0.5178,0.0
LUX_S,0.2119,0,0,0.155,0,19.4014,2.5964,1.0817,0.2757,0,0.8084,0.3334,9.908,3.0054,7.1938,2.014,0.4462,0.2353,2.9153,0.2115,0.2744,0.4867,1.1637,1.3782,38.5645,68.7157,4.211,0.1381,2.7286,1.2503,0.607,1.3397,1.2779,4.8724,112.6035,48.9136,2.868,42.6385,6.9573,2.7338,1.4257,13.1241,0.6999,4.476,0.0,69.0948,194.7925,7.197,1.5608,0.3623,0.0
LUX_T,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.1642,0.0,0.0,0.0,0.0,0.0
