V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T,KHM_HFCE,KHM_NPISH,KHM_GGFC,KHM_GFCF,KHM_INVNT,KHM_DPABR
KHM_A01_02,286.8485,0.019,0,0.794,0.234,385.4991,0.8355,13.7014,2.8143,0.0021,6.6587,1.2403,5.7251,0.4437,0.0252,0.0511,0.0,0.0,0.0,0.0286,0.041,1.0326,18.8902,11.4227,31.9068,79.2287,4.8663,2.7548,1.1863,1.7484,0.3604,314.5542,2.1688,1.2918,0.0605,0.1394,4.1226,0.4851,0.7694,9.4419,2.4914,16.0718,5.1774,8.3801,0,2713.0079,4.1248,0.0,24.2463,33.6942,0.0
KHM_A03,154.0918,171.8693,0,0.2974,0.0754,145.8582,0.372,5.0206,0.7776,0.0,2.1243,0.6611,2.1243,0.1626,0.0098,0.0178,0.0,0.0,0.0,0.0088,0.0224,0.1559,6.7764,3.4599,0.0048,29.0193,1.2318,1.1998,0.7331,0.463,0.1526,115.284,1.7708,0.4588,0.0296,0.0509,0.0057,0.0794,0.3795,0.0088,1.35,6.6915,2.0761,3.1491,0,1329.6317,2.0215,0.0,0.0,15.3793,0.0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
KHM_B07_08,3.0725,0.0168,0,0.223,0.0274,1.6683,0.2195,0.0147,0.2209,0.7812,0.0844,0.0046,0.124,9.6577,11.6582,6.6485,0.0001,0.0003,0.0024,0.0018,0.0031,0.0455,15.5755,6.3743,9.0113,0.3853,0.4802,0.0558,0.1656,0.1388,0.3248,2.8587,1.0289,1.0445,0.1614,0.2382,11.5254,1.1971,0.6831,2.1524,0.2935,0.1528,0.7948,2.1992,0,106.2934,0.0,0.0,0.0,2.5057,0.0
KHM_B09,2.6033,0.0142,0,0.1886,0.1236,0.8988,0.0557,0.0218,0.0927,0.2529,0.0303,0.0005,0.0743,1.1209,3.3167,3.1345,0.0,0.0,0.0015,0.0008,0.0016,0.0665,12.9266,1.9406,1.8255,0.1674,0.2375,0.0201,0.0261,0.0608,0.4475,0.7409,1.0688,0.0,0.0295,0.1969,10.1583,0.7604,0.1431,2.0125,0.2592,0.2212,0.3779,1.0086,0,0.0,0.0,0.0,0.0,0.0,0.0
KHM_C10T12,14.9188,0.1358,0,0.0756,0.0095,256.8068,1.056,0.0383,2.4556,0.0005,0.1161,0.0151,0.1999,0.1119,1.3791,2.5006,0.0001,0.0002,0.0153,0.1309,0.2528,1.0426,2.1845,1.5512,17.528,32.8218,3.5565,2.142,2.0285,1.1033,0.5533,106.4871,1.2366,1.6392,0.2025,0.1337,5.0395,0.5492,0.4799,2.7721,0.6706,0.3789,0.8506,1.4257,0,1191.9151,2.9362,0.0463,12.5606,14.8776,0.0
KHM_C13T15,18.9951,0.1663,0,0.0074,0.0015,46.8452,1747.6616,0.0422,44.909,0.0235,0.3217,0.0504,48.2016,0.1392,2.7951,6.1785,0.0001,0.0001,0.0226,0.1771,0.2626,7.068,2.7117,2.8204,52.7165,46.9464,14.33,3.7303,5.6916,4.6195,1.0695,57.8837,7.2246,2.2836,17.061,0.0002,0.0108,35.3897,24.1292,35.0993,7.7418,0.1387,0.7014,2.9642,0,361.3442,0.0011,0.0,1.1481,52.8612,0.0
KHM_C16,11.4556,0.0557,0,0.0259,0.0029,0.4222,0.795,8.1429,0.001,0.0109,0.0002,0.0,0.0009,0.0007,0.0101,0.0334,0.0,0.0,0.0001,0.1027,0.1184,0.5338,0.6779,0.1896,1.9129,3.582,0.0259,0.0064,0.0038,0.0156,0.0,1.9433,0.0208,0.0,1.4874,0.0,0.0,4.1797,1.7011,0.003,0.0,0.0007,0.0294,0.1055,0,24.8231,0.0,0.0,0.0716,1.4641,0.0
KHM_C17_18,0.0114,0.0001,0,0.0066,0.001,0.5211,1.1435,0.0234,8.2125,0.0148,0.1205,0.0255,0.0527,0.0272,0.4391,1.3631,0.0001,0.0003,0.0153,0.0384,0.0505,0.9858,0.3593,0.3041,2.9673,1.9853,0.7008,0.1023,0.1885,0.3858,0.117,4.3574,3.2192,0.331,0.0317,0.0368,0.0102,0.0895,0.1723,3.4106,0.9196,0.0237,0.0553,0.1129,0,28.3671,0.0013,0.0,1.0047,-0.4274,0.0
KHM_C19,17.1828,0.0944,0,1.5243,0.1648,5.3892,0.0603,0.453,0.0001,1.1564,0.0311,0.0013,0.1752,0.395,0.3249,0.4191,0.0005,0.002,0.0,0.1273,0.1918,0.4244,9.952,2.0803,0.8192,8.5932,15.9899,3.1839,5.4047,1.0512,0.0661,0.8333,0.3261,0.1111,0.0699,0.1448,0.3678,0.1762,0.3633,2.0682,0.1499,0.1009,0.3386,0.6187,0,53.7026,0.0,0.0,0.032,0.1645,0.0
KHM_C20,49.4386,0.0549,0,0.7916,0.1306,0.882,0.5875,0.2104,0.0377,0.5014,4.256,0.2448,10.1637,0.751,0.1491,0.2827,0.0001,0.0002,0.0066,0.038,0.0389,0.3164,0.1445,0.4952,0.2225,3.1932,0.0348,0.0061,0.0088,0.0137,0.0343,0.0757,0.0844,0.0973,0.0328,0.2245,2.876,0.2543,0.0869,0.0984,0.1589,5.0512,0.0663,0.3081,0,33.7201,0.0,0.0001,0.0036,2.1837,0.0
KHM_C21,6.6482,0.0224,0,0.0382,0.0037,0.1279,0.0311,0.0128,0.001,0.0509,0.2609,0.7326,0.2868,0.0293,0.0094,0.0147,0.0,0.0,0.0005,0.0014,0.0026,0.0161,0.0071,0.028,0.0117,0.3344,0.0028,0.0016,0.0012,0.0014,0.0066,0.0078,0.0054,0.0168,0.0051,0.0344,0.1637,0.2515,0.0052,0.0404,0.0398,8.7247,0.0173,0.0395,0,27.0009,0.0,0.0005,0.0017,1.0442,0.0
KHM_C22,3.2968,0.013,0,0.0296,0.0062,51.5121,5.0239,0.4318,3.9017,0.0652,0.8379,0.1319,10.8358,1.6949,3.0785,11.0967,0.0007,0.0022,0.1124,2.2722,2.2451,2.6618,1.2552,1.833,25.406,51.7954,15.8189,0.9974,1.1341,2.6767,0.0052,7.436,1.0228,0.0131,0.0941,0.0028,0.0033,0.2828,0.556,3.728,0.0072,0.1463,0.1955,0.5332,0,123.9767,0.0,0.0,12.4781,1.3997,0.0
KHM_C23,0.0551,0.0002,0,0.3548,0.0726,15.3003,0.0006,0.0096,0.0002,0.0179,1.4245,0.2633,1.7881,1.4862,0.1178,0.221,0.0001,0.0002,0.0025,0.4302,0.3923,0.5763,1.6975,0.8919,16.4918,3.7168,0.7115,0.1652,0.2038,0.3007,0.0002,0.2975,0.0606,0.0012,0.0434,0.0,0.4161,0.15,0.1273,0.1045,0.0281,0.0043,0.0823,0.2519,0,41.7042,0.0,0.0,0.0131,0.3617,0.0
KHM_C24,0.0005,0.0,0,0.0,0.0,0.4858,0.0778,0.0067,0.0647,0.0866,0.0096,0.0005,0.0385,0.0234,5.6049,8.2873,0.0,0.0,0.0045,0.1323,0.1247,0.348,0.2585,0.313,50.2995,0.5867,1.1513,0.3215,0.3014,0.3995,0.0002,0.1748,0.0377,0.0013,0.0,0.0,0.0,0.0001,0.0075,0.005,0.0011,0.0556,0.0249,0.0641,0,49.5312,0.0,0.0,0.0,0.8229,0.0
KHM_C25,0.0057,0.0,0,0.0001,0.0,2.9645,0.5366,0.0474,0.3911,0.2614,0.0527,0.0055,0.2548,0.1804,3.8644,24.3438,0.0001,0.0002,0.0346,1.8634,2.3617,5.7537,2.0971,1.8875,124.2358,4.398,7.526,1.7102,1.1191,3.7745,0.0015,1.1153,0.2761,0.0099,0.0,0.0,0.0003,0.0053,0.6895,1.0504,0.0322,0.375,0.1908,0.3531,0,88.1556,0.2927,0.0,22.7819,1.8753,0.0
KHM_C26,0.0005,0.0,0,0.0002,0.0001,0.0008,0.0003,0.0003,0.0001,0.0032,0.0003,0.0,0.0001,0.0,0.0002,0.0012,0.0,0.0,0.0011,0.0008,0.0014,0.0062,0.0042,0.0031,0.0064,0.0108,0.0023,0.0005,0.0009,0.0013,0.0006,0.0076,0.0031,0.0158,0.0006,0.0015,0.0002,0.0005,0.0004,0.0071,0.0027,0.0028,0.0014,0.0059,0,0.0556,0.0,0.0175,0.0993,0.1256,0.0
