V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T,BGD_HFCE,BGD_NPISH,BGD_GGFC,BGD_GFCF,BGD_INVNT,BGD_DPABR
BGD_A01_02,7351.8652,73.3679,5.722,0.5985,0.2589,13501.4523,1089.5629,1197.5698,500.4527,45.6629,301.9396,60.3488,140.369,28.5148,13.6928,10.2869,9.9826,7.8666,10.9013,12.5622,3.4804,137.7047,51.2213,11.8995,542.7681,270.8312,29.093,8.0672,8.2502,9.8774,1.816,668.7123,14.2444,16.3053,3.8207,11.7589,24.3553,26.4344,37.0055,135.0534,58.6019,86.3054,32.5863,60.7704,0,26919.9024,4.3175,81.5027,2668.6005,-0.5304,0.0
BGD_A03,54.5811,1165.4021,1.1236,0.0778,0.0583,1938.3634,31.5972,2.0869,2.9159,8.8899,14.3838,2.962,2.2867,2.896,2.2082,1.5611,2.1079,1.5792,2.1792,2.1066,0.5464,7.3705,1.9676,1.3491,26.8286,26.2665,5.1812,2.8187,2.2078,1.5225,0.2811,370.3331,3.5243,3.3588,0.825,1.6169,1.9398,3.5877,2.5395,18.7335,7.7125,14.3855,5.4733,7.457,0,8985.5934,2.3946,4.3443,100.054,-0.0911,0.0
BGD_B05_06,3.3791,0.6475,11.7829,0.2398,0.1875,5.9845,5.6881,0.2987,2.2842,2986.6587,19.7921,0.6095,1.3147,13.0477,16.8471,1.3315,0.775,0.7138,1.3178,0.9828,0.3339,1.1282,105.3649,0.8661,24.8982,4.3031,6.542,1.0446,1.7026,0.7656,0.2306,1.1772,0.4104,0.6924,0.1099,0.3914,1.099,1.0056,0.6818,2.2674,1.2646,1.1606,0.4777,1.4712,0,27.6633,0.0082,0.0759,138.2637,-0.1752,0.0
BGD_B07_08,1.0903,0.0853,0.5246,0.4809,0.0693,0.9444,0.6682,0.0369,0.5518,9.5216,8.5948,0.2394,0.3432,58.583,16.3861,0.5087,0.1987,0.319,0.2498,0.1806,0.0408,0.59,1.5923,0.309,108.0853,0.3553,0.2596,0.0171,0.0172,0.0973,0.0055,0.0896,0.0235,0.0378,0.0071,0.0174,0.2978,0.0927,0.0776,0.5206,0.0727,0.0733,0.0466,0.1273,0,3.1158,0.0015,0.0134,8.9553,0.012,0.0
BGD_B09,0.1317,0.1099,4.9273,0.1793,0.2315,0.1387,0.117,0.0063,0.1225,41.4616,0.5052,0.0156,0.0461,1.7453,1.9586,0.0756,0.0169,0.0164,0.044,0.0196,0.0084,0.0336,1.0327,0.0371,10.6256,0.1071,0.2242,0.0203,0.0282,0.0451,0.0037,0.0178,0.0123,0.019,0.0046,0.0118,0.0743,0.0662,0.0271,0.0882,0.0177,0.0233,0.0122,0.0227,0,0.5059,0.0005,0.0054,72.1203,-0.0009,0.0
BGD_C10T12,2297.3051,209.0961,2.4415,0.2881,0.1244,4778.7223,290.9658,3.3725,31.5922,58.1327,321.7852,73.0211,23.3963,16.1423,10.637,7.2295,8.9815,7.434,10.0886,8.8837,2.0026,23.4129,11.5187,9.9278,100.6851,212.7348,18.1409,16.0294,10.8322,10.253,1.1917,2097.4867,21.5829,13.2342,4.2374,10.8882,13.3742,23.7261,20.146,160.3809,141.0066,204.6905,58.3298,87.9772,0,25655.7395,3.1893,9.2103,169.9462,-0.2409,0.0
BGD_C13T15,47.4151,17.6845,5.3295,0.3484,0.2754,79.2646,10927.6276,8.0515,39.6536,38.3689,39.1824,11.5526,51.7527,28.3359,17.1681,19.4103,22.9435,17.9767,26.554,63.7731,9.3728,134.514,11.6988,12.2183,248.375,105.068,22.2589,4.6259,7.2375,6.4604,2.908,29.1649,14.1309,14.6326,2.682,7.2241,7.7852,20.0263,18.7233,84.2858,21.9262,58.989,18.5313,87.6982,0,6402.4183,1.4063,4.8331,346.8564,4.5624,0.0
BGD_C16,20.9077,2.3531,0.953,0.1889,0.0466,25.2164,31.094,248.3072,52.838,5.1053,13.8965,1.7798,13.5217,36.1972,8.4155,15.76,6.5361,10.5151,10.8285,26.3529,9.6147,348.2442,14.563,2.7774,1514.1907,28.4303,4.7543,0.6428,0.5507,2.9618,0.3003,3.722,3.1297,1.7422,0.4082,0.9811,21.1097,4.5308,3.7931,5.5633,4.7377,4.1226,2.8465,23.9512,0,302.662,0.2133,0.3378,196.7267,-0.9068,0.0
BGD_C17_18,40.1308,8.9379,2.2253,0.346,0.1088,401.8879,308.7996,22.5407,1682.0827,24.9591,114.8611,56.7078,75.7244,116.1377,20.5038,26.0373,49.248,49.7202,32.4883,28.2117,5.0866,96.3261,12.3359,14.013,157.0208,252.3243,20.3923,3.0944,3.8604,14.7628,11.3902,36.9984,460.4673,43.4117,14.9787,62.5818,21.3916,114.9545,46.2628,136.7264,107.4477,61.3679,32.9578,82.6599,0,1374.2223,0.5646,3.2441,195.9988,-0.6579,0.0
BGD_C19,464.3559,140.0215,39.8715,6.6732,3.417,140.3948,213.8095,18.9154,50.5789,3870.2763,559.1834,25.5387,83.2833,304.2758,170.4099,45.3328,31.0336,43.9117,39.9231,44.9479,12.4492,79.5058,215.8401,76.1529,1388.5924,372.4841,1435.6433,246.5885,486.9587,79.0107,25.8189,40.5244,21.6094,40.3493,6.728,31.2368,32.4553,53.9436,60.58,211.7039,57.3169,79.8374,24.4577,112.484,0,5397.7604,0.1451,3.8788,251.5045,-1.1088,0.0
