V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_A01_02,1175.3039,0.0,2.7838,0.15,0.0171,5412.2876,0.5116,115.2455,7.6157,4.9772,63.7254,67.87,19.4592,1.4611,0.4657,2.3831,12.7465,2.9896,4.5149,0.4437,0.7172,14.1342,3.3137,1.9383,31.5411,272.7485,19.9962,41.0518,5.887,4.2267,0.505,269.545,1.2541,1.8331,3.243,10.2056,8.8328,57.4002,53.7543,230.487,6.7547,71.5383,13.2367,26.1753,0.0,2948.6435,0.0,361.6386,623.9749,-0.036,0.0
CHE_A03,0.0,3.1102,0.0001,0.0,0.0,0.214,0.0,0.0,0.0,0.0002,0.0018,0.0026,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0104,0.0003,0.0016,0.0002,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0056,0.0017,0.0133,0.0,0.0028,0.0004,0.0009,0.0,36.6971,0.0,0.0,0.0,0.0658,0.0
CHE_B05_06,1.2573,0.0,93.1725,2.172,0.1683,38.2666,0.0925,0.8956,11.9612,72.4634,105.3896,23.6715,2.576,73.0437,137.7583,1.0046,0.651,1.0067,58.3829,0.5753,0.2376,9.9538,279.7047,3.0759,54.2337,110.5084,28.5994,26.1611,6.0795,6.718,1.6963,0.9503,0.9012,0.7586,1.7762,14.926,0.2198,24.4687,7.3581,92.9496,5.3827,18.7057,3.5138,6.0393,0.0,112.3735,0.0,0.0,0.0,-0.1651,0.0
CHE_B07_08,0.5119,0.0,4.3556,1.1351,0.0378,8.8422,0.0234,0.2653,3.5352,13.8563,93.8077,8.5854,1.0034,70.2105,57.5695,0.581,0.2659,0.5194,33.2477,0.1827,0.1229,3.5542,17.6099,1.2657,88.9226,38.7847,7.8846,6.5587,1.1946,2.4123,0.3709,0.2515,0.2289,0.2197,0.4788,2.835,0.1524,7.9747,2.5585,27.7683,1.0483,2.9081,0.6846,1.2563,0.0,22.8801,0.0,0.0,0.0,0.1369,0.0
CHE_B09,0.0775,0.0,3.4652,0.0919,0.0334,0.7973,0.0009,0.0523,0.4884,0.4568,2.183,0.9579,0.0842,0.7367,0.3076,0.0534,0.0043,0.011,3.082,0.0161,0.0047,0.3957,1.0817,0.1324,2.4728,2.7247,1.3506,0.5641,0.2325,0.2169,0.0883,0.0146,0.0014,0.0,0.0021,0.5805,0.022,0.9964,0.1308,3.97,0.1772,0.5958,0.045,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_C10T12,1286.9356,0.0,1.578,0.1012,0.008,5603.4123,36.5552,10.4567,13.3276,49.4321,554.3718,343.4874,1.0005,2.1004,0.0672,4.2362,46.7235,31.2045,1.8353,0.1629,6.752,8.693,1.8077,24.5615,7.5418,586.5181,155.7734,450.7133,92.5454,6.0023,0.0827,4004.5996,4.9408,0.0038,0.2012,7.6336,1.7641,86.6336,14.2253,1409.9438,91.1361,1434.6611,46.7787,82.2824,0.0,17849.7444,0.0,0.0,0.0,3.31,0.0
CHE_C13T15,15.4028,0.0,1.1574,0.0808,0.0049,28.2262,221.1037,1.5763,19.9582,8.3072,53.1683,33.763,5.8655,25.2208,0.5832,3.8336,81.9989,3.5229,16.7743,7.9335,8.2207,66.1309,1.9458,8.7678,59.9667,78.4058,12.5339,17.4574,4.4426,2.171,3.9631,15.1974,4.0751,0.1942,0.271,1.3328,5.6764,20.4138,17.8151,65.2026,2.3176,30.2112,33.2039,23.6097,0.0,1589.2122,0.0,22.5025,78.9917,-5.9943,0.0
CHE_C16,2.4067,0.0014,23.3,1.2711,0.0862,81.8265,3.4494,2007.1919,6.6828,1.9029,17.7787,13.1843,33.477,31.6497,10.8121,102.6149,282.0988,75.824,86.8352,4.4183,19.7258,843.0359,34.3145,17.5233,2945.9569,297.6533,14.7178,18.9958,4.1081,31.3177,2.4205,3.1956,2.3059,6.9419,1.8844,11.2443,37.14,83.7223,53.9989,109.5254,27.8891,15.9577,24.1263,112.4118,0.0,128.8381,0.0,0.1464,28.0936,0.0798,0.0
CHE_C17_18,6.924,0.0003,1.5171,0.1552,0.0085,77.6276,4.5343,17.558,380.1884,7.1692,103.6135,78.608,38.1506,14.9936,4.1358,20.0517,143.7354,40.7838,38.033,2.4903,4.0061,32.1174,38.077,13.4548,22.2619,853.2125,18.4875,19.0783,5.4527,25.3283,40.3676,18.937,855.5489,59.8618,9.6271,278.0659,13.6748,455.1256,208.2819,188.7159,35.1015,50.0117,29.9444,47.809,0.0,146.7607,0.0,0.0128,19.1162,-1.3278,0.0
CHE_C19,28.5867,0.0,5.7475,0.6639,0.0271,42.9012,5.1464,12.6204,13.2535,97.1536,254.3827,141.2585,91.7759,31.6407,20.7626,24.071,52.9082,86.2803,20.7771,1.5019,3.4507,24.7905,84.66,7.0943,95.4161,408.3271,163.1327,153.1623,65.4926,75.0832,7.4291,22.8221,2.0166,1.0629,2.0568,3.7962,1.4162,51.7954,27.9395,61.2933,5.2637,19.6517,14.7429,12.4571,0.0,675.2009,0.0,0.0,0.0,0.0461,0.0
CHE_C20,54.8212,0.0,11.1554,1.2043,0.0679,178.5829,26.1844,86.0856,227.6082,251.1232,5559.3381,4272.2978,1609.2637,111.9732,78.7339,187.0092,578.6356,970.6103,119.723,13.0548,24.7682,220.9541,77.9768,21.0372,202.0199,503.0462,50.4452,55.9519,12.9123,56.43,3.6726,65.7929,9.5518,0.9898,3.533,4.6141,5.0513,201.7635,55.6647,68.0091,15.108,113.4457,38.4551,43.4229,0.0,2268.0485,0.0,0.0,0.0,-2.4171,0.0
CHE_C21,196.7572,0.0014,86.5234,5.4084,0.2236,126.8399,2.3103,3.6482,2.7095,131.7112,2679.4973,33546.6421,3.243,2.589,1.4208,4.3568,486.9501,3.353,6.8702,0.5146,3.0636,6.0103,2.3753,4.7598,6.2287,591.63,8.3446,18.7557,3.3285,0.8406,0.1028,5.0907,0.5359,0.5927,0.6551,41.9721,0.4382,509.9541,49.8932,2869.8745,8.1721,8391.6215,2.1918,9.3454,0.0,4481.1497,0.0255,437.2378,267.3264,-6.5594,0.0
CHE_C22,12.2267,0.002,3.0038,0.2073,0.018,94.5506,2.8302,20.706,18.3763,7.3653,87.4184,82.4654,139.7565,41.5346,2.3204,40.0259,332.908,79.3991,195.9975,14.0221,11.6697,74.0713,29.9719,9.0308,485.6368,390.149,81.3164,31.4712,7.5074,21.5594,2.5103,8.4351,3.4123,4.2004,1.1309,4.9536,12.6112,59.9892,27.5913,53.5724,2.9762,23.4662,2.9073,7.1148,0.0,334.9463,0.0,0.1996,131.2347,-7.7269,0.0
CHE_C23,20.0016,0.003,15.2995,1.7348,0.1133,61.3935,1.0098,27.1263,3.3509,17.7967,155.3052,124.8126,3.6949,447.3258,16.1923,28.093,172.5082,88.665,60.1455,10.2708,4.8842,48.6398,26.7995,29.5084,2757.5127,164.3451,35.9523,42.6704,10.7588,26.4488,1.855,5.4373,0.6029,16.3056,1.2159,1.5425,3.9899,61.5206,29.2783,117.1432,3.1516,19.7508,12.1416,11.824,0.0,187.185,0.0,0.3115,70.029,-6.5052,0.0
CHE_C24,0.2965,0.0,2.2595,0.1653,0.0198,1.6789,0.5745,2.8445,1.1836,2.0192,14.0088,4.6225,1.7899,8.5487,391.9975,539.2194,96.0498,256.5993,432.7632,13.8491,29.1752,131.3237,18.0223,35.412,212.5832,57.1267,7.0286,12.0429,1.2953,11.8425,0.0352,0.0298,0.0195,1.5679,0.4853,0.0095,0.0922,28.5329,5.2413,17.211,0.1979,0.4428,0.0229,1.435,0.0,13.6007,0.0,0.0,0.0,-3.6682,0.0
CHE_C25,37.9854,0.0005,17.7072,1.4498,0.1331,142.6098,8.395,103.8868,24.959,6.4858,56.9818,47.4559,54.386,44.9883,41.0553,1839.8016,1418.9273,1011.0098,1947.272,131.0187,316.7972,541.9212,67.1525,55.0888,1962.5333,548.0141,67.5606,74.4241,14.5479,190.811,8.9021,61.9749,10.7615,14.191,7.9679,16.4718,48.5265,165.5185,52.8256,181.1299,16.7651,30.9268,4.9261,26.6981,0.0,542.5723,0.0,3.2851,28.3368,-14.2672,0.0
CHE_C26,12.4621,0.0103,3.051,0.2554,0.0226,56.1616,6.3222,25.0222,10.4761,8.7523,64.8285,145.5431,15.2547,8.4488,9.5982,168.8541,7927.5297,1812.8777,776.1342,17.9144,101.9157,379.0416,186.2719,21.8077,273.1219,2818.5653,95.1051,129.214,37.1243,61.7603,31.9021,17.5019,33.4166,666.5898,380.4153,145.8698,7.3929,941.241,193.3952,589.3402,48.8412,97.6997,99.5572,112.402,0.0,1669.4752,0.5228,92.5204,6885.0072,-1628.0527,0.0
CHE_C27,29.128,0.0026,4.4448,0.2642,0.0165,25.5483,0.9744,4.5461,3.5531,4.0274,28.42,32.619,3.4004,2.2491,12.0856,36.9452,1515.6907,1256.3304,556.1082,28.3582,32.1264,192.3571,545.7935,6.7786,1004.3025,428.8242,107.3039,79.8917,18.8824,64.0427,7.2723,4.9485,0.6608,28.0511,9.9218,7.2522,10.7083,69.045,14.653,56.4483,2.8389,15.0084,5.8368,32.1316,0.0,668.2607,0.0,0.3016,3235.914,-593.5507,0.0
