V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_H51,2.9498,0.0186,1.1829,0.8682,0.1199,2.2407,0.4474,0.4565,0.8997,0.2792,3.91,0.1872,1.6541,2.6741,1.9846,2.9368,0.6159,2.1119,5.2505,5.1321,0.7712,2.3845,5.1207,0.4355,2.857,11.3802,20.2629,0.3259,4.8329,27.2885,0.9232,0.7754,0.2329,0.2051,0.0771,0.0539,0.7144,1.0185,3.3031,0.6372,0.1205,0.6112,0.1958,0.2352,0.0,1.326,0.0043,30.7129,14.3286,112.1991,0.0
CZE_H52,145.7214,0.2638,89.3662,74.153,9.7361,93.7887,8.3501,9.7024,12.1639,15.5661,108.3593,1.6519,37.1582,208.8613,73.7743,139.6945,18.5941,54.3548,46.7038,93.9549,2.493,9.014,109.1048,35.6008,92.6869,953.749,1915.1859,28.5047,418.9838,2543.3918,88.2813,12.7008,21.5554,27.7461,9.7807,7.3441,24.0887,69.4197,314.5745,18.7912,10.8165,35.4948,18.3461,26.268,0.0,309.0506,7.3034,2938.2037,19.7809,18.4776,0.0
CZE_H53,4.4326,0.1087,0.3293,0.8298,0.1305,1.7664,0.8189,0.9625,6.7483,0.0224,1.5041,0.5916,2.01,2.9221,1.0349,7.8889,5.0492,0.6033,0.4554,12.1664,0.2662,3.5397,35.9886,2.8087,7.3532,183.825,11.2477,0.2233,2.0825,30.7229,309.5768,3.37,53.5663,58.5612,15.1113,265.7267,16.5596,73.8996,22.0712,287.6384,14.5133,10.2633,12.8644,11.6552,0.0,55.9888,0.0105,7.8508,0.3449,0.7313,0.0
CZE_I,40.4223,0.3042,3.8888,0.6624,0.3264,42.8033,8.5116,5.882,5.6423,0.3001,23.1902,4.2602,15.1153,3.6107,9.8045,14.929,15.776,8.0197,13.4905,51.2242,2.0863,25.4923,34.0868,13.5596,44.6393,190.8248,197.2434,1.5104,22.4094,21.9777,0.6138,174.0561,8.0683,5.5248,31.7863,16.2687,183.0276,181.1445,521.8934,88.3461,71.309,162.7371,58.2715,30.6527,0.0,4993.1358,3.5385,66.3618,39.9154,4.7725,0.0
CZE_J58T60,11.691,0.0483,0.4632,0.7479,0.0414,17.8771,1.4049,1.079,14.3854,0.0608,15.9185,1.0114,2.6234,4.4178,5.2384,2.8902,54.5974,5.6274,14.6038,12.0486,0.48,6.9425,5.5979,1.3389,6.3194,98.4789,6.3402,0.2104,0.3985,39.0627,1.509,51.4341,703.0813,8.4661,44.9086,31.166,4.2826,111.8875,15.1271,10.0991,99.047,12.2248,15.1916,21.1574,0.0,981.3011,2.8639,308.5571,908.6419,15.6305,0.0
CZE_J61,18.6511,0.2261,0.8229,1.1411,0.3053,14.3986,4.5581,5.0983,7.3842,0.1174,5.3387,3.4449,33.1944,8.0796,4.0196,33.6753,39.9264,13.4647,35.9431,33.5441,4.7709,30.5385,55.536,10.7447,27.1746,187.7113,39.0194,0.2816,3.4489,54.8015,20.2497,31.765,107.7935,1118.6331,115.5972,87.44,92.2627,154.6196,45.4747,445.9999,48.5385,44.0914,32.6767,21.0518,0.0,1787.6212,0.2153,2.2355,111.5155,3.8167,0.0
CZE_J62_63,22.4232,0.1676,2.0655,1.6052,0.166,64.8054,6.9782,9.6123,50.8171,0.7627,15.7166,10.5071,12.3148,14.0184,5.9275,17.4121,94.0838,83.4977,57.2744,140.1836,4.3455,195.1596,59.2878,13.5305,67.046,442.2709,34.5848,0.084,2.497,87.982,16.0909,31.8541,57.4119,133.2725,1724.4938,666.5302,98.7504,428.2929,85.8459,95.0792,65.9587,44.6011,69.6299,93.2458,0.0,130.4529,9.3322,24.0516,4339.7402,1.7941,0.0
CZE_K,208.2896,1.5526,15.1923,9.763,0.5739,80.9586,29.4846,30.3027,85.2117,1.3792,57.576,27.1181,105.0327,57.9345,56.9263,251.5653,71.738,76.1147,192.193,182.6366,26.0039,140.031,245.3389,108.0207,505.2921,961.6512,564.1099,1.4985,132.1033,163.1601,13.7215,71.4021,66.6733,38.1035,81.4184,3402.9473,2372.3046,743.5734,387.4897,132.3384,73.9271,182.7035,99.9902,127.4759,0.0,3621.2018,0.2625,36.0522,134.6387,6.5694,0.0
CZE_L,64.9739,3.5123,5.2843,1.9598,0.4478,115.0253,41.5408,25.8999,44.9256,0.7289,25.8756,21.6428,43.1779,22.7999,16.478,63.7273,287.2777,56.2296,156.4378,145.6781,4.12,156.6471,180.414,318.5854,445.7434,2859.576,87.001,1.1744,16.8465,458.1754,18.2772,938.6803,146.7647,122.1662,362.9227,558.35,2514.0658,1040.51,271.9629,430.4064,334.435,352.1417,359.5205,144.0172,0.0,21974.4123,22.9817,554.033,611.5633,0.2583,0.0
CZE_M,316.9702,0.773,19.1623,18.3439,1.1269,322.2739,70.3808,33.1254,57.9599,3.6918,198.1249,168.1005,205.203,110.5475,34.6491,329.5332,621.8016,210.7124,503.1652,711.1543,26.5987,205.1298,213.2777,274.8155,4547.9982,2327.1296,172.78,2.1842,9.8266,224.7679,29.5483,211.1461,179.5171,116.9877,296.4749,470.9954,1260.8323,5383.4223,458.5993,744.4335,166.2978,212.907,173.904,82.9444,0.0,301.2422,13.515,219.6408,1104.7657,-168.5673,0.0
CZE_N,70.8981,0.717,22.8589,7.3279,6.4029,121.625,11.5571,20.4787,34.5956,1.8244,50.1242,13.1813,86.4962,46.5173,70.0247,116.8932,360.848,85.4555,185.3519,290.035,20.3945,69.2208,121.4825,102.4418,405.3962,770.7666,231.2905,4.7337,95.1031,125.8775,14.1736,220.3053,51.461,37.6049,170.5281,273.7563,801.8442,305.4032,3053.991,690.9099,80.8453,111.6851,162.5958,56.7678,0.0,1983.9384,7.1583,28.9548,155.2171,6.7466,0.0
CZE_O,53.5613,0.1246,10.5576,8.8701,1.2332,19.3849,3.9325,7.2049,12.3253,1.6335,14.4753,2.8093,10.5439,25.5084,73.1498,29.6596,23.8682,9.4136,15.2334,42.8292,3.9371,4.7136,35.9412,93.2155,47.4147,107.9695,181.584,2.6557,38.9463,272.9634,8.3481,6.4524,20.4759,3.2849,29.2826,61.8039,41.763,46.1909,55.1645,310.6887,4.2179,26.3473,20.495,15.7036,0.0,195.998,22.5537,17522.9376,95.3988,1.4178,0.0
CZE_P,14.9984,0.0706,0.8569,0.5256,0.0844,7.6092,0.8933,1.3133,6.1677,0.061,3.3457,3.4686,6.4812,5.0892,3.5914,5.9162,8.1386,9.0416,12.483,126.3778,3.5383,7.3448,25.907,5.2536,15.5404,54.4397,19.4835,0.195,2.6157,34.6521,16.8801,12.6616,4.7839,5.343,32.4417,69.4397,142.6086,112.4452,50.8253,171.6666,341.8882,20.2029,10.4305,14.9347,0.0,1031.3208,222.3476,8942.6379,585.2724,0.2452,0.0
CZE_Q,7.6836,0.5487,0.4441,0.1591,0.0191,16.2355,2.5287,0.7226,1.7098,0.0829,3.4201,34.6221,5.5179,3.5079,1.7777,5.2868,4.5657,2.6556,2.6456,28.4749,0.6709,4.877,4.647,6.6048,5.2792,29.7692,21.2444,0.06,1.2046,4.7435,0.2455,14.7525,2.8746,1.2869,15.2409,12.4959,19.6778,21.1735,20.9626,19.3778,3.7503,448.9,20.5495,10.3029,0.0,1901.9574,351.0728,12902.2359,105.8143,1.4688,0.0
CZE_R,4.1717,0.0106,0.1672,0.3693,0.0095,4.707,0.9693,0.9172,0.7654,0.0348,1.4554,0.8399,3.7596,3.5727,0.7929,2.1973,1.8839,1.3718,1.9678,13.6276,0.4276,1.6242,2.1368,7.3963,5.1792,13.8482,5.1655,0.0326,0.4498,1.3446,0.1512,88.0377,22.2577,5.0771,8.1585,3.4057,159.9426,35.5809,20.7245,10.5803,11.5418,14.9249,844.1155,123.7044,0.0,1998.9302,382.4274,769.5323,169.3902,0.8755,0.0
CZE_S,7.1673,0.0133,2.48,1.3305,0.5802,26.2151,6.6335,6.0583,10.5469,0.2534,19.3367,1.125,4.1387,2.2826,7.0721,40.393,27.483,21.6422,20.4771,11.0273,0.9775,61.1708,7.9002,4.1309,20.0691,179.3015,11.779,0.105,30.6676,62.6729,5.3623,71.7485,4.8591,7.6367,22.38,71.0753,47.6648,42.9881,35.3872,5.1981,42.5459,155.4404,62.275,234.1453,0.0,1537.0351,839.5179,190.7334,18.6466,0.8601,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.1907,0.0,0.0,0.0,0.0,0.0
