V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T,IND_HFCE,IND_NPISH,IND_GGFC,IND_GFCF,IND_INVNT,IND_DPABR
IND_A01_02,33480.8251,1449.8076,0.0,0.0,0.3491,128306.3698,14416.1194,2358.2768,600.2397,0.3159,10155.0926,397.2167,3424.7885,108.3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.8319,1030.9575,0.0,23574.8686,0.0,3537.4215,0.0002,0.0,0.0,0.0,34074.123,33.5022,0.0,0.0,0.0,0.0,0.0,0.0,12392.6716,0.0,0.0,0.0,0.0,0.0,202840.5121,16.6938,0.0,1232.2191,15597.7934,0.0
IND_A03,0.0,782.1825,0.0,0.0,0.0004,5208.5202,0.0,0.0,0.0,0.0,0.0,1904.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24941.2684,4.0599,0.0,0.0,1328.7311,0.0
IND_B05_06,0.0,0.0,12.9811,12.5699,25.7972,219.6777,945.8423,9.3802,484.0118,21405.7798,548.2547,57.0515,100.1984,4397.2858,8709.7297,14.6039,0.1626,3.0752,58.8691,4.5011,2.3113,8.0686,4388.2339,463.9601,0.0,0.0,212.3821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.3049,0.0,0.0,0.0,1218.7436,0.0
IND_B07_08,0.0,223.0431,25.9483,16.9491,22.6726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.1048,16035.1827,2603.3658,0.0,0.0,0.0,0.0,0.0,58.299,0.0,0.0,1431.0686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.8714,0.0,0.0,0.0,543.0204,0.0
IND_B09,176.6032,132.5326,1843.7024,1560.3885,1284.5931,70.8281,7.6325,0.9352,42.2928,5606.9357,373.5266,12.6888,20.912,943.3463,2402.6582,26.6814,0.5772,2.4978,16.2841,1.2524,2.4132,3.4307,645.5899,52.9637,3131.7243,18.8335,198.3905,0.3268,3.7126,19.0095,0.2171,3.1195,0.0517,0.0,0.1499,0.0087,60.8651,3.8329,13.6872,27.6371,2.3623,5.744,1.1127,1.4591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_C10T12,3919.9525,29.2553,175.8094,257.9907,15.6816,18419.0449,2371.2127,71.5334,203.9736,418.6273,6223.8164,1124.7539,1642.323,216.5781,598.8715,49.0813,81.2604,245.0518,185.6322,255.5724,63.2104,753.005,17.4122,32.4484,982.778,272.6034,77.5498,1.2787,22.6144,45.0542,6.2412,1649.952,55.0926,94.0294,17.1098,111.2142,32.0985,6.6005,30.8967,6013.6968,12.0855,609.4383,5.3337,57.2236,0.0,179638.0341,67.2618,42.8186,329.1405,10363.4823,0.0
IND_C13T15,770.7539,23.5518,372.4917,332.3304,23.1375,513.7133,32300.9472,144.9713,253.127,441.5173,4923.3314,918.4178,2439.2076,319.0128,618.5714,78.5587,145.7025,307.7886,475.3881,995.6722,225.0241,1188.9655,451.1812,66.7389,1405.0904,380.0829,1452.4531,29.6574,473.7924,257.4643,16.8719,8.149,73.5641,83.4843,34.6927,34.5145,66.9093,17.5302,127.1858,122.4706,36.6404,147.8685,9.925,158.7221,0.0,77329.4575,20.0866,3.7382,595.365,5932.5378,0.0
IND_C16,477.633,26.784,819.0214,16.5806,7.2478,100.6512,141.2959,2239.0876,614.7335,31.3052,121.5829,20.1024,44.2659,51.6822,125.3685,78.2091,25.227,32.2746,119.6,199.0031,79.9448,2434.1379,51.3743,9.7606,1042.93,1352.057,97.9118,1.2511,19.49,15.6961,3.0559,5.2216,22.7539,28.7529,11.5274,22.0567,17.8239,42.2392,301.4779,16.9889,11.5011,14.1115,2.3177,18.019,0.0,2410.892,2.0246,0.0192,358.0453,425.9955,0.0
IND_C17_18,468.3313,32.3509,50.2506,88.5937,15.8808,260.8824,269.5805,200.8453,8351.0711,529.3355,209.2599,415.5493,212.7063,116.7276,313.267,36.4652,226.8436,52.1618,319.1835,54.1466,26.4426,157.5312,1388.5207,56.1661,260.9765,532.5361,2659.7957,31.2537,419.8539,519.5528,157.0153,11.8776,3062.8393,674.0054,233.2262,1310.9039,317.8134,221.643,936.3094,77.8703,1365.6822,83.0758,52.4217,392.8662,0.0,5568.32,11.6463,0.0,9.6313,1770.2522,0.0
IND_C19,4859.4613,58.3052,947.8561,981.9912,177.3244,1836.183,4657.2045,128.0433,484.9321,6389.6132,6855.012,1428.0504,2817.4425,1666.5137,10092.6833,259.0184,223.1125,627.5812,2572.7488,741.24,200.0015,1277.743,7847.6372,1328.8539,6331.9044,6413.5776,19893.6853,53.8703,728.5296,2522.2044,902.7163,266.0909,259.2913,3392.3761,361.8398,897.21,2592.3492,639.7815,5649.3243,34.284,368.8828,43.8761,84.8952,1432.8793,0.0,19615.5823,1.5481,0.0,0.0,3926.2765,0.0
