V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T,JOR_HFCE,JOR_NPISH,JOR_GGFC,JOR_GFCF,JOR_INVNT,JOR_DPABR
JOR_A01_02,268.5312,0.3347,0.0003,0.0005,0.0002,1142.5989,0.2176,38.7305,0.0299,1.6124,11.1529,0.0909,3.6799,0.2549,0.0299,0.043,0.0,0.0002,0.0308,0.0206,0.0076,1.8844,0.2391,0.3573,0.5992,2.697,0.0193,0.0,0.0,0.0423,0.0001,114.4502,0.0807,0.001,0.0279,0.0338,0.4813,0.0087,0.0285,12.326,0.0006,0.474,1.6578,1.1815,0.0,1129.1393,0.3531,0.0377,211.2938,75.7829,0.0
JOR_A03,0.0,0.1556,0.0,0.0,0.0,0.4691,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0012,0.0,0.0,0.0,0.0,0.0,1.2598,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0004,0.0,7.3291,0.0,0.0,0.0,0.1828,0.0
JOR_B05_06,0.0011,0.0,0.8476,0.0101,0.0027,1.8365,0.0008,0.0048,0.1123,380.1178,0.0282,0.0944,0.0144,6.3731,0.0992,0.1385,0.0004,0.0018,0.0003,1.4892,0.3208,1.6009,64.4393,0.1855,0.5054,21.2335,9.2548,0.0262,0.9068,0.0875,0.0007,0.059,0.6962,0.9156,0.1791,2.5661,0.0199,0.0002,0.0112,0.0001,0.0067,1.1056,0.0556,0.0454,0.0,70.0414,0.0003,0.0001,172.954,11.69,0.0
JOR_B07_08,0.0072,0.0,0.1202,0.645,0.0744,40.2455,0.0152,0.105,0.0023,0.0,11.0499,2.0961,0.137,137.4607,0.0081,0.0041,0.0007,0.004,0.0009,0.0005,0.0001,0.0017,0.0,0.1779,83.5913,0.0255,0.0132,0.0,0.0,1.7908,0.0023,0.002,0.0,0.0001,0.0024,0.0,0.1377,0.0041,0.0102,1.6265,0.114,0.0,0.3507,0.4069,0.0,2.7952,0.0,0.0,13.1444,15.0283,0.0
JOR_B09,0.0,0.0,62.6822,0.1863,12.5069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.2862,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,483.7169,1.1425,2.2788,2.563,0.6718,1622.9492,1.6714,0.1086,3.0236,1.1278,8.5783,1.4575,1.0596,0.7665,1.0166,24.0457,0.2639,0.967,0.3692,0.2071,0.253,9.4416,1.067,2.7255,7.9047,8.2257,0.4757,0.0115,0.2537,0.643,0.013,218.5003,0.76,1.4909,0.2513,0.5444,2.6279,0.2178,0.1978,33.0086,4.7873,31.6716,13.3212,1.2525,0.0,3536.8657,3.4539,0.1707,98.2805,169.9261,0.0
JOR_C13T15,1.6822,0.005,10.0861,16.6285,3.1485,0.9771,435.3743,0.1238,2.5349,1.0796,1.3125,3.1142,5.2242,0.1593,0.0301,0.0645,0.2102,0.6994,0.229,0.544,0.0486,1.2935,0.0277,0.7166,2.0322,4.997,0.0559,0.0043,1.5005,0.4562,0.0124,5.3201,0.0458,0.0197,0.0465,0.0706,0.2173,0.1879,1.4496,30.6204,4.7439,13.1386,1.5387,0.2286,0.0,522.9402,1.4746,8.6917,5.2038,68.267,0.0
JOR_C16,1.3192,0.0,0.0058,0.0091,0.0028,0.2198,3.7414,0.7106,5.9614,0.0045,0.3788,0.0252,0.155,0.902,0.151,0.4779,2.3117,8.8067,2.7618,2.3823,0.7171,17.4747,0.0064,0.1248,34.827,1.3278,0.0182,0.0134,0.0029,0.0037,0.0003,0.1731,0.0793,0.0809,0.022,0.0471,0.006,0.106,0.1346,1.3848,0.9635,0.1473,0.2544,0.0751,0.0,12.6985,0.01,0.144,9.4236,1.7591,0.0
JOR_C17_18,2.5775,0.0016,0.025,0.0133,0.0027,13.4186,1.1181,0.2267,282.3357,0.1376,8.202,8.6117,15.4692,7.4148,2.8377,6.9313,0.3344,1.1686,0.2107,0.1977,0.0254,0.5267,0.2946,2.5821,5.344,14.2111,0.5548,0.0066,0.6179,0.7344,0.1233,26.9526,1.1155,0.6875,0.1467,18.7796,1.2855,7.8205,1.066,64.4295,40.0136,7.6504,1.299,1.0625,0.0,210.3308,2.2942,10.4241,27.8371,17.4593,0.0
JOR_C19,67.0113,0.3408,3.071,0.6501,0.0659,167.7057,15.2031,2.2499,13.5473,132.2892,55.2995,8.0393,11.7067,65.5291,21.4227,22.4887,2.0166,9.236,2.6974,1.8769,0.3386,5.4949,147.3587,16.8914,137.2748,103.8937,520.3327,0.1392,220.6491,3.3336,0.6606,39.231,4.3534,13.7759,2.3961,8.5287,4.9401,3.0976,5.9302,142.5302,84.0288,39.5869,8.4142,9.8148,0.0,911.1893,14.6114,0.0,21.082,99.0689,0.0
JOR_C20,8.3469,0.0154,0.1467,0.14,0.0217,1.7512,0.523,0.0591,1.0528,0.0682,180.3565,18.0239,55.1609,3.9373,1.6202,1.7665,1.9626,9.1216,0.9769,1.5849,0.1782,3.362,0.1242,2.1601,13.3761,5.7239,0.1997,0.0007,0.0362,0.0467,0.0051,1.7331,0.0442,0.0555,0.0157,0.1203,1.9373,0.6355,0.0515,1.2007,1.2032,10.3183,0.308,2.3373,0.0,119.1665,2.0955,3.3109,18.4747,10.8345,0.0
JOR_C21,16.7488,0.007,0.0008,0.0004,0.0001,2.8728,0.3361,0.0234,0.1327,0.001,22.2738,319.452,2.335,0.1086,0.062,0.1587,0.8687,1.3108,0.3823,0.3649,0.0582,1.4678,0.0164,2.4128,0.1971,9.4434,0.0102,0.0001,0.0642,0.0556,0.0026,1.0855,0.1164,0.164,0.0509,0.6904,0.168,0.1855,0.1349,4.4138,0.7761,148.6851,0.5114,0.7887,0.0,251.6129,0.409,9.685,3.9474,22.7075,0.0
JOR_C22,24.634,0.0081,0.3083,0.3444,0.0734,39.0736,11.1027,0.0631,3.1997,0.8544,46.9122,9.0365,74.0584,2.8093,0.8058,1.909,1.5095,6.9542,1.3992,2.077,0.1462,2.6248,4.4608,2.2531,108.3173,36.5196,12.4823,0.0005,0.5968,0.2005,0.0737,4.4038,0.851,1.3328,0.3176,3.8013,3.7583,0.4291,0.5361,9.3359,4.9045,5.2061,0.8127,2.0408,0.0,180.288,0.1269,1.9141,19.6926,13.445,0.0
JOR_C23,3.7054,0.0023,0.7391,0.8471,0.2269,14.5409,7.2679,0.5638,0.6703,1.9259,5.3436,2.1229,3.4002,348.8734,2.468,4.2509,1.4112,4.8441,1.1774,1.1605,0.2216,2.5138,0.3374,9.3684,568.0931,103.4629,0.3397,0.005,1.3937,0.9534,0.0525,6.1206,1.1365,3.8363,0.6993,9.4278,1.6999,2.9498,1.7944,6.1438,10.0485,5.7265,9.3826,15.7815,0.0,262.139,1.9185,1.7219,101.4872,26.1038,0.0
JOR_C24,2.2421,0.0016,0.0923,0.1245,0.0267,3.7633,0.1561,0.169,0.2928,2.85,7.7475,0.4341,4.5942,1.1565,124.4224,169.953,4.018,37.1676,9.5766,7.698,0.9658,8.7315,12.6468,4.2202,147.7738,9.1312,0.3895,0.0015,0.3648,2.4782,0.3892,0.1073,0.0617,0.0296,0.0097,0.1521,0.1607,0.0774,0.1028,7.1723,0.0702,0.5042,0.4382,1.5377,0.0,11.7605,0.0057,0.002,115.8009,10.9736,0.0
