V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CAN_HFCE,CAN_NPISH,CAN_GGFC,CAN_GFCF,CAN_INVNT,CAN_DPABR
CAN_A01_02,6327.1251,92.0531,23.8073,20.6098,2.3886,19682.6833,7.3698,5829.4189,783.7295,13.067,610.0614,13.5535,241.7116,8.9629,16.8104,8.6359,1.5865,3.2053,6.4783,10.4801,2.3368,17.2969,57.0004,3.461,1020.3915,123.3964,58.1218,0.9195,1.048,22.4018,5.5761,1995.838,14.4789,3.3129,6.1327,16.1355,13.3616,45.8147,16.3029,213.5856,41.9383,85.4964,22.911,41.2484,0.0,13760.4914,0.0517,0.249,62.8914,534.9694,0.0
CAN_A03,49.6367,7.2221,0.0211,0.0082,0.0004,1891.3148,0.0019,1.47,0.0813,0.0008,0.2734,7.0854,0.1014,0.0006,0.0006,0.0011,0.0008,0.001,0.002,0.0009,0.0016,0.0047,0.0245,0.0044,0.447,0.5144,0.0098,0.0004,0.0017,0.0035,0.0028,283.5451,0.0229,0.0203,0.1069,0.116,0.0119,0.0608,0.0159,2.2655,0.0142,0.028,0.0125,0.0203,0.0,625.4481,0.0,0.0,0.3088,49.1262,0.0
CAN_B05_06,318.8934,15.6141,2183.8696,260.6852,134.8395,197.3397,8.2435,68.1843,147.7184,19940.0517,432.7197,14.3907,39.3534,263.6249,924.4721,55.6622,9.0306,8.128,31.9492,33.1458,33.8197,58.392,1203.0748,41.6096,1008.3238,803.9293,510.2628,27.9418,217.4642,64.1978,38.0539,77.2379,64.6148,30.2092,33.1676,271.4064,516.9665,145.2764,206.9782,364.5395,271.386,295.4329,36.0095,120.3693,0.0,4253.0326,0.0,0.0,771.4031,504.4017,0.0
CAN_B07_08,477.4505,8.9092,1118.0701,361.6064,111.4653,164.3813,28.8102,63.0276,202.8843,43.8461,858.7909,84.6913,380.177,1268.4923,5353.4886,54.1057,27.2918,20.7947,50.8124,66.5386,74.4555,777.9903,289.3694,19.9705,2375.4168,1213.2027,87.475,2.9162,14.4115,80.1211,9.5238,94.1727,93.7168,42.8688,101.5168,559.2154,293.1891,260.7285,272.8885,577.4616,109.7592,412.4648,46.8301,144.7704,0.0,1139.1083,0.1751,0.2023,952.0157,88.7839,0.0
CAN_B09,7.7973,0.0703,6514.1496,1254.6335,506.9347,7.7202,0.3735,1.7569,2.5021,0.8911,3.1342,0.956,1.5992,2.0461,2.5822,1.5057,1.0751,0.4688,1.9026,1.655,3.796,2.0056,7.3931,1.0191,6327.583,62.9577,4.3016,0.0454,0.7947,1.4376,0.5026,4.701,4.5491,3.1823,8.7339,33.1215,17.7324,13.7312,13.3746,20.4528,4.4934,13.6756,2.8229,6.0218,0.0,37.9962,0.0,0.1722,3120.7086,0.2419,0.0
CAN_C10T12,4789.0723,78.4025,102.5293,33.2566,17.7498,10075.2197,25.5732,43.071,89.5706,14.5376,106.4723,51.9244,31.8391,29.2748,53.0328,55.7673,19.3821,9.5214,46.4741,26.1933,48.0947,61.6932,54.3466,16.5211,283.6442,763.7393,37.7155,2.7385,28.8998,34.9686,6.7456,10168.5461,76.9894,53.9592,67.2534,203.8651,161.0367,196.3985,151.9645,285.6126,244.9285,700.3821,289.2293,113.5413,0.0,47425.6653,0.3541,9.7243,218.6841,780.7739,0.0
CAN_C13T15,46.0414,12.5465,7.6663,13.3229,1.7706,31.3789,212.6354,9.447,43.299,2.7893,25.8814,3.2107,60.2352,11.213,12.3301,16.0337,2.8095,2.2712,9.8386,59.4269,7.0186,136.4042,3.0034,2.6659,369.0275,39.2681,7.9453,1.1281,5.2286,6.1116,1.9611,64.8917,10.7101,4.2883,5.6058,9.454,8.3207,27.0708,10.7929,74.8735,52.2267,138.1683,20.9591,39.8644,0.0,2985.097,0.0349,1.8761,49.4304,58.1066,0.0
CAN_C16,123.748,6.9419,43.0684,20.5985,9.8939,128.0909,12.012,3326.0487,2021.7573,27.4313,38.0753,8.9428,70.4926,45.2524,54.148,84.9018,7.957,5.2137,46.1051,30.9422,36.9355,917.5721,34.6484,6.3293,9398.9948,197.6843,63.9543,2.4087,37.2529,10.4154,8.5167,15.4916,9.0027,8.5044,11.7854,43.485,31.1883,31.4213,38.6938,85.1145,18.8901,47.1368,9.1835,98.3276,0.0,705.4383,0.1125,1.1304,130.9276,206.4935,0.0
CAN_C17_18,127.3232,22.4799,92.8204,27.7456,13.7733,1282.8365,34.458,121.3155,3492.399,15.4991,208.6359,49.3111,185.0987,77.8452,67.4521,124.0074,50.6982,50.0721,85.2122,43.1131,43.1724,191.3535,39.7784,40.857,541.8027,1760.247,43.6769,5.4714,20.896,103.0362,51.0695,244.2567,728.7816,156.8101,186.703,557.9105,227.4101,697.8582,317.8721,441.5108,571.9355,681.3235,273.1173,444.5524,0.0,3485.3191,0.0605,2.1487,656.6569,208.693,0.0
CAN_C19,2200.3008,151.8254,1744.5309,730.0254,573.2061,271.1087,19.2496,210.8329,129.9103,2223.7117,1265.74,35.0756,177.5012,872.0935,524.0638,143.0431,14.0142,22.9043,69.1047,88.0443,32.4868,288.583,282.681,276.1695,2589.6723,2328.767,5028.5703,220.6412,2276.183,266.6702,367.1085,312.7739,96.2817,216.2442,75.6683,472.9845,674.6147,382.9542,1212.2602,1248.4946,911.1017,1029.0279,100.8587,475.657,0.0,12408.3164,0.0204,1.9052,66.9595,482.2536,0.0
CAN_C20,2395.0388,16.5079,349.3941,325.5058,54.1757,279.443,170.5012,267.5492,651.5872,251.702,3984.1713,512.978,2656.1021,281.1722,666.9163,214.1218,37.8348,84.8919,107.9386,237.5964,30.3939,185.724,130.3938,27.6942,1125.7064,410.3691,185.7299,7.8539,73.567,77.4347,24.2341,141.7014,97.7646,32.0033,67.9541,152.5643,122.3333,217.6945,414.6118,295.6765,179.6143,535.6342,40.6625,292.9492,0.0,3866.7824,0.0305,5.3794,264.7794,254.4148,0.0
CAN_C21,21.7781,2.7869,15.8811,4.6758,3.127,37.1912,2.8203,8.7138,13.1537,3.6847,23.0418,367.4853,14.0773,7.8731,15.3371,19.2798,4.0493,2.053,11.6329,6.8696,12.6692,12.2931,6.0724,1.7583,63.4231,34.2357,4.7792,0.3288,8.9194,2.8783,0.624,8.488,6.465,4.5231,4.1723,17.0749,11.6729,20.4265,10.256,1664.0004,18.4112,614.6032,5.3721,13.3101,0.0,2304.4679,0.0102,871.5343,296.4828,60.3535,0.0
CAN_C22,602.2526,37.8605,179.4161,126.6497,24.9171,905.8598,96.9478,226.0736,420.1292,80.6791,348.5509,57.1551,820.9547,138.4628,221.1079,301.6571,96.4177,50.3763,146.9309,1206.242,66.0659,418.5408,74.4027,12.5048,3672.6676,688.6251,275.806,6.5495,25.3405,241.1681,52.8135,225.0589,33.8837,12.3587,43.6265,80.5494,65.8761,146.1737,122.9481,240.9535,83.6258,159.1324,114.9776,111.0152,0.0,2893.7793,0.0413,2.4163,345.1974,172.3031,0.0
CAN_C23,100.2882,7.9972,123.3135,100.6078,114.1808,195.3276,7.3667,75.2767,62.0187,76.2027,135.0564,15.4813,125.3142,1768.729,277.8307,190.1484,17.7999,35.8218,33.4235,462.6472,72.2184,81.4296,21.6177,13.8786,8788.1032,175.8346,170.4031,7.5068,80.4636,15.4399,13.0247,69.5158,16.1145,16.3727,16.2162,63.6443,58.132,54.7062,79.2049,124.7831,49.0268,103.8476,12.1865,32.6945,0.0,1707.6877,0.0712,2.3402,65.7596,149.0562,0.0
CAN_C24,164.0454,3.1557,602.9561,112.5754,197.447,24.3379,9.5113,28.3445,55.1248,12.5027,199.6115,17.8743,157.8099,59.4196,11580.9114,2379.2361,28.8815,538.7235,1537.7549,1480.7396,156.5656,895.8605,13.5548,3.58,780.8484,113.4651,19.8333,2.0486,5.2101,26.2414,2.1525,13.901,14.2991,7.4942,13.5942,45.677,33.7718,40.4776,50.9125,46.9076,29.2351,90.6564,10.7851,28.762,0.0,396.3211,0.0187,0.273,198.7507,162.3927,0.0
CAN_C25,177.5452,22.4821,372.574,123.1356,53.4542,517.2407,18.7349,203.593,110.3115,34.4709,101.2488,20.4719,169.862,155.1956,855.6732,2046.0229,189.0451,165.1991,856.6958,1032.0859,160.9838,406.1771,34.7586,73.732,8727.6184,250.0247,67.4664,5.0284,44.5811,103.471,13.718,138.6349,88.8309,76.2842,136.3987,179.4049,343.0627,403.5099,569.0735,426.5158,166.4385,491.1457,64.1865,141.6884,0.0,2109.2129,0.16,2.683,1074.957,224.784,0.0
