V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_A01_02,12466.5357,2.9662,16.679,23.2872,1.8984,7645.5946,357.418,58.3915,13.0749,3.5794,109.501,132.2782,1.8917,61.6054,14.1971,0.118,0.0912,0.0609,0.0692,0.2655,0.7286,1.542,16.6285,9.939,16.5645,306.9163,31.8129,1.0714,1.1892,869.4241,0.5001,1178.2783,4.5039,0.824,3.129,285.056,644.4486,198.865,107.3122,224.9988,278.7922,465.7874,350.3799,3.0024,0.0,3878.3682,0.0,17.6793,393.2392,1183.0767,0.0
KAZ_A03,19.4488,0.0092,0.0102,0.0005,0.0004,3.7632,0.0009,0.0013,0.0004,0.436,0.0003,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0002,1.0051,0.3118,0.0041,0.2126,0.0033,0.0053,0.0975,0.0,6.2062,0.0002,0.0,0.0001,0.0003,0.0015,6.1304,8.736,93.6203,16.769,36.5172,6.0396,0.0002,0.0,639.5529,0.0,0.0033,0.0003,116.6054,0.0
KAZ_B05_06,18.743,2.4447,10043.7911,69.7483,53.5162,37.2885,0.351,0.2021,21.8628,6778.7546,460.4051,8.0245,95.2203,205.4262,21.4006,0.0208,0.0866,6.7496,0.0029,0.6685,0.0354,54.9008,2041.0658,13.3526,22.0571,453.1159,3095.5948,0.1655,0.2988,11.6343,13.7109,0.8928,0.3785,2.1722,0.1367,0.5069,20.4599,36.7769,16.0509,102.6651,107.1705,16.8808,44.874,1.3061,0.0,134.2208,0.0,0.0001,1.1867,3575.0664,0.0
KAZ_B07_08,2.1786,0.4192,244.5414,557.3324,2.252,0.9656,0.0491,0.4867,0.0311,23.6293,939.7985,0.088,0.3814,150.461,11193.6467,1.0947,0.0744,0.0904,0.1023,0.0591,0.1578,33.6279,3.8065,1.5588,299.9654,9.8415,11.0333,0.0493,6.1588,2.0928,0.2723,0.4546,0.1521,0.8754,0.1508,0.7461,33.1147,128.3191,9.0294,4.3412,10.4886,3.7285,0.7935,8.8218,0.0,4.3213,0.0,0.0096,47.6237,165.3453,0.0
KAZ_B09,0.8705,0.0053,2171.8487,701.0088,81.3342,0.2289,0.0022,0.006,0.023,0.0448,0.3332,0.045,0.0329,8.9333,0.187,0.034,0.0053,0.0038,1.3945,0.0048,0.0087,0.0904,1.2719,0.9126,9.3714,27.3866,4.2975,0.3666,0.2749,2.5195,0.0015,0.0604,0.1734,0.1832,0.1597,1.2601,1.4531,151.2075,2.747,0.3663,0.8938,0.2849,0.9685,0.3832,0.0,0.602,0.0,0.0006,3.3655,0.0371,0.0
KAZ_C10T12,2620.9724,54.9151,66.7111,19.1123,67.6875,1822.3707,3.1094,1.2219,20.6942,2.3924,7.099,38.8778,0.6094,3.5531,21.1063,0.6938,0.0382,0.3072,0.3277,0.7973,0.1988,3.1901,8.7366,2.7288,22.3698,2428.7648,24.5867,0.1031,11.1928,45.7733,7.8544,1389.3456,70.0212,1.9516,36.2605,8.3601,63.3579,251.544,112.4938,317.8104,575.6448,1128.0325,273.7581,307.8293,0.0,5197.0392,0.0,0.016,5.0939,1319.2206,0.0
KAZ_C13T15,3.5559,23.0202,18.9865,4.1343,1.4993,5.9526,73.2142,0.0241,1.1939,0.2229,4.1428,1.0051,7.1913,1.6013,0.3296,0.0639,0.0025,0.0592,0.9391,0.0116,0.1893,7.6772,1.3538,0.8269,9.5571,38.8946,15.149,0.465,5.1929,9.5105,6.9027,9.2317,1.6737,0.7281,1.0715,3.2034,1.8484,60.23,34.5913,35.875,43.6859,190.945,87.7214,30.1152,0.0,122.9466,0.0,0.0304,8.4309,22.2256,0.0
KAZ_C16,1.6616,0.2439,0.9824,0.0698,15.3866,0.5198,0.0288,0.405,0.0101,0.0005,0.0091,0.026,0.2951,0.4573,0.1145,0.0744,0.0001,0.0047,0.0034,0.0798,2.0054,18.6372,0.348,0.8767,8.1986,27.486,2.4262,0.001,2.7765,1.8574,0.3654,1.7544,0.008,0.3362,0.0047,0.2018,36.4373,11.5011,0.6039,0.6799,1.3032,0.2826,2.7329,4.13,0.0,0.3223,0.0,0.004,0.2072,1.0428,0.0
KAZ_C17_18,1.9147,1.3481,3.5614,0.4881,0.3825,22.1933,0.07,1.43,21.7077,0.0246,0.8136,3.5349,0.0522,0.4995,0.6626,0.0052,0.0461,0.0079,0.0036,0.287,0.0048,0.0881,2.8139,0.0299,57.2183,332.0089,9.0241,0.1137,0.5612,13.1146,25.0887,28.7638,55.1861,5.3594,29.0424,16.7893,25.2139,73.2536,22.4416,46.7511,19.1245,33.5873,29.3548,4.73,0.0,10.6029,0.0,0.0279,0.0403,7.9006,0.0
KAZ_C19,161.9066,192.5461,359.9869,381.0528,5.1994,16.5777,0.9391,9.9693,0.0781,0.9768,5.4591,2.812,0.0163,71.2059,1139.9649,0.0125,0.0628,0.0433,0.0121,0.0312,0.0109,42.2307,151.32,3.7753,42.802,835.934,3727.1991,4.2564,228.1828,73.1033,1.8423,0.9952,8.1002,2.8194,8.7925,43.893,428.6744,48.7619,37.2999,375.5172,59.6953,174.42,28.1751,121.8368,0.0,112.3346,0.0,0.0014,0.0217,187.082,0.0
