V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_A01_02,7072.5421,79.2857,11.8065,16.7264,0.9903,54153.7854,1370.5294,624.8153,1276.975,23.0182,4837.7958,10.8536,420.3743,32.4524,327.0809,3.0324,1.0197,0.4603,1.4906,25.8963,0.673,39.7711,19.8191,28.8143,450.1061,2537.3993,1.7743,0.1217,0.1537,5.5084,1.1357,1577.2538,269.5722,13.941,3.6874,5.7209,13.2652,9.4769,37.6865,366.9192,150.4264,179.6094,33.5999,445.4429,0.0,30093.5068,0.0,13.141,4538.1096,1182.5965,0.0
BRA_A03,53.5935,128.3091,0.0108,0.4927,0.0004,860.2643,0.0,2.9971,14.5568,0.0,0.0,0.0,0.0,0.0,0.2004,0.0,0.0,0.0,0.0,0.0,0.0,5.1866,0.2152,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.3679,3.1613,0.0,0.0,0.0,0.0,0.0,0.0,35.6675,33.8805,35.4221,0.5093,5.7541,0.0,5696.4739,0.0,0.9122,0.0,112.0151,0.0
BRA_B05_06,22.6061,0.3695,1182.6493,61.0222,21.9522,176.6029,19.1593,7.7747,116.6323,21583.2174,310.9475,5.991,16.4353,82.3645,707.1691,60.554,1.4481,4.3731,4.6164,48.544,0.6006,1.6907,1690.2495,202.1302,299.336,51.0359,76.9491,1.6933,11.89,10.1186,2.3631,10.9824,1.408,20.3999,6.081,9.1641,17.1521,22.2585,20.5546,83.2007,13.3388,17.4182,2.8144,4.3087,0.0,197.7644,0.0,0.0,1849.5844,343.1939,0.0
BRA_B07_08,258.7263,2.5097,365.7749,1514.4792,44.6054,246.2634,23.0944,10.9932,8.1087,103.7618,1509.3543,14.2315,17.159,2022.0616,7937.6271,53.3919,1.6155,42.7798,198.3281,52.2399,5.6773,51.533,6.0352,140.8738,2451.9662,41.5505,3.5973,0.1096,0.4273,1.7568,0.6818,15.0527,1.5506,0.4939,0.3492,0.8352,203.153,3.8597,2.8008,29.5875,8.1601,3.7835,0.8861,20.8563,0.0,526.8861,0.0,0.009,42.589,357.6781,0.0
BRA_B09,10.7504,1.112,949.405,493.0272,99.0924,9.5024,0.4497,0.074,8.3289,1158.1047,46.6558,0.5303,1.8551,38.9424,121.8592,2.7633,0.0861,0.1757,1.3459,0.1782,0.0829,0.8135,84.4921,2.1629,165.424,3.8539,16.2888,0.1935,0.51,2.3694,0.0466,0.4701,0.0045,0.0,0.008,0.0014,25.2536,2.4596,3.7414,6.75,0.4961,0.7898,0.1632,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA_C10T12,5866.3231,115.435,249.2742,154.1798,6.3373,27798.2347,610.8996,46.1033,408.3079,637.1688,4219.3994,126.4911,649.7129,119.0668,107.8225,107.1958,17.4617,95.6914,73.783,89.4981,6.5792,120.6976,150.0456,49.1595,288.8271,1182.5022,48.6038,1.0667,9.1309,15.0001,4.3277,15329.8194,321.1781,11.8234,6.7492,67.9932,43.6012,71.5579,106.8199,1009.3015,832.0898,1157.8734,26.5162,243.5106,0.0,115577.509,0.0,28.8566,386.9237,1599.0029,0.0
BRA_C13T15,218.6435,1.2205,76.2499,84.2262,3.0697,150.3244,8767.8547,64.3898,60.2898,28.0881,51.1785,32.567,176.7169,12.1627,9.4646,34.023,22.9561,10.1083,23.2935,471.7495,15.2164,338.9703,67.0284,26.3494,174.2409,164.7269,70.6733,5.1986,34.5394,18.9584,9.243,195.1753,33.9892,26.2088,2.5133,120.3968,18.4237,63.3124,89.1129,155.6589,141.5519,54.1991,27.8658,398.6699,0.0,29438.9417,0.0,2.9802,178.2389,344.5027,0.0
BRA_C16,277.311,2.7651,3.8614,2.7399,1.7989,178.6585,16.6895,972.2233,166.3582,2.0604,21.6112,17.1697,23.2775,10.541,8.099,75.0156,69.1893,1.5225,81.5306,76.9841,10.2385,1427.3845,104.6047,1.7795,1412.3458,680.1612,1.856,0.1281,0.1502,24.9656,6.8157,7.9539,29.0415,4.8609,2.6396,5.9234,144.2028,8.8274,44.2407,21.9543,12.8298,7.74,4.2573,51.4538,0.0,587.6417,0.0,0.001,43.4397,60.1303,0.0
BRA_C17_18,206.5272,2.9686,21.0089,52.0586,2.6329,2666.5993,477.1749,298.2939,5507.2724,48.5949,578.3876,275.9107,689.2972,440.3356,24.4601,398.6251,287.2149,122.1163,48.5765,374.1884,8.273,271.0925,29.3242,19.6117,103.6531,3606.7309,71.8504,13.0864,13.7984,72.1698,40.7041,431.3559,661.6356,165.7848,300.218,686.5512,145.3896,1499.8785,1091.145,494.5401,390.5587,277.0809,107.2783,235.3555,0.0,3940.0644,0.0,0.0005,171.3358,242.3309,0.0
BRA_C19,4045.7238,69.7041,1308.1497,1950.107,107.9525,2374.1445,144.8214,68.3317,543.5412,42206.3394,5181.0992,43.4791,496.8739,825.2284,1485.5365,119.0268,49.2661,194.372,128.1743,415.2344,11.3627,141.57,611.9311,235.8246,1528.2863,3985.3452,15450.321,335.4465,2444.7121,340.5843,118.6125,682.5457,20.7655,23.4836,47.0068,141.2725,23.7093,301.78,326.0058,597.8343,111.8157,95.6696,30.9981,163.6769,0.0,28377.5011,0.0,0.0,5.3097,969.1214,0.0
