V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T,HKG_HFCE,HKG_NPISH,HKG_GGFC,HKG_GFCF,HKG_INVNT,HKG_DPABR
HKG_A01_02,0.0729,0.0048,0,0,0.0597,5.9737,0.2613,0.1114,0.0334,0.006,0.0579,0.0276,0,0.012,0.0076,0.0115,0.0226,0.0142,0.0728,0.0158,0.0072,0.0065,3.6753,1.2878,1.1077,5.0551,2.674,9.7361,13.4327,0.0106,0.3892,27.1664,0.16,0.7387,0.0282,0.8182,0.6042,0.2129,0.6606,0.672,0.9421,1.0055,0.9681,1.7542,0.0,329.1487,0.0284,0.4534,2.6361,2.3767,0.0
HKG_A03,0.005,0.0098,0,0,0.0105,0.1753,0.0197,0.006,0.006,0.0011,0.0066,0.0037,0,0.0018,0.0014,0.0019,0.0045,0.0025,0.0126,0.0031,0.0016,0.0006,0.299,0.1363,0.112,0.4607,0.2263,1.5343,2.4425,0.0015,0.0642,4.4863,0.0399,0.1139,0.0047,0.1307,0.0681,0.0292,0.0668,0.0562,0.1062,0.1687,0.1431,0.2189,0.0,51.7208,0.0046,0.0067,0.3277,0.5661,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,13.3579,5.4295,0,0,160.234,97.6098,21.09,8.4173,4.5553,3.8289,0.287,0.0201,0,0.3927,3.5395,2.7973,1.4573,1.9105,45.8995,1.8338,0.798,0.3881,12.5628,5.7168,2.1569,7.7863,54.5164,0.6637,29.694,5.0093,11.3626,1.8709,4.1698,0.1955,0.4127,26.5689,11.0328,25.759,31.5531,6.2282,22.4358,8.8955,3.4465,8.0971,0.0,2.3028,0.0042,0.041,3.8639,2.6752,0.0
HKG_C10T12,2.9154,0.365,0,0,0.0431,302.2412,10.8083,13.6055,14.9504,1.5326,15.0619,6.228,0,1.9558,0.6613,1.0316,2.8886,1.7667,8.1951,0.8791,0.4548,0.1898,63.3574,33.2307,189.47,312.5249,72.2363,233.8973,220.6257,1.1955,40.5179,431.1399,14.4961,52.4498,2.9831,134.4524,71.8949,20.035,43.5269,23.8308,30.1234,102.3915,38.2153,75.3179,0.0,4795.2707,0.0495,0.2346,81.6792,39.1135,0.0
HKG_C13T15,0.0681,0.0247,0,0,0.0133,4.4111,144.3561,0.3538,0.6231,0.0623,0.5374,0.1961,0,0.296,0.1304,0.2808,0.5221,0.396,1.4516,0.6727,0.2198,0.1196,1.7409,3.1886,2.8101,65.4288,12.3454,15.8841,10.9326,0.2176,8.8014,2.3456,2.1569,9.1115,0.497,27.1218,13.704,3.1437,9.9902,4.7924,3.5213,4.1003,3.8697,15.0054,0.0,1142.1212,0.0182,0.1226,18.5565,39.137,0.0
HKG_C16,1.0226,0.1296,0,0,0.0084,24.507,0.2375,0.0371,0.0557,0.0207,0.1173,0.0459,0,0.1169,0.0609,0.1476,0.1833,0.1464,0.5651,0.1866,0.0648,0.0376,1.3548,1.7438,64.3019,9.2623,11.6061,47.5546,7.6109,0.2567,1.9721,1.3227,0.4999,3.0928,0.0417,3.0586,1.9451,0.6215,0.9085,0.6403,0.6715,18.7416,1.451,3.0874,0.0,535.9524,0.0252,0.0704,50.4189,6.3482,0.0
HKG_C17_18,0.7311,0.1645,0,0,0.0031,144.8488,25.4052,0.4346,9.7591,0.0653,0.9269,0.544,0,1.6596,0.0845,0.2063,1.4572,1.12,2.8855,0.3273,0.1105,0.3918,1.6448,2.9303,33.1508,63.7541,9.8817,14.6467,7.3084,0.2084,4.9095,0.9381,2.5811,7.1596,0.3158,28.5823,9.158,2.9918,4.0458,2.4592,5.2261,30.7848,2.9651,5.9319,0.0,209.3092,0.0184,0.162,4.7615,2.134,0.0
HKG_C19,0.0326,0.0075,0,0,0.1189,0.5718,0.3633,0.0625,0.0582,3.4865,7.0513,1.0545,0,2.2988,2.5278,2.029,0.4094,0.4436,1.8993,0.423,0.1843,0.0907,1.7196,1.649,0.2371,137.5821,5.6842,12.9178,10.9979,0.1987,0.9509,0.5636,0.3455,1.0297,0.1104,8.9532,3.3423,0.5892,2.6993,6.5632,3.135,0.5636,0.7403,1.7802,0.0,166.8634,0.0081,0.1189,1.6557,12.9796,0.0
HKG_C20,0.1963,0.0099,0,0,0.1817,4.3594,4.4673,0.9094,1.1847,4.1354,63.0667,11.951,0,12.1393,1.9342,3.2475,9.9517,10.1458,19.7999,3.1312,1.121,1.0258,1.1946,18.2908,1.2568,92.5256,1.632,3.0257,2.891,0.1223,1.1135,2.4217,3.7743,2.0176,0.1832,8.6315,5.5985,1.8303,5.8203,7.961,19.4652,7.5515,6.7132,25.8934,0.0,685.89,0.0299,0.1713,26.0024,43.5561,0.0
HKG_C21,0.028,0.0035,0,0,0.0129,0.9681,0.3864,0.0869,0.0817,0.2754,2.6516,17.2889,0,0.5263,0.1354,0.1935,0.7947,0.4202,1.42,0.1767,0.0862,0.0546,0.2276,1.1774,0.468,13.0184,0.371,0.7044,0.8375,0.0137,0.2444,0.6116,0.3185,0.5975,0.0564,2.1979,0.8732,0.6622,0.5852,2.7606,4.1721,9.8094,1.5782,2.4372,0.0,368.2552,0.0109,0.1015,11.8549,7.6607,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0632,0.0128,0,0,0.1705,8.7887,1.1362,0.158,0.1273,2.1043,2.7233,1.5425,0,62.6516,5.377,7.1729,10.1517,9.2548,14.4133,9.1132,3.0511,0.5161,0.6861,3.7997,5.3323,26.1614,0.9064,0.7372,1.1123,0.0905,1.0663,0.7831,0.6609,3.1284,0.0757,4.3511,2.6872,0.5146,1.3754,11.0668,7.9887,0.7538,1.7809,4.5202,0.0,210.001,0.0153,0.2141,17.5453,15.4844,0.0
HKG_C24,0.0073,0.0015,0,0,0.0674,0.464,0.103,0.0868,0.0515,0.4056,1.104,0.2294,0,3.9584,32.6432,47.1853,11.2921,17.9326,87.1422,5.9516,1.4952,1.0983,0.3315,3.8553,0.5815,324.5823,0.2255,0.3992,0.2402,0.0329,0.1066,0.0905,0.2468,0.3072,0.0524,1.699,1.6794,0.4166,0.6653,0.6856,0.9224,0.1121,0.5041,1.6063,0.0,7.8827,0.0453,0.0216,31.4224,56.048,0.0
HKG_C25,0.0279,0.006,0,0,0.1073,1.9422,0.5262,0.2185,0.1356,0.6144,1.355,0.4829,0,3.1475,4.81,20.7159,10.1679,10.9432,58.9216,7.2438,2.7953,0.7869,0.7441,3.1502,2.569,417.5859,1.1362,2.1199,3.0934,0.0607,0.3962,0.774,0.605,1.5359,0.1304,4.9075,5.2086,0.7225,2.377,2.768,2.3008,0.9054,1.5434,2.5236,0.0,136.2852,0.0268,0.1552,167.013,8.3246,0.0
HKG_C26,0.0488,0.01,0,0,0.0317,3.1752,0.9276,0.2304,0.287,0.2735,0.7993,0.3748,0,0.5072,0.2775,0.778,51.5489,8.8569,21.5748,2.5764,1.1701,0.2457,2.9412,4.7889,3.239,684.5586,2.5388,4.3852,7.0053,0.0552,4.3323,2.2996,4.6648,48.2318,1.0649,16.5135,7.0751,2.5421,4.5422,6.4868,6.7005,2.7084,5.2495,13.2826,0.0,772.5562,0.0396,0.1781,399.7208,351.5392,0.0
HKG_C27,0.0308,0.0062,0,0,0.0268,1.8732,0.5101,0.1314,0.1589,0.3085,0.6657,0.2697,0,0.8629,0.6387,1.3778,23.1581,36.6565,48.217,5.3248,1.8112,0.3278,3.9968,5.1644,2.4422,637.5285,1.5061,2.8254,4.2513,0.0354,2.7881,1.2302,3.3753,28.738,0.3915,6.6955,6.8266,1.6693,4.1282,3.6391,3.7116,1.3398,3.9159,10.6154,0.0,422.0046,0.0192,0.1719,193.9114,47.3142,0.0
HKG_C28,0.107,0.0258,0,0,0.2218,5.3632,1.3836,0.402,0.4762,0.52,1.4921,0.6173,0,2.7488,1.9865,5.0947,5.3063,4.9399,80.4151,9.563,3.6804,0.4187,2.9468,4.0443,7.1544,115.5325,5.2266,11.9058,20.5129,0.1627,1.6753,3.1353,1.1379,6.7286,0.2624,16.1376,8.9549,1.3894,4.3398,5.1141,2.9332,4.8709,2.6612,3.6605,0.0,118.4151,0.0541,0.3343,657.171,15.5966,0.0
HKG_C29,0.0844,0.0083,0,0,0.3518,1.4516,0.7302,0.0993,0.1042,0.0986,0.312,0.125,0,0.6343,0.6908,1.3218,1.2576,1.2886,12.9181,65.3835,3.8779,0.3149,0.3497,6.9321,0.7384,121.4443,4.2118,3.9876,3.1327,0.0368,2.8536,0.6554,1.4976,3.0673,0.1407,5.6875,1.6738,0.6947,3.3432,8.4806,0.6837,0.6903,4.0448,6.29,0.0,549.2596,0.0481,0.1603,570.2937,7.4221,0.0
HKG_C30,0.0023,0.0006,0,0,0.001,0.1238,0.0394,0.0107,0.0129,0.0152,0.0409,0.0178,0,0.1098,0.0232,0.066,0.1792,0.1452,2.0923,18.9132,17.0054,0.072,0.0546,1.3879,0.1284,35.5282,0.851,5.1525,3.9704,0.0054,0.5648,0.1161,0.8975,0.5427,0.0333,1.7431,0.4268,0.2646,0.8618,6.2136,0.1404,0.1312,2.2688,2.3361,0.0,92.6458,0.0014,0.023,479.5525,1.5329,0.0
HKG_C31T33,0.2454,0.071,0,0,0.0501,11.2165,1.7998,0.8278,1.1336,0.0726,0.523,0.2059,0,0.5298,0.4597,0.848,0.7956,0.6476,4.0548,0.8587,0.5566,0.2251,8.6976,9.8503,20.3345,77.3473,17.8717,38.9698,74.721,0.3365,3.4788,7.0437,2.009,15.4315,0.5287,31.1736,20.2741,2.6711,13.5133,15.0945,5.7067,12.0814,6.9416,6.3345,0.0,76.1038,0.0377,0.4042,24.3785,1.8812,0.0
HKG_D,1.2353,0.2625,0,0,5.0601,99.1614,30.5381,8.5793,10.1981,1.002,2.1434,0.5165,0,1.4902,1.1725,0.9273,0.8027,0.7079,5.0494,0.45,0.2075,0.2493,255.5118,114.5957,46.2019,431.9875,106.3665,41.4992,59.7605,4.2726,16.1923,401.5126,44.1946,94.6294,4.0874,383.5734,907.5808,23.7624,41.1701,161.0341,142.8374,170.3976,111.6304,148.4826,0.0,1991.0049,3.4268,2.0403,53.8193,9.0474,0.0
HKG_E,0.779,0.1384,0,0,0.1446,56.0341,15.9768,6.4387,8.6432,0.2965,1.8062,0.5497,0,1.274,1.162,0.9595,1.1391,0.9143,4.2691,0.9186,0.4217,0.1871,57.7506,411.1685,60.5674,915.6215,56.9202,53.548,48.1016,1.7979,44.4209,135.3387,21.2756,93.93,5.9383,329.4401,954.2783,29.9996,94.254,116.5493,76.0362,80.6548,58.9042,125.3102,0.0,1529.7331,60.7174,5.9462,157.9205,4.8282,0.0
HKG_F,0.9134,0.1479,0,0,0.7372,18.1875,4.7375,1.0906,1.1869,0.3609,0.9019,0.4113,0,5.0317,0.8616,1.5498,2.2286,1.8708,6.2177,1.7174,0.7276,0.3516,8.6163,12.9459,5583.8052,142.864,29.5882,27.3755,75.5407,0.6183,6.3483,20.87,4.5669,22.7393,1.0696,54.3331,270.177,6.5369,13.3255,401.0178,32.2046,30.3532,11.0639,18.5904,0.0,111.0523,1.5277,2.3285,20573.8211,12.3626,0.0
HKG_G,170.841,19.8244,0,0,411.3524,6206.4702,1963.7651,295.1252,402.8439,193.2359,663.0333,319.8195,0,454.685,345.3314,490.7376,1129.4837,615.1622,2457.9662,797.4639,422.9812,284.4941,1874.7017,1225.3211,4279.9769,29996.2965,2084.6174,3279.3598,4696.0461,48.5098,416.6062,3764.4182,599.578,1604.0145,99.3321,3931.8404,1787.2483,477.9998,1364.4723,1111.2286,1346.1894,2513.6256,1063.6002,1474.5016,0.0,38116.1229,13.6927,48.3873,27936.1467,5079.8888,0.0
HKG_H49,0.8225,0.1292,0,0,1.9546,57.3395,28.7782,5.0488,4.7498,1.5687,4.1747,1.1655,0,3.3952,2.6038,3.6132,6.7369,3.8637,13.0035,4.2909,1.5508,1.1383,8.1467,29.0722,56.6598,714.1037,756.2439,303.408,37.4949,3.6857,46.2597,50.6795,10.399,45.0179,6.7698,419.806,79.2223,31.046,85.9369,26.304,27.4901,34.7763,18.8977,73.2218,0.0,5352.807,0.2034,3.5243,148.1624,3.3673,0.0
HKG_H50,0.6581,0.1716,0,0,1.2699,56.2559,26.6025,5.5511,5.905,2.806,6.7909,2.0689,0,2.9877,3.5285,4.3809,21.0946,12.802,26.9536,7.1618,2.8854,0.8839,8.3942,21.3447,51.2996,1986.2126,50.8295,1956.6937,980.7058,12.0183,363.0045,33.286,9.1531,357.341,5.7697,380.7547,49.4603,30.4614,98.3465,30.2279,26.909,27.2557,21.9091,83.2562,0.0,1818.4862,0.4572,0.9382,238.7887,283.4707,0.0
HKG_H51,1.0569,0.226,0,0,1.6588,30.6727,20.5703,1.7972,2.2793,4.2724,11.0441,3.1731,0,6.7856,6.2442,8.21,26.693,15.7196,37.2128,11.1008,4.4025,1.2376,9.9766,13.3342,17.5138,747.5172,24.2918,195.3626,119.0273,2.1981,38.6283,26.4551,6.6108,64.0624,1.9981,83.1845,29.8495,8.7565,23.6981,18.795,15.9422,13.6384,11.144,24.8338,0.0,974.359,0.9962,3.1022,303.4871,385.0481,0.0
HKG_H52,0.0398,0.006,0,0,0.4406,2.816,1.1285,0.2685,0.2367,0.0446,0.1037,0.0326,0,0.095,0.0684,0.0962,0.1569,0.0925,0.4286,0.1364,0.0507,0.2392,0.2882,1.0683,2.5853,76.1567,2.8575,83.993,42.712,0.6237,16.7999,1.5859,0.4113,13.8661,0.3076,17.6553,2.5855,1.0977,4.8258,1.2109,1.099,1.3464,0.6152,2.5731,0.0,31.7149,0.1215,1.9238,5.1454,2.5161,0.0
