V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T,FIN_HFCE,FIN_NPISH,FIN_GGFC,FIN_GFCF,FIN_INVNT,FIN_DPABR
FIN_A01_02,1473.7721,0.4925,1.9965,2.9871,0.3201,1944.5569,0.8969,2621.0112,2215.5336,0.3035,6.4684,2.7142,14.1305,1.1614,1.5127,4.3445,8.4633,1.9559,10.9893,1.3807,4.5529,3.3669,39.7538,1.4811,53.0169,44.6042,9.134,33.2507,16.9782,3.0711,2.7549,145.1055,14.6493,1.5115,13.8667,2.7731,16.4021,12.3138,10.3091,42.5731,25.7612,60.0967,6.0562,5.8241,0.0,2311.0862,6.6178,16.0042,190.0758,162.9589,0.0
FIN_A03,0.2215,26.0464,0.032,0.0774,0.0,27.1815,0.0357,0.106,0.3921,0.189,0.3795,0.0676,0.1346,0.1511,0.1926,0.2968,1.1622,0.2856,1.0714,0.0747,0.0662,0.092,0.0383,0.0992,1.1845,0.1917,0.2759,0.2715,0.0415,2.7406,0.0035,49.1943,0.0914,0.6566,2.1356,1.197,0.9953,3.9747,2.5275,2.6537,1.7521,4.6703,0.7993,1.1166,0.0,66.9506,0.0,0.0,0.0,3.1139,0.0
FIN_B05_06,3.7512,0.0068,0.0196,0.0488,0.0056,0.5441,0.0522,37.563,4.5961,2.7706,0.3223,0.0413,0.1127,0.8494,0.2657,0.2489,0.3736,0.1303,0.4472,0.0581,0.1812,0.8397,505.4746,0.1147,15.2509,0.6363,0.408,0.03,0.054,0.1896,0.0606,0.2206,0.1765,0.0804,0.5267,0.2985,0.4157,0.412,0.2005,0.5961,0.2189,0.5684,0.1596,0.2925,0.0,4.6102,0.0038,0.3074,1.9443,7.3932,0.0
FIN_B07_08,6.4003,0.0134,11.4892,36.9117,4.8885,10.9074,0.2565,1.6427,297.3422,13.5661,41.1997,0.2363,3.2814,269.4671,127.7787,9.1737,5.0795,0.7411,1.9037,0.3582,0.2209,2.5563,286.5803,0.9959,413.114,0.9388,0.7301,0.0635,0.1034,0.3553,0.1108,0.4595,0.34,0.1266,1.3421,0.4945,0.4656,0.5903,0.3955,1.6811,0.6551,1.1218,0.258,0.3582,0.0,11.0794,0.0803,3.2159,21.7852,16.8538,0.0
FIN_B09,0.4686,0.1382,4.0432,20.7558,6.6361,0.5166,0.0083,0.0627,4.5036,141.0937,4.0861,0.0654,0.1846,6.2076,21.5398,0.8055,0.0337,0.0484,0.6927,0.0059,0.0037,0.2003,10.3787,0.633,50.7831,0.4492,1.8446,0.0891,0.1492,0.6575,0.0085,0.0551,0.0012,0.0,0.0024,0.0002,1.4857,1.2483,0.4039,0.6799,0.0597,0.3081,0.1076,0.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN_C10T12,516.3672,0.3118,0.0098,0.0203,0.0045,1543.8492,8.0106,2.5256,85.253,12.4688,381.2121,1.4858,0.9104,0.7246,0.1762,0.7535,0.4469,0.5403,1.6408,0.1143,0.0907,2.3711,2.604,6.3164,74.5249,20.7205,17.3314,21.1087,1.4769,136.0689,0.1378,1160.805,7.1548,42.4492,138.9635,76.008,70.8305,269.2809,136.6141,102.5127,66.6055,170.1747,46.2346,96.5013,0.0,7154.825,0.0,0.0,0.0001,188.5234,0.0
FIN_C13T15,1.2399,0.0751,0.1038,0.368,0.0236,2.5499,44.2195,1.4505,4.709,0.8718,0.9024,3.1481,7.268,7.3896,0.5099,1.7285,0.777,0.8466,5.0704,0.5316,3.0671,10.7578,0.494,34.4562,37.9666,14.8547,2.2833,6.848,0.212,8.398,0.0323,2.8967,2.4521,1.8879,13.4263,11.9565,3.9785,52.2766,35.3791,10.0166,3.9407,29.9223,2.8496,13.2288,0.0,660.4111,0.0037,1.2724,5.1314,21.2885,0.0
FIN_C16,6.1523,0.0665,1.4583,2.8373,0.5002,16.2871,1.6908,697.7304,266.9737,5.813,8.7412,1.8483,4.4275,9.9694,106.7094,14.4396,11.8741,4.7647,22.3074,2.6973,27.4212,149.051,253.2691,69.4921,2812.4043,60.1542,4.1824,2.4931,2.5371,10.7089,0.3426,9.1039,4.1123,3.3565,15.5251,11.8533,50.0383,60.5029,26.7724,18.5754,9.3865,14.2166,6.0378,22.1013,0.0,109.0077,0.3593,14.6871,23.3463,87.3893,0.0
FIN_C17_18,31.2644,0.5569,1.8346,6.8263,0.6239,231.4975,8.276,40.4212,2654.7093,32.9725,85.0241,12.546,32.5431,23.5506,33.2126,23.0317,56.7258,17.3317,50.5563,7.4282,6.8175,21.9142,23.3328,41.7849,180.6505,319.7173,31.2671,14.8865,10.9988,52.9906,10.0777,32.3821,648.7157,68.2229,135.3687,59.6328,61.1863,230.1178,175.7889,99.6838,67.6472,183.0124,104.3911,44.4602,0.0,711.9072,0.9367,22.5745,121.0662,227.485,0.0
FIN_C19,275.6993,8.9081,29.8839,110.1962,9.4015,44.0879,4.2385,9.0288,79.6941,2389.2449,180.5008,2.8104,45.3887,38.3521,74.5142,14.9955,13.5601,10.1358,22.6858,4.989,13.6886,21.8791,140.6039,17.2212,451.015,112.8638,1096.1121,196.9284,348.0005,66.9726,8.3941,3.4922,4.0261,2.3383,9.076,52.4063,220.7644,28.4125,57.8707,140.6877,36.3855,77.3561,38.6354,45.8022,0.0,1853.2676,2.3727,9.4771,38.7317,130.976,0.0
FIN_C20,177.4185,0.1198,3.4648,13.6127,1.8693,73.6319,37.2019,53.8267,562.8647,120.5498,1322.9563,30.1331,387.6362,57.5903,39.6857,34.7482,39.1946,51.8019,26.9485,18.552,12.8112,12.6431,45.8017,105.4119,197.2083,31.4667,9.6589,7.0441,5.3783,23.2305,1.1084,5.3579,10.6698,2.6939,16.183,6.7878,4.8804,45.3069,57.6266,32.0677,7.8682,101.3985,17.1831,46.9445,0.0,643.3284,2.2116,59.861,129.8687,95.198,0.0
FIN_C21,4.2812,0.0427,0.287,2.6974,0.1389,5.4674,1.8194,2.8211,8.5907,3.0308,22.6906,37.949,1.8656,1.1687,4.2986,2.2231,33.7502,2.7346,6.4379,0.5659,1.5642,1.9746,2.4278,2.4477,17.7263,11.6871,2.1938,2.1041,1.696,1.8972,0.4555,2.4347,2.1845,1.0338,8.4723,2.4197,2.0047,13.7937,4.3194,20.2708,7.4453,582.6154,1.1227,1.5876,0.0,456.5187,1.4077,486.8221,162.6432,25.7399,0.0
FIN_C22,6.0419,0.1051,0.5942,1.606,0.2586,133.5427,4.7022,20.794,59.4734,17.4712,27.2291,22.5804,79.4725,24.7908,8.9723,31.0373,31.2557,31.3075,93.0491,18.0135,11.6566,43.1325,3.3299,7.6543,766.271,36.6399,64.634,1.868,1.8302,20.8425,0.4318,5.2787,4.5536,2.2481,7.9208,7.2999,3.8626,20.487,51.731,25.4231,6.6874,38.998,8.4514,25.2841,0.0,403.2816,0.3652,7.7682,73.1331,17.1398,0.0
FIN_C23,9.5529,0.0385,5.9382,21.9152,3.5581,10.8739,1.7832,54.2312,54.4786,4.4161,29.4143,1.731,19.1418,374.7056,17.317,92.7065,15.8021,6.0996,34.7176,16.5384,25.2076,24.8842,25.6671,6.3869,1941.4406,61.3208,5.1912,5.7458,3.6645,3.3798,0.9656,3.5665,5.6936,2.389,12.3186,7.4187,3.9922,38.4348,14.9218,14.2035,2.8812,16.6107,2.6594,11.5495,0.0,181.9888,1.8914,7.7517,54.4972,44.8239,0.0
FIN_C24,0.0,0.0,31.1094,86.4791,19.3863,0.083,3.0924,42.9869,21.5192,6.2458,4.2241,0.1737,32.4788,98.4027,2573.266,1348.4876,20.8787,418.7631,576.7193,51.9809,96.0127,102.3319,0.0496,3.8564,61.3998,5.8054,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0031,0.0067,0.0,0.4029,0.0,4.3992,0.0,0.0,0.0,124.9414,0.0
FIN_C25,28.881,0.282,3.3311,8.2202,1.5946,78.6232,2.0907,50.4663,46.431,29.5088,19.4553,3.9274,46.1552,61.8262,405.2991,699.6691,89.5002,190.9285,1217.3911,74.2498,195.3483,171.3939,22.0376,45.5526,1880.4674,55.8842,23.8753,12.6191,16.0227,90.2921,2.0081,11.0518,10.145,31.0439,32.3583,20.9077,20.4783,79.3923,40.8907,77.3897,32.6369,33.7758,14.0663,26.1546,0.0,532.3088,3.1297,21.4619,659.2468,78.75,0.0
FIN_C26,120.7567,0.2134,1.2786,4.3171,0.7215,33.4324,2.6875,13.1532,64.2389,17.6168,32.9325,12.9278,12.122,11.5207,21.9788,41.1432,497.1249,97.4601,185.3278,13.0412,19.4594,63.2029,47.1054,24.1568,256.0936,323.3224,42.8152,125.8868,83.1791,43.0192,14.1868,39.5992,130.4112,58.7258,432.4923,177.1397,29.342,272.2783,78.2774,235.2477,57.5563,172.1699,43.371,49.3677,0.0,512.1826,3.4593,108.3549,1645.521,7.3444,0.0
FIN_C27,8.7913,0.2444,2.4472,5.4468,1.034,21.8629,0.8439,8.0386,44.9069,11.2679,9.3324,3.0264,5.7331,6.4833,13.6464,55.4306,105.3896,436.2102,197.4961,7.4064,37.1399,102.1051,129.446,53.3111,455.7889,96.9512,27.5546,11.3152,17.5983,8.0422,1.9009,6.4635,8.7397,11.0085,28.7068,13.2761,7.6432,70.087,35.1904,54.4581,18.2537,39.7428,11.1168,14.5353,0.0,466.5109,3.1831,29.8281,462.3044,48.0766,0.0
FIN_C28,93.8858,1.2492,12.4812,28.4063,5.374,110.2741,5.4381,42.6877,217.6617,66.2139,39.6007,11.1183,21.9097,33.1688,62.7983,159.2129,195.3219,181.4978,1741.5074,217.0751,130.5953,255.726,79.4801,149.8785,811.5338,299.7678,114.2655,89.1977,98.6089,44.5934,12.1942,33.901,47.5884,33.1165,116.1199,42.6374,26.7996,208.2406,79.6006,307.6584,24.9991,87.6639,19.1764,33.6795,0.0,660.8779,16.5451,100.5537,2715.1392,143.2105,0.0
FIN_C29,3.0461,0.024,0.0926,0.2821,0.0402,3.5676,0.3002,1.6766,4.2762,2.2186,3.5956,0.5186,3.7056,1.0569,1.9864,5.6402,10.0852,6.2304,116.9198,86.5414,4.1152,8.2223,1.275,2.2034,27.2871,135.2926,31.507,0.2569,0.3613,9.8818,0.0799,1.269,0.6306,1.32,2.5867,0.8492,0.7883,2.9273,2.7271,11.5719,0.8939,3.5734,0.6174,0.7602,0.0,470.429,0.1539,6.026,446.4414,20.8844,0.0
FIN_C30,0.0,2.3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136,0.0005,0.0,0.2008,0.0412,0.8828,0.1017,1.8177,107.2273,47.0896,0.0,0.0,0.0,0.8496,0.8942,4.5782,2.1532,1.7107,0.0,0.0,0.0019,0.0,0.0,0.0,0.012,0.1039,8.6673,104.4712,0.0694,0.0103,0.0043,0.0,0.0,583.4581,0.0,0.0,362.2734,57.6297,0.0
FIN_C31T33,66.1411,2.1146,22.2185,45.4377,8.0209,120.5813,2.388,32.0919,376.3996,82.7856,30.1867,8.5,19.8391,32.958,75.6661,176.5981,103.9709,29.2115,238.3413,15.1951,170.0722,393.7275,64.7114,276.9776,341.0441,197.0335,179.5199,89.9185,164.994,22.5081,10.3222,19.1713,16.0212,36.7591,24.1038,27.8578,6.0381,104.2462,50.8718,81.0132,24.8784,212.4886,38.5551,20.0909,0.0,1037.3497,2.9695,11.5085,582.2127,-299.5181,0.0
FIN_D,179.1958,8.7896,11.4898,39.5134,2.8427,186.5126,15.7923,172.3326,852.7204,58.991,223.7346,16.1487,83.6409,96.433,238.3861,100.8948,65.0249,39.2923,109.8795,33.9379,24.9968,66.4913,259.6699,97.193,246.5487,672.2983,90.104,11.8288,32.1153,91.6919,4.0831,153.3593,19.5778,106.5733,78.1709,170.7834,1384.7412,90.1969,93.8893,622.4581,286.2704,490.0811,276.3754,418.2332,0.0,2279.5317,0.2006,16.3667,293.5655,1.0613,0.0
FIN_E,4.3804,0.1803,6.7604,13.5359,3.2205,39.1413,3.1255,28.5361,121.8997,8.6849,22.1374,4.2895,14.4826,15.8643,843.4356,33.1282,28.7278,11.1775,66.9902,3.9164,8.6021,17.7485,327.4392,656.1879,230.8384,153.9474,7.156,10.9048,6.2757,6.5668,1.7435,60.6664,10.5524,6.7219,36.7281,44.6371,406.3444,126.3471,120.4374,176.7026,59.758,82.2589,22.1589,30.3932,0.0,491.5962,0.0616,144.623,143.7961,2.6228,0.0
FIN_F,310.8444,0.1147,4.1461,10.2278,1.7192,61.4916,2.7844,50.0632,62.6051,98.8136,74.4911,4.2107,21.6514,19.6659,50.6642,32.7773,28.982,12.376,33.5245,8.2333,12.6932,45.3271,759.63,54.9502,4460.4193,398.5372,163.5593,32.6098,107.7056,79.3579,10.6371,56.3657,7.0487,43.0515,47.0966,51.666,2263.8844,33.839,214.6456,1008.4143,133.4295,143.9812,76.3354,11.9466,0.0,42.7796,0.0811,393.405,34093.1604,1.0993,0.0
