V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_A01_02,669.8836,0.612,0.0023,0.6748,0.0206,324.9373,0.8285,536.8995,0.6039,0.0048,35.9851,1.0992,0.6491,2.4617,0.1705,1.0931,0.289,0.6467,0.9406,0.2834,0.7285,45.7982,28.8163,0.8649,11.4628,21.3865,23.957,0.1212,1.354,2.4497,0.1482,11.5201,0.223,0.5234,0.898,0.4192,7.6327,1.5558,4.3492,3.2192,4.9007,3.6276,2.244,5.9522,0.0,600.3339,0.362,26.0337,17.8162,33.9749,0.0
LVA_A03,1.1686,1.1362,0.0003,0.0875,0.0007,7.4233,0.0178,1.1856,0.0972,0.0006,0.0842,0.0421,0.0254,0.0962,0.0063,0.1205,0.012,0.0419,0.0247,0.0401,0.0795,0.2275,0.2601,0.0486,0.6414,14.7173,0.6649,0.0101,0.2666,0.5119,0.0124,0.7157,0.0085,0.0329,0.0776,0.0215,0.1384,0.0597,0.2436,0.0868,0.0342,0.1736,0.0532,0.0693,0.0,16.8258,0.0351,1.5834,3.159,0.6146,0.0
LVA_B05_06,0.1103,0.0003,0.0013,0.1019,0.0002,0.0031,0.0021,0.0051,0.0093,0.0,0.007,0.0,0.0001,0.0002,0.0001,0.0006,0.0006,0.0001,0.0011,0.0009,0.0002,0.0002,0.9535,0.0015,0.006,0.0028,0.0009,0.0,0.0014,0.0008,0.0,0.0002,0.0007,0.0025,0.0064,0.0012,0.0016,0.003,0.0164,0.1171,0.0425,0.0014,0.0013,0.0065,0.0,0.0251,0.0,0.0002,0.0131,0.0181,0.0
LVA_B07_08,4.3968,0.6609,0.0252,34.7524,0.1209,2.3841,0.0759,0.3577,0.0237,0.0005,5.9365,0.0367,0.0213,51.4536,0.0813,10.1669,0.0589,0.0214,0.0166,0.0121,0.6357,0.5639,13.2612,0.3663,167.8669,0.9089,0.4348,0.0009,0.0005,0.6439,0.0215,0.1739,1.3376,0.0544,0.0444,0.0085,1.1681,0.5061,11.3995,0.5339,0.965,1.1468,1.1071,0.1935,0.0,4.5493,0.0,0.0026,0.1379,4.9406,0.0
LVA_B09,0.006,0.0013,0.0002,0.1397,0.0027,0.0064,0.0001,0.0009,0.0019,0.0004,0.0098,0.0004,0.0007,0.0424,0.0082,0.0029,0.0001,0.0001,0.0004,0.0,0.0,0.0005,0.0668,0.0023,0.2666,0.0034,0.0199,0.0002,0.0017,0.0132,0.0,0.0003,0.0,0.0,0.0,0.0,0.0068,0.003,0.0014,0.0036,0.0003,0.0005,0.0007,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA_C10T12,26.8424,0.9901,0.0005,0.144,0.0,227.6476,0.0192,0.132,0.0571,0.0001,5.3188,0.5533,0.0235,0.2335,0.0091,0.0359,0.013,0.0299,0.0088,0.0552,0.0134,0.4458,0.8079,0.0851,0.2544,19.8594,0.8089,0.0136,0.6443,1.0313,0.008,108.351,0.0437,0.0417,0.3074,0.1226,1.2532,0.5223,0.2587,0.0099,18.3354,6.7407,5.064,0.6011,0.0,1514.4845,12.4286,1.2411,0.0707,33.3525,0.0
LVA_C13T15,2.217,0.0681,0.0023,0.488,0.0006,1.9155,28.7354,0.7538,1.158,0.0005,0.58,0.2947,0.4999,0.1891,0.0298,1.0864,0.0637,0.2996,0.6473,0.422,0.2449,3.5423,0.3431,0.3972,2.7751,1.9296,0.7088,0.0253,0.3729,1.194,0.1215,0.5807,0.0497,0.113,0.1707,0.0707,2.4144,0.6043,3.4884,3.1836,1.0543,1.6866,2.338,0.9177,0.0,194.8685,0.0021,0.1025,1.5684,4.5323,0.0
LVA_C16,120.0376,0.158,0.0194,4.2786,0.0321,22.0581,0.3489,569.0889,1.2914,0.0037,1.5269,0.2495,1.2214,5.7842,0.2954,3.2504,0.2632,0.7885,0.7615,1.1024,1.5499,26.4347,59.2322,1.0771,39.3147,32.1578,5.3714,0.1049,1.4467,2.754,0.0686,2.1116,0.1371,0.2498,0.547,0.4385,29.9991,1.1587,3.1647,3.9397,3.6728,3.0936,1.4743,1.1202,0.0,58.7898,0.0575,2.1665,24.3142,26.7031,0.0
LVA_C17_18,3.5296,0.113,0.0006,0.2214,0.0016,13.8038,0.3059,4.3692,44.818,0.0053,1.2646,2.0449,1.1012,0.9227,0.0911,0.2443,0.1619,0.7265,0.5286,0.0806,0.1615,2.2016,0.1903,1.9595,2.0962,10.0386,1.7125,0.043,0.4854,0.9513,7.0661,1.1481,20.9544,0.3739,3.9624,8.9925,2.843,7.2589,6.1901,23.4304,10.8324,2.4887,13.3425,5.1398,0.0,67.7112,0.1098,1.0147,0.978,2.8253,0.0
LVA_C19,0.2059,0.0051,0.0001,0.025,0.0001,0.0564,0.0023,0.0462,0.0023,0.0002,0.0491,0.0022,0.0021,0.0143,0.0008,0.0073,0.0021,0.0026,0.002,0.0022,0.0025,0.0248,0.035,0.0156,0.1557,0.1691,0.737,0.0137,0.1504,0.0818,0.0051,0.0107,0.0037,0.0027,0.0027,0.0042,0.0159,0.0257,0.0454,0.0302,0.0107,0.0199,0.0071,0.0044,0.0,0.7602,0.0001,0.0019,0.018,0.0264,0.0
